"People by unit, time, sex, region and type of income"

" ";" ";" ";" ";"2 Pre-tax Income, total (3+7+22+26+29)";"3 Primary income (4+5+6)"
"Amount of income (DKK 1.000)"
" ";"2019"
" ";" ";"Men and women, total"
" ";" ";" ";"All Denmark";1622586410;1125501663
" ";" ";" ";"Province Byen København";229639580;175340128
" ";" ";" ";"Copenhagen";177403451;137130563
" ";" ";" ";"Frederiksberg";35390244;25927663
" ";" ";" ";"Dragør";5100796;3643166
" ";" ";" ";"Tårnby";11745089;8638736
" ";" ";" ";"Province Københavns omegn";171175710;120849133
" ";" ";" ";"Albertslund";6641334;4528255
" ";" ";" ";"Ballerup";13517155;9448607
" ";" ";" ";"Brøndby";8462337;5697988
" ";" ";" ";"Gentofte";39531042;26627334
" ";" ";" ";"Gladsaxe";19775417;14776553
" ";" ";" ";"Glostrup";6274316;4569327
" ";" ";" ";"Herlev";7808375;5548293
" ";" ";" ";"Hvidovre";14140840;10364239
" ";" ";" ";"Høje-Taastrup";13023712;9341216
" ";" ";" ";"Ishøj";5340608;3717892
" ";" ";" ";"Lyngby-Taarbæk";21186518;14939029
" ";" ";" ";"Rødovre";10815162;7809637
" ";" ";" ";"Vallensbæk";4658891;3480761
" ";" ";" ";"Province Nordsjælland";157953499;107854833
" ";" ";" ";"Allerød";8975972;6654424
" ";" ";" ";"Egedal";13308616;10185512
" ";" ";" ";"Fredensborg";13694965;9043150
" ";" ";" ";"Frederikssund";12951964;9104329
" ";" ";" ";"Furesø";14379544;10308617
" ";" ";" ";"Gribskov";11838490;7917963
" ";" ";" ";"Halsnæs";8468953;5606178
" ";" ";" ";"Helsingør";19189910;12782442
" ";" ";" ";"Hillerød";15697481;11474633
" ";" ";" ";"Hørsholm";11329277;7350351
" ";" ";" ";"Rudersdal";28118327;17427234
" ";" ";" ";"Province Bornholm";9892289;5889863
" ";" ";" ";"Bornholm";9892289;5889863
" ";" ";" ";"Province Østsjælland";75118080;54092744
" ";" ";" ";"Greve";14802678;10658768
" ";" ";" ";"Køge";17049876;12229970
" ";" ";" ";"Lejre";8380967;6082884
" ";" ";" ";"Roskilde";27259010;19673768
" ";" ";" ";"Solrød";7625548;5447355
" ";" ";" ";"Province Vest- og Sydsjælland";152705960;100651528
" ";" ";" ";"Faxe";9653228;6682631
" ";" ";" ";"Guldborgsund";15027094;9194942
" ";" ";" ";"Holbæk";19408325;13548955
