municipality,parish,ppl_inventory,Number_invited_not_booked,Percentage_invited_not_booked,Percentage_booked,Percentage_started,Percentage_finished vaccinated
Aabenraa,,72,33,46%,0%,1%,53%
Aabenraa,"Aabenraa,Aabenraa",14804,2116,14%,0%,2%,84%
Aabenraa,"Hjordkær,Aabenraa",1695,232,14%,0%,1%,85%
Aabenraa,"Løjt,Aabenraa",2982,342,11%,0%,1%,87%
Aabenraa,"Bjolderup,Aabenraa",1482,247,17%,0%,1%,82%
Aabenraa,"Rise,Aabenraa",5644,667,12%,0%,1%,87%
Aabenraa,"Øster Løgum,Aabenraa",840,145,17%,0%,1%,81%
Aabenraa,"Hellevad,Aabenraa",788,138,18%,0%,2%,81%
Aabenraa,"Egvad,Aabenraa",350,62,18%,0%,1%,81%
Aabenraa,"Varnæs,Aabenraa",1132,203,18%,0%,2%,80%
Aabenraa,"Ensted,Aabenraa",2088,260,12%,0%,1%,86%
Aabenraa,"Felsted,Aabenraa",1966,305,16%,0%,1%,84%
Aabenraa,"Holbøl,Aabenraa",1262,255,20%,0%,2%,78%
Aabenraa,"Uge,Aabenraa",433,95,22%,0%,1%,77%
Aabenraa,"Kliplev,Aabenraa",1940,306,16%,0%,2%,82%
Aabenraa,"Bov,Aabenraa",7110,1344,19%,0%,1%,80%
Aabenraa,"Burkal,Aabenraa",1421,281,20%,0%,1%,79%
Aabenraa,"Bylderup,Aabenraa",813,161,20%,0%,1%,79%
Aabenraa,"Ravsted,Aabenraa",809,156,19%,0%,2%,78%
Aabenraa,"Tinglev,Aabenraa",3052,522,17%,0%,1%,82%
Aabenraa,"Genner,Aabenraa",820,106,13%,0%,1%,86%
Aalborg,,401,222,55%,0%,5%,40%
Aalborg,"Ejdrup,Aalborg",200,38,19%,0%,1%,81%
Aalborg,"Gunderup,Aalborg",1392,190,14%,0%,2%,85%
Aalborg,"Nøvling,Aalborg",1910,117,6%,0%,1%,92%
Aalborg,"Lillevorde,Aalborg",322,48,15%,0%,2%,83%
Aalborg,"Mou,Aalborg",2247,220,10%,0%,2%,88%
Aalborg,"Storvorde,Aalborg",2663,234,9%,0%,1%,90%
Aalborg,"Sejlflod,Aalborg",617,122,20%,0%,3%,77%
Aalborg,"Nibe,Aalborg",3593,286,8%,0%,1%,91%
Aalborg,"Vokslev,Aalborg",1542,127,8%,0%,1%,90%
Aalborg,"Sønderholm,Aalborg",1449,154,11%,0%,2%,88%
Aalborg,"Frejlev,Aalborg",2901,171,6%,0%,1%,93%
Aalborg,"Nørholm,Aalborg",788,107,14%,0%,2%,84%
Aalborg,"Ellidshøj,Aalborg",611,79,13%,0%,1%,86%
Aalborg,"Svenstrup,Aalborg",4843,443,9%,0%,1%,89%
Aalborg,"Bislev,Aalborg",566,64,11%,0%,2%,87%
Aalborg,"S Kongerslev,Aalborg",1257,176,14%,0%,1%,85%
Aalborg,"N Kongerslev,Aalborg",413,57,14%,0%,3%,84%
Aalborg,"Komdrup,Aalborg",120,13,11%,0%,1%,88%
Aalborg,"Sebber,Aalborg",686,68,10%,0%,1%,89%
Aalborg,"St Ajstrup,Aalborg",154,29,19%,0%,1%,80%
Aalborg,"Farstrup,Aalborg",825,120,15%,0%,2%,83%
Aalborg,"Lundby,Aalborg",164,33,20%,0%,2%,78%
Aalborg,"Domkirkens,Aalborg",7256,897,12%,0%,3%,85%
Aalborg,"Ansgars,Aalborg",7653,839,11%,0%,2%,87%
Aalborg,"Vor Frelsers,Aalborg",6515,907,14%,0%,3%,83%
Aalborg,"Vesterkær,Aalborg",3512,436,12%,0%,2%,86%
Aalborg,"Vor Frue,Aalborg",6697,829,12%,0%,3%,85%
Aalborg,"Skt Markus,Aalborg",10216,1255,12%,0%,2%,85%
Aalborg,"S Tranders,Aalborg",11216,1107,10%,0%,2%,88%
Aalborg,"N Tranders,Aalborg",11475,1967,17%,0%,2%,81%
Aalborg,"Vejgård,Aalborg",11089,1287,12%,0%,2%,86%
Aalborg,"Hans Egedes,Aalborg",9827,1450,15%,0%,2%,83%
Aalborg,"Hasseris,Aalborg",10160,653,6%,0%,2%,92%
Aalborg,"Nørresundby,Aalborg",7430,1068,14%,0%,2%,84%
Aalborg,"Hvorup,Aalborg",4879,618,13%,0%,1%,86%
Aalborg,"Lindholm,Aalborg",9180,1298,14%,0%,2%,84%
Aalborg,"Vadum,Aalborg",2673,282,11%,0%,2%,88%
Aalborg,"Sulsted,Aalborg",4087,391,10%,0%,2%,89%
Aalborg,"Ajstrup,Aalborg",1834,261,14%,0%,1%,84%
Aalborg,"Horsens,Aalborg",1102,135,12%,0%,2%,86%
Aalborg,"Hammer,Aalborg",1005,118,12%,0%,1%,87%
Aalborg,"Vester Hassing,Aalbo",2836,286,10%,0%,1%,89%
Aalborg,"Ulsted,Aalborg",1228,232,19%,0%,1%,80%
Aalborg,"Hals,Aalborg",3239,301,9%,0%,1%,90%
Aalborg,"Ferslev,Aalborg",795,76,10%,0%,2%,89%
Aalborg,"Dall,Aalborg",1071,120,11%,0%,1%,87%
Aalborg,"Volsted,Aalborg",181,32,18%,0%,0%,82%
Aalborg,"Skalborg,Aalborg",7315,929,13%,0%,2%,85%
Aalborg,"Godthåb,Aalborg",1770,142,8%,0%,2%,90%
Aalborg,"Margrethe,Aalborg",2903,348,12%,0%,2%,86%
Aalborg,"Vodskov,Aalborg",4225,380,9%,0%,1%,90%
Aalborg,"Gistrup,Aalborg",3300,222,7%,0%,1%,92%
Aalborg,"Romdrup-Klarup,Aalbo",4158,307,7%,0%,1%,91%
Aalborg,Øster Hassing-Gåser,2159,229,11%,0%,2%,87%
Aalborg,"Hou,Aalborg",1035,91,9%,0%,2%,90%
Aalborg,"Gudumholm,Aalborg",958,136,14%,0%,1%,85%
Aalborg,"Rørdal,Aalborg",278,47,17%,0%,2%,81%
Aarhus,,1239,824,67%,0%,3%,31%
Aarhus,"Vitved,Aarhus",572,36,6%,0%,2%,91%
Aarhus,"Fårup,Aarhus",791,180,23%,0%,3%,74%
Aarhus,"Sabro,Aarhus",2799,352,13%,0%,2%,85%
Aarhus,"Spørring,Aarhus",1006,152,15%,0%,1%,83%
Aarhus,"Trige,Aarhus",2899,493,17%,0%,2%,81%
Aarhus,"Ølsted,Aarhus",163,16,10%,0%,1%,89%
Aarhus,"Elsted,Aarhus",4050,284,7%,0%,1%,92%
Aarhus,"Elev,Aarhus",1305,96,7%,0%,1%,91%
Aarhus,"Borum,Aarhus",438,42,10%,0%,2%,88%
Aarhus,"Lyngby,Aarhus",164,13,8%,0%,4%,88%
Aarhus,"Harlev,Aarhus",1034,121,12%,0%,1%,87%
Aarhus,"Framlev,Aarhus",3150,304,10%,0%,2%,89%
Aarhus,"Viby,Aarhus",7835,1218,16%,0%,2%,82%
Aarhus,"Fredens,Aarhus",6159,674,11%,0%,2%,87%
Aarhus,"Holme,Aarhus",8745,965,11%,0%,2%,87%
Aarhus,"Tranbjerg,Aarhus",8212,702,9%,0%,1%,90%
Aarhus,"Skåde,Aarhus",8967,843,9%,0%,2%,89%
Aarhus,"Mårslet,Aarhus",4718,309,7%,0%,2%,92%
Aarhus,"Tiset,Aarhus",2279,217,10%,0%,1%,89%
Aarhus,"Ormslev,Aarhus",4741,378,8%,0%,1%,91%
Aarhus,"Kolt,Aarhus",6168,689,11%,0%,2%,87%
Aarhus,"Beder,Aarhus",3896,260,7%,0%,1%,92%
Aarhus,"Malling,Aarhus",4942,435,9%,0%,1%,90%
Aarhus,"Astrup,Aarhus",1609,150,9%,0%,2%,89%
Aarhus,"Tulstrup,Aarhus",145,16,11%,0%,0%,89%
Aarhus,"Hvilsted,Aarhus",340,55,16%,0%,3%,81%
Aarhus,"Domkirkens,Aarhus",14701,1323,9%,0%,3%,88%
Aarhus,"Vor Frue,Aarhus",17430,1444,8%,0%,2%,89%
Aarhus,"Skt Markus,Aarhus",8486,838,10%,0%,2%,88%
Aarhus,"Møllevang,Aarhus",8428,1283,15%,0%,2%,82%
Aarhus,"Skt Pauls,Aarhus",9319,722,8%,0%,2%,90%
Aarhus,"Langenæs,Aarhus",6412,643,10%,0%,2%,87%
Aarhus,"Skt Johannes,Aarhus",11330,922,8%,0%,2%,90%
Aarhus,"Christians,Aarhus",14419,1828,13%,0%,2%,85%
Aarhus,"Åby,Aarhus",11288,1272,11%,0%,2%,86%
Aarhus,"Vejlby,Aarhus",8922,1143,13%,0%,2%,85%
Aarhus,"Risskov,Aarhus",6644,376,6%,0%,2%,93%
Aarhus,"Hasle,Aarhus",6077,1068,18%,0%,3%,80%
Aarhus,"Skejby,Aarhus",774,122,16%,0%,4%,81%
Aarhus,"Lisbjerg,Aarhus",991,131,13%,0%,2%,85%
Aarhus,"Brabrand,Aarhus",6423,704,11%,0%,2%,87%
Aarhus,"Sønder Årslev,Aarhus",839,80,10%,0%,2%,89%
Aarhus,"Tilst,Aarhus",8805,1729,20%,0%,3%,78%
Aarhus,"Kasted,Aarhus",159,<10,,,,
Aarhus,"Skt Lukas,Aarhus",9606,745,8%,0%,2%,90%
Aarhus,"Skødstrup,Aarhus",7972,656,8%,0%,2%,90%
Aarhus,"Todbjerg,Aarhus",1259,156,12%,0%,2%,85%
Aarhus,"Mejlby,Aarhus",519,54,10%,0%,3%,87%
Aarhus,"Hjortshøj,Aarhus",3198,286,9%,0%,2%,89%
