date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,5,1,0.0,1.8,1,26,01:47 PM,09:25 PM,09:31 AM,04:48 PM,0,-1,3,-1,29,59,82,0.6,1018,5,10,290,15,Nordjylland
2019-12-02,4,1,0.0,5.8,1,33,02:12 PM,10:37 PM,09:33 AM,04:47 PM,-2,-1,2,-1,23,19,75,0.4,1017,4,10,257,13,Nordjylland
2019-12-03,8,1,0.0,1.8,2,41,02:30 PM,11:51 PM,09:35 AM,04:46 PM,4,2,6,2,32,84,89,0.2,1018,8,9,252,18,Nordjylland
2019-12-04,8,6,0.0,5.8,2,48,02:45 PM,No moonset,09:36 AM,04:45 PM,5,3,7,3,35,47,89,0.0,1015,8,10,246,20,Nordjylland
2019-12-05,7,1,0.0,1.8,2,55,02:58 PM,01:03 AM,09:38 AM,04:45 PM,4,3,6,3,42,90,82,0.6,1009,7,9,235,26,Nordjylland
2019-12-06,10,8,0.0,1.8,3,62,03:10 PM,02:14 AM,09:39 AM,04:44 PM,8,6,10,6,43,100,91,13.9,995,10,7,236,29,Nordjylland
2019-12-07,8,-2,0.0,3.8,2,70,03:22 PM,03:27 AM,09:41 AM,04:43 PM,3,3,6,3,36,67,77,1.3,996,8,10,274,23,Nordjylland
2019-12-08,10,4,0.0,5.8,2,77,03:34 PM,04:39 AM,09:42 AM,04:43 PM,5,3,8,3,43,84,81,15.5,986,10,9,231,28,Nordjylland
2019-12-09,7,4,0.0,1.7,2,84,03:49 PM,05:54 AM,09:43 AM,04:42 PM,1,1,6,1,29,70,72,4.8,989,7,9,234,18,Nordjylland
2019-12-10,4,2,0.0,1.7,1,92,04:07 PM,07:12 AM,09:45 AM,04:42 PM,-1,-1,3,-1,34,66,76,0.9,1011,4,10,144,22,Nordjylland
2019-12-11,7,3,0.0,1.7,2,99,04:31 PM,08:30 AM,09:46 AM,04:42 PM,2,1,5,1,38,62,82,6.0,1001,7,10,206,23,Nordjylland
2019-12-12,5,2,0.0,3.8,1,100,05:05 PM,09:47 AM,09:47 AM,04:41 PM,2,-1,3,-1,26,49,91,0.2,995,5,10,172,15,Nordjylland
2019-12-13,4,1,0.1,5.8,1,87,05:52 PM,10:57 AM,09:48 AM,04:41 PM,-0,-2,3,-2,37,52,80,0.1,985,4,10,133,24,Nordjylland
2019-12-14,4,2,0.0,1.7,1,79,06:55 PM,11:55 AM,09:49 AM,04:41 PM,2,-1,3,-1,29,92,91,2.3,979,4,9,164,19,Nordjylland
2019-12-15,4,3,0.7,1.7,1,72,08:11 PM,12:38 PM,09:50 AM,04:41 PM,2,-0,4,-0,44,72,84,8.9,986,4,8,219,28,Nordjylland
2019-12-16,6,4,0.0,3.8,2,65,09:36 PM,01:10 PM,09:51 AM,04:41 PM,3,1,5,1,32,58,86,13.8,999,6,9,203,20,Nordjylland
2019-12-17,6,4,0.0,1.7,1,58,11:03 PM,01:34 PM,09:52 AM,04:41 PM,4,2,5,2,14,98,95,10.4,1000,6,5,178,9,Nordjylland
2019-12-18,7,4,0.0,5.8,2,50,No moonrise,01:52 PM,09:53 AM,04:42 PM,3,2,5,2,33,60,87,3.5,1007,7,10,242,19,Nordjylland
2019-12-19,7,3,0.0,5.8,2,43,12:30 AM,02:08 PM,09:54 AM,04:42 PM,4,1,5,1,34,55,90,0.0,1011,7,10,160,20,Nordjylland
2019-12-20,6,5,0.0,5.8,3,36,01:57 AM,02:22 PM,09:54 AM,04:42 PM,4,2,6,2,38,44,89,0.0,993,6,10,141,24,Nordjylland
2019-12-21,7,5,0.0,3.8,2,28,03:24 AM,02:36 PM,09:55 AM,04:43 PM,5,3,6,3,25,84,91,7.3,987,7,9,188,16,Nordjylland
2019-12-22,5,4,0.0,3.8,1,21,04:50 AM,02:53 PM,09:55 AM,04:43 PM,3,1,5,1,25,89,91,1.9,988,5,8,118,17,Nordjylland
2019-12-23,6,5,0.0,1.7,2,14,06:17 AM,03:13 PM,09:56 AM,04:44 PM,4,2,5,2,28,93,93,5.1,995,6,6,160,18,Nordjylland
2019-12-24,7,4,0.0,1.7,2,7,07:42 AM,03:39 PM,09:56 AM,04:44 PM,4,2,5,2,23,78,92,1.2,1003,7,10,209,13,Nordjylland
2019-12-25,6,3,0.0,5.8,1,0,09:01 AM,04:13 PM,09:56 AM,04:45 PM,3,1,4,1,21,62,92,0.0,1012,6,7,271,11,Nordjylland
2019-12-26,3,0,0.0,5.8,2,0,10:10 AM,04:59 PM,09:57 AM,04:46 PM,0,1,2,1,10,14,88,0.0,1021,3,10,140,5,Nordjylland
2019-12-27,2,-1,0.0,5.8,2,0,11:05 AM,05:57 PM,09:57 AM,04:47 PM,-2,-3,-0,-3,14,13,88,0.0,1033,2,10,49,8,Nordjylland
2019-12-28,1,-1,0.0,1.7,1,8,11:45 AM,07:05 PM,09:57 AM,04:48 PM,-2,-4,-0,-4,17,62,85,0.1,1039,1,10,189,10,Nordjylland
2019-12-29,7,1,0.0,1.7,2,15,12:14 PM,08:17 PM,09:57 AM,04:49 PM,3,-0,5,-0,40,71,90,0.0,1029,7,10,215,23,Nordjylland
2019-12-30,9,7,0.0,3.8,2,22,12:36 PM,09:31 PM,09:57 AM,04:50 PM,6,3,8,3,44,55,88,0.1,1017,9,10,251,27,Nordjylland
2019-12-31,6,4,0.0,5.8,3,26,12:52 PM,10:44 PM,09:57 AM,04:51 PM,1,1,5,1,46,11,74,0.0,1023,6,10,300,28,Nordjylland
2020-01-01,6,2,0.0,5.8,2,37,01:06 PM,11:56 PM,09:57 AM,04:52 PM,3,1,5,1,38,35,88,0.0,1026,6,10,250,22,Nordjylland
2020-01-02,7,4,0.0,3.8,2,44,01:18 PM,No moonset,09:56 AM,04:53 PM,4,1,6,1,49,44,87,0.0,1018,7,10,227,30,Nordjylland
2020-01-03,8,2,0.0,1.7,2,51,01:29 PM,01:08 AM,09:56 AM,04:55 PM,2,2,6,2,48,96,75,5.7,1006,8,9,256,31,Nordjylland
2020-01-04,5,2,0.5,3.8,1,59,01:41 PM,02:19 AM,09:56 AM,04:56 PM,-1,-1,3,-1,46,60,70,2.3,1014,5,10,296,28,Nordjylland
2020-01-05,7,-0,0.0,1.8,1,66,01:54 PM,03:33 AM,09:55 AM,04:57 PM,3,0,4,0,32,85,89,0.8,1023,7,8,236,19,Nordjylland
2020-01-06,7,2,0.0,1.8,2,73,02:10 PM,04:48 AM,09:54 AM,04:59 PM,5,3,6,3,35,95,89,0.0,1019,7,10,237,23,Nordjylland
2020-01-07,6,3,0.0,5.8,2,80,02:31 PM,06:05 AM,09:54 AM,05:00 PM,4,2,6,2,32,55,86,0.1,1016,6,10,228,20,Nordjylland
2020-01-08,9,5,0.0,1.9,2,88,03:00 PM,07:23 AM,09:53 AM,05:02 PM,5,4,7,4,41,71,84,5.7,1010,9,10,247,25,Nordjylland
2020-01-09,4,2,0.0,1.9,1,95,03:41 PM,08:37 AM,09:52 AM,05:04 PM,1,0,3,0,21,62,89,0.2,1014,4,9,176,12,Nordjylland
2020-01-10,5,3,0.0,1.9,1,100,04:37 PM,09:43 AM,09:52 AM,05:05 PM,3,2,5,2,23,92,90,4.4,1009,5,7,146,15,Nordjylland
2020-01-11,6,1,0.0,1.9,1,100,05:50 PM,10:33 AM,09:51 AM,05:07 PM,2,-0,4,-0,41,71,84,0.0,1020,6,10,214,25,Nordjylland
2020-01-12,8,5,0.0,1.9,2,83,07:15 PM,11:11 AM,09:50 AM,05:09 PM,5,4,7,4,31,91,88,12.1,1010,8,8,233,19,Nordjylland
2020-01-13,4,3,0.0,3.9,1,76,08:44 PM,11:39 AM,09:49 AM,05:11 PM,2,0,4,0,30,67,88,0.4,1010,4,10,209,18,Nordjylland
2020-01-14,6,-2,0.0,3.9,2,69,10:14 PM,11:59 AM,09:48 AM,05:12 PM,3,1,5,1,44,90,83,14.0,997,6,9,200,28,Nordjylland
2020-01-15,9,5,0.0,1.9,2,61,11:44 PM,12:15 PM,09:47 AM,05:14 PM,5,3,7,3,46,89,82,11.1,998,9,6,230,31,Nordjylland
2020-01-16,6,5,0.0,3.9,2,54,No moonrise,12:30 PM,09:45 AM,05:16 PM,3,2,6,2,41,69,81,0.1,1017,6,10,225,25,Nordjylland
2020-01-17,7,3,0.0,1.9,2,47,01:11 AM,12:45 PM,09:44 AM,05:18 PM,4,2,6,2,36,86,87,3.7,1012,7,10,184,23,Nordjylland
2020-01-18,6,5,0.0,1.9,2,40,02:37 AM,01:00 PM,09:43 AM,05:20 PM,4,3,6,3,26,96,86,12.2,1010,6,8,280,17,Nordjylland
2020-01-19,5,2,0.0,5.8,2,32,04:03 AM,01:19 PM,09:42 AM,05:22 PM,-2,0,4,0,32,14,64,0.0,1028,5,10,212,18,Nordjylland
2020-01-20,6,3,0.0,5.8,2,25,05:27 AM,01:41 PM,09:40 AM,05:24 PM,3,1,5,1,35,40,87,0.0,1038,6,10,264,21,Nordjylland
2020-01-21,8,6,0.0,3.9,2,18,06:46 AM,02:11 PM,09:39 AM,05:26 PM,5,2,7,2,42,57,88,0.0,1031,8,10,265,27,Nordjylland
2020-01-22,6,3,0.0,5.8,3,11,07:58 AM,02:52 PM,09:37 AM,05:28 PM,1,1,5,1,38,9,76,0.0,1029,6,10,292,23,Nordjylland
2020-01-23,8,3,0.0,2.0,2,3,08:57 AM,03:45 PM,09:36 AM,05:31 PM,5,3,6,3,33,88,92,0.1,1026,8,10,252,20,Nordjylland
2020-01-24,8,5,0.0,3.9,2,0,09:43 AM,04:49 PM,09:34 AM,05:33 PM,4,3,6,3,32,79,86,0.7,1017,8,8,260,21,Nordjylland
2020-01-25,6,4,0.0,5.8,3,0,10:15 AM,06:00 PM,09:32 AM,05:35 PM,3,1,5,1,28,51,90,0.0,1015,6,10,250,17,Nordjylland
2020-01-26,6,4,0.0,2.0,2,4,10:39 AM,07:14 PM,09:31 AM,05:37 PM,3,2,5,2,29,88,85,0.0,1012,6,10,216,19,Nordjylland
