date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-9,-12,0.0,5.8,2,26,02:20 PM,08:49 PM,10:04 AM,04:11 PM,-12,-14,-10,-14,15,25,88,0.0,1015,-9,10,314,7,East_of_England
2019-12-02,-9,-12,0.0,5.8,2,33,02:37 PM,10:10 PM,10:06 AM,04:10 PM,-12,-15,-11,-15,16,24,88,0.0,1018,-9,10,323,8,East_of_England
2019-12-03,-3,-12,2.3,5.8,1,41,02:49 PM,11:31 PM,10:08 AM,04:09 PM,-8,-9,-7,-9,9,54,92,2.7,1013,-3,8,285,4,East_of_England
2019-12-04,1,-6,0.0,5.8,2,48,02:58 PM,No moonset,10:10 AM,04:07 PM,-2,-3,-1,-3,11,21,90,0.4,1007,1,10,239,5,East_of_England
2019-12-05,0,-5,0.0,5.8,2,55,03:04 PM,12:49 AM,10:12 AM,04:06 PM,-3,-5,-1,-5,21,30,89,0.0,993,0,9,182,12,East_of_England
2019-12-06,-3,-14,0.0,5.8,1,62,03:10 PM,02:07 AM,10:14 AM,04:05 PM,-5,-7,-5,-7,9,58,92,0.0,988,-3,7,291,5,East_of_England
2019-12-07,-6,-9,0.0,5.8,2,70,03:16 PM,03:26 AM,10:16 AM,04:04 PM,-8,-11,-7,-11,15,41,88,0.0,991,-6,10,324,8,East_of_England
2019-12-08,-6,-11,11.7,1.5,1,77,03:23 PM,04:45 AM,10:18 AM,04:03 PM,-9,-10,-9,-10,7,75,94,13.8,980,-6,5,206,4,East_of_England
2019-12-09,-2,-10,0.3,3.6,1,84,03:31 PM,06:07 AM,10:20 AM,04:03 PM,-8,-10,-6,-10,14,46,88,0.3,986,-2,7,286,8,East_of_England
2019-12-10,-7,-12,3.4,3.6,1,92,03:42 PM,07:32 AM,10:21 AM,04:02 PM,-11,-13,-9,-13,17,48,90,7.3,1009,-7,7,239,10,East_of_England
2019-12-11,3,-2,5.6,3.6,1,99,03:58 PM,08:59 AM,10:23 AM,04:01 PM,-0,-4,0,-4,24,82,97,13.5,991,3,4,169,17,East_of_England
2019-12-12,1,-1,6.9,1.4,1,100,04:24 PM,10:23 AM,10:24 AM,04:01 PM,-0,-4,0,-4,17,97,97,8.1,992,1,6,169,13,East_of_England
2019-12-13,-1,-5,3.9,1.4,1,87,05:07 PM,11:39 AM,10:26 AM,04:00 PM,-2,-5,-2,-5,7,97,98,4.6,991,-1,3,149,6,East_of_England
2019-12-14,0,-2,15.0,1.4,1,79,06:10 PM,12:36 PM,10:27 AM,04:00 PM,-1,-3,-1,-3,7,100,98,17.6,985,0,2,81,6,East_of_England
2019-12-15,-2,-5,4.3,1.4,1,72,07:34 PM,01:14 PM,10:28 AM,04:00 PM,-3,-3,-3,-3,4,98,97,5.0,986,-2,2,125,3,East_of_England
2019-12-16,-8,-11,0.0,5.7,1,65,09:07 PM,01:37 PM,10:29 AM,04:00 PM,-10,-11,-9,-11,7,48,94,0.0,996,-8,5,291,3,East_of_England
2019-12-17,-10,-13,0.0,5.7,2,58,10:43 PM,01:52 PM,10:30 AM,04:00 PM,-13,-14,-12,-14,6,21,90,0.0,1002,-10,10,311,3,East_of_England
2019-12-18,-8,-10,0.0,5.7,2,50,No moonrise,02:03 PM,10:31 AM,04:00 PM,-11,-13,-9,-13,15,29,85,0.0,1005,-8,10,325,7,East_of_England
2019-12-19,-6,-12,6.8,1.4,1,43,12:19 AM,02:11 PM,10:32 AM,04:00 PM,-10,-11,-9,-11,9,70,91,8.0,1014,-6,6,232,5,East_of_England
2019-12-20,2,-4,0.3,1.4,1,36,01:54 AM,02:19 PM,10:33 AM,04:00 PM,-1,-2,-1,-2,5,100,99,0.7,999,2,1,162,3,East_of_England
2019-12-21,2,0,0.5,1.4,1,28,03:28 AM,02:26 PM,10:34 AM,04:00 PM,1,-0,1,-0,10,100,99,2.0,988,2,3,118,6,East_of_England
2019-12-22,-0,-7,0.0,3.6,1,21,05:02 AM,02:35 PM,10:34 AM,04:01 PM,-2,-3,-2,-3,3,81,97,0.0,992,-0,2,263,2,East_of_England
2019-12-23,-4,-8,0.0,1.4,1,14,06:37 AM,02:47 PM,10:35 AM,04:02 PM,-7,-7,-6,-7,7,77,95,0.0,1001,-4,7,331,3,East_of_England
2019-12-24,-2,-4,2.6,1.4,1,7,08:11 AM,03:04 PM,10:35 AM,04:02 PM,-3,-3,-3,-3,5,100,97,3.0,1005,-2,4,261,3,East_of_England
2019-12-25,-2,-6,0.9,1.4,1,0,09:39 AM,03:31 PM,10:35 AM,04:03 PM,-5,-7,-4,-7,11,86,94,1.0,1013,-2,7,331,7,East_of_England
2019-12-26,-6,-8,0.0,5.7,2,0,10:53 AM,04:12 PM,10:35 AM,04:04 PM,-8,-10,-7,-10,14,46,87,0.0,1024,-6,10,333,7,East_of_England
2019-12-27,-9,-13,0.1,5.7,1,0,11:47 AM,05:12 PM,10:35 AM,04:05 PM,-11,-12,-10,-12,8,49,92,0.1,1036,-9,8,298,4,East_of_England
2019-12-28,-9,-12,1.2,1.4,1,8,12:22 PM,06:25 PM,10:35 AM,04:06 PM,-10,-11,-10,-11,4,96,96,1.4,1035,-9,5,168,3,East_of_England
2019-12-29,2,-7,0.0,1.4,1,15,12:44 PM,07:46 PM,10:35 AM,04:07 PM,-2,-3,-2,-3,9,100,98,0.0,1015,2,1,194,5,East_of_England
2019-12-30,1,-1,0.0,5.7,1,22,12:58 PM,09:08 PM,10:35 AM,04:08 PM,-2,-3,0,-3,23,37,87,0.0,1003,1,7,239,12,East_of_England
2019-12-31,-5,-9,0.0,5.8,2,26,01:07 PM,10:28 PM,10:34 AM,04:10 PM,-8,-9,-6,-9,15,14,85,0.0,1017,-5,10,310,7,East_of_England
2020-01-01,-7,-12,0.0,5.8,2,37,01:15 PM,11:47 PM,10:34 AM,04:11 PM,-9,-10,-8,-10,9,25,93,0.0,1015,-7,8,223,4,East_of_England
2020-01-02,-3,-13,0.0,5.8,1,44,01:21 PM,No moonset,10:33 AM,04:13 PM,-6,-10,-6,-10,17,33,93,0.0,1003,-3,8,183,8,East_of_England
2020-01-03,1,-8,0.0,5.8,1,51,01:26 PM,01:05 AM,10:32 AM,04:14 PM,-4,-7,-2,-7,23,50,85,0.6,990,1,10,220,15,East_of_England
2020-01-04,-5,-11,0.0,5.8,2,59,01:32 PM,02:22 AM,10:32 AM,04:16 PM,-10,-12,-7,-12,21,6,79,0.0,1007,-5,10,303,10,East_of_England
2020-01-05,-9,-15,1.4,1.5,1,66,01:39 PM,03:43 AM,10:31 AM,04:18 PM,-10,-12,-10,-12,6,81,95,1.8,1015,-9,4,243,4,East_of_England
2020-01-06,-3,-11,0.0,1.5,1,73,01:48 PM,05:05 AM,10:30 AM,04:20 PM,-4,-6,-5,-6,9,74,95,0.0,1011,-3,4,201,5,East_of_England
2020-01-07,-1,-7,0.0,5.8,1,80,02:02 PM,06:30 AM,10:29 AM,04:22 PM,-3,-6,-3,-6,13,71,96,0.0,1007,-1,5,192,8,East_of_England
2020-01-08,4,-9,0.0,5.8,1,88,02:22 PM,07:56 AM,10:28 AM,04:24 PM,-3,-5,-2,-5,21,34,87,0.9,996,4,8,204,12,East_of_England
2020-01-09,-6,-8,0.0,5.8,2,95,02:56 PM,09:18 AM,10:27 AM,04:26 PM,-8,-8,-6,-8,11,8,86,0.0,1009,-6,10,262,5,East_of_England
2020-01-10,-7,-9,0.0,5.8,2,100,03:51 PM,10:25 AM,10:25 AM,04:28 PM,-11,-11,-8,-11,14,20,78,0.0,1015,-7,10,330,7,East_of_England
2020-01-11,0,-11,0.0,1.5,1,100,05:09 PM,11:12 AM,10:24 AM,04:30 PM,-6,-9,-6,-9,17,76,93,0.0,1009,0,9,178,10,East_of_England
2020-01-12,0,-6,0.0,5.8,2,83,06:42 PM,11:41 AM,10:22 AM,04:32 PM,-5,-6,-2,-6,20,17,81,0.0,999,0,10,230,11,East_of_England
2020-01-13,-7,-14,0.0,5.8,1,76,08:21 PM,12:00 PM,10:21 AM,04:35 PM,-9,-11,-9,-11,9,38,92,0.0,1004,-7,7,182,4,East_of_England
2020-01-14,1,-9,17.2,3.7,1,69,10:01 PM,12:12 PM,10:19 AM,04:37 PM,-3,-6,-3,-6,18,72,95,20.5,991,1,5,168,12,East_of_England
2020-01-15,0,-8,10.0,5.8,1,61,11:38 PM,12:21 PM,10:18 AM,04:39 PM,-3,-6,-3,-6,18,54,94,13.5,988,0,6,174,10,East_of_England
2020-01-16,1,-8,0.0,5.8,1,54,No moonrise,12:29 PM,10:16 AM,04:42 PM,-5,-6,-3,-6,14,46,89,0.0,1005,1,6,202,7,East_of_England
2020-01-17,2,-4,0.5,1.6,1,47,01:13 AM,12:36 PM,10:14 AM,04:44 PM,0,-2,1,-2,14,100,99,1.5,1009,2,3,165,9,East_of_England
2020-01-18,-2,-7,0.0,5.8,1,40,02:47 AM,12:45 PM,10:12 AM,04:47 PM,-5,-6,-3,-6,13,42,91,0.0,1010,-2,6,282,7,East_of_England
2020-01-19,-6,-9,0.0,5.8,2,32,04:20 AM,12:55 PM,10:11 AM,04:49 PM,-9,-11,-7,-11,16,12,84,0.0,1031,-6,10,319,8,East_of_England
2020-01-20,-1,-9,0.3,5.8,1,25,05:53 AM,01:10 PM,10:09 AM,04:52 PM,-4,-6,-4,-6,10,61,94,0.3,1028,-1,7,223,5,East_of_England
2020-01-21,1,-6,0.0,5.8,2,18,07:22 AM,01:32 PM,10:07 AM,04:55 PM,-3,-4,-2,-4,15,22,89,0.0,1019,1,10,265,7,East_of_England
2020-01-22,-4,-13,0.0,5.8,2,11,08:40 AM,02:06 PM,10:05 AM,04:57 PM,-8,-10,-6,-10,17,9,82,0.0,1026,-4,10,307,8,East_of_England
2020-01-23,-5,-11,0.0,5.8,1,3,09:41 AM,02:58 PM,10:02 AM,05:00 PM,-7,-8,-6,-8,6,53,92,0.0,1018,-5,6,222,3,East_of_England
2020-01-24,-5,-11,0.0,5.8,2,0,10:22 AM,04:06 PM,10:00 AM,05:03 PM,-8,-9,-7,-9,11,18,87,0.0,1006,-5,9,231,5,East_of_England
2020-01-25,-6,-12,0.0,5.8,2,0,10:48 AM,05:25 PM,09:58 AM,05:05 PM,-8,-8,-7,-8,6,33,89,0.0,1008,-6,9,242,3,East_of_England
2020-01-26,-2,-9,0.0,5.8,1,4,11:04 AM,06:47 PM,09:56 AM,05:08 PM,-5,-6,-5,-6,4,64,95,0.0,1004,-2,5,218,2,East_of_England
2020-01-27,2,-6,1.8,1.9,1,11,11:16 AM,08:08 PM,09:54 AM,05:11 PM,0,-2,0,-2,10,100,99,3.2,997,2,3,169,7,East_of_England
2020-01-28,-0,-8,0.0,3.9,1,18,11:24 AM,09:28 PM,09:51 AM,05:14 PM,-2,-4,-2,-4,9,85,96,0.1,992,-0,6,173,7,East_of_England
2020-01-29,-1,-8,18.3,1.9,1,26,11:30 AM,10:46 PM,09:49 AM,05:17 PM,-2,-4,-2,-4,6,100,98,21.5,991,-1,3,118,5,East_of_England
2020-01-30,-5,-11,1.2,5.8,1,33,11:36 AM,No moonset,09:47 AM,05:19 PM,-6,-7,-5,-7,7,75,94,1.5,995,-5,6,207,4,East_of_England
2020-01-31,0,-5,8.5,1.9,1,37,11:41 AM,12:04 AM,09:44 AM,05:22 PM,-2,-5,-2,-5,10,100,98,10.0,990,0,2,169,8,East_of_England
2020-02-01,-1,-4,0.1,2.0,1,49,11:47 AM,01:22 AM,09:42 AM,05:25 PM,-3,-5,-3,-5,10,100,99,0.3,982,-1,4,187,6,East_of_England
2020-02-02,-4,-8,0.1,5.8,2,57,11:55 AM,02:41 AM,09:39 AM,05:28 PM,-8,-10,-6,-10,15,43,85,0.1,991,-4,9,296,8,East_of_England
2020-02-03,-7,-13,0.0,5.8,2,64,12:06 PM,04:04 AM,09:37 AM,05:31 PM,-11,-12,-9,-12,12,24,86,0.0,1002,-7,10,223,6,East_of_England
2020-02-04,-7,-11,1.8,3.9,1,72,12:22 PM,05:28 AM,09:34 AM,05:33 PM,-10,-11,-8,-11,11,62,89,2.1,1006,-7,6,244,7,East_of_England
2020-02-05,-7,-11,0.0,5.8,2,79,12:48 PM,06:51 AM,09:32 AM,05:36 PM,-11,-12,-9,-12,11,19,87,0.0,1018,-7,10,285,6,East_of_England
2020-02-06,-0,-8,0.0,5.8,2,87,01:32 PM,08:05 AM,09:29 AM,05:39 PM,-5,-6,-3,-6,14,21,88,0.0,1017,-0,10,322,7,East_of_England
2020-02-07,-1,-8,0.0,3.9,1,95,02:38 PM,09:02 AM,09:26 AM,05:42 PM,-3,-3,-2,-3,6,61,94,0.0,1022,-1,6,240,3,East_of_England
2020-02-08,1,-4,0.3,2.1,1,100,04:06 PM,09:40 AM,09:23 AM,05:45 PM,-1,-4,-1,-4,11,96,98,0.4,1011,1,5,168,9,East_of_England
2020-02-09,2,-2,2.8,2.1,1,100,05:46 PM,10:03 AM,09:21 AM,05:47 PM,0,-4,1,-4,24,93,94,13.2,986,2,7,167,19,East_of_England
2020-02-10,2,-2,0.0,5.8,2,83,07:29 PM,10:18 AM,09:18 AM,05:50 PM,-2,-4,0,-4,20,34,82,4.1,957,2,9,210,14,East_of_England
2020-02-11,-5,-8,0.0,5.8,1,75,09:11 PM,10:29 AM,09:15 AM,05:53 PM,-9,-8,-6,-8,7,62,84,0.0,971,-5,10,277,4,East_of_England
2020-02-12,-4,-9,0.0,5.8,1,68,10:50 PM,10:37 AM,09:12 AM,05:56 PM,-9,-9,-7,-9,11,56,86,0.0,980,-4,10,305,6,East_of_England
2020-02-13,-5,-14,0.0,4.0,1,60,No moonrise,10:45 AM,09:09 AM,05:59 PM,-11,-12,-8,-12,14,45,80,0.0,1000,-5,10,322,8,East_of_England
2020-02-14,-6,-11,0.0,8.7,2,53,12:28 AM,10:53 AM,09:07 AM,06:01 PM,-12,-10,-9,-10,7,21,76,0.0,1011,-6,10,253,4,East_of_England
2020-02-15,-3,-8,0.7,5.2,1,45,02:05 AM,11:03 AM,09:04 AM,06:04 PM,-5,-7,-5,-7,9,74,92,2.0,1005,-3,7,201,6,East_of_England
2020-02-16,4,-2,1.3,3.4,1,38,03:40 AM,11:16 AM,09:01 AM,06:07 PM,1,-2,2,-2,25,83,93,13.0,976,4,6,186,17,East_of_England
2020-02-17,3,-5,0.0,9.5,1,30,05:10 AM,11:36 AM,08:58 AM,06:10 PM,-3,-5,-1,-5,23,32,81,0.1,976,3,10,195,15,East_of_England
2020-02-18,1,-4,0.0,9.6,2,22,06:32 AM,12:05 PM,08:55 AM,06:12 PM,-4,-4,-1,-4,13,19,84,0.0,989,1,10,219,7,East_of_England
2020-02-19,-2,-7,0.0,9.6,2,15,07:38 AM,12:51 PM,08:52 AM,06:15 PM,-8,-8,-5,-8,12,20,80,0.0,1000,-2,10,321,7,East_of_England
2020-02-20,0,-9,7.9,4.8,1,7,08:23 AM,01:54 PM,08:49 AM,06:18 PM,-4,-7,-3,-7,18,80,94,13.3,998,0,6,154,14,East_of_England
2020-02-21,0,-5,0.3,9.7,2,0,08:53 AM,03:09 PM,08:46 AM,06:20 PM,-4,-5,-2,-5,18,37,82,1.6,990,0,9,219,11,East_of_England
2020-02-22,1,-4,5.1,9.8,1,0,09:12 AM,04:30 PM,08:43 AM,06:23 PM,-3,-3,-0,-3,15,41,82,8.9,980,1,8,237,10,East_of_England
2020-02-23,-1,-7,0.0,9.9,2,0,09:24 AM,05:52 PM,08:40 AM,06:26 PM,-8,-8,-4,-8,13,6,77,0.0,989,-1,10,295,8,East_of_England
2020-02-24,-4,-9,0.0,9.9,2,0,09:33 AM,07:12 PM,08:37 AM,06:29 PM,-10,-10,-7,-10,10,14,75,0.0,1004,-4,10,309,6,East_of_England
2020-02-25,-5,-8,0.0,8.3,1,8,09:39 AM,08:31 PM,08:34 AM,06:31 PM,-11,-11,-7,-11,14,64,71,0.0,998,-5,10,184,9,East_of_England
2020-02-26,-6,-10,0.0,8.3,1,15,09:45 AM,09:49 PM,08:31 AM,06:34 PM,-14,-12,-8,-12,10,78,65,0.0,1000,-6,10,335,7,East_of_England
2020-02-27,-8,-12,0.0,8.3,1,23,09:50 AM,11:07 PM,08:28 AM,06:37 PM,-16,-11,-10,-11,3,72,62,0.0,1003,-8,10,222,2,East_of_England
2020-02-28,-8,-13,0.0,8.3,1,30,09:56 AM,No moonset,08:25 AM,06:40 PM,-13,-12,-11,-12,5,62,83,0.0,999,-8,10,305,4,East_of_England
2020-02-29,-3,-11,2.1,6.7,1,38,10:02 AM,12:25 AM,08:22 AM,06:42 PM,-9,-10,-7,-10,10,50,86,3.2,1000,-3,8,174,6,East_of_England
2020-03-01,1,-6,25.0,5.1,1,44,10:11 AM,01:46 AM,08:19 AM,06:45 PM,-3,-6,-2,-6,16,95,96,29.4,976,1,3,131,14,East_of_England
2020-03-02,1,-1,5.4,5.2,1,51,10:24 AM,03:08 AM,08:16 AM,06:48 PM,-0,-3,-0,-3,13,100,97,6.4,985,1,4,160,10,East_of_England
2020-03-03,-1,-6,4.8,5.2,1,58,10:44 AM,04:30 AM,08:13 AM,06:50 PM,-4,-5,-3,-5,9,100,96,5.8,1003,-1,3,78,6,East_of_England
2020-03-04,-2,-5,11.8,5.2,1,65,11:18 AM,05:48 AM,08:10 AM,06:53 PM,-4,-6,-4,-6,8,100,96,13.9,1005,-2,2,9,7,East_of_England
2020-03-05,-2,-10,0.1,10.5,2,73,12:11 PM,06:51 AM,08:07 AM,06:56 PM,-8,-7,-5,-7,8,26,90,0.1,1003,-2,9,318,5,East_of_England
2020-03-06,-3,-12,0.0,10.0,1,80,01:29 PM,07:37 AM,08:03 AM,06:58 PM,-9,-9,-7,-9,6,58,90,0.0,1005,-3,8,267,3,East_of_England
2020-03-07,-3,-11,0.0,7.0,1,87,03:03 PM,08:05 AM,08:00 AM,07:01 PM,-8,-10,-7,-10,8,73,90,0.1,1010,-3,7,246,5,East_of_England
2020-03-08,2,-5,4.0,5.7,1,95,04:45 PM,08:23 AM,07:57 AM,07:04 PM,-0,-5,0,-5,24,100,99,12.4,998,2,5,162,18,East_of_England
2020-03-09,1,-2,0.9,5.8,1,100,06:29 PM,08:35 AM,07:54 AM,07:06 PM,-0,-3,0,-3,16,89,98,3.7,998,1,5,169,11,East_of_England
2020-03-10,1,-2,10.5,5.8,1,100,08:13 PM,08:44 AM,07:51 AM,07:09 PM,-1,-3,-1,-3,10,98,98,12.5,992,1,2,154,8,East_of_England
2020-03-11,1,-4,0.7,11.6,1,84,09:56 PM,08:52 AM,07:48 AM,07:12 PM,-2,-3,-1,-3,11,55,94,0.8,986,1,8,235,7,East_of_England
2020-03-12,1,-7,0.0,10.2,1,76,11:38 PM,09:00 AM,07:45 AM,07:14 PM,-6,-6,-3,-6,11,44,87,0.0,983,1,10,217,7,East_of_England
2020-03-13,-4,-10,0.0,11.6,1,69,No moonrise,09:09 AM,07:42 AM,07:17 PM,-10,-10,-6,-10,17,28,78,0.1,1004,-4,10,335,11,East_of_England
2020-03-14,-8,-15,0.0,8.8,1,62,01:18 AM,09:21 AM,07:39 AM,07:20 PM,-13,-14,-12,-14,9,61,86,0.0,1018,-8,9,236,5,East_of_England
2020-03-15,3,-10,1.4,5.9,1,55,02:54 AM,09:38 AM,07:36 AM,07:22 PM,-0,-4,-0,-4,21,100,99,2.7,1000,3,3,176,15,East_of_England
2020-03-16,-0,-7,0.0,11.6,1,47,04:22 AM,10:03 AM,07:32 AM,07:25 PM,-6,-7,-4,-7,14,46,84,0.0,1011,-0,10,276,8,East_of_England
2020-03-17,1,-5,0.0,7.4,1,40,05:36 AM,10:44 AM,07:29 AM,07:28 PM,-3,-5,-2,-5,13,78,95,0.0,1009,1,3,181,8,East_of_England
2020-03-18,-0,-7,0.0,10.2,1,33,06:27 AM,11:43 AM,07:26 AM,07:30 PM,-5,-6,-4,-6,11,26,88,0.0,1007,-0,9,225,6,East_of_England
2020-03-19,-0,-9,0.0,8.8,1,25,07:00 AM,12:56 PM,07:23 AM,07:33 PM,-7,-7,-5,-7,8,31,85,0.0,1017,-0,10,233,4,East_of_England
2020-03-20,-1,-10,0.0,11.6,2,18,07:21 AM,02:16 PM,07:20 AM,07:35 PM,-9,-9,-6,-9,11,9,83,0.0,1032,-1,10,317,6,East_of_England
2020-03-21,-1,-10,0.0,10.2,2,11,07:34 AM,03:38 PM,07:17 AM,07:38 PM,-8,-8,-6,-8,8,23,84,0.0,1039,-1,10,247,5,East_of_England
2020-03-22,-1,-9,0.1,7.5,1,4,07:43 AM,04:58 PM,07:13 AM,07:41 PM,-7,-7,-5,-7,6,62,90,0.1,1037,-1,9,223,4,East_of_England
2020-03-23,-0,-8,0.0,6.2,1,0,07:50 AM,06:17 PM,07:10 AM,07:43 PM,-6,-6,-4,-6,9,74,87,0.0,1031,-0,10,216,6,East_of_England
2020-03-24,2,-3,0.0,6.2,1,0,07:55 AM,07:36 PM,07:07 AM,07:46 PM,-3,-5,-1,-5,18,78,87,0.0,1025,2,8,174,13,East_of_England
2020-03-25,4,-2,0.0,11.6,1,3,08:00 AM,08:54 PM,07:04 AM,07:48 PM,-0,-2,1,-2,17,33,92,0.0,1019,4,8,182,11,East_of_England
2020-03-26,4,0,0.0,6.3,1,11,08:05 AM,10:13 PM,07:00 AM,07:51 PM,2,2,2,2,4,97,98,0.0,1026,4,2,210,3,East_of_England
2020-03-27,3,-3,0.0,9.0,1,18,08:11 AM,11:33 PM,06:57 AM,07:53 PM,-1,1,1,1,5,49,91,0.0,1026,3,9,240,3,East_of_England
2020-03-28,1,-6,0.0,10.3,1,25,08:18 AM,No moonset,06:54 AM,07:56 PM,-8,-7,-3,-7,18,31,68,0.2,1028,1,10,253,13,East_of_England
2020-03-29,-2,-11,0.0,11.6,2,32,08:29 AM,12:55 AM,06:51 AM,07:58 PM,-11,-11,-7,-11,12,18,74,0.0,1033,-2,10,295,8,East_of_England
2020-03-30,1,-8,0.0,11.6,2,40,08:45 AM,02:17 AM,06:48 AM,08:01 PM,-8,-7,-4,-7,9,27,74,0.0,1030,1,10,304,6,East_of_England
2020-03-31,2,-6,0.0,9.2,1,44,09:12 AM,03:36 AM,06:44 AM,08:03 PM,-5,-4,-2,-4,7,55,82,0.0,1019,2,10,253,5,East_of_England
2020-04-01,4,-3,0.0,9.2,1,56,09:55 AM,04:44 AM,06:41 AM,08:06 PM,-3,-2,1,-2,12,51,83,0.0,1003,4,10,254,7,East_of_England
2020-04-02,1,-5,0.6,8.0,1,64,11:01 AM,05:35 AM,06:38 AM,08:09 PM,-7,-7,-2,-7,20,36,70,1.0,983,1,9,246,14,East_of_England
2020-04-03,-0,-8,0.7,9.2,1,71,12:26 PM,06:08 AM,06:35 AM,08:11 PM,-10,-9,-4,-9,16,35,65,1.0,996,-0,9,296,11,East_of_England
2020-04-04,-1,-10,0.0,10.4,2,79,02:04 PM,06:28 AM,06:32 AM,08:14 PM,-10,-9,-6,-9,11,31,70,0.1,1018,-1,10,253,7,East_of_England
2020-04-05,4,-5,0.2,11.6,1,87,03:46 PM,06:42 AM,06:29 AM,08:16 PM,-2,-2,-0,-2,11,61,90,0.2,1020,4,8,185,7,East_of_England
2020-04-06,4,-2,0.0,7.0,1,94,05:29 PM,06:52 AM,06:25 AM,08:19 PM,0,-2,1,-2,14,95,98,0.0,1020,4,1,168,8,East_of_England
2020-04-07,4,-1,0.0,10.4,1,100,07:13 PM,07:00 AM,06:22 AM,08:21 PM,-1,-0,1,-0,11,58,83,0.0,1022,4,6,247,6,East_of_England
2020-04-08,7,-3,0.0,11.6,2,100,08:57 PM,07:07 AM,06:19 AM,08:24 PM,-2,-2,2,-2,20,33,78,0.1,1016,7,10,203,12,East_of_England
2020-04-09,3,-4,0.0,11.6,2,83,10:41 PM,07:15 AM,06:16 AM,08:27 PM,-7,-3,-0,-3,11,8,66,0.0,1021,3,10,288,7,East_of_England
2020-04-10,4,-4,0.0,11.6,1,76,No moonrise,07:25 AM,06:13 AM,08:29 PM,-6,-2,0,-2,8,27,67,0.0,1027,4,10,331,6,East_of_England
2020-04-11,3,-5,0.1,7.1,1,68,12:23 AM,07:39 AM,06:10 AM,08:32 PM,-4,-2,-1,-2,7,62,80,0.2,1021,3,8,245,5,East_of_England
2020-04-12,5,-3,0.2,9.4,1,61,02:01 AM,08:00 AM,06:07 AM,08:34 PM,-2,-0,1,-0,14,67,80,0.4,1003,5,7,205,8,East_of_England
2020-04-13,0,-4,0.0,9.4,1,53,03:25 AM,08:35 AM,06:04 AM,08:37 PM,-10,-8,-2,-8,30,28,53,0.1,1012,0,9,324,25,East_of_England
2020-04-14,4,-4,0.0,9.4,1,46,04:27 AM,09:29 AM,06:01 AM,08:40 PM,-7,-3,-1,-3,10,63,63,0.0,1016,4,10,295,8,East_of_England
2020-04-15,8,-1,0.0,14.5,3,38,05:07 AM,10:39 AM,05:58 AM,08:42 PM,-2,0,3,0,23,15,71,0.0,1003,8,10,285,13,East_of_England
2020-04-16,5,-2,0.0,13.5,1,30,05:31 AM,12:00 PM,05:54 AM,08:45 PM,-5,-1,1,-1,14,22,62,0.1,1010,5,10,300,8,East_of_England
2020-04-17,5,-2,0.0,14.5,2,23,05:45 AM,01:23 PM,05:51 AM,08:48 PM,-7,-2,1,-2,13,20,57,0.0,1022,5,10,291,10,East_of_England
2020-04-18,7,-3,0.0,14.5,2,15,05:55 AM,02:44 PM,05:48 AM,08:50 PM,-5,-0,2,-0,11,25,61,0.0,1025,7,10,336,7,East_of_England
2020-04-19,11,-2,0.0,14.5,3,8,06:01 AM,04:04 PM,05:45 AM,08:53 PM,-1,3,5,3,10,5,69,0.0,1028,11,10,340,6,East_of_England
2020-04-20,14,-1,0.0,14.5,3,0,06:06 AM,05:23 PM,05:42 AM,08:56 PM,-1,6,8,6,11,5,65,0.0,1032,14,10,339,6,East_of_England
2020-04-21,15,1,0.0,14.5,4,0,06:11 AM,06:41 PM,05:39 AM,08:58 PM,-1,9,10,9,9,0,56,0.0,1034,15,10,330,5,East_of_England
2020-04-22,15,1,0.0,15.7,4,0,06:15 AM,08:00 PM,05:36 AM,09:01 PM,-2,9,10,9,10,11,50,0.0,1032,15,10,334,6,East_of_England
2020-04-23,14,1,0.0,15.7,3,0,06:20 AM,09:21 PM,05:33 AM,09:04 PM,-3,6,8,6,11,28,51,0.0,1023,14,10,327,6,East_of_England
2020-04-24,8,-1,0.0,14.6,2,7,06:27 AM,10:43 PM,05:30 AM,09:06 PM,-2,2,4,2,14,63,68,0.2,1014,8,10,180,10,East_of_England
2020-04-25,9,-0,0.0,15.8,3,15,06:36 AM,No moonset,05:27 AM,09:09 PM,-3,3,5,3,11,20,64,0.0,1011,9,10,232,8,East_of_England
