date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,9,7,0.0,3.8,2,26,01:58 PM,09:04 PM,09:41 AM,04:23 PM,4,4,8,4,49,68,75,4.7,1024,9,10,303,36,Shetland_and_the_Orkney_Islands
2019-12-02,9,8,0.0,1.7,2,33,02:18 PM,10:20 PM,09:43 AM,04:22 PM,7,4,9,4,57,100,88,12.9,1021,9,6,275,40,Shetland_and_the_Orkney_Islands
2019-12-03,9,9,0.0,5.8,2,41,02:34 PM,11:37 PM,09:45 AM,04:21 PM,6,5,9,5,56,43,82,4.0,1014,9,10,231,38,Shetland_and_the_Orkney_Islands
2019-12-04,9,8,0.0,1.7,2,48,02:45 PM,No moonset,09:46 AM,04:20 PM,4,4,9,4,71,74,72,2.5,1004,9,8,222,50,Shetland_and_the_Orkney_Islands
2019-12-05,9,1,0.0,1.7,2,55,02:55 PM,12:52 AM,09:48 AM,04:19 PM,5,3,8,3,65,96,79,4.3,994,9,9,249,47,Shetland_and_the_Orkney_Islands
2019-12-06,10,6,0.0,3.7,2,62,03:04 PM,02:07 AM,09:50 AM,04:18 PM,6,5,8,5,40,85,85,6.1,989,10,7,268,30,Shetland_and_the_Orkney_Islands
2019-12-07,7,-0,0.0,1.7,2,70,03:12 PM,03:22 AM,09:52 AM,04:17 PM,2,3,6,3,40,94,74,5.1,997,7,10,243,30,Shetland_and_the_Orkney_Islands
2019-12-08,9,7,0.0,3.7,2,77,03:22 PM,04:38 AM,09:53 AM,04:17 PM,4,3,8,3,67,70,76,4.4,971,9,8,236,50,Shetland_and_the_Orkney_Islands
2019-12-09,6,5,0.0,5.8,2,84,03:33 PM,05:57 AM,09:55 AM,04:16 PM,-1,1,6,1,61,54,62,1.6,1003,6,10,273,49,Shetland_and_the_Orkney_Islands
2019-12-10,11,7,0.0,1.6,2,92,03:48 PM,07:18 AM,09:56 AM,04:15 PM,5,3,9,3,88,85,76,4.7,986,11,10,198,66,Shetland_and_the_Orkney_Islands
2019-12-11,7,6,0.0,3.7,2,99,04:09 PM,08:40 AM,09:57 AM,04:15 PM,2,1,7,1,90,68,70,6.2,981,7,10,235,72,Shetland_and_the_Orkney_Islands
2019-12-12,7,6,0.0,5.8,2,100,04:39 PM,10:01 AM,09:59 AM,04:15 PM,2,2,7,2,52,61,73,5.5,980,7,10,212,40,Shetland_and_the_Orkney_Islands
2019-12-13,7,7,0.0,1.5,2,87,05:25 PM,11:13 AM,10:00 AM,04:14 PM,5,3,7,3,38,98,85,7.9,973,7,9,113,31,Shetland_and_the_Orkney_Islands
