date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,8,3,0.0,8.7,3,26,12:11 PM,10:35 PM,07:42 AM,05:40 PM,0,3,5,3,17,32,71,0.3,1021,8,9,108,11,California
2019-12-02,11,5,0.0,8.7,3,33,12:48 PM,11:32 PM,07:43 AM,05:40 PM,0,7,8,7,11,14,57,0.0,1021,11,10,94,7,California
2019-12-03,11,7,0.0,7.0,3,41,01:21 PM,No moonset,07:44 AM,05:40 PM,1,8,9,8,13,53,57,0.0,1019,11,10,22,8,California
2019-12-04,9,2,0.0,3.7,2,48,01:51 PM,12:28 AM,07:45 AM,05:40 PM,5,6,8,6,16,80,79,13.7,1014,9,9,65,10,California
2019-12-05,11,6,0.0,7.0,2,55,02:18 PM,01:24 AM,07:45 AM,05:40 PM,5,8,9,8,12,42,78,0.0,1019,11,10,106,7,California
2019-12-06,13,8,0.0,8.7,4,62,02:46 PM,02:18 AM,07:46 AM,05:40 PM,4,9,10,9,14,11,68,0.0,1020,13,10,91,8,California
2019-12-07,14,9,0.0,7.0,3,70,03:14 PM,03:14 AM,07:47 AM,05:40 PM,7,9,11,9,24,45,78,0.3,1020,14,10,211,16,California
2019-12-08,13,9,0.0,8.7,3,77,03:43 PM,04:11 AM,07:48 AM,05:40 PM,6,8,11,8,26,26,73,6.3,1015,13,10,250,17,California
2019-12-09,12,5,0.0,8.7,3,84,04:15 PM,05:09 AM,07:49 AM,05:40 PM,2,8,9,8,12,3,65,0.0,1019,12,10,264,7,California
2019-12-10,12,5,0.0,3.7,2,92,04:52 PM,06:09 AM,07:49 AM,05:40 PM,2,9,9,9,4,52,64,0.0,1023,12,10,179,2,California
2019-12-11,12,6,0.0,8.7,4,99,05:34 PM,07:12 AM,07:50 AM,05:41 PM,1,9,10,9,13,9,57,0.0,1022,12,10,241,7,California
2019-12-12,13,7,0.0,7.0,3,100,06:23 PM,08:14 AM,07:51 AM,05:41 PM,3,10,11,10,8,17,61,0.0,1023,13,10,229,5,California
2019-12-13,17,7,0.0,8.7,4,87,07:19 PM,09:15 AM,07:52 AM,05:41 PM,6,11,12,11,21,4,69,0.0,1019,17,10,274,13,California
2019-12-14,13,7,0.0,8.7,4,79,08:21 PM,10:11 AM,07:52 AM,05:41 PM,4,8,10,8,35,11,68,0.0,1012,13,10,241,23,California
2019-12-15,9,3,0.0,8.7,3,72,09:28 PM,11:02 AM,07:53 AM,05:42 PM,-3,2,5,2,25,6,57,0.0,1018,9,10,259,17,California
2019-12-16,9,2,0.0,8.7,3,65,10:35 PM,11:47 AM,07:54 AM,05:42 PM,-7,3,5,3,15,14,42,0.0,1027,9,10,105,10,California
2019-12-17,8,2,0.0,8.7,2,58,11:44 PM,12:27 PM,07:54 AM,05:42 PM,-11,2,5,2,24,33,31,0.0,1027,8,10,38,15,California
2019-12-18,8,2,0.0,8.7,2,50,No moonrise,01:03 PM,07:55 AM,05:43 PM,-12,4,5,4,12,39,29,0.0,1019,8,10,142,7,California
2019-12-19,10,1,0.0,8.7,3,43,12:50 AM,01:37 PM,07:55 AM,05:43 PM,-5,6,6,6,6,5,45,0.0,1022,10,10,225,3,California
2019-12-20,13,4,0.0,8.7,3,36,01:57 AM,02:09 PM,07:56 AM,05:44 PM,-6,7,8,7,9,40,37,0.0,1025,13,10,61,5,California
2019-12-21,12,6,0.0,5.4,2,28,03:03 AM,02:43 PM,07:56 AM,05:44 PM,-6,7,9,7,15,62,35,0.0,1020,12,10,31,8,California
2019-12-22,12,5,0.0,8.7,2,21,04:10 AM,03:19 PM,07:57 AM,05:45 PM,-5,7,9,7,17,38,40,1.3,1013,12,9,153,11,California
2019-12-23,6,4,0.0,5.4,1,14,05:17 AM,03:59 PM,07:57 AM,05:45 PM,2,2,5,2,15,81,83,22.0,1011,6,8,108,11,California
2019-12-24,9,3,0.0,8.7,3,7,06:23 AM,04:43 PM,07:58 AM,05:46 PM,-0,3,5,3,11,25,69,0.0,1011,9,10,189,8,California
2019-12-25,8,2,0.0,8.7,3,0,07:27 AM,05:32 PM,07:58 AM,05:46 PM,-1,2,5,2,22,33,66,0.3,1012,8,9,230,16,California
