date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,6,-10,0.0,8.7,2,26,12:26 PM,10:31 PM,07:59 AM,05:38 PM,-14,-8,-3,-8,19,1,44,0.0,1024,6,10,264,9,Colorado
2019-12-02,10,-1,0.0,7.0,3,33,01:02 PM,11:31 PM,08:00 AM,05:38 PM,-6,0,4,0,22,16,48,0.0,1020,10,10,270,12,Colorado
2019-12-03,7,-3,0.0,8.7,2,41,01:33 PM,No moonset,08:00 AM,05:38 PM,-4,-3,1,-3,25,4,66,0.0,1019,7,10,276,14,Colorado
2019-12-04,8,-4,0.0,5.2,1,48,02:01 PM,12:28 AM,08:01 AM,05:38 PM,-7,-1,2,-1,12,31,57,0.3,1017,8,9,261,7,Colorado
2019-12-05,3,-4,6.7,3.5,1,55,02:27 PM,01:26 AM,08:02 AM,05:38 PM,-4,-3,-0,-3,12,67,83,7.9,1016,3,7,221,8,Colorado
2019-12-06,7,-7,0.0,8.7,2,62,02:52 PM,02:23 AM,08:03 AM,05:37 PM,-5,-3,-0,-3,13,21,79,0.1,1025,7,10,249,7,Colorado
2019-12-07,10,-3,0.0,8.7,3,70,03:18 PM,03:21 AM,08:04 AM,05:37 PM,-7,1,4,1,21,1,48,0.0,1019,10,10,268,11,Colorado
2019-12-08,8,-1,0.0,8.7,2,77,03:45 PM,04:19 AM,08:05 AM,05:37 PM,-4,-2,3,-2,24,9,60,0.0,1009,8,10,272,14,Colorado
2019-12-09,2,-6,0.0,8.7,1,84,04:15 PM,05:20 AM,08:06 AM,05:38 PM,-8,-6,-2,-6,12,7,63,0.2,1016,2,10,244,7,Colorado
2019-12-10,4,-7,0.0,8.7,2,92,04:50 PM,06:22 AM,08:07 AM,05:38 PM,-12,-6,-2,-6,14,6,47,0.0,1025,4,10,259,8,Colorado
2019-12-11,7,-2,0.0,7.0,1,99,05:30 PM,07:26 AM,08:07 AM,05:38 PM,-10,-2,2,-2,14,28,43,0.0,1021,7,10,272,8,Colorado
2019-12-12,6,-4,0.0,8.7,2,100,06:18 PM,08:29 AM,08:08 AM,05:38 PM,-9,-5,0,-5,16,8,52,0.0,1019,6,10,261,9,Colorado
2019-12-13,5,-4,0.0,8.7,2,87,07:14 PM,09:31 AM,08:09 AM,05:38 PM,-9,-6,-1,-6,28,7,55,0.0,1015,5,10,282,16,Colorado
2019-12-14,6,-7,0.0,8.7,1,79,08:16 PM,10:27 AM,08:10 AM,05:38 PM,-8,-5,-2,-5,17,30,63,0.2,1008,6,10,212,10,Colorado
2019-12-15,-4,-9,3.9,7.0,1,72,09:24 PM,11:17 AM,08:10 AM,05:39 PM,-9,-10,-6,-10,13,66,84,4.6,1013,-4,5,69,8,Colorado
2019-12-16,-5,-13,9.1,7.0,1,65,10:33 PM,12:01 PM,08:11 AM,05:39 PM,-11,-11,-9,-11,18,67,85,10.7,1026,-5,4,283,11,Colorado
2019-12-17,1,-16,0.1,8.7,2,58,11:44 PM,12:38 PM,08:12 AM,05:39 PM,-16,-15,-9,-15,14,3,58,0.1,1035,1,10,261,8,Colorado
2019-12-18,9,-5,0.0,8.7,2,50,No moonrise,01:12 PM,08:12 AM,05:40 PM,-10,-3,-0,-3,15,1,48,0.0,1025,9,10,256,8,Colorado
2019-12-19,4,-5,0.0,5.2,1,43,12:53 AM,01:44 PM,08:13 AM,05:40 PM,-12,-5,-2,-5,15,56,45,0.0,1018,4,10,246,8,Colorado
2019-12-20,5,-8,0.0,8.7,2,36,02:02 AM,02:14 PM,08:13 AM,05:40 PM,-11,-6,-3,-6,15,3,52,0.0,1027,5,10,284,8,Colorado
2019-12-21,9,-4,0.0,8.7,2,28,03:11 AM,02:46 PM,08:14 AM,05:41 PM,-11,-1,2,-1,16,4,39,0.0,1026,9,10,273,8,Colorado
2019-12-22,11,3,0.0,5.2,2,21,04:20 AM,03:19 PM,08:14 AM,05:41 PM,-10,3,6,3,19,61,30,0.0,1020,11,10,268,9,Colorado
2019-12-23,10,1,0.0,3.5,2,14,05:29 AM,03:57 PM,08:15 AM,05:42 PM,-12,2,4,2,18,98,29,0.0,1015,10,10,271,9,Colorado
2019-12-24,9,-1,0.0,8.7,1,7,06:37 AM,04:39 PM,08:15 AM,05:43 PM,-10,1,3,1,13,33,40,0.0,1009,9,10,237,7,Colorado
2019-12-25,5,-5,0.1,8.7,1,0,07:42 AM,05:27 PM,08:16 AM,05:43 PM,-8,-5,-0,-5,20,11,60,0.1,1006,5,10,267,12,Colorado
2019-12-26,3,-7,0.0,7.0,1,0,08:42 AM,06:20 PM,08:16 AM,05:44 PM,-11,-6,-2,-6,10,18,52,0.0,1019,3,10,246,6,Colorado
