date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,3,-0,2.2,3.5,1,26,12:39 PM,10:29 PM,08:13 AM,05:37 PM,-0,-3,1,-3,36,89,87,3.4,1000,3,4,285,24,Iowa
2019-12-02,2,-3,0.1,8.7,2,33,01:14 PM,11:29 PM,08:14 AM,05:37 PM,-5,-5,-1,-5,22,33,72,0.1,1019,2,10,308,16,Iowa
2019-12-03,7,-1,0.0,8.7,2,41,01:44 PM,No moonset,08:15 AM,05:36 PM,-2,-2,2,-2,26,28,72,0.0,1009,7,10,247,16,Iowa
2019-12-04,6,0,0.0,8.7,2,48,02:10 PM,12:29 AM,08:16 AM,05:36 PM,-1,-2,2,-2,28,8,79,0.0,1011,6,10,291,18,Iowa
2019-12-05,8,0,0.0,8.7,2,55,02:34 PM,01:28 AM,08:17 AM,05:36 PM,0,1,3,1,13,21,83,0.0,1016,8,10,237,8,Iowa
2019-12-06,3,-1,0.0,8.7,1,62,02:58 PM,02:27 AM,08:18 AM,05:36 PM,-4,-4,1,-4,22,29,74,0.0,1026,3,10,84,15,Iowa
2019-12-07,5,-2,0.0,8.7,2,70,03:22 PM,03:26 AM,08:19 AM,05:36 PM,-3,-3,1,-3,23,13,74,0.0,1025,5,10,178,14,Iowa
2019-12-08,8,2,0.0,8.7,2,77,03:48 PM,04:26 AM,08:20 AM,05:36 PM,1,1,5,1,29,43,79,0.0,1011,8,9,201,18,Iowa
2019-12-09,6,-8,0.3,5.2,1,84,04:16 PM,05:29 AM,08:21 AM,05:36 PM,-2,-4,1,-4,24,67,83,0.8,1006,6,5,262,18,Iowa
2019-12-10,-6,-11,0.0,8.7,2,92,04:49 PM,06:32 AM,08:22 AM,05:36 PM,-16,-16,-9,-16,22,31,57,0.0,1025,-6,10,302,17,Iowa
2019-12-11,-6,-11,0.8,8.7,1,99,05:28 PM,07:38 AM,08:23 AM,05:36 PM,-11,-12,-8,-12,13,39,76,1.0,1030,-6,9,176,9,Iowa
2019-12-12,5,-7,0.0,3.4,1,100,06:14 PM,08:42 AM,08:23 AM,05:36 PM,-4,-5,0,-5,34,48,73,0.0,1021,5,10,184,19,Iowa
2019-12-13,2,-4,0.0,6.9,1,87,07:09 PM,09:45 AM,08:24 AM,05:36 PM,-5,-3,-1,-3,14,54,75,0.0,1014,2,10,143,8,Iowa
2019-12-14,-4,-8,0.0,6.9,1,79,08:12 PM,10:41 AM,08:25 AM,05:37 PM,-9,-11,-5,-11,26,34,69,0.0,1013,-4,10,309,20,Iowa
2019-12-15,-5,-11,1.1,5.2,1,72,09:20 PM,11:31 AM,08:26 AM,05:37 PM,-15,-12,-8,-12,14,55,59,1.3,1021,-5,8,209,11,Iowa
2019-12-16,-3,-8,1.4,3.4,1,65,10:31 PM,12:12 PM,08:26 AM,05:37 PM,-8,-9,-5,-9,16,79,84,1.7,1023,-3,9,173,11,Iowa
2019-12-17,-1,-8,0.0,8.7,2,58,11:44 PM,12:49 PM,08:27 AM,05:37 PM,-7,-10,-5,-10,28,25,87,0.0,1023,-1,9,292,19,Iowa
2019-12-18,-5,-10,0.0,8.7,2,50,No moonrise,01:21 PM,08:28 AM,05:38 PM,-13,-12,-7,-12,18,19,64,0.0,1027,-5,10,199,12,Iowa
2019-12-19,3,-6,0.0,8.7,2,43,12:55 AM,01:50 PM,08:28 AM,05:38 PM,-4,-6,-2,-6,26,16,84,0.0,1024,3,10,192,15,Iowa
2019-12-20,4,-2,0.0,8.7,1,36,02:06 AM,02:19 PM,08:29 AM,05:39 PM,-1,-3,1,-3,25,49,87,0.0,1027,4,10,194,13,Iowa
2019-12-21,7,-1,0.0,8.7,2,28,03:18 AM,02:48 PM,08:29 AM,05:39 PM,-0,-1,2,-1,24,6,86,0.0,1026,7,10,213,13,Iowa
2019-12-22,9,1,0.0,8.7,3,21,04:28 AM,03:20 PM,08:30 AM,05:40 PM,1,1,4,1,32,8,82,0.0,1022,9,10,205,18,Iowa
2019-12-23,9,2,0.0,8.7,2,14,05:40 AM,03:55 PM,08:30 AM,05:40 PM,1,2,5,2,25,40,77,0.0,1018,9,10,201,14,Iowa
2019-12-24,12,3,0.0,5.2,2,7,06:49 AM,04:36 PM,08:31 AM,05:41 PM,4,4,7,4,27,44,82,0.0,1014,12,10,190,15,Iowa
2019-12-25,14,7,0.0,8.7,4,0,07:56 AM,05:23 PM,08:31 AM,05:41 PM,8,8,10,8,29,18,86,0.0,1009,14,10,188,16,Iowa
2019-12-26,7,1,0.0,8.7,2,0,08:56 AM,06:15 PM,08:32 AM,05:42 PM,2,3,6,3,26,17,79,0.0,1015,7,10,232,15,Iowa
2019-12-27,4,-2,0.0,6.9,1,0,09:49 AM,07:13 PM,08:32 AM,05:43 PM,-4,-2,0,-2,15,20,75,0.0,1025,4,10,254,9,Iowa
2019-12-28,8,-0,0.0,3.4,1,8,10:34 AM,08:14 PM,08:32 AM,05:43 PM,3,0,4,0,35,87,90,28.3,1015,8,8,134,21,Iowa
2019-12-29,10,3,0.1,6.9,2,15,11:12 AM,09:15 PM,08:32 AM,05:44 PM,6,6,9,6,35,77,84,27.1,999,10,9,185,23,Iowa
2019-12-30,0,-4,0.2,3.4,1,22,11:44 AM,10:16 PM,08:33 AM,05:45 PM,-5,-8,-2,-8,29,91,78,0.4,1002,0,7,256,23,Iowa
2019-12-31,0,-4,0.0,3.4,1,26,12:12 PM,11:16 PM,08:33 AM,05:46 PM,-6,-9,-2,-9,31,74,79,0.4,1011,0,8,290,24,Iowa
2020-01-01,4,-5,0.0,8.7,2,37,12:37 PM,No moonset,08:33 AM,05:46 PM,-5,-5,-1,-5,27,2,72,0.0,1009,4,10,216,17,Iowa
2020-01-02,7,1,0.0,3.4,1,44,01:01 PM,12:14 AM,08:33 AM,05:47 PM,2,0,4,0,25,60,88,0.0,1001,7,10,213,15,Iowa
2020-01-03,-0,-3,0.0,3.4,1,51,01:24 PM,01:13 AM,08:33 AM,05:48 PM,-4,-6,-1,-6,25,80,79,0.0,1010,-0,10,344,18,Iowa
2020-01-04,-1,-5,4.3,6.9,1,59,01:49 PM,02:12 AM,08:33 AM,05:49 PM,-3,-6,-2,-6,20,62,89,5.1,1018,-1,7,294,14,Iowa
2020-01-05,4,-3,0.0,8.7,1,66,02:15 PM,03:12 AM,08:33 AM,05:50 PM,-3,-4,1,-4,39,12,72,0.0,1018,4,10,259,24,Iowa
2020-01-06,4,-2,0.0,6.9,1,73,02:45 PM,04:14 AM,08:33 AM,05:51 PM,-6,-4,-0,-4,19,43,68,0.0,1020,4,10,249,11,Iowa
2020-01-07,1,-3,0.0,8.7,1,80,03:21 PM,05:19 AM,08:33 AM,05:52 PM,-5,-5,-0,-5,26,64,73,0.0,1020,1,10,286,18,Iowa
2020-01-08,-4,-10,0.0,8.7,2,88,04:03 PM,06:24 AM,08:33 AM,05:53 PM,-16,-12,-7,-12,27,24,46,0.0,1027,-4,10,200,19,Iowa
2020-01-09,9,-3,0.0,3.5,2,95,04:55 PM,07:29 AM,08:33 AM,05:54 PM,1,-0,4,-0,44,83,81,1.7,1012,9,8,192,25,Iowa
2020-01-10,1,-5,2.8,3.5,1,100,05:55 PM,08:29 AM,08:32 AM,05:55 PM,-3,-6,-0,-6,29,81,87,8.8,1017,1,8,65,20,Iowa
2020-01-11,-4,-7,0.0,3.5,1,100,07:04 PM,09:23 AM,08:32 AM,05:56 PM,-11,-14,-6,-14,41,92,68,14.7,1017,-4,1,19,30,Iowa
2020-01-12,-6,-14,1.7,7.0,1,83,08:17 PM,10:09 AM,08:32 AM,05:57 PM,-9,-14,-9,-14,16,63,92,2.1,1023,-6,8,114,10,Iowa
2020-01-13,-1,-7,0.9,7.0,1,76,09:32 PM,10:49 AM,08:31 AM,05:58 PM,-3,-6,-3,-6,16,81,96,1.1,1023,-1,7,174,10,Iowa
2020-01-14,3,-5,0.0,8.7,1,69,10:45 PM,11:23 AM,08:31 AM,05:59 PM,-3,-5,-1,-5,27,42,87,0.5,1019,3,8,254,17,Iowa
2020-01-15,1,-8,0.0,6.5,1,61,11:58 PM,11:54 AM,08:31 AM,06:00 PM,-6,-7,-2,-7,32,46,84,1.3,1020,1,8,205,21,Iowa
2020-01-16,-13,-20,0.0,9.7,1,54,No moonrise,12:23 PM,08:30 AM,06:01 PM,-17,-21,-14,-21,23,17,74,0.0,1042,-13,10,231,16,Iowa
2020-01-17,-4,-14,8.2,4.9,1,47,01:09 AM,12:52 PM,08:30 AM,06:03 PM,-10,-14,-8,-14,33,70,78,16.4,1034,-4,6,124,22,Iowa
2020-01-18,2,-16,0.0,4.9,1,40,02:19 AM,01:23 PM,08:29 AM,06:04 PM,-8,-15,-7,-15,46,99,90,12.2,1015,2,4,246,31,Iowa
2020-01-19,-18,-20,0.0,6.6,1,32,03:30 AM,01:56 PM,08:29 AM,06:05 PM,-21,-30,-19,-30,40,70,84,0.0,1032,-18,10,303,27,Iowa
2020-01-20,-15,-23,0.0,4.9,1,25,04:38 AM,02:33 PM,08:28 AM,06:06 PM,-20,-26,-19,-26,17,72,94,0.0,1039,-15,4,317,9,Iowa
2020-01-21,-9,-18,0.0,9.8,1,18,05:45 AM,03:17 PM,08:27 AM,06:07 PM,-15,-19,-14,-19,18,43,94,0.0,1035,-9,7,217,10,Iowa
2020-01-22,-1,-8,3.0,4.9,1,11,06:46 AM,04:07 PM,08:27 AM,06:09 PM,-4,-9,-4,-9,36,94,91,5.4,1021,-1,6,180,22,Iowa
2020-01-23,1,-6,0.0,4.9,1,3,07:41 AM,05:02 PM,08:26 AM,06:10 PM,0,-4,-0,-4,24,100,99,10.6,1015,1,8,144,15,Iowa
2020-01-24,1,-2,0.0,4.9,1,0,08:28 AM,06:01 PM,08:25 AM,06:11 PM,1,-2,1,-2,20,100,100,11.9,1012,1,8,158,11,Iowa
