date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,2,-1,0.3,3.5,1,26,12:45 PM,10:48 PM,08:18 AM,05:56 PM,-4,-5,1,-5,45,90,68,0.6,1009,2,8,295,34,Kansas
2019-12-02,6,-3,0.0,8.7,2,33,01:21 PM,11:47 PM,08:19 AM,05:56 PM,-7,-3,0,-3,20,22,60,0.0,1022,6,10,282,14,Kansas
2019-12-03,11,-0,0.0,8.7,3,41,01:52 PM,No moonset,08:20 AM,05:56 PM,-2,1,5,1,26,10,62,0.0,1013,11,10,264,15,Kansas
2019-12-04,11,2,0.0,8.7,3,48,02:19 PM,12:45 AM,08:21 AM,05:56 PM,1,4,6,4,20,3,70,0.0,1015,11,10,279,12,Kansas
2019-12-05,13,5,0.0,8.7,2,55,02:45 PM,01:43 AM,08:22 AM,05:56 PM,3,7,8,7,12,32,70,0.1,1015,13,10,153,7,Kansas
2019-12-06,5,1,0.0,7.0,1,62,03:11 PM,02:40 AM,08:23 AM,05:56 PM,-0,0,4,0,20,59,75,0.0,1025,5,10,78,15,Kansas
2019-12-07,9,1,0.0,8.7,3,70,03:36 PM,03:38 AM,08:24 AM,05:56 PM,-1,1,4,1,17,1,73,0.0,1025,9,10,172,11,Kansas
2019-12-08,11,4,0.0,7.0,2,77,04:03 PM,04:36 AM,08:25 AM,05:56 PM,4,5,8,5,26,54,79,0.0,1010,11,10,194,16,Kansas
2019-12-09,7,-4,0.0,7.0,1,84,04:33 PM,05:37 AM,08:25 AM,05:56 PM,-3,-2,2,-2,23,48,71,0.0,1010,7,9,283,18,Kansas
2019-12-10,1,-4,0.0,8.7,2,92,05:07 PM,06:39 AM,08:26 AM,05:56 PM,-11,-6,-2,-6,14,19,52,0.0,1027,1,10,232,10,Kansas
2019-12-11,9,-4,0.0,8.7,2,99,05:47 PM,07:44 AM,08:27 AM,05:56 PM,-6,-2,2,-2,20,14,57,0.0,1028,9,10,186,12,Kansas
2019-12-12,11,3,0.0,7.0,3,100,06:34 PM,08:47 AM,08:28 AM,05:56 PM,-2,2,6,2,37,37,58,0.0,1020,11,10,204,23,Kansas
2019-12-13,12,3,0.0,8.7,3,87,07:30 PM,09:49 AM,08:29 AM,05:56 PM,3,5,7,5,22,32,79,0.2,1012,12,10,203,14,Kansas
2019-12-14,1,-4,0.0,5.2,1,79,08:32 PM,10:45 AM,08:29 AM,05:56 PM,-5,-4,-0,-4,23,50,68,1.2,1015,1,10,295,18,Kansas
2019-12-15,-3,-6,8.6,3.5,1,72,09:40 PM,11:36 AM,08:30 AM,05:57 PM,-6,-8,-4,-8,18,84,83,10.1,1018,-3,6,57,14,Kansas
2019-12-16,-3,-8,0.7,3.5,1,65,10:50 PM,12:19 PM,08:31 AM,05:57 PM,-6,-10,-6,-10,19,76,95,0.8,1023,-3,8,240,14,Kansas
2019-12-17,-1,-10,0.0,8.7,2,58,No moonrise,12:57 PM,08:31 AM,05:57 PM,-7,-11,-6,-11,22,13,92,0.0,1027,-1,10,277,12,Kansas
2019-12-18,0,-8,0.0,8.7,2,50,12:00 AM,01:31 PM,08:32 AM,05:58 PM,-5,-8,-4,-8,18,18,92,0.0,1028,0,10,250,10,Kansas
