date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,3,0,0.2,3.5,1,26,12:31 PM,10:32 PM,08:05 AM,05:41 PM,-1,-3,2,-3,48,86,79,0.6,1002,3,6,265,33,Louisiana
2019-12-02,3,-2,1.0,7.0,1,33,01:07 PM,11:32 PM,08:06 AM,05:41 PM,-4,-4,-0,-4,25,56,78,1.8,1019,3,7,306,17,Louisiana
2019-12-03,8,-1,0.0,5.2,1,41,01:38 PM,No moonset,08:07 AM,05:41 PM,-2,-0,3,-0,24,34,70,0.0,1012,8,10,243,15,Louisiana
2019-12-04,9,2,0.0,8.7,3,48,02:05 PM,12:30 AM,08:08 AM,05:41 PM,1,1,4,1,25,11,79,0.0,1013,9,10,281,15,Louisiana
2019-12-05,11,2,0.0,8.7,3,55,02:31 PM,01:28 AM,08:09 AM,05:41 PM,2,5,6,5,10,7,78,0.0,1016,11,10,224,6,Louisiana
2019-12-06,5,1,0.0,7.0,1,62,02:56 PM,02:25 AM,08:10 AM,05:41 PM,1,1,5,1,22,60,77,0.0,1024,5,10,103,15,Louisiana
2019-12-07,7,-1,0.0,8.7,2,70,03:22 PM,03:24 AM,08:11 AM,05:41 PM,-2,-0,2,-0,16,10,76,0.0,1026,7,10,139,10,Louisiana
2019-12-08,11,2,0.0,8.7,2,77,03:49 PM,04:22 AM,08:11 AM,05:41 PM,3,3,6,3,25,43,81,0.0,1014,11,10,191,15,Louisiana
2019-12-09,10,-4,0.0,5.2,2,84,04:18 PM,05:23 AM,08:12 AM,05:41 PM,2,2,6,2,28,81,74,0.2,1006,10,9,248,20,Louisiana
2019-12-10,0,-5,0.0,8.7,2,92,04:52 PM,06:25 AM,08:13 AM,05:41 PM,-13,-8,-3,-8,18,24,49,0.0,1025,0,10,295,13,Louisiana
2019-12-11,4,-6,0.0,8.7,2,99,05:32 PM,07:30 AM,08:14 AM,05:41 PM,-9,-5,-2,-5,14,10,59,0.0,1031,4,10,179,8,Louisiana
2019-12-12,10,-1,0.0,8.7,3,100,06:19 PM,08:33 AM,08:15 AM,05:41 PM,-3,0,4,0,34,9,60,0.0,1024,10,10,177,19,Louisiana
