date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,33,21,0.0,8.7,7,26,10:33 AM,10:15 PM,06:18 AM,05:43 PM,-3,25,25,26,30,0,15,0.0,1012,33,10,51,18,Maine
2019-12-02,31,19,0.0,8.7,7,33,11:19 AM,11:05 PM,06:19 AM,05:43 PM,-1,23,23,24,29,3,19,0.0,1012,31,10,57,18,Maine
2019-12-03,30,18,0.0,8.7,7,41,12:00 PM,11:54 PM,06:19 AM,05:44 PM,-0,23,23,24,27,12,21,0.0,1013,30,10,55,16,Maine
2019-12-04,31,20,0.0,8.7,7,48,12:39 PM,No moonset,06:20 AM,05:44 PM,-2,25,25,26,25,25,17,0.0,1012,31,10,47,15,Maine
2019-12-05,32,20,0.0,8.7,7,55,01:17 PM,12:40 AM,06:20 AM,05:44 PM,-4,26,26,26,27,0,15,0.0,1011,32,10,48,16,Maine
2019-12-06,32,19,0.0,8.7,7,62,01:53 PM,01:27 AM,06:21 AM,05:45 PM,-4,26,26,26,28,0,15,0.0,1012,32,10,53,17,Maine
2019-12-07,32,19,0.0,8.7,7,70,02:30 PM,02:12 AM,06:22 AM,05:45 PM,-4,26,26,26,30,0,16,0.0,1012,32,10,58,18,Maine
2019-12-08,33,19,0.0,8.7,7,77,03:08 PM,02:59 AM,06:22 AM,05:45 PM,-2,24,24,25,30,0,17,0.0,1013,33,10,57,18,Maine
2019-12-09,32,18,0.0,8.7,7,84,03:48 PM,03:47 AM,06:23 AM,05:45 PM,-2,24,24,24,31,0,18,0.0,1013,32,10,53,19,Maine
2019-12-10,32,18,0.0,8.7,7,92,04:31 PM,04:37 AM,06:23 AM,05:46 PM,-6,23,23,24,27,0,14,0.0,1012,32,10,52,16,Maine
2019-12-11,32,17,0.0,8.7,7,99,05:19 PM,05:31 AM,06:24 AM,05:46 PM,-8,23,23,24,27,0,12,0.0,1013,32,10,34,16,Maine
2019-12-12,30,17,0.0,8.7,7,100,06:11 PM,06:27 AM,06:24 AM,05:47 PM,-5,22,22,23,33,0,15,0.0,1014,30,10,30,20,Maine
2019-12-13,29,14,0.0,8.7,6,87,07:07 PM,07:25 AM,06:25 AM,05:47 PM,-8,20,20,21,30,0,13,0.0,1015,29,10,30,18,Maine
2019-12-14,29,14,0.0,8.7,6,79,08:06 PM,08:23 AM,06:25 AM,05:47 PM,-9,21,21,21,28,1,13,0.0,1015,29,10,33,17,Maine
2019-12-15,30,16,0.0,8.7,6,72,09:06 PM,09:20 AM,06:26 AM,05:48 PM,-9,22,22,22,29,0,12,0.0,1015,30,10,36,17,Maine
2019-12-16,31,17,0.0,8.7,6,65,10:06 PM,10:13 AM,06:26 AM,05:48 PM,-6,22,22,23,33,2,14,0.0,1013,31,10,47,20,Maine
2019-12-17,31,17,0.0,8.7,7,58,11:04 PM,11:04 AM,06:27 AM,05:49 PM,0,22,22,23,34,1,23,0.0,1013,31,10,53,21,Maine
2019-12-18,32,17,0.0,8.7,7,50,No moonrise,11:51 AM,06:28 AM,05:49 PM,1,23,23,24,32,1,24,0.0,1013,32,10,53,19,Maine
2019-12-19,30,17,0.0,8.7,6,43,12:01 AM,12:36 PM,06:28 AM,05:50 PM,-2,22,22,22,32,0,21,0.0,1015,30,10,51,19,Maine
2019-12-20,30,16,0.0,8.7,6,36,12:56 AM,01:20 PM,06:29 AM,05:50 PM,-3,21,21,22,32,0,21,0.0,1015,30,10,48,19,Maine
2019-12-21,30,15,0.0,8.7,6,28,01:51 AM,02:04 PM,06:29 AM,05:50 PM,-4,21,21,21,31,0,19,0.0,1015,30,10,47,18,Maine
2019-12-22,30,16,0.0,8.7,6,21,02:47 AM,02:50 PM,06:30 AM,05:51 PM,-5,21,21,22,31,0,18,0.0,1015,30,10,45,19,Maine
2019-12-23,30,16,0.0,8.7,6,14,03:43 AM,03:38 PM,06:30 AM,05:51 PM,-8,21,21,22,29,0,13,0.0,1015,30,10,42,18,Maine
2019-12-24,30,15,0.0,8.7,6,7,04:41 AM,04:27 PM,06:31 AM,05:52 PM,-9,21,21,22,29,0,13,0.0,1014,30,10,43,18,Maine
2019-12-25,30,16,0.0,8.7,6,0,05:39 AM,05:21 PM,06:31 AM,05:53 PM,-10,21,21,22,34,0,11,0.0,1015,30,10,44,21,Maine
2019-12-26,29,14,0.0,8.7,6,0,06:36 AM,06:15 PM,06:32 AM,05:53 PM,-3,20,20,20,34,0,23,0.0,1015,29,10,49,21,Maine
2019-12-27,28,14,0.0,8.7,6,0,07:32 AM,07:10 PM,06:32 AM,05:54 PM,-4,20,20,20,33,0,21,0.0,1015,28,10,48,20,Maine
2019-12-28,28,14,0.0,8.7,6,8,08:23 AM,08:04 PM,06:32 AM,05:54 PM,-5,20,20,20,31,0,18,0.0,1014,28,10,49,19,Maine
2019-12-29,28,13,0.0,8.7,6,15,09:11 AM,08:56 PM,06:33 AM,05:55 PM,-5,19,19,20,28,0,19,0.0,1013,28,10,46,17,Maine
2019-12-30,28,14,0.0,8.7,6,22,09:55 AM,09:46 PM,06:33 AM,05:55 PM,-5,20,20,20,26,1,19,0.0,1013,28,10,33,16,Maine
2019-12-31,28,14,0.0,8.7,6,26,10:35 AM,10:33 PM,06:34 AM,05:56 PM,-2,20,20,20,28,0,24,0.0,1014,28,10,19,16,Maine
2020-01-01,25,14,0.0,8.7,6,37,11:14 AM,11:20 PM,06:34 AM,05:56 PM,-4,19,20,19,37,1,23,0.0,1015,25,10,13,23,Maine
2020-01-02,21,10,0.0,8.7,5,44,11:50 AM,No moonset,06:34 AM,05:57 PM,-8,14,16,14,33,1,21,0.0,1018,21,10,20,22,Maine
2020-01-03,22,11,0.0,8.7,5,51,12:26 PM,12:05 AM,06:35 AM,05:57 PM,-4,16,17,16,35,1,25,0.0,1019,22,10,41,22,Maine
2020-01-04,24,12,0.0,8.7,5,59,01:03 PM,12:51 AM,06:35 AM,05:58 PM,-2,17,18,17,36,2,27,0.0,1018,24,10,46,23,Maine
2020-01-05,26,13,0.0,8.7,6,66,01:42 PM,01:38 AM,06:36 AM,05:58 PM,-1,18,19,18,33,2,28,0.0,1016,26,10,51,20,Maine
