date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,1,0.0,3.5,1,26,12:26 PM,10:32 PM,08:01 AM,05:41 PM,-1,-2,4,-2,40,75,74,1.3,1003,4,6,261,29,Maryland
2019-12-02,3,-1,1.3,5.2,1,33,01:03 PM,11:31 PM,08:02 AM,05:41 PM,-3,-3,1,-3,24,65,78,1.5,1019,3,6,310,18,Maryland
2019-12-03,8,-0,0.0,7.0,1,41,01:34 PM,No moonset,08:03 AM,05:40 PM,-2,0,3,0,19,21,70,0.0,1013,8,10,242,13,Maryland
2019-12-04,10,3,0.0,8.7,3,48,02:02 PM,12:29 AM,08:03 AM,05:40 PM,1,3,6,3,22,5,71,0.0,1013,10,10,280,14,Maryland
2019-12-05,12,5,0.0,8.7,2,55,02:28 PM,01:26 AM,08:04 AM,05:40 PM,4,8,8,8,8,32,73,0.0,1017,12,10,203,5,Maryland
2019-12-06,9,4,0.0,3.5,2,62,02:54 PM,02:23 AM,08:05 AM,05:40 PM,3,4,7,4,18,74,80,3.1,1023,9,8,118,13,Maryland
2019-12-07,9,2,0.0,8.7,3,70,03:20 PM,03:21 AM,08:06 AM,05:40 PM,0,3,5,3,11,8,72,0.0,1026,9,10,122,8,Maryland
2019-12-08,12,3,0.0,8.7,2,77,03:47 PM,04:19 AM,08:07 AM,05:40 PM,3,4,7,4,24,40,78,0.0,1015,12,10,186,15,Maryland
2019-12-09,11,-1,0.0,3.5,2,84,04:16 PM,05:19 AM,08:08 AM,05:40 PM,5,5,8,5,23,92,80,2.5,1006,11,5,239,16,Maryland
2019-12-10,3,-4,0.0,8.7,2,92,04:51 PM,06:21 AM,08:09 AM,05:40 PM,-11,-5,-1,-5,15,13,47,0.0,1025,3,10,294,12,Maryland
2019-12-11,7,-4,0.0,8.7,2,99,05:31 PM,07:25 AM,08:09 AM,05:41 PM,-7,-2,1,-2,10,5,55,0.0,1031,7,10,223,7,Maryland
2019-12-12,9,0,0.0,5.2,2,100,06:18 PM,08:29 AM,08:10 AM,05:41 PM,-3,1,4,1,26,48,62,0.0,1026,9,10,175,16,Maryland
2019-12-13,10,3,0.0,8.7,2,87,07:14 PM,09:31 AM,08:11 AM,05:41 PM,-0,4,5,4,13,28,68,0.0,1014,10,10,176,9,Maryland
2019-12-14,4,-2,0.0,3.5,1,79,08:16 PM,10:27 AM,08:12 AM,05:41 PM,-1,-0,2,-0,22,62,78,4.6,1011,4,10,278,16,Maryland
2019-12-15,-1,-3,4.4,3.5,1,72,09:24 PM,11:18 AM,08:12 AM,05:41 PM,-6,-5,-2,-5,14,68,78,6.9,1019,-1,7,186,11,Maryland
2019-12-16,-2,-4,16.9,3.5,1,65,10:33 PM,12:01 PM,08:13 AM,05:42 PM,-3,-7,-2,-7,22,100,96,19.9,1019,-2,4,177,15,Maryland
2019-12-17,-1,-9,2.0,5.2,1,58,11:44 PM,12:39 PM,08:14 AM,05:42 PM,-6,-10,-5,-10,23,55,94,2.4,1024,-1,6,283,14,Maryland
2019-12-18,-1,-9,0.0,7.0,1,50,No moonrise,01:13 PM,08:14 AM,05:42 PM,-7,-10,-6,-10,13,30,91,0.0,1028,-1,8,264,8,Maryland
2019-12-19,4,-7,0.0,8.7,2,43,12:53 AM,01:45 PM,08:15 AM,05:43 PM,-3,-6,-2,-6,20,3,88,0.0,1028,4,10,175,10,Maryland
2019-12-20,3,-1,0.0,7.0,1,36,02:02 AM,02:15 PM,08:15 AM,05:43 PM,-0,-2,1,-2,15,48,90,0.0,1030,3,8,173,7,Maryland
2019-12-21,7,-0,0.0,8.7,2,28,03:11 AM,02:47 PM,08:16 AM,05:44 PM,0,1,3,1,9,7,82,0.0,1029,7,10,184,6,Maryland
2019-12-22,11,4,0.0,8.7,3,21,04:19 AM,03:21 PM,08:16 AM,05:44 PM,3,5,6,5,10,0,81,0.0,1025,11,10,192,6,Maryland
2019-12-23,13,6,0.0,8.7,3,14,05:29 AM,03:58 PM,08:17 AM,05:45 PM,6,8,9,8,12,7,83,0.0,1020,13,10,198,7,Maryland
2019-12-24,14,6,0.0,8.7,4,7,06:36 AM,04:40 PM,08:17 AM,05:45 PM,5,8,9,8,19,11,76,0.0,1017,14,10,171,10,Maryland
2019-12-25,17,7,0.0,8.7,4,0,07:42 AM,05:28 PM,08:18 AM,05:46 PM,8,10,11,10,23,9,80,0.0,1013,17,10,180,13,Maryland
2019-12-26,18,12,0.0,5.2,4,0,08:42 AM,06:21 PM,08:18 AM,05:47 PM,12,14,14,14,19,52,88,0.1,1016,18,8,207,11,Maryland
2019-12-27,9,4,0.0,8.7,2,0,09:35 AM,07:18 PM,08:18 AM,05:47 PM,1,5,6,5,13,56,70,0.1,1024,9,10,202,9,Maryland
2019-12-28,14,6,0.0,3.5,3,8,10:21 AM,08:17 PM,08:19 AM,05:48 PM,9,9,11,9,28,91,88,4.7,1015,14,10,139,18,Maryland
2019-12-29,14,7,0.0,8.7,3,15,11:00 AM,09:17 PM,08:19 AM,05:49 PM,8,11,12,11,26,58,76,15.9,1003,14,9,189,17,Maryland
2019-12-30,3,0,3.8,3.5,1,22,11:34 AM,10:16 PM,08:19 AM,05:49 PM,-3,-4,2,-4,31,85,70,5.0,1007,3,4,257,25,Maryland
2019-12-31,3,-1,0.0,5.2,1,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-4,-4,1,-4,28,66,70,0.1,1014,3,10,275,21,Maryland
2020-01-01,9,0,0.0,8.7,2,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-3,1,4,1,19,4,62,0.0,1014,9,10,225,13,Maryland
2020-01-02,11,6,0.0,3.5,2,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,5,6,9,6,23,71,79,1.4,1004,11,9,176,14,Maryland
2020-01-03,9,1,0.6,3.5,2,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,5,4,6,4,19,100,93,30.6,1005,9,4,236,14,Maryland
