date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-1,-3,4.8,3.4,1,26,12:47 PM,10:23 PM,08:22 AM,05:30 PM,-2,-7,-1,-7,23,98,95,5.6,1004,-1,6,283,16,Minnesota
2019-12-02,-4,-12,0.1,8.7,1,33,01:21 PM,11:25 PM,08:23 AM,05:30 PM,-9,-13,-8,-13,16,47,93,0.1,1020,-4,8,275,10,Minnesota
2019-12-03,1,-7,0.0,8.7,2,41,01:49 PM,No moonset,08:24 AM,05:30 PM,-4,-8,-3,-8,26,32,92,0.0,1007,1,10,251,16,Minnesota
2019-12-04,-1,-6,0.0,6.9,1,48,02:14 PM,12:26 AM,08:25 AM,05:29 PM,-4,-8,-2,-8,30,45,91,0.0,1009,-1,10,291,19,Minnesota
2019-12-05,-1,-8,0.0,3.4,1,55,02:37 PM,01:27 AM,08:26 AM,05:29 PM,-6,-8,-5,-8,13,72,94,0.0,1018,-1,8,256,8,Minnesota
2019-12-06,-6,-13,0.0,8.7,1,62,02:59 PM,02:27 AM,08:27 AM,05:29 PM,-8,-11,-7,-11,15,38,91,0.0,1029,-6,9,295,9,Minnesota
2019-12-07,1,-10,0.0,8.7,2,70,03:22 PM,03:28 AM,08:28 AM,05:29 PM,-5,-8,-3,-8,23,28,85,0.0,1022,1,10,183,13,Minnesota
2019-12-08,2,-2,0.0,5.2,1,77,03:46 PM,04:29 AM,08:29 AM,05:29 PM,-1,-3,0,-3,25,53,89,0.0,1009,2,5,240,15,Minnesota
2019-12-09,-1,-12,0.1,3.4,1,84,04:12 PM,05:34 AM,08:30 AM,05:29 PM,-6,-11,-5,-11,19,100,94,1.4,1006,-1,3,204,15,Minnesota
2019-12-10,-15,-21,0.0,3.4,1,92,04:43 PM,06:39 AM,08:31 AM,05:29 PM,-19,-26,-18,-26,19,81,90,0.0,1025,-15,10,285,16,Minnesota
2019-12-11,-15,-20,0.0,8.7,1,99,05:21 PM,07:46 AM,08:32 AM,05:29 PM,-19,-23,-18,-23,12,58,90,0.0,1032,-15,9,238,9,Minnesota
2019-12-12,-1,-13,7.7,3.4,1,100,06:06 PM,08:52 AM,08:32 AM,05:29 PM,-8,-12,-7,-12,17,91,92,9.0,1022,-1,5,182,11,Minnesota
2019-12-13,-6,-15,0.9,3.4,1,87,07:01 PM,09:54 AM,08:33 AM,05:29 PM,-11,-14,-11,-14,10,79,95,1.1,1016,-6,5,174,6,Minnesota
2019-12-14,-9,-16,0.3,3.4,1,79,08:04 PM,10:50 AM,08:34 AM,05:29 PM,-13,-20,-12,-20,23,94,95,0.3,1015,-9,9,303,17,Minnesota
2019-12-15,-12,-21,0.0,6.9,1,72,09:14 PM,11:39 AM,08:35 AM,05:29 PM,-17,-20,-16,-20,11,72,93,0.0,1022,-12,5,269,6,Minnesota
2019-12-16,-5,-14,0.2,5.1,1,65,10:27 PM,12:19 PM,08:35 AM,05:30 PM,-11,-15,-10,-15,12,70,95,0.2,1024,-5,6,263,7,Minnesota
2019-12-17,-5,-12,0.2,3.4,1,58,11:41 PM,12:54 PM,08:36 AM,05:30 PM,-10,-15,-9,-15,25,56,93,0.3,1022,-5,7,280,18,Minnesota
2019-12-18,-13,-23,0.0,6.9,1,50,No moonrise,01:25 PM,08:37 AM,05:30 PM,-20,-23,-17,-23,15,40,81,0.0,1028,-13,10,253,9,Minnesota
