date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,7,2,1.5,4.9,1,26,01:08 PM,11:10 PM,08:42 AM,06:20 PM,4,2,6,2,39,81,88,3.7,999,7,8,227,27,Nebraska
2019-12-02,2,-1,3.0,4.9,1,33,01:44 PM,No moonset,08:43 AM,06:19 PM,-1,-4,1,-4,30,93,88,3.5,1013,2,5,302,22,Nebraska
2019-12-03,3,-3,0.0,8.2,1,41,02:14 PM,12:09 AM,08:44 AM,06:19 PM,-2,-4,0,-4,21,48,84,0.1,1013,3,9,247,14,Nebraska
2019-12-04,6,0,0.0,9.7,1,48,02:42 PM,01:08 AM,08:45 AM,06:19 PM,-1,-2,2,-2,30,28,82,0.0,1008,6,10,264,19,Nebraska
2019-12-05,7,-1,0.0,9.7,2,55,03:09 PM,02:05 AM,08:46 AM,06:19 PM,-0,0,3,0,15,4,81,0.0,1017,7,10,245,9,Nebraska
2019-12-06,7,2,0.0,6.5,2,62,03:34 PM,03:03 AM,08:47 AM,06:19 PM,3,2,5,2,22,69,90,7.4,1022,7,9,158,13,Nebraska
2019-12-07,6,-2,0.0,9.7,2,70,03:59 PM,04:00 AM,08:47 AM,06:19 PM,-3,-2,1,-2,18,2,75,0.0,1028,6,10,97,11,Nebraska
2019-12-08,12,-0,0.0,6.5,2,77,04:26 PM,04:59 AM,08:48 AM,06:19 PM,4,3,6,3,31,60,86,0.1,1019,12,10,179,18,Nebraska
2019-12-09,13,9,0.0,4.9,3,84,04:56 PM,05:59 AM,08:49 AM,06:19 PM,10,9,11,9,35,99,91,11.7,1006,13,8,210,23,Nebraska
2019-12-10,-2,-4,0.1,9.7,1,92,05:30 PM,07:02 AM,08:50 AM,06:19 PM,-9,-7,-2,-7,24,38,59,0.6,1021,-2,9,286,19,Nebraska
2019-12-11,2,-5,0.0,9.7,2,99,06:10 PM,08:05 AM,08:51 AM,06:19 PM,-10,-7,-3,-7,16,13,56,0.0,1032,2,10,218,11,Nebraska
2019-12-12,5,-4,0.0,6.5,1,100,06:57 PM,09:10 AM,08:52 AM,06:19 PM,-5,-4,0,-4,23,42,68,0.0,1031,5,10,143,14,Nebraska
2019-12-13,7,-0,0.0,9.7,1,87,07:52 PM,10:11 AM,08:52 AM,06:19 PM,1,1,3,1,22,52,85,0.1,1017,7,10,170,13,Nebraska
2019-12-14,6,2,0.0,6.5,1,79,08:54 PM,11:08 AM,08:53 AM,06:20 PM,2,1,4,1,20,83,87,4.1,1008,6,9,256,14,Nebraska
2019-12-15,2,-2,3.6,6.5,1,72,10:02 PM,11:58 AM,08:54 AM,06:20 PM,-4,-4,-0,-4,15,83,78,4.2,1019,2,8,244,12,Nebraska
2019-12-16,2,0,0.0,4.8,1,65,11:12 PM,12:42 PM,08:55 AM,06:20 PM,0,-4,1,-4,22,100,98,10.5,1017,2,8,159,14,Nebraska
2019-12-17,-0,-7,1.9,9.7,1,58,No moonrise,01:20 PM,08:55 AM,06:21 PM,-3,-7,-2,-7,26,55,92,2.2,1018,-0,7,290,19,Nebraska
2019-12-18,-4,-10,0.2,8.2,1,50,12:22 AM,01:54 PM,08:56 AM,06:21 PM,-8,-13,-7,-13,20,57,89,0.2,1026,-4,9,290,15,Nebraska
2019-12-19,1,-11,0.0,9.7,2,43,01:32 AM,02:25 PM,08:56 AM,06:21 PM,-10,-9,-5,-9,20,4,71,0.0,1031,1,10,192,12,Nebraska
2019-12-20,4,-4,0.0,8.2,1,36,02:41 AM,02:55 PM,08:57 AM,06:22 PM,-4,-3,-0,-3,16,35,78,0.0,1033,4,10,201,9,Nebraska
2019-12-21,6,-1,0.0,9.6,2,28,03:50 AM,03:27 PM,08:58 AM,06:22 PM,-1,1,2,1,13,13,80,0.0,1030,6,10,215,7,Nebraska
2019-12-22,8,1,0.0,9.7,3,21,04:59 AM,04:00 PM,08:58 AM,06:23 PM,1,3,4,3,10,0,81,0.0,1027,8,10,186,5,Nebraska
2019-12-23,11,3,0.0,9.6,3,14,06:09 AM,04:36 PM,08:59 AM,06:23 PM,3,5,6,5,8,0,80,0.0,1021,11,10,72,4,Nebraska
2019-12-24,12,3,0.0,9.7,3,7,07:17 AM,05:19 PM,08:59 AM,06:24 PM,3,6,7,6,11,12,77,0.0,1019,12,10,120,6,Nebraska
2019-12-25,15,5,0.0,9.7,4,0,08:22 AM,06:06 PM,08:59 AM,06:24 PM,7,7,9,7,23,12,85,0.0,1017,15,10,187,13,Nebraska
2019-12-26,15,10,0.0,6.4,3,0,09:23 AM,06:59 PM,09:00 AM,06:25 PM,11,11,12,11,27,71,94,0.1,1019,15,9,193,16,Nebraska
2019-12-27,12,6,0.0,9.3,3,0,10:16 AM,07:56 PM,09:00 AM,06:26 PM,8,9,11,9,18,50,83,0.7,1023,12,10,240,12,Nebraska
2019-12-28,13,6,0.0,6.4,3,8,11:02 AM,08:56 PM,09:00 AM,06:26 PM,8,8,10,8,21,60,89,0.9,1021,13,8,123,14,Nebraska
2019-12-29,16,11,0.0,3.5,3,15,11:41 AM,09:56 PM,09:01 AM,06:27 PM,13,13,14,13,33,95,92,27.2,1007,16,8,169,21,Nebraska
2019-12-30,4,2,0.3,3.5,1,22,12:14 PM,10:55 PM,09:01 AM,06:28 PM,2,-0,5,-0,35,96,79,3.2,1004,4,6,214,25,Nebraska
2019-12-31,1,-1,0.2,3.5,1,26,12:43 PM,11:53 PM,09:01 AM,06:29 PM,-2,-6,0,-6,35,91,82,0.9,1011,1,5,252,27,Nebraska
2020-01-01,4,-7,0.0,8.7,2,37,01:10 PM,No moonset,09:01 AM,06:30 PM,-3,-5,-1,-5,23,17,79,0.0,1015,4,10,235,16,Nebraska
2020-01-02,8,2,0.0,3.5,2,44,01:36 PM,12:51 AM,09:01 AM,06:30 PM,3,1,5,1,34,60,86,1.3,1009,8,9,195,21,Nebraska
2020-01-03,11,8,0.0,3.5,3,51,02:00 PM,01:48 AM,09:01 AM,06:31 PM,9,8,10,8,20,91,96,10.3,1004,11,8,202,12,Nebraska
2020-01-04,6,0,1.8,3.5,1,59,02:26 PM,02:45 AM,09:02 AM,06:32 PM,3,0,4,0,22,98,90,3.6,1013,6,4,306,17,Nebraska
2020-01-05,6,-2,0.0,8.7,2,66,02:54 PM,03:44 AM,09:02 AM,06:33 PM,-2,-3,1,-3,31,18,79,0.0,1020,6,10,251,21,Nebraska
2020-01-06,4,-2,0.0,8.7,1,73,03:26 PM,04:45 AM,09:02 AM,06:34 PM,-4,-2,1,-2,16,33,70,0.0,1021,4,10,254,9,Nebraska
2020-01-07,5,-1,0.0,7.0,1,80,04:02 PM,05:48 AM,09:02 AM,06:35 PM,-5,-2,1,-2,19,40,67,0.0,1019,5,10,215,13,Nebraska
2020-01-08,1,-3,0.0,8.7,2,88,04:46 PM,06:51 AM,09:01 AM,06:36 PM,-9,-5,-1,-5,22,12,56,0.0,1028,1,10,265,14,Nebraska
2020-01-09,10,-1,0.0,5.2,2,95,05:38 PM,07:55 AM,09:01 AM,06:37 PM,-2,-0,4,-0,40,64,65,0.7,1027,10,10,163,24,Nebraska
