date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,9,1,3.3,6.5,2,26,01:05 PM,11:00 PM,08:40 AM,06:09 PM,3,2,6,2,36,80,83,11.8,997,9,7,213,24,New_Hampshire
2019-12-02,2,-2,1.7,4.8,1,33,01:41 PM,No moonset,08:41 AM,06:09 PM,-1,-4,1,-4,25,90,86,2.0,1010,2,5,319,18,New_Hampshire
2019-12-03,2,-3,0.3,4.8,1,41,02:11 PM,12:00 AM,08:42 AM,06:09 PM,-3,-5,-1,-5,22,71,85,0.4,1011,2,8,259,16,New_Hampshire
2019-12-04,2,-1,0.0,4.8,1,48,02:38 PM,12:59 AM,08:43 AM,06:09 PM,-2,-5,1,-5,35,76,83,0.0,1005,2,10,269,24,New_Hampshire
2019-12-05,4,-3,0.0,9.7,1,55,03:03 PM,01:58 AM,08:44 AM,06:09 PM,-3,-3,0,-3,19,45,83,0.1,1016,4,9,258,11,New_Hampshire
2019-12-06,3,-1,0.0,8.2,1,62,03:28 PM,02:56 AM,08:45 AM,06:09 PM,-0,-2,2,-2,24,46,85,0.0,1022,3,10,196,15,New_Hampshire
2019-12-07,4,-3,0.0,9.6,2,70,03:52 PM,03:54 AM,08:45 AM,06:09 PM,-5,-4,-0,-4,16,7,70,0.0,1029,4,10,100,10,New_Hampshire
2019-12-08,9,-1,0.0,6.5,2,77,04:18 PM,04:54 AM,08:46 AM,06:09 PM,1,0,5,0,38,50,79,0.0,1020,9,10,192,23,New_Hampshire
2019-12-09,11,8,0.0,4.8,3,84,04:47 PM,05:55 AM,08:47 AM,06:09 PM,8,7,10,7,37,100,92,27.8,1005,11,7,208,24,New_Hampshire
2019-12-10,-3,-5,0.0,6.5,1,92,05:20 PM,06:58 AM,08:48 AM,06:09 PM,-8,-8,-2,-8,30,68,63,0.6,1018,-3,9,275,23,New_Hampshire
2019-12-11,-3,-6,0.0,8.2,1,99,05:59 PM,08:03 AM,08:49 AM,06:09 PM,-11,-10,-5,-10,24,28,61,0.0,1031,-3,10,274,17,New_Hampshire
2019-12-12,2,-6,0.0,8.2,1,100,06:46 PM,09:07 AM,08:50 AM,06:09 PM,-7,-7,-2,-7,24,33,68,0.0,1032,2,10,169,16,New_Hampshire
2019-12-13,6,-1,0.0,9.6,1,87,07:41 PM,10:09 AM,08:51 AM,06:09 PM,-1,-1,2,-1,28,37,82,0.0,1017,6,10,182,17,New_Hampshire
2019-12-14,5,2,2.7,8.2,1,79,08:43 PM,11:06 AM,08:51 AM,06:09 PM,1,-1,3,-1,16,85,89,6.6,1006,5,7,276,11,New_Hampshire
2019-12-15,-1,-3,0.7,6.5,1,72,09:52 PM,11:56 AM,08:52 AM,06:10 PM,-6,-6,-2,-6,23,86,72,0.8,1018,-1,8,270,17,New_Hampshire
2019-12-16,1,-3,6.3,4.8,1,65,11:02 PM,12:39 PM,08:53 AM,06:10 PM,-2,-6,-1,-6,19,97,93,7.4,1020,1,4,104,13,New_Hampshire
2019-12-17,-2,-6,9.4,8.2,1,58,No moonrise,01:16 PM,08:53 AM,06:10 PM,-4,-9,-3,-9,31,58,91,11.0,1017,-2,5,285,22,New_Hampshire
2019-12-18,-6,-12,0.6,8.2,1,50,12:13 AM,01:49 PM,08:54 AM,06:10 PM,-9,-15,-8,-15,30,57,88,0.7,1023,-6,8,280,19,New_Hampshire
2019-12-19,-4,-13,0.0,9.6,2,43,01:25 AM,02:19 PM,08:55 AM,06:11 PM,-11,-14,-9,-14,26,7,83,0.0,1031,-4,10,217,14,New_Hampshire
2019-12-20,-1,-7,0.0,9.6,1,36,02:34 AM,02:48 PM,08:55 AM,06:11 PM,-5,-7,-4,-7,18,37,89,0.0,1033,-1,9,213,9,New_Hampshire
2019-12-21,2,-2,0.0,9.6,2,28,03:45 AM,03:19 PM,08:56 AM,06:12 PM,-2,-4,-0,-4,24,21,87,0.0,1030,2,10,215,13,New_Hampshire
2019-12-22,4,-1,0.0,9.6,1,21,04:55 AM,03:51 PM,08:56 AM,06:12 PM,-0,-2,1,-2,26,1,88,0.0,1027,4,9,216,13,New_Hampshire
2019-12-23,7,2,0.0,9.6,2,14,06:05 AM,04:27 PM,08:57 AM,06:13 PM,2,1,4,1,22,1,86,0.0,1021,7,10,226,11,New_Hampshire
2019-12-24,7,1,0.0,9.6,2,7,07:15 AM,05:08 PM,08:57 AM,06:13 PM,1,2,3,2,14,21,86,0.0,1020,7,10,217,7,New_Hampshire
2019-12-25,10,3,0.0,9.6,2,0,08:20 AM,05:55 PM,08:58 AM,06:14 PM,4,3,6,3,30,14,87,0.0,1017,10,10,198,16,New_Hampshire
2019-12-26,13,8,0.0,4.8,3,0,09:21 AM,06:48 PM,08:58 AM,06:15 PM,10,9,11,9,31,82,96,0.1,1018,13,10,208,18,New_Hampshire
2019-12-27,12,3,0.0,6.5,2,0,10:14 AM,07:46 PM,08:58 AM,06:15 PM,7,7,9,7,26,75,86,0.9,1022,12,9,247,16,New_Hampshire
2019-12-28,8,1,0.0,9.6,2,8,10:59 AM,08:45 PM,08:59 AM,06:16 PM,3,3,5,3,20,39,86,0.2,1023,8,8,139,11,New_Hampshire
2019-12-29,14,8,0.0,4.8,3,15,11:38 AM,09:46 PM,08:59 AM,06:17 PM,10,9,12,9,34,85,92,27.5,1008,14,7,162,21,New_Hampshire
2019-12-30,8,1,0.0,4.8,1,22,12:10 PM,10:46 PM,08:59 AM,06:17 PM,2,1,6,1,35,92,81,9.8,1001,8,6,243,25,New_Hampshire
2019-12-31,-0,-2,0.6,4.8,1,26,12:39 PM,11:45 PM,08:59 AM,06:18 PM,-3,-8,-1,-8,46,98,86,5.0,1007,-0,0,249,34,New_Hampshire
2020-01-01,2,-3,0.1,9.6,2,37,01:05 PM,No moonset,08:59 AM,06:19 PM,-5,-7,-1,-7,30,29,75,0.2,1013,2,9,247,21,New_Hampshire
2020-01-02,6,-2,0.0,6.5,1,44,01:30 PM,12:43 AM,08:59 AM,06:20 PM,1,-1,3,-1,39,50,84,1.0,1009,6,9,204,24,New_Hampshire
2020-01-03,8,4,0.0,4.6,2,51,01:54 PM,01:42 AM,09:00 AM,06:21 PM,7,5,7,5,16,100,98,28.5,1005,8,5,213,10,New_Hampshire
2020-01-04,5,0,2.2,4.6,1,59,02:18 PM,02:40 AM,09:00 AM,06:22 PM,2,-1,3,-1,22,98,92,10.7,1011,5,6,223,16,New_Hampshire
2020-01-05,4,-2,0.1,8.1,1,66,02:46 PM,03:40 AM,09:00 AM,06:23 PM,-3,-5,0,-5,36,44,78,0.2,1017,4,10,253,26,New_Hampshire
2020-01-06,2,-2,0.0,9.2,1,73,03:16 PM,04:41 AM,09:00 AM,06:24 PM,-5,-5,-0,-5,27,29,72,0.0,1019,2,10,259,18,New_Hampshire
