date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,5,1,1.9,3.5,1,26,12:25 PM,10:18 PM,08:01 AM,05:30 PM,-4,-2,2,-2,19,68,67,20.9,1010,5,8,92,13,New_Jersey
2019-12-02,3,0,3.7,3.5,1,33,01:00 PM,11:19 PM,08:02 AM,05:30 PM,1,-4,2,-4,33,100,94,27.1,999,3,3,112,24,New_Jersey
2019-12-03,2,-1,0.7,8.7,1,41,01:31 PM,No moonset,08:03 AM,05:29 PM,-3,-5,1,-5,28,44,77,6.3,1001,2,7,296,22,New_Jersey
2019-12-04,3,-1,0.0,5.2,1,48,01:58 PM,12:18 AM,08:04 AM,05:29 PM,0,-2,2,-2,23,82,86,0.1,1001,3,10,260,16,New_Jersey
2019-12-05,4,-1,0.2,7.0,1,55,02:23 PM,01:16 AM,08:05 AM,05:29 PM,-3,-2,3,-2,28,45,64,0.3,1008,4,9,291,21,New_Jersey
2019-12-06,5,1,0.0,5.2,1,62,02:47 PM,02:14 AM,08:06 AM,05:29 PM,-3,-1,3,-1,21,58,66,0.0,1019,5,10,265,15,New_Jersey
2019-12-07,3,-0,0.0,8.7,2,70,03:12 PM,03:13 AM,08:07 AM,05:29 PM,-6,-3,1,-3,21,11,57,0.0,1027,3,10,324,16,New_Jersey
2019-12-08,4,-1,0.0,7.0,1,77,03:38 PM,04:13 AM,08:07 AM,05:29 PM,-4,0,3,0,13,33,60,0.0,1032,4,10,198,9,New_Jersey
2019-12-09,10,6,0.0,3.5,2,84,04:06 PM,05:14 AM,08:08 AM,05:29 PM,7,6,8,6,23,100,94,38.4,1017,10,7,210,13,New_Jersey
2019-12-10,12,6,0.0,3.5,3,92,04:39 PM,06:17 AM,08:09 AM,05:29 PM,8,8,10,8,40,88,89,14.3,1011,12,8,249,23,New_Jersey
2019-12-11,3,1,11.5,6.9,1,99,05:18 PM,07:22 AM,08:10 AM,05:29 PM,-3,-3,2,-3,19,55,73,16.4,1025,3,6,293,15,New_Jersey
2019-12-12,3,-1,0.0,8.7,2,100,06:05 PM,08:26 AM,08:11 AM,05:29 PM,-9,-3,1,-3,15,2,49,0.0,1038,3,10,205,13,New_Jersey
2019-12-13,8,3,0.0,3.4,2,87,06:59 PM,09:29 AM,08:11 AM,05:29 PM,4,3,6,3,9,83,87,24.7,1026,8,7,140,5,New_Jersey
2019-12-14,12,7,0.0,3.4,3,79,08:02 PM,10:25 AM,08:12 AM,05:30 PM,9,8,10,8,24,95,92,35.2,997,12,7,123,15,New_Jersey
2019-12-15,7,3,0.0,8.7,3,72,09:10 PM,11:16 AM,08:13 AM,05:30 PM,-1,1,5,1,38,32,62,0.2,1010,7,10,270,28,New_Jersey
