date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,3,-2,3.2,3.4,1,26,12:33 PM,10:18 PM,08:08 AM,05:27 PM,0,-3,1,-3,27,98,93,3.8,998,3,2,264,18,North_Dakota
2019-12-02,1,-4,0.3,8.7,1,33,01:08 PM,11:20 PM,08:09 AM,05:26 PM,-6,-7,-2,-7,22,37,78,0.3,1017,1,9,321,17,North_Dakota
2019-12-03,5,-3,0.0,8.7,1,41,01:37 PM,No moonset,08:10 AM,05:26 PM,-3,-4,1,-4,26,40,75,0.0,1008,5,10,242,17,North_Dakota
2019-12-04,4,-2,0.0,8.7,1,48,02:03 PM,12:19 AM,08:11 AM,05:26 PM,-3,-5,0,-5,31,19,80,0.0,1009,4,10,292,21,North_Dakota
2019-12-05,4,-3,0.0,6.9,1,55,02:27 PM,01:19 AM,08:12 AM,05:26 PM,-2,-2,0,-2,11,58,85,0.0,1016,4,9,246,7,North_Dakota
2019-12-06,2,-3,0.0,8.7,2,62,02:50 PM,02:18 AM,08:13 AM,05:26 PM,-4,-5,-1,-5,21,30,77,0.0,1026,2,10,166,14,North_Dakota
2019-12-07,3,-3,0.0,8.7,2,70,03:14 PM,03:18 AM,08:14 AM,05:26 PM,-5,-5,-0,-5,23,12,69,0.0,1026,3,10,183,14,North_Dakota
2019-12-08,6,1,0.0,8.7,2,77,03:39 PM,04:19 AM,08:14 AM,05:26 PM,0,-1,3,-1,33,40,82,0.0,1012,6,10,209,21,North_Dakota
2019-12-09,7,-7,0.0,3.4,1,84,04:06 PM,05:21 AM,08:15 AM,05:26 PM,0,-2,2,-2,24,100,88,1.9,1003,7,5,243,18,North_Dakota
2019-12-10,-8,-11,0.0,8.7,1,92,04:39 PM,06:25 AM,08:16 AM,05:26 PM,-17,-17,-10,-17,25,37,58,0.0,1023,-8,10,291,20,North_Dakota
2019-12-11,-6,-11,0.2,6.9,1,99,05:17 PM,07:32 AM,08:17 AM,05:26 PM,-16,-14,-9,-14,16,43,56,0.4,1031,-6,9,241,12,North_Dakota
2019-12-12,5,-8,0.0,5.2,1,100,06:03 PM,08:36 AM,08:18 AM,05:26 PM,-6,-6,-1,-6,33,45,69,0.2,1022,5,10,173,21,North_Dakota
2019-12-13,3,-3,0.0,8.7,1,87,06:58 PM,09:39 AM,08:19 AM,05:26 PM,-3,-2,-0,-2,13,49,81,0.0,1014,3,9,209,8,North_Dakota
2019-12-14,-3,-7,0.0,6.9,1,79,08:01 PM,10:35 AM,08:19 AM,05:26 PM,-8,-9,-4,-9,21,51,72,0.0,1011,-3,10,287,16,North_Dakota
2019-12-15,-5,-10,0.1,6.9,1,72,09:10 PM,11:25 AM,08:20 AM,05:26 PM,-14,-11,-8,-11,14,48,59,0.1,1020,-5,10,228,11,North_Dakota
2019-12-16,-2,-7,0.4,5.2,1,65,10:21 PM,12:06 PM,08:21 AM,05:27 PM,-8,-7,-5,-7,13,74,78,0.5,1023,-2,8,180,10,North_Dakota
2019-12-17,-2,-8,0.0,8.7,2,58,11:35 PM,12:42 PM,08:22 AM,05:27 PM,-8,-10,-5,-10,29,26,81,0.0,1021,-2,10,286,23,North_Dakota
2019-12-18,-8,-12,0.0,8.7,2,50,No moonrise,01:14 PM,08:22 AM,05:27 PM,-18,-15,-9,-15,17,17,50,0.0,1027,-8,10,298,13,North_Dakota
2019-12-19,1,-8,0.0,8.7,2,43,12:46 AM,01:43 PM,08:23 AM,05:28 PM,-8,-9,-4,-9,24,33,75,0.0,1025,1,10,198,16,North_Dakota
2019-12-20,3,-3,0.0,8.7,2,36,01:58 AM,02:10 PM,08:23 AM,05:28 PM,-2,-4,-0,-4,25,29,88,0.0,1028,3,10,191,14,North_Dakota
2019-12-21,5,-2,0.0,8.7,2,28,03:10 AM,02:39 PM,08:24 AM,05:29 PM,-1,-3,1,-3,28,8,86,0.0,1026,5,10,223,17,North_Dakota
2019-12-22,7,1,0.0,8.7,2,21,04:21 AM,03:11 PM,08:24 AM,05:29 PM,1,-1,3,-1,35,16,84,0.0,1022,7,10,218,22,North_Dakota
2019-12-23,7,2,0.0,8.7,2,14,05:33 AM,03:46 PM,08:25 AM,05:30 PM,0,0,3,0,28,34,81,0.0,1019,7,10,215,16,North_Dakota
2019-12-24,10,0,0.0,6.9,2,7,06:43 AM,04:25 PM,08:25 AM,05:30 PM,2,1,4,1,27,39,85,0.0,1016,10,10,186,15,North_Dakota
2019-12-25,11,4,0.0,8.7,3,0,07:50 AM,05:12 PM,08:26 AM,05:31 PM,6,5,8,5,31,39,90,0.0,1011,11,10,198,18,North_Dakota
2019-12-26,10,2,0.0,8.7,3,0,08:50 AM,06:05 PM,08:26 AM,05:32 PM,5,5,7,5,31,30,83,0.0,1014,10,10,222,20,North_Dakota
2019-12-27,3,-1,0.0,5.2,1,0,09:44 AM,07:03 PM,08:26 AM,05:32 PM,-3,-2,0,-2,15,51,78,0.0,1024,3,10,260,11,North_Dakota
2019-12-28,4,-1,0.0,3.4,1,8,10:28 AM,08:03 PM,08:27 AM,05:33 PM,-0,-2,2,-2,33,76,84,13.0,1018,4,9,128,19,North_Dakota
