date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,9,2,0.0,10.0,3,26,12:48 PM,11:09 PM,08:20 AM,06:17 PM,-6,-0,5,-0,39,0,45,0.0,1019,9,10,309,24,Oklahoma
2019-12-02,10,0,0.0,10.0,3,33,01:25 PM,No moonset,08:21 AM,06:17 PM,-4,1,4,1,21,22,55,0.0,1024,10,10,284,12,Oklahoma
2019-12-03,13,5,0.0,10.0,3,41,01:58 PM,12:06 AM,08:22 AM,06:17 PM,0,6,8,6,27,10,57,0.0,1015,13,10,267,16,Oklahoma
2019-12-04,15,6,0.0,9.9,3,48,02:27 PM,01:03 AM,08:23 AM,06:17 PM,1,8,10,8,17,32,57,0.0,1018,15,10,270,9,Oklahoma
2019-12-05,17,11,0.0,9.9,4,55,02:55 PM,01:58 AM,08:24 AM,06:17 PM,5,11,13,11,33,21,58,0.1,1011,17,10,220,21,Oklahoma
2019-12-06,9,5,0.0,9.9,2,62,03:23 PM,02:54 AM,08:25 AM,06:17 PM,4,4,8,4,33,44,75,1.8,1023,9,10,198,24,Oklahoma
2019-12-07,12,5,0.0,9.9,3,70,03:50 PM,03:49 AM,08:26 AM,06:17 PM,3,6,7,6,14,16,73,0.0,1024,12,10,137,10,Oklahoma
2019-12-08,18,9,0.0,9.9,3,77,04:19 PM,04:46 AM,08:26 AM,06:17 PM,6,10,12,10,36,24,69,0.0,1009,18,10,198,23,Oklahoma
2019-12-09,12,2,0.0,9.9,3,84,04:51 PM,05:44 AM,08:27 AM,06:17 PM,-1,6,9,6,36,23,50,0.0,1010,12,10,227,24,Oklahoma
2019-12-10,7,-1,0.0,9.9,2,92,05:27 PM,06:45 AM,08:28 AM,06:17 PM,-11,-0,2,-0,15,15,37,0.0,1027,7,10,110,10,Oklahoma
2019-12-11,10,0,0.0,9.9,3,99,06:09 PM,07:47 AM,08:29 AM,06:17 PM,-4,0,5,0,34,6,56,0.0,1030,10,10,189,21,Oklahoma
2019-12-12,12,5,0.0,9.9,2,100,06:57 PM,08:49 AM,08:29 AM,06:17 PM,1,4,8,4,39,39,61,0.0,1021,12,10,188,25,Oklahoma
2019-12-13,15,5,0.0,9.9,3,87,07:53 PM,09:50 AM,08:30 AM,06:18 PM,4,8,9,8,16,26,71,0.0,1013,15,10,197,9,Oklahoma
2019-12-14,10,3,0.0,9.9,2,79,08:55 PM,10:47 AM,08:31 AM,06:18 PM,-0,4,7,4,23,32,62,0.0,1013,10,10,122,14,Oklahoma
2019-12-15,4,-0,0.0,8.3,1,72,10:01 PM,11:39 AM,08:32 AM,06:18 PM,-3,-2,2,-2,24,37,70,0.0,1012,4,10,105,16,Oklahoma
2019-12-16,2,-3,0.0,4.9,1,65,11:09 PM,12:23 PM,08:32 AM,06:19 PM,-5,-8,-2,-8,31,79,78,0.1,1020,2,9,303,23,Oklahoma
2019-12-17,7,-5,0.0,9.9,2,58,No moonrise,01:03 PM,08:33 AM,06:19 PM,-7,-4,0,-4,15,5,65,0.0,1030,7,10,304,10,Oklahoma
2019-12-18,11,-1,0.0,9.9,3,50,12:17 AM,01:40 PM,08:33 AM,06:19 PM,-10,1,4,1,21,0,36,0.0,1029,11,10,253,11,Oklahoma
2019-12-19,12,2,0.0,9.9,2,43,01:25 AM,02:13 PM,08:34 AM,06:20 PM,-7,2,6,2,37,17,41,0.0,1025,12,10,193,22,Oklahoma
2019-12-20,11,5,0.0,9.9,2,36,02:31 AM,02:45 PM,08:35 AM,06:20 PM,-1,3,7,3,33,47,58,0.0,1025,11,10,181,22,Oklahoma
2019-12-21,11,4,0.0,9.9,3,28,03:38 AM,03:19 PM,08:35 AM,06:21 PM,3,5,7,5,14,30,80,0.0,1028,11,10,197,9,Oklahoma
2019-12-22,12,3,0.0,9.9,3,21,04:45 AM,03:55 PM,08:36 AM,06:21 PM,1,4,6,4,26,2,73,0.0,1025,12,10,197,15,Oklahoma
2019-12-23,15,4,0.0,9.9,2,14,05:52 AM,04:34 PM,08:36 AM,06:22 PM,2,6,8,6,35,21,63,0.0,1019,15,10,187,20,Oklahoma
2019-12-24,17,8,0.0,9.9,4,7,06:58 AM,05:18 PM,08:37 AM,06:22 PM,2,9,11,9,45,2,52,0.0,1014,17,10,190,26,Oklahoma
2019-12-25,19,10,0.0,9.9,4,0,08:02 AM,06:06 PM,08:37 AM,06:23 PM,4,12,14,12,47,20,54,0.0,1010,19,10,189,29,Oklahoma
2019-12-26,16,8,0.0,9.9,4,0,09:02 AM,07:00 PM,08:37 AM,06:23 PM,1,10,12,10,26,21,52,0.0,1016,16,10,202,14,Oklahoma
2019-12-27,11,5,0.0,6.6,2,0,09:55 AM,07:57 PM,08:38 AM,06:24 PM,-0,5,8,5,25,75,60,0.8,1020,11,8,97,16,Oklahoma
2019-12-28,16,10,0.0,8.3,3,8,10:41 AM,08:55 PM,08:38 AM,06:25 PM,11,12,14,12,45,69,85,29.7,1005,16,9,185,28,Oklahoma
2019-12-29,7,2,0.0,9.9,2,15,11:22 AM,09:54 PM,08:38 AM,06:25 PM,-2,1,5,1,32,14,60,0.0,1010,7,10,269,21,Oklahoma
2019-12-30,8,1,0.0,9.9,2,22,11:57 AM,10:51 PM,08:39 AM,06:26 PM,-6,-1,4,-1,33,4,49,0.0,1019,8,10,296,22,Oklahoma
2019-12-31,10,-1,0.0,9.9,3,26,12:28 PM,11:47 PM,08:39 AM,06:27 PM,-7,1,4,1,20,5,44,0.0,1022,10,10,276,11,Oklahoma
2020-01-01,11,3,0.0,9.9,3,37,12:56 PM,No moonset,08:39 AM,06:28 PM,-1,2,6,2,40,10,59,0.0,1011,11,10,194,25,Oklahoma
