date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,5,-1,0.0,3.4,1,26,12:58 PM,10:28 PM,08:29 AM,05:29 PM,-1,-1,2,-1,15,85,80,8.2,1014,5,8,53,10,Oregon
2019-12-02,10,2,0.0,8.7,3,33,01:30 PM,11:31 PM,08:30 AM,05:29 PM,2,5,6,5,8,16,80,0.0,1020,10,10,63,5,Oregon
2019-12-03,10,3,0.0,8.7,3,41,01:57 PM,No moonset,08:32 AM,05:29 PM,2,6,6,6,2,31,77,0.0,1020,10,10,171,1,Oregon
2019-12-04,9,4,0.0,3.4,2,48,02:21 PM,12:32 AM,08:33 AM,05:28 PM,5,7,7,7,3,90,90,0.4,1013,9,8,155,1,Oregon
2019-12-05,12,6,0.0,5.1,2,55,02:43 PM,01:34 AM,08:34 AM,05:28 PM,5,8,8,8,7,79,80,0.2,1014,12,9,37,4,Oregon
2019-12-06,10,4,0.0,5.1,2,62,03:04 PM,02:35 AM,08:35 AM,05:28 PM,4,7,8,7,9,57,79,2.1,1011,10,9,52,5,Oregon
2019-12-07,9,6,0.0,3.3,2,70,03:26 PM,03:37 AM,08:36 AM,05:28 PM,7,7,8,7,6,91,94,18.9,1008,9,7,83,4,Oregon
2019-12-08,10,5,0.0,5.1,2,77,03:49 PM,04:40 AM,08:37 AM,05:28 PM,6,7,7,7,3,67,93,0.9,1017,10,8,178,2,Oregon
2019-12-09,12,4,0.0,8.7,3,84,04:15 PM,05:45 AM,08:38 AM,05:28 PM,5,7,7,7,2,16,86,0.2,1023,12,9,153,1,Oregon
2019-12-10,7,3,0.0,3.3,2,92,04:46 PM,06:51 AM,08:39 AM,05:28 PM,2,4,4,4,4,77,84,11.2,1021,7,8,196,2,Oregon
2019-12-11,10,5,0.0,3.3,2,99,05:24 PM,07:59 AM,08:40 AM,05:28 PM,7,7,8,7,6,92,91,10.2,1015,10,6,197,3,Oregon
2019-12-12,11,7,0.0,5.1,2,100,06:09 PM,09:05 AM,08:40 AM,05:28 PM,7,6,9,6,22,66,89,18.3,1017,11,9,214,14,Oregon
2019-12-13,10,5,0.0,8.7,2,87,07:05 PM,10:08 AM,08:41 AM,05:28 PM,5,6,6,6,11,52,92,4.3,1019,10,10,195,7,Oregon
2019-12-14,8,3,0.0,5.1,2,79,08:09 PM,11:03 AM,08:42 AM,05:28 PM,4,4,5,4,4,62,89,2.0,1017,8,10,190,3,Oregon
2019-12-15,7,1,0.0,6.9,1,72,09:20 PM,11:50 AM,08:43 AM,05:28 PM,1,2,3,2,3,54,89,0.3,1023,7,8,130,2,Oregon
2019-12-16,10,1,0.0,6.9,2,65,10:33 PM,12:29 PM,08:44 AM,05:29 PM,1,4,5,4,5,43,77,0.0,1027,10,10,107,3,Oregon
2019-12-17,8,2,0.0,3.3,2,58,11:49 PM,01:03 PM,08:44 AM,05:29 PM,-1,4,5,4,14,55,64,0.0,1021,8,10,52,9,Oregon
2019-12-18,8,2,0.0,5.1,2,50,No moonrise,01:32 PM,08:45 AM,05:29 PM,-0,4,5,4,12,68,69,3.3,1012,8,8,144,8,Oregon
2019-12-19,11,6,0.0,3.3,2,43,01:03 AM,01:58 PM,08:46 AM,05:30 PM,7,7,8,7,18,96,95,31.8,1009,11,7,163,11,Oregon
2019-12-20,13,10,0.0,3.3,3,36,02:17 AM,02:24 PM,08:46 AM,05:30 PM,9,10,11,10,28,96,86,14.9,1009,13,8,170,17,Oregon
2019-12-21,10,6,0.0,3.3,2,28,03:31 AM,02:51 PM,08:47 AM,05:30 PM,8,8,9,8,11,99,93,31.0,1008,10,8,197,8,Oregon
2019-12-22,8,5,0.0,3.3,2,21,04:45 AM,03:20 PM,08:47 AM,05:31 PM,5,5,6,5,5,87,90,3.0,1007,8,8,220,3,Oregon
2019-12-23,8,4,0.0,8.7,2,14,05:59 AM,03:53 PM,08:48 AM,05:32 PM,4,5,6,5,8,48,88,4.6,1015,8,10,179,6,Oregon
