date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,1,-2,4.1,3.5,1,26,12:41 PM,10:35 PM,08:16 AM,05:45 PM,-3,-4,-1,-4,12,93,84,20.1,1005,1,4,135,8,Pennsylvania
2019-12-02,1,-3,9.7,3.5,1,33,01:16 PM,11:35 PM,08:17 AM,05:45 PM,-1,-4,-1,-4,21,94,95,11.4,1004,1,3,304,13,Pennsylvania
2019-12-03,1,-4,0.0,7.0,1,41,01:47 PM,No moonset,08:18 AM,05:45 PM,-4,-7,-2,-7,26,62,86,0.0,1007,1,10,304,17,Pennsylvania
2019-12-04,1,-4,0.8,3.5,1,48,02:13 PM,12:34 AM,08:19 AM,05:45 PM,-2,-5,-1,-5,21,79,91,1.0,1002,1,7,258,14,Pennsylvania
2019-12-05,1,-4,0.3,8.7,1,55,02:38 PM,01:33 AM,08:20 AM,05:45 PM,-4,-7,-2,-7,28,52,85,0.6,1012,1,9,285,18,Pennsylvania
2019-12-06,3,-4,0.3,3.5,1,62,03:03 PM,02:30 AM,08:21 AM,05:44 PM,-2,-4,-1,-4,14,75,92,0.5,1020,3,6,255,9,Pennsylvania
2019-12-07,-0,-5,0.0,8.7,2,70,03:28 PM,03:29 AM,08:22 AM,05:44 PM,-6,-6,-3,-6,10,18,85,0.0,1029,-0,8,257,6,Pennsylvania
2019-12-08,3,-4,0.0,7.0,2,77,03:54 PM,04:29 AM,08:23 AM,05:44 PM,-5,-4,-1,-4,15,31,71,0.0,1028,3,10,155,10,Pennsylvania
2019-12-09,4,0,0.0,3.5,1,84,04:22 PM,05:30 AM,08:24 AM,05:44 PM,1,0,2,0,10,86,90,15.2,1013,4,7,156,6,Pennsylvania
2019-12-10,9,-2,0.4,5.2,2,92,04:55 PM,06:33 AM,08:24 AM,05:44 PM,3,2,5,2,22,77,87,10.1,1012,9,8,253,14,Pennsylvania
2019-12-11,-1,-5,0.8,8.7,1,99,05:34 PM,07:38 AM,08:25 AM,05:45 PM,-10,-9,-3,-9,20,36,62,0.9,1028,-1,8,270,15,Pennsylvania
