date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,30,17,0.0,13.8,7,26,09:12 AM,11:02 PM,04:59 AM,06:38 PM,3,23,23,23,23,0,29,0.0,1015,30,10,148,15,South_Carolina
2019-12-02,30,16,0.0,13.8,7,33,10:06 AM,11:42 PM,04:59 AM,06:38 PM,9,23,23,23,18,3,44,0.0,1014,30,10,215,13,South_Carolina
2019-12-03,32,18,0.0,13.8,7,41,11:00 AM,No moonset,04:59 AM,06:39 PM,9,24,24,25,19,3,41,0.2,1011,32,10,262,13,South_Carolina
2019-12-04,16,11,0.0,8.6,3,48,11:52 AM,12:18 AM,04:59 AM,06:40 PM,11,14,15,14,34,79,80,17.7,1020,16,7,96,26,South_Carolina
2019-12-05,13,10,0.0,8.6,3,55,12:43 PM,12:52 AM,04:59 AM,06:41 PM,10,11,12,11,16,81,87,13.4,1022,13,8,95,12,South_Carolina
2019-12-06,13,12,0.0,8.4,3,62,01:34 PM,01:24 AM,05:00 AM,06:41 PM,11,12,13,12,9,76,91,8.3,1017,13,8,278,6,South_Carolina
2019-12-07,22,9,0.0,13.3,4,70,02:25 PM,01:55 AM,05:00 AM,06:42 PM,14,17,18,17,10,57,80,4.7,1012,22,10,177,7,South_Carolina
2019-12-08,21,15,0.0,12.1,4,77,03:18 PM,02:27 AM,05:00 AM,06:43 PM,15,18,18,18,18,58,86,21.4,1011,21,8,157,12,South_Carolina
2019-12-09,17,15,0.0,10.8,4,84,04:12 PM,03:01 AM,05:00 AM,06:43 PM,14,16,16,16,20,63,91,35.4,1013,17,8,40,13,South_Carolina
2019-12-10,15,14,0.0,9.6,4,92,05:08 PM,03:38 AM,05:00 AM,06:44 PM,14,15,15,15,18,73,93,15.4,1015,15,9,53,14,South_Carolina
2019-12-11,25,12,0.0,13.4,6,99,06:07 PM,04:18 AM,05:01 AM,06:45 PM,12,19,19,19,15,20,67,2.3,1011,25,9,263,10,South_Carolina
2019-12-12,25,13,0.0,13.4,6,100,07:07 PM,05:04 AM,05:01 AM,06:45 PM,11,19,19,19,17,14,62,0.0,1014,25,10,164,11,South_Carolina
2019-12-13,25,13,0.0,13.5,6,87,08:06 PM,05:56 AM,05:01 AM,06:46 PM,13,19,19,19,20,23,70,1.0,1017,25,10,174,15,South_Carolina
2019-12-14,26,14,0.0,13.5,6,79,09:03 PM,06:53 AM,05:01 AM,06:47 PM,13,21,21,20,21,18,64,0.1,1015,26,9,215,15,South_Carolina
2019-12-15,30,17,0.0,13.5,7,72,09:56 PM,07:55 AM,05:02 AM,06:47 PM,10,23,23,23,22,2,46,0.0,1012,30,10,294,14,South_Carolina
2019-12-16,28,13,0.0,13.5,6,65,10:44 PM,08:58 AM,05:02 AM,06:48 PM,9,20,20,20,25,5,49,0.0,1016,28,10,170,17,South_Carolina
2019-12-17,26,13,0.0,13.5,6,58,11:28 PM,10:02 AM,05:02 AM,06:48 PM,12,20,20,19,15,15,63,0.0,1016,26,10,272,11,South_Carolina
2019-12-18,28,16,0.0,13.5,6,50,No moonrise,11:05 AM,05:03 AM,06:49 PM,12,22,22,22,22,10,57,0.3,1012,28,10,275,15,South_Carolina
2019-12-19,29,17,0.0,13.5,6,43,12:08 AM,12:07 PM,05:03 AM,06:50 PM,14,23,23,23,14,12,61,4.4,1011,29,10,281,10,South_Carolina
