date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,-0,0.3,3.5,1,26,12:33 PM,10:29 PM,08:07 AM,05:38 PM,-0,-3,2,-3,45,86,85,2.0,1000,4,6,269,31,Tennessee
2019-12-02,2,-2,0.3,5.2,1,33,01:08 PM,11:29 PM,08:08 AM,05:37 PM,-4,-5,-1,-5,25,65,77,0.4,1019,2,9,316,17,Tennessee
2019-12-03,8,-1,0.0,7.0,1,41,01:39 PM,No moonset,08:09 AM,05:37 PM,-2,-1,3,-1,26,33,71,0.0,1011,8,10,243,16,Tennessee
2019-12-04,8,1,0.0,8.7,2,48,02:05 PM,12:28 AM,08:10 AM,05:37 PM,-0,-0,4,-0,27,14,77,0.0,1011,8,10,286,17,Tennessee
2019-12-05,10,1,0.0,8.7,3,55,02:31 PM,01:26 AM,08:11 AM,05:37 PM,2,3,5,3,12,7,81,0.0,1016,10,10,246,7,Tennessee
2019-12-06,4,-0,0.0,8.7,1,62,02:55 PM,02:24 AM,08:12 AM,05:37 PM,-1,-1,3,-1,24,30,78,0.0,1025,4,10,72,16,Tennessee
2019-12-07,6,-1,0.0,8.7,2,70,03:20 PM,03:23 AM,08:12 AM,05:37 PM,-3,-2,1,-2,20,13,73,0.0,1026,6,10,160,12,Tennessee
2019-12-08,10,1,0.0,7.0,2,77,03:46 PM,04:22 AM,08:13 AM,05:37 PM,3,2,5,2,30,64,82,0.0,1013,10,10,191,18,Tennessee
2019-12-09,10,-5,0.0,3.5,1,84,04:15 PM,05:24 AM,08:14 AM,05:37 PM,1,-0,4,-0,26,73,78,0.1,1006,10,9,248,19,Tennessee
2019-12-10,-2,-7,0.0,8.7,2,92,04:48 PM,06:26 AM,08:15 AM,05:37 PM,-14,-12,-6,-12,21,14,51,0.0,1025,-2,10,302,15,Tennessee
2019-12-11,0,-7,0.0,8.7,2,99,05:28 PM,07:31 AM,08:16 AM,05:37 PM,-11,-8,-4,-8,12,17,57,0.0,1030,0,10,192,8,Tennessee
2019-12-12,9,-2,0.0,8.7,3,100,06:15 PM,08:35 AM,08:17 AM,05:37 PM,-4,-1,3,-1,37,19,62,0.0,1023,9,10,177,22,Tennessee
2019-12-13,8,2,0.0,7.0,1,87,07:10 PM,09:38 AM,08:17 AM,05:37 PM,0,3,4,3,21,47,74,0.0,1014,8,10,178,12,Tennessee
2019-12-14,1,-5,0.1,6.9,1,79,08:12 PM,10:34 AM,08:18 AM,05:37 PM,-5,-5,-1,-5,26,50,71,0.1,1012,1,9,287,19,Tennessee
2019-12-15,-4,-7,2.7,5.2,1,72,09:21 PM,11:24 AM,08:19 AM,05:38 PM,-11,-9,-5,-9,15,69,66,3.2,1020,-4,8,173,11,Tennessee
2019-12-16,-2,-7,0.2,3.4,1,65,10:31 PM,12:06 PM,08:20 AM,05:38 PM,-6,-10,-5,-10,24,74,91,0.2,1022,-2,9,174,16,Tennessee
2019-12-17,-2,-8,0.0,8.7,1,58,11:43 PM,12:43 PM,08:20 AM,05:38 PM,-6,-10,-5,-10,29,33,91,0.0,1023,-2,9,282,16,Tennessee
2019-12-18,-4,-8,0.0,8.7,2,50,No moonrise,01:17 PM,08:21 AM,05:39 PM,-10,-10,-6,-10,18,22,79,0.0,1027,-4,9,248,11,Tennessee
2019-12-19,3,-6,0.0,8.7,2,43,12:53 AM,01:47 PM,08:21 AM,05:39 PM,-4,-7,-1,-7,29,15,85,0.0,1026,3,10,196,17,Tennessee
2019-12-20,5,-1,0.0,3.4,1,36,02:03 AM,02:16 PM,08:22 AM,05:40 PM,-0,-2,2,-2,23,70,86,0.0,1029,5,10,195,12,Tennessee
2019-12-21,7,-0,0.0,8.7,2,28,03:14 AM,02:47 PM,08:23 AM,05:40 PM,1,-0,3,-0,21,7,87,0.0,1028,7,10,216,11,Tennessee
2019-12-22,9,1,0.0,8.7,3,21,04:23 AM,03:19 PM,08:23 AM,05:41 PM,1,1,4,1,27,2,78,0.0,1024,9,10,205,15,Tennessee
2019-12-23,11,2,0.0,8.7,3,14,05:34 AM,03:55 PM,08:23 AM,05:41 PM,2,3,6,3,24,16,76,0.0,1019,11,10,204,13,Tennessee
2019-12-24,13,5,0.0,6.9,2,7,06:43 AM,04:36 PM,08:24 AM,05:42 PM,5,6,8,6,29,34,78,0.0,1016,13,10,189,16,Tennessee
2019-12-25,16,7,0.0,8.7,4,0,07:49 AM,05:24 PM,08:24 AM,05:42 PM,8,9,11,9,32,15,83,0.0,1011,16,10,189,18,Tennessee
2019-12-26,14,5,0.0,5.2,3,0,08:49 AM,06:17 PM,08:25 AM,05:43 PM,8,9,11,9,28,51,81,0.0,1015,14,10,232,17,Tennessee
2019-12-27,6,0,0.0,8.7,2,0,09:42 AM,07:14 PM,08:25 AM,05:44 PM,-2,0,3,0,14,23,72,0.0,1025,6,10,270,9,Tennessee
2019-12-28,12,3,0.0,3.4,2,8,10:27 AM,08:14 PM,08:25 AM,05:44 PM,5,4,7,4,38,87,87,7.7,1015,12,9,138,24,Tennessee
2019-12-29,13,5,0.0,6.9,3,15,11:06 AM,09:15 PM,08:26 AM,05:45 PM,8,8,11,8,34,62,82,6.6,1001,13,10,186,22,Tennessee
2019-12-30,0,-2,0.0,3.5,1,22,11:39 AM,10:15 PM,08:26 AM,05:46 PM,-5,-7,-0,-7,34,87,70,0.3,1004,0,5,255,26,Tennessee
2019-12-31,1,-2,0.0,3.5,1,26,12:07 PM,11:14 PM,08:26 AM,05:47 PM,-5,-7,-1,-7,33,86,75,0.0,1012,1,8,279,24,Tennessee
2020-01-01,6,-3,0.0,8.7,2,37,12:33 PM,No moonset,08:26 AM,05:47 PM,-4,-4,0,-4,26,1,72,0.0,1012,6,10,221,16,Tennessee
2020-01-02,9,3,0.0,5.2,2,44,12:57 PM,12:12 AM,08:26 AM,05:48 PM,3,3,6,3,25,50,84,1.9,1002,9,9,180,15,Tennessee
2020-01-03,3,-1,0.6,3.5,1,51,01:22 PM,01:10 AM,08:26 AM,05:49 PM,-0,-2,2,-2,25,84,82,0.9,1008,3,7,217,19,Tennessee
