date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-3,-12,0.0,8.7,1,26,10:55 AM,09:15 PM,06:46 AM,04:50 PM,-13,-11,-9,-11,10,7,74,0.0,1025,-3,10,290,5,Utah
2019-12-02,-2,-12,0.0,8.7,2,33,11:35 AM,10:12 PM,06:47 AM,04:50 PM,-15,-8,-7,-8,7,4,54,0.0,1026,-2,10,293,4,Utah
2019-12-03,-0,-9,0.0,7.1,1,41,12:10 PM,11:08 PM,06:48 AM,04:50 PM,-19,-6,-6,-6,3,46,34,0.0,1023,-0,10,200,1,Utah
2019-12-04,-1,-11,0.0,8.7,2,48,12:42 PM,No moonset,06:49 AM,04:50 PM,-18,-7,-7,-7,4,0,41,0.0,1024,-1,10,93,2,Utah
2019-12-05,-4,-12,0.0,8.7,2,55,01:11 PM,12:04 AM,06:50 AM,04:50 PM,-19,-9,-9,-9,2,0,46,0.0,1028,-4,10,147,1,Utah
2019-12-06,-4,-12,0.0,8.7,2,62,01:39 PM,12:58 AM,06:50 AM,04:50 PM,-19,-11,-10,-11,7,0,45,0.0,1030,-4,10,323,3,Utah
2019-12-07,-4,-12,0.0,8.7,2,70,02:07 PM,01:53 AM,06:51 AM,04:50 PM,-22,-9,-9,-9,5,0,34,0.0,1029,-4,10,327,2,Utah
2019-12-08,-3,-11,0.0,8.7,2,77,02:36 PM,02:48 AM,06:52 AM,04:50 PM,-24,-8,-8,-8,2,10,28,0.0,1025,-3,10,176,1,Utah
2019-12-09,-2,-11,0.0,8.7,2,84,03:07 PM,03:45 AM,06:53 AM,04:50 PM,-17,-8,-8,-8,4,10,48,0.0,1024,-2,10,129,2,Utah
2019-12-10,-3,-11,1.6,8.7,1,92,03:42 PM,04:44 AM,06:54 AM,04:50 PM,-10,-8,-8,-8,4,30,85,1.9,1021,-3,8,191,2,Utah
2019-12-11,-7,-13,0.5,8.7,2,99,04:21 PM,05:45 AM,06:54 AM,04:50 PM,-13,-12,-10,-12,6,27,82,0.6,1020,-7,9,186,3,Utah
2019-12-12,-7,-13,0.8,5.4,1,100,05:07 PM,06:47 AM,06:55 AM,04:50 PM,-13,-11,-11,-11,6,70,82,0.9,1018,-7,8,53,4,Utah
2019-12-13,-8,-16,0.4,8.7,2,87,06:00 PM,07:48 AM,06:56 AM,04:51 PM,-15,-16,-13,-16,10,30,84,0.5,1020,-8,9,293,5,Utah
2019-12-14,-10,-18,0.0,8.7,2,79,06:59 PM,08:47 AM,06:56 AM,04:51 PM,-18,-17,-15,-17,8,9,76,0.0,1027,-10,10,292,4,Utah
2019-12-15,-7,-17,0.0,8.7,2,72,08:03 PM,09:42 AM,06:57 AM,04:51 PM,-25,-15,-14,-15,9,0,40,0.0,1029,-7,10,285,4,Utah
2019-12-16,-7,-16,0.0,8.7,2,65,09:10 PM,10:30 AM,06:58 AM,04:51 PM,-23,-15,-13,-15,9,6,44,0.0,1030,-7,10,289,5,Utah
2019-12-17,-5,-15,0.0,8.7,2,58,10:17 PM,11:13 AM,06:58 AM,04:52 PM,-18,-12,-10,-12,10,10,53,0.0,1029,-5,10,286,5,Utah
2019-12-18,-2,-9,0.3,8.7,1,50,11:25 PM,11:51 AM,06:59 AM,04:52 PM,-12,-8,-7,-8,13,20,65,0.4,1024,-2,9,293,6,Utah
2019-12-19,-6,-15,0.9,8.7,1,43,No moonrise,12:26 PM,07:00 AM,04:53 PM,-12,-13,-11,-13,12,26,88,1.0,1025,-6,8,293,6,Utah
2019-12-20,-8,-16,0.0,8.7,2,36,12:30 AM,01:00 PM,07:00 AM,04:53 PM,-19,-16,-13,-16,9,4,63,0.0,1026,-8,10,303,5,Utah
2019-12-21,-8,-16,0.0,8.7,2,28,01:36 AM,01:34 PM,07:01 AM,04:54 PM,-21,-17,-13,-17,13,3,52,0.0,1028,-8,10,290,7,Utah
2019-12-22,-8,-15,0.0,8.7,2,21,02:42 AM,02:09 PM,07:01 AM,04:54 PM,-19,-16,-13,-16,13,2,59,0.0,1029,-8,10,287,6,Utah
2019-12-23,-6,-14,0.0,5.3,1,14,03:48 AM,02:47 PM,07:02 AM,04:55 PM,-21,-12,-11,-12,8,43,45,0.0,1024,-6,10,293,4,Utah
2019-12-24,-8,-16,0.0,8.7,2,7,04:54 AM,03:29 PM,07:02 AM,04:55 PM,-20,-14,-12,-14,8,17,54,0.0,1027,-8,10,292,4,Utah
2019-12-25,-8,-15,0.0,8.7,2,0,05:59 AM,04:16 PM,07:03 AM,04:56 PM,-20,-16,-13,-16,13,1,54,0.0,1029,-8,10,292,7,Utah
2019-12-26,-2,-14,0.0,8.7,2,0,07:01 AM,05:08 PM,07:03 AM,04:56 PM,-22,-11,-8,-11,15,0,33,0.0,1024,-2,10,287,7,Utah
2019-12-27,-1,-8,0.0,8.7,2,0,07:57 AM,06:03 PM,07:03 AM,04:57 PM,-23,-7,-5,-7,11,0,26,0.0,1020,-1,10,285,5,Utah
2019-12-28,-2,-10,0.0,8.7,2,8,08:46 AM,07:01 PM,07:04 AM,04:58 PM,-24,-8,-7,-8,6,0,26,0.0,1021,-2,10,284,3,Utah
2019-12-29,-4,-12,0.0,8.7,2,15,09:30 AM,07:59 PM,07:04 AM,04:58 PM,-25,-10,-10,-10,4,15,30,0.0,1023,-4,10,305,2,Utah
2019-12-30,-6,-14,0.0,8.7,2,22,10:08 AM,08:56 PM,07:04 AM,04:59 PM,-21,-14,-11,-14,11,5,46,0.0,1023,-6,10,288,5,Utah
2019-12-31,-9,-17,0.0,8.7,2,26,10:41 AM,09:53 PM,07:05 AM,05:00 PM,-18,-14,-14,-14,6,7,71,0.0,1025,-9,10,171,3,Utah
2020-01-01,-10,-17,4.9,3.7,1,37,11:12 AM,10:47 PM,07:05 AM,05:00 PM,-14,-18,-13,-18,14,86,92,5.8,1026,-10,4,111,9,Utah
2020-01-02,-9,-12,10.4,3.7,1,44,11:40 AM,11:42 PM,07:05 AM,05:01 PM,-12,-15,-11,-15,11,94,95,12.2,1028,-9,2,114,7,Utah
2020-01-03,-10,-17,1.4,7.0,1,51,12:07 PM,No moonset,07:05 AM,05:02 PM,-14,-17,-14,-17,9,72,96,1.7,1028,-10,5,224,5,Utah
2020-01-04,-11,-19,0.0,8.7,2,59,12:35 PM,12:36 AM,07:06 AM,05:03 PM,-17,-20,-16,-20,12,32,91,0.0,1026,-11,8,288,6,Utah
2020-01-05,-10,-18,1.3,3.7,1,66,01:05 PM,01:32 AM,07:06 AM,05:04 PM,-15,-17,-14,-17,9,72,94,1.8,1022,-10,4,128,6,Utah
2020-01-06,-8,-16,9.4,3.7,1,73,01:37 PM,02:29 AM,07:06 AM,05:04 PM,-12,-14,-11,-14,8,87,96,11.1,1021,-8,4,131,5,Utah
2020-01-07,-11,-20,0.0,8.7,1,80,02:14 PM,03:28 AM,07:06 AM,05:05 PM,-18,-20,-16,-20,11,18,87,0.0,1028,-11,8,298,6,Utah
2020-01-08,-14,-22,0.0,8.7,2,88,02:56 PM,04:29 AM,07:06 AM,05:06 PM,-23,-26,-19,-26,18,9,72,0.0,1031,-14,10,294,9,Utah
2020-01-09,-8,-19,0.0,8.7,2,95,03:46 PM,05:32 AM,07:06 AM,05:07 PM,-29,-17,-15,-17,8,0,29,0.0,1026,-8,10,289,4,Utah
2020-01-10,-9,-18,0.0,8.7,2,100,04:43 PM,06:33 AM,07:06 AM,05:08 PM,-29,-15,-14,-15,4,3,31,0.0,1028,-9,10,106,2,Utah
2020-01-11,-9,-15,1.7,5.4,1,100,05:48 PM,07:31 AM,07:06 AM,05:09 PM,-17,-15,-11,-15,12,57,64,2.1,1025,-9,8,105,7,Utah
2020-01-12,-8,-12,13.1,3.8,1,83,06:56 PM,08:23 AM,07:06 AM,05:10 PM,-10,-15,-10,-15,17,90,96,15.4,1019,-8,2,105,11,Utah
2020-01-13,-9,-17,2.1,3.8,1,76,08:06 PM,09:10 AM,07:05 AM,05:11 PM,-13,-17,-12,-17,15,71,91,2.5,1015,-9,5,265,9,Utah
2020-01-14,-12,-21,0.0,8.7,2,69,09:15 PM,09:51 AM,07:05 AM,05:11 PM,-19,-18,-17,-18,7,37,83,0.0,1027,-12,10,154,4,Utah
2020-01-15,-9,-17,0.0,8.7,1,61,10:23 PM,10:27 AM,07:05 AM,05:12 PM,-18,-15,-14,-15,5,24,74,0.0,1029,-9,10,169,2,Utah
2020-01-16,-9,-18,0.0,5.4,1,54,11:30 PM,11:02 AM,07:05 AM,05:13 PM,-24,-16,-14,-16,7,42,43,0.0,1029,-9,10,316,4,Utah
2020-01-17,-10,-18,0.0,8.7,1,47,No moonrise,11:36 AM,07:05 AM,05:14 PM,-24,-17,-15,-17,8,24,46,0.0,1030,-10,10,333,4,Utah
2020-01-18,-9,-19,0.0,8.7,2,40,12:35 AM,12:10 PM,07:04 AM,05:15 PM,-26,-16,-16,-16,2,2,43,0.0,1030,-9,10,242,1,Utah
