date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,3,-0,2.9,3.5,1,26,12:31 PM,10:28 PM,08:05 AM,05:36 PM,0,-3,3,-3,47,86,85,5.1,1001,3,4,262,32,Vermont
2019-12-02,2,-1,0.8,5.2,1,33,01:06 PM,11:28 PM,08:06 AM,05:36 PM,-4,-4,-0,-4,25,63,78,0.9,1019,2,8,315,17,Vermont
2019-12-03,8,-1,0.0,7.0,1,41,01:37 PM,No moonset,08:07 AM,05:36 PM,-2,-1,3,-1,25,30,72,0.0,1011,8,10,242,15,Vermont
2019-12-04,8,2,0.0,8.7,2,48,02:04 PM,12:26 AM,08:08 AM,05:36 PM,0,0,4,0,27,14,77,0.0,1012,8,10,284,17,Vermont
2019-12-05,10,2,0.0,8.7,3,55,02:29 PM,01:25 AM,08:09 AM,05:36 PM,2,4,5,4,11,7,81,0.0,1016,10,10,240,6,Vermont
2019-12-06,5,1,0.0,8.7,1,62,02:54 PM,02:22 AM,08:10 AM,05:36 PM,-0,-0,3,-0,23,26,76,0.0,1024,5,10,110,16,Vermont
2019-12-07,6,-1,0.0,8.7,2,70,03:19 PM,03:21 AM,08:11 AM,05:36 PM,-2,-1,2,-1,18,8,74,0.0,1026,6,10,152,11,Vermont
2019-12-08,10,2,0.0,8.7,2,77,03:45 PM,04:20 AM,08:11 AM,05:36 PM,3,2,6,2,27,63,82,0.0,1013,10,10,192,17,Vermont
2019-12-09,10,-4,0.0,3.5,2,84,04:14 PM,05:22 AM,08:12 AM,05:36 PM,1,1,5,1,26,72,77,0.2,1006,10,10,246,19,Vermont
2019-12-10,-2,-6,0.0,5.2,1,92,04:47 PM,06:24 AM,08:13 AM,05:36 PM,-14,-10,-5,-10,20,30,50,0.0,1025,-2,10,303,15,Vermont
2019-12-11,2,-7,0.0,8.7,2,99,05:27 PM,07:29 AM,08:14 AM,05:36 PM,-10,-6,-3,-6,12,17,56,0.0,1031,2,10,187,8,Vermont
2019-12-12,9,-2,0.0,8.7,3,100,06:13 PM,08:33 AM,08:15 AM,05:36 PM,-4,-1,3,-1,35,13,62,0.0,1024,9,10,175,20,Vermont
2019-12-13,9,2,0.0,8.7,2,87,07:09 PM,09:36 AM,08:16 AM,05:36 PM,-0,4,5,4,21,39,71,0.0,1014,9,10,179,12,Vermont
2019-12-14,2,-4,0.2,7.0,1,79,08:11 PM,10:32 AM,08:16 AM,05:36 PM,-4,-4,0,-4,27,41,71,0.2,1011,2,10,284,19,Vermont
2019-12-15,-3,-6,3.7,3.5,1,72,09:20 PM,11:22 AM,08:17 AM,05:37 PM,-10,-9,-5,-9,15,79,68,4.4,1019,-3,7,170,11,Vermont
2019-12-16,-2,-7,1.9,3.4,1,65,10:30 PM,12:05 PM,08:18 AM,05:37 PM,-5,-9,-4,-9,24,80,93,2.3,1021,-2,7,175,17,Vermont
2019-12-17,-1,-8,0.0,8.7,1,58,11:41 PM,12:42 PM,08:18 AM,05:37 PM,-6,-10,-5,-10,27,37,92,0.0,1023,-1,9,281,16,Vermont
2019-12-18,-3,-8,0.0,8.7,1,50,No moonrise,01:15 PM,08:19 AM,05:38 PM,-9,-10,-6,-10,18,21,83,0.0,1027,-3,8,242,10,Vermont
2019-12-19,3,-7,0.0,8.7,2,43,12:52 AM,01:46 PM,08:20 AM,05:38 PM,-3,-7,-2,-7,27,15,88,0.0,1026,3,10,194,16,Vermont
2019-12-20,4,-1,0.0,3.4,1,36,02:02 AM,02:15 PM,08:20 AM,05:39 PM,-1,-2,1,-2,22,66,88,0.0,1029,4,10,190,11,Vermont
2019-12-21,7,-0,0.0,8.7,2,28,03:12 AM,02:45 PM,08:21 AM,05:39 PM,0,-0,2,-0,20,9,86,0.0,1028,7,10,209,11,Vermont
2019-12-22,9,1,0.0,8.7,3,21,04:22 AM,03:18 PM,08:21 AM,05:39 PM,1,1,4,1,25,2,79,0.0,1024,9,10,202,13,Vermont
2019-12-23,12,3,0.0,8.7,3,14,05:32 AM,03:54 PM,08:22 AM,05:40 PM,3,4,6,4,22,14,77,0.0,1020,12,10,203,12,Vermont
