date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,16,8,0.0,3.7,3,26,12:22 PM,10:36 PM,07:58 AM,05:48 PM,10,9,12,9,31,83,89,5.0,1006,16,9,197,18,Virginia
2019-12-02,9,7,0.0,7.0,2,33,01:00 PM,11:35 PM,07:59 AM,05:48 PM,4,4,8,4,30,70,78,3.3,1002,9,9,283,21,Virginia
2019-12-03,10,5,0.0,8.7,2,41,01:32 PM,No moonset,08:00 AM,05:48 PM,2,3,7,3,34,51,68,0.3,1007,10,10,293,25,Virginia
2019-12-04,10,5,0.0,8.7,3,48,02:01 PM,12:31 AM,08:01 AM,05:48 PM,2,4,8,4,28,29,65,0.0,1005,10,10,253,19,Virginia
2019-12-05,9,6,0.0,8.7,3,55,02:28 PM,01:28 AM,08:02 AM,05:47 PM,-1,4,8,4,31,5,54,0.0,1015,9,10,282,21,Virginia
2019-12-06,12,5,0.0,3.5,2,62,02:55 PM,02:23 AM,08:02 AM,05:47 PM,2,7,9,7,21,54,62,0.0,1022,12,10,239,13,Virginia
2019-12-07,8,6,0.0,8.7,3,70,03:22 PM,03:20 AM,08:03 AM,05:47 PM,1,4,7,4,28,37,62,0.0,1027,8,10,71,20,Virginia
2019-12-08,12,6,0.0,8.7,2,77,03:50 PM,04:17 AM,08:04 AM,05:48 PM,4,7,9,7,17,38,70,0.5,1030,12,9,86,11,Virginia
2019-12-09,15,12,0.0,5.3,3,84,04:20 PM,05:17 AM,08:05 AM,05:48 PM,12,13,14,13,39,82,91,17.9,1018,15,8,178,20,Virginia
2019-12-10,19,13,0.0,8.7,4,92,04:56 PM,06:17 AM,08:06 AM,05:48 PM,13,16,16,16,44,52,85,0.6,1015,19,9,223,24,Virginia
2019-12-11,6,4,0.0,7.0,2,99,05:37 PM,07:20 AM,08:06 AM,05:48 PM,2,2,6,2,29,55,76,4.1,1027,6,10,93,22,Virginia
2019-12-12,8,3,0.0,7.0,2,100,06:24 PM,08:23 AM,08:07 AM,05:48 PM,-0,1,6,1,26,35,66,0.0,1036,8,10,64,19,Virginia
2019-12-13,13,10,0.0,3.5,3,87,07:19 PM,09:25 AM,08:08 AM,05:48 PM,10,9,12,9,16,80,93,11.1,1021,13,9,58,9,Virginia
2019-12-14,14,10,0.0,5.3,3,79,08:21 PM,10:21 AM,08:09 AM,05:49 PM,11,10,12,10,33,69,90,2.4,1001,14,9,211,19,Virginia
2019-12-15,12,8,0.0,8.7,3,72,09:28 PM,11:13 AM,08:09 AM,05:49 PM,4,6,9,6,33,4,71,0.0,1016,12,10,265,22,Virginia
2019-12-16,13,8,0.0,8.7,4,65,10:36 PM,11:58 AM,08:10 AM,05:49 PM,8,10,11,10,24,18,81,0.0,1022,13,10,174,14,Virginia
2019-12-17,17,6,0.0,3.5,4,58,11:46 PM,12:37 PM,08:10 AM,05:49 PM,12,13,14,13,46,74,89,12.0,1010,17,8,271,27,Virginia
2019-12-18,7,3,0.0,8.7,2,50,No moonrise,01:12 PM,08:11 AM,05:50 PM,-2,0,5,0,34,17,62,2.4,1016,7,10,318,25,Virginia
2019-12-19,2,-1,0.0,8.7,2,43,12:54 AM,01:45 PM,08:12 AM,05:50 PM,-8,-4,1,-4,27,1,51,0.0,1030,2,10,338,21,Virginia
2019-12-20,6,2,0.0,8.7,2,36,02:01 AM,02:17 PM,08:12 AM,05:51 PM,-6,0,4,0,18,12,51,0.0,1034,6,10,189,12,Virginia
2019-12-21,7,4,0.0,3.5,2,28,03:09 AM,02:50 PM,08:13 AM,05:51 PM,1,2,5,2,11,55,73,0.0,1034,7,10,114,7,Virginia
2019-12-22,8,5,0.0,7.0,2,21,04:16 AM,03:24 PM,08:13 AM,05:52 PM,0,6,7,6,7,38,63,0.0,1029,8,10,161,5,Virginia
2019-12-23,11,9,0.0,8.7,4,14,05:25 AM,04:02 PM,08:14 AM,05:52 PM,4,9,10,9,17,31,66,0.0,1021,11,10,96,9,Virginia
2019-12-24,10,8,0.0,8.7,3,7,06:31 AM,04:45 PM,08:14 AM,05:53 PM,5,6,9,6,33,10,74,0.0,1017,10,10,24,21,Virginia
2019-12-25,10,8,0.0,8.7,2,0,07:36 AM,05:33 PM,08:15 AM,05:53 PM,7,8,9,8,18,23,85,0.0,1021,10,10,69,11,Virginia
2019-12-26,13,9,0.0,8.7,4,0,08:36 AM,06:26 PM,08:15 AM,05:54 PM,7,9,10,9,9,1,83,0.0,1024,13,10,209,6,Virginia
2019-12-27,13,10,0.0,8.7,4,0,09:30 AM,07:24 PM,08:15 AM,05:55 PM,9,11,11,11,13,17,85,0.0,1025,13,10,219,7,Virginia
2019-12-28,13,11,0.0,8.7,4,8,10:16 AM,08:22 PM,08:16 AM,05:55 PM,9,11,12,11,16,8,84,0.0,1023,13,10,159,9,Virginia
2019-12-29,14,11,0.0,5.3,3,15,10:56 AM,09:21 PM,08:16 AM,05:56 PM,11,11,12,11,24,58,88,1.6,1019,14,9,129,13,Virginia
2019-12-30,18,14,0.0,5.3,4,22,11:31 AM,10:19 PM,08:16 AM,05:57 PM,14,16,16,16,47,56,86,2.7,1007,18,10,212,23,Virginia
2019-12-31,11,9,0.0,8.7,4,26,12:02 PM,11:16 PM,08:16 AM,05:57 PM,5,8,10,8,30,2,72,0.0,1008,11,10,265,19,Virginia
2020-01-01,10,6,0.0,8.7,3,37,12:29 PM,No moonset,08:17 AM,05:58 PM,0,4,8,4,31,2,60,0.0,1013,10,10,270,21,Virginia
2020-01-02,12,5,0.0,8.7,2,44,12:56 PM,12:12 AM,08:17 AM,05:59 PM,2,6,8,6,23,33,67,0.0,1017,12,10,224,14,Virginia
2020-01-03,19,8,0.0,4.9,4,51,01:22 PM,01:08 AM,08:17 AM,06:00 PM,12,14,15,14,38,94,82,6.5,1012,19,8,219,20,Virginia
2020-01-04,16,13,0.0,4.9,3,59,01:49 PM,02:04 AM,08:17 AM,06:00 PM,13,14,14,14,26,84,91,5.2,1007,16,6,235,14,Virginia
2020-01-05,8,5,0.0,9.8,2,66,02:18 PM,03:02 AM,08:17 AM,06:01 PM,1,3,7,3,39,39,63,2.0,1014,8,10,295,27,Virginia
2020-01-06,11,6,0.0,9.9,3,73,02:51 PM,04:01 AM,08:17 AM,06:02 PM,0,5,8,5,27,7,60,0.0,1019,11,10,272,17,Virginia
2020-01-07,10,5,0.0,8.3,2,80,03:29 PM,05:03 AM,08:17 AM,06:03 PM,1,5,7,5,27,44,66,6.0,1017,10,10,139,19,Virginia
2020-01-08,8,4,0.0,9.9,3,88,04:13 PM,06:06 AM,08:17 AM,06:04 PM,-2,1,6,1,40,5,57,0.0,1023,8,10,282,27,Virginia
2020-01-09,4,2,0.0,9.9,1,95,05:05 PM,07:09 AM,08:17 AM,06:05 PM,-5,-0,3,-0,22,31,54,0.0,1038,4,10,131,15,Virginia
2020-01-10,14,1,0.0,9.9,3,100,06:05 PM,08:09 AM,08:17 AM,06:06 PM,6,8,10,8,23,32,78,0.0,1036,14,10,168,12,Virginia
2020-01-11,18,13,0.0,9.9,4,100,07:12 PM,09:04 AM,08:17 AM,06:07 PM,12,14,15,14,41,58,81,0.0,1027,18,10,183,20,Virginia
2020-01-12,19,14,0.0,6.6,4,83,08:22 PM,09:53 AM,08:17 AM,06:08 PM,14,17,17,17,42,77,78,2.9,1022,19,9,222,21,Virginia
2020-01-13,16,12,0.0,5.0,3,76,09:34 PM,10:36 AM,08:16 AM,06:09 PM,13,14,14,14,13,100,91,15.8,1028,16,7,154,7,Virginia
2020-01-14,17,12,0.0,5.0,3,69,10:44 PM,11:14 AM,08:16 AM,06:10 PM,14,14,14,14,24,96,95,19.8,1024,17,7,130,13,Virginia
2020-01-15,13,10,0.0,9.9,3,61,11:54 PM,11:48 AM,08:16 AM,06:11 PM,10,12,13,12,20,53,85,0.6,1021,13,10,182,12,Virginia
2020-01-16,15,7,0.0,10.0,4,54,No moonrise,12:20 PM,08:15 AM,06:12 PM,5,10,12,10,43,39,63,0.0,1020,15,10,289,27,Virginia
2020-01-17,2,1,0.0,10.0,2,47,01:02 AM,12:52 PM,08:15 AM,06:13 PM,-6,-4,2,-4,42,7,54,0.0,1035,2,10,289,33,Virginia
2020-01-18,7,1,0.0,6.6,1,40,02:09 AM,01:26 PM,08:15 AM,06:14 PM,-2,1,4,1,25,69,64,0.9,1030,7,9,182,17,Virginia
2020-01-19,13,5,0.0,8.3,3,32,03:16 AM,02:02 PM,08:14 AM,06:15 PM,4,7,10,7,41,67,67,0.9,1014,13,10,271,27,Virginia
2020-01-20,2,-1,0.0,10.0,1,25,04:21 AM,02:42 PM,08:14 AM,06:16 PM,-7,-6,0,-6,34,20,56,0.0,1024,2,10,321,27,Virginia
2020-01-21,2,-1,0.0,10.0,2,18,05:26 AM,03:27 PM,08:13 AM,06:17 PM,-7,-5,0,-5,28,17,58,0.0,1029,2,10,9,22,Virginia
2020-01-22,5,1,0.0,10.1,2,11,06:26 AM,04:17 PM,08:13 AM,06:18 PM,-3,-2,3,-2,30,6,66,0.0,1029,5,10,19,22,Virginia
2020-01-23,8,1,0.0,10.1,2,3,07:22 AM,05:12 PM,08:12 AM,06:19 PM,3,2,5,2,22,31,80,0.0,1028,8,10,29,14,Virginia
2020-01-24,12,5,0.0,10.1,4,0,08:10 AM,06:10 PM,08:12 AM,06:20 PM,7,7,9,7,29,43,85,0.0,1022,12,10,93,17,Virginia
2020-01-25,15,8,0.0,8.3,3,0,08:53 AM,07:09 PM,08:11 AM,06:21 PM,8,10,13,10,48,57,75,6.3,1012,15,9,201,27,Virginia
2020-01-26,9,5,0.0,10.1,3,4,09:30 AM,08:08 PM,08:11 AM,06:22 PM,1,4,7,4,22,10,65,0.0,1014,9,10,274,15,Virginia
2020-01-27,9,4,0.0,6.7,2,11,10:02 AM,09:06 PM,08:10 AM,06:23 PM,2,3,6,3,24,55,73,0.0,1011,9,10,252,16,Virginia
2020-01-28,7,4,0.0,10.2,3,18,10:30 AM,10:02 PM,08:09 AM,06:24 PM,-1,2,6,2,26,20,64,0.2,1013,7,10,327,18,Virginia
2020-01-29,5,3,0.0,8.3,1,26,10:57 AM,10:58 PM,08:09 AM,06:25 PM,-2,1,4,1,22,53,63,0.0,1018,5,10,288,15,Virginia
2020-01-30,7,4,0.0,8.3,2,33,11:24 AM,11:54 PM,08:08 AM,06:26 PM,-1,3,5,3,16,55,64,0.0,1022,7,10,15,11,Virginia
2020-01-31,9,5,0.0,10.2,3,37,11:50 AM,No moonset,08:07 AM,06:27 PM,3,5,7,5,14,23,77,0.7,1024,9,10,34,9,Virginia
2020-02-01,8,5,0.0,5.1,2,49,12:17 PM,12:50 AM,08:06 AM,06:29 PM,6,5,7,5,18,97,94,12.7,1014,8,7,149,12,Virginia
2020-02-02,11,6,0.0,10.2,3,57,12:47 PM,01:47 AM,08:06 AM,06:30 PM,3,4,8,4,34,14,71,0.0,1007,11,10,263,22,Virginia
2020-02-03,15,7,0.0,8.4,3,64,01:22 PM,02:46 AM,08:05 AM,06:31 PM,5,10,12,10,35,42,63,0.0,1013,15,10,243,18,Virginia
2020-02-04,16,12,0.0,10.3,4,72,02:02 PM,03:48 AM,08:04 AM,06:32 PM,9,12,14,12,39,43,74,0.0,1014,16,10,232,21,Virginia
2020-02-05,15,9,0.0,5.2,3,79,02:49 PM,04:49 AM,08:03 AM,06:33 PM,11,13,14,13,33,80,85,0.4,1013,15,9,179,17,Virginia
2020-02-06,18,3,0.0,5.2,4,87,03:45 PM,05:51 AM,08:02 AM,06:34 PM,14,13,14,13,46,98,92,5.7,1004,18,8,182,23,Virginia
2020-02-07,14,8,0.0,5.2,3,95,04:49 PM,06:48 AM,08:01 AM,06:35 PM,8,10,12,10,48,79,77,20.7,995,14,9,235,31,Virginia
2020-02-08,7,3,0.0,10.0,2,100,05:59 PM,07:41 AM,08:00 AM,06:36 PM,-4,2,5,2,21,19,52,0.0,1023,7,10,248,14,Virginia
2020-02-09,10,4,0.0,10.8,3,100,07:12 PM,08:27 AM,07:59 AM,06:37 PM,2,4,6,4,17,15,73,0.0,1030,10,10,213,11,Virginia
2020-02-10,15,6,0.0,10.8,4,83,08:26 PM,09:09 AM,07:58 AM,06:38 PM,5,8,10,8,33,15,71,0.0,1026,15,10,211,19,Virginia
2020-02-11,17,13,0.0,5.4,4,75,09:39 PM,09:46 AM,07:57 AM,06:39 PM,13,14,15,14,49,83,87,4.7,1015,17,9,221,25,Virginia
2020-02-12,8,2,0.0,8.5,2,68,10:49 PM,10:19 AM,07:56 AM,06:40 PM,4,6,8,6,25,68,72,0.1,1021,8,10,80,17,Virginia
