date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,-0,0.0,3.5,1,26,12:42 PM,10:43 PM,08:17 AM,05:53 PM,1,0,2,0,9,95,97,24.9,1003,4,8,167,5,West_Virginia
2019-12-02,4,-3,4.3,5.2,1,33,01:18 PM,11:42 PM,08:18 AM,05:53 PM,-2,-4,1,-4,29,73,84,5.0,1005,4,5,294,19,West_Virginia
2019-12-03,2,-4,1.1,7.0,1,41,01:49 PM,No moonset,08:19 AM,05:53 PM,-5,-7,-2,-7,42,56,78,1.3,1009,2,8,290,24,West_Virginia
2019-12-04,3,-3,1.2,3.5,1,48,02:16 PM,12:40 AM,08:20 AM,05:53 PM,-4,-7,-1,-7,36,76,81,3.0,1004,3,5,269,21,West_Virginia
2019-12-05,2,-5,1.4,8.7,1,55,02:42 PM,01:38 AM,08:21 AM,05:53 PM,-5,-8,-2,-8,38,41,78,1.8,1015,2,8,282,23,West_Virginia
2019-12-06,7,-3,0.3,5.2,1,62,03:07 PM,02:35 AM,08:22 AM,05:53 PM,0,0,3,0,17,57,86,1.1,1021,7,7,272,11,West_Virginia
2019-12-07,5,-7,0.0,8.7,2,70,03:33 PM,03:34 AM,08:23 AM,05:52 PM,-6,-3,-2,-3,7,17,75,0.0,1029,5,10,231,4,West_Virginia
2019-12-08,6,-6,0.0,7.0,1,77,03:59 PM,04:32 AM,08:23 AM,05:52 PM,-6,-3,-1,-3,8,39,70,0.0,1028,6,10,146,5,West_Virginia
2019-12-09,11,-3,0.0,3.5,1,84,04:29 PM,05:33 AM,08:24 AM,05:53 PM,2,3,4,3,8,82,89,28.9,1013,11,8,175,5,West_Virginia
2019-12-10,12,-5,0.9,3.5,2,92,05:03 PM,06:35 AM,08:25 AM,05:53 PM,3,2,6,2,30,79,85,14.5,1014,12,6,265,19,West_Virginia
2019-12-11,-0,-8,0.8,8.7,1,99,05:42 PM,07:40 AM,08:26 AM,05:53 PM,-10,-10,-4,-10,28,31,65,0.9,1030,-0,8,276,17,West_Virginia
2019-12-12,2,-6,0.1,7.0,1,100,06:29 PM,08:43 AM,08:27 AM,05:53 PM,-8,-5,-3,-5,10,51,72,0.1,1036,2,10,180,7,West_Virginia
2019-12-13,2,-7,0.0,3.5,1,87,07:24 PM,09:46 AM,08:28 AM,05:53 PM,-5,-4,-3,-4,6,90,87,7.6,1023,2,6,127,4,West_Virginia
2019-12-14,7,1,1.2,3.5,1,79,08:26 PM,10:42 AM,08:28 AM,05:53 PM,2,1,3,1,15,97,95,24.3,1001,7,6,230,11,West_Virginia
2019-12-15,3,-2,0.0,8.7,1,72,09:34 PM,11:33 AM,08:29 AM,05:54 PM,-1,-3,1,-3,32,38,82,4.9,1016,3,9,281,26,West_Virginia
2019-12-16,1,-1,5.3,3.5,1,65,10:44 PM,12:16 PM,08:30 AM,05:54 PM,-0,-1,-0,-1,6,99,98,43.8,1020,1,4,150,5,West_Virginia
2019-12-17,4,-6,0.7,5.2,1,58,11:55 PM,12:54 PM,08:30 AM,05:54 PM,-2,-4,-1,-4,28,92,96,36.3,1010,4,5,268,17,West_Virginia
2019-12-18,-2,-12,0.9,5.2,1,50,No moonrise,01:28 PM,08:31 AM,05:55 PM,-10,-14,-7,-14,37,43,82,1.1,1019,-2,7,286,22,West_Virginia
2019-12-19,-1,-14,0.2,8.7,2,43,01:05 AM,01:59 PM,08:32 AM,05:55 PM,-13,-13,-9,-13,19,12,74,0.2,1031,-1,10,278,10,West_Virginia
2019-12-20,4,-7,0.0,7.0,1,36,02:14 AM,02:29 PM,08:32 AM,05:55 PM,-6,-5,-3,-5,11,28,79,0.0,1035,4,10,240,6,West_Virginia
2019-12-21,3,-7,0.0,8.7,2,28,03:24 AM,03:00 PM,08:33 AM,05:56 PM,-5,-3,-3,-3,6,33,85,0.0,1033,3,10,180,3,West_Virginia
2019-12-22,9,-3,0.0,8.7,2,21,04:33 AM,03:33 PM,08:33 AM,05:56 PM,-2,-0,1,-0,10,10,78,0.0,1028,9,10,262,5,West_Virginia
2019-12-23,12,-2,0.0,8.7,3,14,05:43 AM,04:09 PM,08:34 AM,05:57 PM,-2,2,3,2,9,2,71,0.0,1021,12,10,266,4,West_Virginia
2019-12-24,10,-2,0.0,8.7,1,7,06:51 AM,04:51 PM,08:34 AM,05:57 PM,-0,1,2,1,7,11,85,0.0,1020,10,8,220,4,West_Virginia
2019-12-25,9,-1,0.0,8.7,2,0,07:57 AM,05:38 PM,08:34 AM,05:58 PM,1,3,3,3,5,18,86,0.0,1020,9,8,203,3,West_Virginia
2019-12-26,13,3,0.0,7.0,2,0,08:57 AM,06:31 PM,08:35 AM,05:59 PM,5,7,7,7,8,29,87,0.0,1023,13,10,199,4,West_Virginia
2019-12-27,16,5,0.0,3.5,3,0,09:50 AM,07:29 PM,08:35 AM,05:59 PM,8,9,10,9,9,57,89,0.0,1023,16,7,206,7,West_Virginia
2019-12-28,14,5,0.0,9.7,4,8,10:36 AM,08:28 PM,08:35 AM,06:00 PM,7,9,9,9,9,22,85,0.0,1024,14,10,201,5,West_Virginia
2019-12-29,10,4,0.0,4.8,2,15,11:15 AM,09:28 PM,08:36 AM,06:01 PM,8,8,8,8,7,92,97,8.8,1016,10,5,119,4,West_Virginia
2019-12-30,13,4,0.0,9.7,3,22,11:49 AM,10:28 PM,08:36 AM,06:01 PM,6,8,9,8,15,57,84,3.2,1004,13,7,205,10,West_Virginia
2019-12-31,5,-3,0.9,6.5,1,26,12:18 PM,11:26 PM,08:36 AM,06:02 PM,-2,-4,1,-4,31,71,80,2.6,1008,5,6,259,19,West_Virginia
2020-01-01,3,-5,0.1,9.7,1,37,12:44 PM,No moonset,08:36 AM,06:03 PM,-7,-7,-2,-7,31,26,68,0.3,1012,3,9,272,19,West_Virginia
2020-01-02,10,-3,0.0,9.7,2,44,01:09 PM,12:23 AM,08:36 AM,06:04 PM,-3,0,3,0,18,26,65,0.0,1014,10,10,240,10,West_Virginia
2020-01-03,13,4,0.0,4.8,3,51,01:34 PM,01:21 AM,08:37 AM,06:05 PM,9,8,9,8,10,88,95,15.7,1007,13,6,214,7,West_Virginia
2020-01-04,10,2,0.7,4.8,2,59,02:00 PM,02:18 AM,08:37 AM,06:05 PM,6,7,9,7,21,80,88,13.6,1006,10,8,275,13,West_Virginia
2020-01-05,4,-5,0.5,9.7,1,66,02:27 PM,03:18 AM,08:37 AM,06:06 PM,-6,-6,0,-6,45,51,73,1.0,1015,4,8,284,25,West_Virginia
2020-01-06,3,-2,0.0,9.7,1,73,02:58 PM,04:18 AM,08:37 AM,06:07 PM,-6,-6,0,-6,51,32,70,0.2,1017,3,10,279,30,West_Virginia
2020-01-07,0,-6,3.1,4.9,1,80,03:35 PM,05:22 AM,08:37 AM,06:08 PM,-6,-5,-3,-5,14,74,82,5.9,1018,0,7,199,8,West_Virginia
2020-01-08,-2,-8,0.5,9.7,1,88,04:18 PM,06:25 AM,08:36 AM,06:09 PM,-10,-12,-5,-12,43,29,68,0.9,1022,-2,8,282,26,West_Virginia
2020-01-09,-0,-9,0.0,8.2,1,95,05:10 PM,07:29 AM,08:36 AM,06:10 PM,-9,-7,-4,-7,7,42,78,0.0,1036,-0,10,177,5,West_Virginia
2020-01-10,13,-5,0.0,9.8,2,100,06:10 PM,08:29 AM,08:36 AM,06:11 PM,1,3,4,3,10,53,81,0.0,1031,13,10,198,6,West_Virginia
2020-01-11,17,7,0.0,9.8,3,100,07:18 PM,09:25 AM,08:36 AM,06:12 PM,9,11,11,11,13,59,91,0.0,1020,17,5,171,8,West_Virginia
2020-01-12,10,5,0.0,9.8,2,83,08:30 PM,10:12 AM,08:36 AM,06:13 PM,5,6,9,6,25,44,83,15.1,1018,10,9,251,16,West_Virginia
2020-01-13,11,-1,0.0,4.9,2,76,09:43 PM,10:53 AM,08:35 AM,06:14 PM,2,4,5,4,6,64,89,0.0,1028,11,6,192,4,West_Virginia
