date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,1,-2,3.8,4.8,1,26,01:19 PM,11:01 PM,08:54 AM,06:09 PM,-1,-4,0,-4,23,98,94,26.3,998,1,5,147,16,Wyoming
2019-12-02,-0,-4,0.0,9.5,1,33,01:53 PM,No moonset,08:55 AM,06:09 PM,-4,-6,-2,-6,18,59,87,0.0,1013,-0,10,232,14,Wyoming
2019-12-03,2,-3,0.6,6.5,1,41,02:22 PM,12:02 AM,08:56 AM,06:09 PM,-2,-4,0,-4,19,72,86,0.7,1008,2,8,236,13,Wyoming
2019-12-04,0,-1,0.9,4.8,1,48,02:48 PM,01:03 AM,08:57 AM,06:09 PM,-2,-6,-0,-6,33,88,87,1.1,1003,0,5,290,23,Wyoming
2019-12-05,2,-2,0.1,4.8,1,55,03:12 PM,02:02 AM,08:58 AM,06:08 PM,-3,-4,-0,-4,15,71,82,0.2,1015,2,9,285,10,Wyoming
2019-12-06,1,-3,0.0,9.5,2,62,03:35 PM,03:02 AM,08:59 AM,06:08 PM,-3,-4,-0,-4,19,42,83,0.0,1023,1,10,301,13,Wyoming
2019-12-07,2,-3,0.0,9.1,2,70,03:58 PM,04:02 AM,09:00 AM,06:08 PM,-7,-4,-1,-4,14,39,63,0.0,1028,2,10,167,9,Wyoming
2019-12-08,5,0,0.0,6.9,1,77,04:22 PM,05:03 AM,09:01 AM,06:08 PM,-1,-2,3,-2,35,56,79,0.0,1014,5,10,211,22,Wyoming
2019-12-09,8,2,0.0,3.4,2,84,04:50 PM,06:06 AM,09:02 AM,06:08 PM,5,3,6,3,22,100,92,12.8,1001,8,6,216,14,Wyoming
2019-12-10,-4,-6,1.1,3.4,1,92,05:22 PM,07:11 AM,09:03 AM,06:08 PM,-8,-11,-4,-11,30,98,75,1.3,1017,-4,8,289,24,Wyoming
2019-12-11,-7,-8,0.0,6.9,1,99,06:00 PM,08:17 AM,09:04 AM,06:08 PM,-12,-14,-7,-14,29,57,67,0.0,1029,-7,9,280,22,Wyoming
2019-12-12,2,-8,0.0,6.9,2,100,06:45 PM,09:23 AM,09:04 AM,06:08 PM,-7,-8,-3,-8,27,52,71,0.0,1027,2,10,171,17,Wyoming
2019-12-13,3,0,0.0,5.2,1,87,07:40 PM,10:25 AM,09:05 AM,06:08 PM,-1,-2,1,-2,24,70,85,0.0,1015,3,10,192,15,Wyoming
2019-12-14,1,-2,0.7,3.4,1,79,08:43 PM,11:21 AM,09:06 AM,06:09 PM,-2,-3,-0,-3,13,82,89,0.8,1007,1,6,198,8,Wyoming
2019-12-15,-2,-3,2.0,3.4,1,72,09:52 PM,12:10 PM,09:07 AM,06:09 PM,-6,-7,-3,-7,22,91,77,2.3,1017,-2,6,295,18,Wyoming
2019-12-16,-1,-3,0.2,3.4,1,65,11:04 PM,12:52 PM,09:08 AM,06:09 PM,-4,-4,-2,-4,7,85,83,0.2,1022,-1,9,145,5,Wyoming
2019-12-17,-0,-4,1.3,6.9,1,58,No moonrise,01:27 PM,09:08 AM,06:09 PM,-6,-7,-2,-7,29,65,74,1.5,1017,-0,8,287,23,Wyoming
2019-12-18,-8,-9,2.8,3.4,1,50,12:17 AM,01:58 PM,09:09 AM,06:10 PM,-12,-15,-8,-15,27,90,74,3.3,1023,-8,6,315,22,Wyoming
2019-12-19,-0,-10,0.0,5.2,1,43,01:30 AM,02:27 PM,09:09 AM,06:10 PM,-9,-9,-5,-9,20,58,75,0.0,1026,-0,10,182,14,Wyoming
2019-12-20,0,-2,0.0,8.7,1,36,02:42 AM,02:55 PM,09:10 AM,06:11 PM,-4,-6,-1,-6,16,39,84,0.0,1031,0,10,157,10,Wyoming
2019-12-21,4,-1,0.0,8.7,2,28,03:54 AM,03:23 PM,09:11 AM,06:11 PM,-1,-3,1,-3,26,16,86,0.0,1027,4,10,217,15,Wyoming
2019-12-22,6,1,0.0,8.7,2,21,05:06 AM,03:54 PM,09:11 AM,06:12 PM,0,-1,3,-1,31,8,82,0.0,1022,6,10,221,18,Wyoming
2019-12-23,7,1,0.0,8.7,2,14,06:18 AM,04:28 PM,09:12 AM,06:12 PM,1,-0,3,-0,27,8,84,0.0,1019,7,10,233,16,Wyoming
2019-12-24,5,-0,0.0,5.2,1,7,07:29 AM,05:08 PM,09:12 AM,06:13 PM,0,-2,2,-2,23,48,88,0.0,1019,5,10,143,13,Wyoming
2019-12-25,10,3,0.0,8.7,2,0,08:35 AM,05:54 PM,09:12 AM,06:13 PM,3,3,6,3,24,30,85,0.0,1014,10,10,202,13,Wyoming
2019-12-26,12,7,0.0,3.4,3,0,09:37 AM,06:47 PM,09:13 AM,06:14 PM,8,7,9,7,25,72,92,0.0,1014,12,7,197,14,Wyoming
2019-12-27,3,0,0.0,5.2,1,0,10:29 AM,07:45 PM,09:13 AM,06:15 PM,0,-1,3,-1,21,77,84,0.1,1022,3,10,266,15,Wyoming
