,region,income
2,All Denmark,36545.72186127
3,Province Byen København,42022.66399706
4,Copenhagen,41239.35328789
5,Frederiksberg,47077.17618804
6,Dragør,48698.6464963
7,Tårnby,38961.87779053
8,Province Københavns omegn,42697.05602994
9,Albertslund,31361.25519815
10,Ballerup,37016.30040547
11,Brøndby,31012.84009059
12,Gentofte,69621.47233155
13,Gladsaxe,41660.53666702
14,Glostrup,37609.97731057
15,Herlev,37052.13916877
16,Hvidovre,37544.22097095
17,Høje-Taastrup,35591.63165394
18,Ishøj,31538.111704
19,Lyngby-Taarbæk,51730.29423006
20,Rødovre,37180.06797168
21,Vallensbæk,41740.47269125
22,Province Nordsjælland,44140.57908738
23,Allerød,50595.14035771
24,Egedal,45577.86931642
25,Fredensborg,42360.17165492
26,Frederikssund,37419.40858224
27,Furesø,49331.90186174
28,Gribskov,35470.87060369
29,Halsnæs,32746.96877218
30,Helsingør,37873.47013118
31,Hillerød,42823.89408788
32,Hørsholm,55902.86120244
33,Rudersdal,59819.88221042
34,Province Bornholm,27016.03887909
35,Bornholm,27016.03887909
36,Province Østsjælland,41108.30807078
37,Greve,40430.7996237
38,Køge,37910.39963945
39,Lejre,41490.06881028
40,Roskilde,42440.10767915
41,Solrød,45603.11227144
42,Province Vest- og Sydsjælland,31750.33951102
43,Faxe,34135.17547757
44,Guldborgsund,27622.18144099
45,Holbæk,35634.6381699
46,Kalundborg,31753.61174593
47,Lolland,24317.84746473
48,Næstved,33612.70863694
49,Odsherred,27411.04437894
50,Ringsted,36898.18830729
51,Slagelse,31401.45694133
52,Sorø,35559.37676697
53,Stevns,35385.01339248
54,Vordingborg,28727.88519915
55,Province Fyn,31250.77831476
56,Assens,31782.59439799
57,Faaborg-Midtfyn,31013.93083556
58,Kerteminde,31876.55428612
59,Langeland,23355.81040119
60,Middelfart,36026.99471768
61,Nordfyns,31909.74409735
62,Nyborg,30220.64760095
63,Odense,31141.08053492
64,Svendborg,30892.70232318
65,Ærø,23599.669812340002
66,Province Sydjylland,34083.44300185
67,Billund,35548.313496560004
68,Esbjerg,34011.76547525
69,Fanø,31373.40921353
70,Fredericia,34010.9863717
71,Haderslev,31368.57877152
72,Kolding,36745.48401149
73,Sønderborg,31623.96891521
74,Tønder,29990.032950150002
75,Varde,33487.27296539
76,Vejen,34242.38012605
77,Vejle,37876.8981868
78,Aabenraa,31063.79346276
79,Province Østjylland,35719.71627756
80,Favrskov,39549.94515007
81,Hedensted,36893.20204457
82,Horsens,35152.37307245
83,Norddjurs,29765.806948460002
84,Odder,35139.28413281
85,Randers,32456.36314803
86,Samsø,26823.75612295
87,Silkeborg,37645.03697032
88,Skanderborg,42607.92658382
89,Syddjurs,33477.61208137
90,Aarhus,35491.75057883
91,Province Vestjylland,33589.49135115
92,Herning,34675.87334127
93,Holstebro,33788.94185995
94,Ikast-Brande,33840.36269425
95,Lemvig,32473.50342613
96,Ringkøbing-Skjern,33494.44071805
97,Skive,31264.49053724
98,Struer,30126.68771282
99,Viborg,34566.17556143
100,Province Nordjylland,32307.71019069
101,Brønderslev,32663.604692330002
102,Frederikshavn,29807.87854016
103,Hjørring,31177.54258106
104,Jammerbugt,30976.53386516
105,Læsø,24328.44327301
106,Mariagerfjord,32677.47273552
107,Morsø,29005.246062950002
108,Rebild,39110.53074787
109,Thisted,31222.88640767
110,Vesthimmerlands,31452.4103135
111,Aalborg,33285.01768381
