,municipality,ppl_inventory,tot_vacc_municipality,vacc_pct_municipality
0,Aabenraa,51431,42751.159999999996,83.12333028718088
1,Aalborg,194520,168230.09,86.48472650627184
2,Aarhus,309984,265951.29,85.79516684732114
3,Albertslund,23466,18002.26,76.71635557828347
4,AllerÃ¸d,21912,19952.920000000002,91.05932822197883
5,Assens,35870,31719.05,88.4277948146083
6,Ballerup,42263,35327.75,83.59025625251402
7,Billund,23024,19937.79,86.59568276580958
8,Bornholm,35482,31250.030000000002,88.07291020799279
9,BrÃ¸ndby,30426,23021.98,75.6654834680865
10,BrÃ¸nderslev,31350,27264.18,86.96708133971292
11,DragÃ¸r,12373,10972.79,88.68334276246667
12,Egedal,37497,33268.94,88.72427127503533
13,Esbjerg,100587,86156.3,85.65351387356219
14,Faaborg-Midtfyn,45216,39717.56,87.83961429582449
15,FanÃ¸,3093,2721.84,88.0
16,Favrskov,41334,36789.21,89.0047176658441
17,Faxe,32628,27492.79,84.26133995341425
18,Fredensborg,35363,30166.21,85.30444249639454
19,Fredericia,44992,38646.43,85.89622599573258
20,Frederiksberg,90810,78315.22,86.24074441140843
21,Frederikshavn,52478,46013.59,87.68167613095011
22,Frederikssund,40385,35313.06,87.44103008542776
23,FuresÃ¸,34793,30481.809999999998,87.60903055212255
24,Gentofte,63741,55551.32,87.15162924961956
25,Gladsaxe,58674,49461.53,84.29888877526672
26,Glostrup,20261,16614.02,82.0
27,Greve,43431,36579.45,84.22428679975133
28,Gribskov,36744,31472.309999999998,85.65292292619202
29,Guldborgsund,53667,45558.119999999995,84.89037956285985
30,Haderslev,48760,41035.88,84.15890073831008
31,HalsnÃ¦s,28037,23889.010000000002,85.20530013910191
32,Hedensted,40856,35707.54,87.39852163696888
33,HelsingÃ¸r,55542,47036.01,84.68548125742682
34,Herlev,24591,20309.33,82.58846732544427
35,Herning,77108,66768.24,86.59054832183432
36,HillerÃ¸d,45439,39457.2,86.83553775391182
37,HjÃ¸rring,56102,49331.81,87.93235535275035
38,HolbÃ¦k,63566,54953.42,86.45096435201208
39,Holstebro,50518,44290.39,87.67249297280178
40,Horsens,80093,67904.51,84.7820783339368
41,Hvidovre,45168,37156.82,82.26359369465108
42,HÃ¸je-Taastrup,45011,34893.3,77.52171691364333
43,HÃ¸rsholm,21667,19377.010000000002,89.43097798495408
44,Ikast-Brande,36139,30721.9,85.01037660145549
45,IshÃ¸j,19652,14066.679999999998,71.57887237940159
46,Jammerbugt,33242,29028.98,87.32621382588292
47,Kalundborg,42833,36380.17,84.9349099992996
48,Kerteminde,21159,18697.559999999998,88.36693605557917
49,Kolding,80793,68531.6,84.82368522025425
50,KÃ¸benhavn,558435,451742.32999999996,80.8943440149704
51,KÃ¸ge,53541,45710.8,85.37531984834052
52,Langeland,11328,9798.539999999999,86.49841101694913
53,Lejre,24571,21539.54,87.66244760083025
54,Lemvig,17174,15056.59,87.67083964131828
55,Lolland,36064,29935.29,83.00601708074534
56,Lyngby-TaarbÃ¦k,49572,43418.82,87.5873880416364
57,LÃ¦sÃ¸,1665,1459.8600000000001,87.67927927927929
58,Mariagerfjord,36584,31959.11,87.35816203804943
59,Middelfart,34655,30549.870000000003,88.154292309912
60,MorsÃ¸,17651,15473.210000000001,87.6619454988386
61,Norddjurs,32842,28573.940000000002,87.00426283417576
62,Nordfyns,26167,22581.66,86.29823823900333
63,Nyborg,28368,24912.480000000003,87.81895093062607
64,NÃ¦stved,73415,62349.78,84.92784853231629
65,Odder,19870,17931.52,90.24418721690992
66,Odense,180585,155175.11000000002,85.9291247888806
67,Odsherred,29854,25597.34,85.74174314999665
68,Randers,86107,74277.55,86.26191831093873
69,Rebild,25790,22720.38,88.09763474214812
70,RingkÃ¸bing-Skjern,49065,42301.18,86.21457250585958
71,Ringsted,30535,25422.35,83.25642705092517
72,Roskilde,77463,67757.55,87.47085705433562
73,Rudersdal,48941,43834.69,89.56639627306349
74,RÃ¸dovre,34992,28616.96,81.78143575674439
75,SamsÃ¸,3382,3009.98,89.0
76,Silkeborg,82851,72002.38,86.90586715911698
77,Skanderborg,53281,47834.96,89.7786452956964
78,Skive,39516,34686.979999999996,87.77958295374025
79,Slagelse,70001,58543.93,83.63299095727203
80,SolrÃ¸d,19930,17456.170000000002,87.58740592072255
81,SorÃ¸,26180,22756.34,86.9226126814362
82,Stevns,20577,17740.34,86.21441415172279
83,Struer,18333,16034.759999999998,87.46391752577318
84,Svendborg,51656,45375.21,87.84112203809819
85,Syddjurs,37977,33630.04,88.55370355741633
86,SÃ¸nderborg,64997,55863.07,85.94715140698801
87,Thisted,37540,32796.45,87.3640117208311
88,TÃ¥rnby,36266,30646.239999999998,84.50405338333424
89,TÃ¸nder,32495,27246.98,83.8497615017695
90,VallensbÃ¦k,13710,11105.1,81.0
91,Varde,43275,37134.69,85.81095320623918
92,Vejen,36930,31143.22,84.33040888166803
93,Vejle,101731,86907.33,85.42856159872605
94,Vesthimmerlands,31880,27413.510000000002,85.98968005018821
95,Viborg,83664,73369.07,87.69491059476
96,Vordingborg,40651,34463.35,84.7786032323928
97,ÃrÃ¸,5537,4963.900000000001,89.6496297634098
