,weekly_period_end,full_vacc_north_east,full_vacc_north_west,full_vacc_yorkshire_and_the_humber,full_vacc_east_midlands,full_vacc_west_midlands,full_vacc_east_of_england,full_vacc_london,full_vacc_south_east,full_vacc_south_west,full_vacc_wales,full_vacc_north_ireland,full_vacc_scotland
1,27-12-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,03-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,24-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,31-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,07-02-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14-02-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,21-02-2021,1.2,1.9,2.0,1.4,2.0,1.5,1.6,1.9,1.9,2.6,0.9,2.2
10,28-02-2021,1.5,2.5,2.3,1.8,2.2,1.9,1.9,2.4,2.2,4.6,1.3,3.3
11,07-03-2021,2.1,2.9,2.6,2.5,2.8,2.3,2.6,2.8,2.8,7.3,1.9,4.5
12,14-03-2021,3.4,3.9,3.5,3.3,4.1,3.3,3.3,4.2,3.8,10.8,3.0,5.9
13,21-03-2021,5.3,5.5,5.1,4.1,5.3,4.5,4.7,5.5,5.2,15.1,4.8,7.6
14,28-03-2021,8.0,9.6,8.5,7.0,8.1,6.9,7.0,8.4,7.7,18.8,7.7,10.2
15,11-04-2021,17.8,17.5,18.0,14.2,15.8,17.0,14.9,17.2,14.9,22.7,17.3,15.1
16,18-04-2021,22.6,23.4,23.0,19.9,22.4,23.5,20.5,21.6,21.6,23.1,26.2,18.7
17,25-04-2021,29.3,30.7,26.9,27.7,25.7,29.4,25.6,28.1,27.7,28.0,35.7,24.5
18,02-05-2021,34.1,35.3,31.9,33.3,30.9,35.2,29.5,33.4,33.6,30.5,42.5,29.1
19,09-05-2021,37.1,39.2,35.2,37.1,36.1,39.1,33.7,38.0,38.2,32.7,47.0,32.9
20,16-05-2021,41.9,45.3,40.1,44.0,42.1,43.7,39.1,43.5,43.4,34.4,51.0,35.4
21,23-05-2021,47.7,51.1,47.9,49.4,48.2,49.0,41.4,48.3,50.7,38.4,54.4,38.2
22,30-05-2021,53.3,55.8,53.5,55.2,55.1,57.0,47.2,55.7,56.4,42.4,57.5,42.6
23,06-06-2021,57.4,58.0,56.8,58.5,58.0,60.3,48.3,60.1,60.9,49.7,59.4,48.5
24,13-06-2021,61.6,61.9,61.1,65.4,62.4,64.4,52.3,64.1,64.8,54.6,61.1,51.4
25,20-06-2021,63.5,64.7,63.3,67.1,62.9,65.9,54.1,64.6,65.8,61.0,63.5,57.2
26,27-06-2021,66.5,67.6,66.4,69.2,64.8,69.0,58.2,67.1,67.9,64.4,66.5,59.4
27,04-07-2021,68.1,69.0,67.7,68.4,68.0,70.3,60.8,69.3,68.9,67.9,69.4,64.7
28,11-07-2021,70.8,72.2,70.7,70.7,70.5,73.0,64.0,72.0,71.5,70.8,71.8,66.2
29,18-07-2021,73.4,73.1,72.2,72.4,72.6,75.1,67.1,73.4,73.4,73.6,73.5,70.5
30,25-07-2021,76.0,76.1,75.1,75.1,75.9,78.2,71.4,76.7,76.0,76.2,75.4,73.3
31,01-08-2021,77.9,78.2,76.8,78.5,77.4,80.2,72.9,79.4,78.5,77.8,77.2,75.9
32,08-08-2021,80.2,80.4,79.3,80.3,79.1,82.3,76.3,81.4,80.2,79.4,79.1,78.8
33,15-08-2021,82.7,82.2,82.3,81.8,81.4,83.8,80.0,81.4,82.2,81.3,80.0,81.2
34,22-08-2021,84.7,84.1,84.7,83.9,83.8,85.8,82.7,83.6,84.5,82.8,81.2,83.6
35,29-08-2021,85.9,85.7,85.9,85.6,85.6,87.1,84.8,85.5,86.4,84.0,81.7,85.5
