,areaname,population,date,newcasesbypublishdate,cases_per_100k
3492,South West,5616000,01/01/2021,2104,37.464387464387464
1884,North East,2597000,01/01/2021,1340,51.5979976896419
812,East of England,5847000,01/01/2021,7640,130.6652984436463
4586,Wales,3136000,01/01/2021,0,0.0
1348,London,8899375,01/01/2021,15089,169.55123253037434
2420,North West,7300000,01/01/2021,5164,70.73972602739727
4028,West Midlands,2928000,01/01/2021,2860,97.6775956284153
5793,Scotland,5454000,01/01/2021,2539,46.55298863219655
276,East Midlands,4533000,01/01/2021,3079,67.92411206706376
5193,Northern Ireland,1885000,01/01/2021,0,0.0
2956,South East,9175000,01/01/2021,10844,118.19073569482289
4555,Wales,3136000,01/02/2021,630,20.089285714285715
3461,South West,5616000,01/02/2021,1308,23.290598290598293
5762,Scotland,5454000,01/02/2021,848,15.548221488815548
2389,North West,7300000,01/02/2021,2529,34.64383561643835
5162,Northern Ireland,1885000,01/02/2021,314,16.657824933687003
2925,South East,9175000,01/02/2021,2350,25.613079019073567
1317,London,8899375,01/02/2021,2851,32.035957581290816
1853,North East,2597000,01/02/2021,715,27.53176742395071
781,East of England,5847000,01/02/2021,1866,31.9138019497178
245,East Midlands,4533000,01/02/2021,1617,35.671740569159496
3997,West Midlands,2928000,01/02/2021,2059,70.32103825136612
4892,Wales,3136000,01/03/2020,0,0.0
2897,South East,9175000,01/03/2021,512,5.580381471389646
217,East Midlands,4533000,01/03/2021,611,13.478932274431942
2361,North West,7300000,01/03/2021,808,11.068493150684931
3969,West Midlands,2928000,01/03/2021,594,20.28688524590164
5134,Northern Ireland,1885000,01/03/2021,138,7.320954907161805
1825,North East,2597000,01/03/2021,276,10.627647285329227
3433,South West,5616000,01/03/2021,253,4.504985754985755
5734,Scotland,5454000,01/03/2021,386,7.077374404107077
753,East of England,5847000,01/03/2021,385,6.584573285445528
4527,Wales,3136000,01/03/2021,193,6.154336734693877
1289,London,8899375,01/03/2021,522,5.865580448065173
5468,Northern Ireland,1885000,01/04/2020,103,5.464190981432361
6068,Scotland,5454000,01/04/2020,317,5.812247891455812
4861,Wales,3136000,01/04/2020,274,8.737244897959183
4496,Wales,3136000,01/04/2021,188,5.994897959183674
3938,West Midlands,2928000,01/04/2021,420,14.344262295081966
2866,South East,9175000,01/04/2021,403,4.392370572207084
1794,North East,2597000,01/04/2021,242,9.318444358875626
186,East Midlands,4533000,01/04/2021,465,10.258107213765717
5703,Scotland,5454000,01/04/2021,400,7.3340667400073345
722,East of England,5847000,01/04/2021,331,5.661022746707713
5103,Northern Ireland,1885000,01/04/2021,107,5.676392572944297
2330,North West,7300000,01/04/2021,546,7.47945205479452
1258,London,8899375,01/04/2021,393,4.416040452278953
