,areaname,population,date,newcasesbypublishdate,cases_per_100k
3492,South West,5616000,01/01/2021,2104,37.464387464387464
5729,Northern Ireland,1885000,01/01/2021,0,0.0
2956,South East,9175000,01/01/2021,10844,118.19073569482289
5122,Wales,3136000,01/01/2021,0,0.0
4564,Yorkshire and the Humber,5486000,01/01/2021,2175,39.64637258476121
4028,West Midlands,2928000,01/01/2021,2860,97.6775956284153
2420,North West,7300000,01/01/2021,5164,70.73972602739727
812,East of England,5847000,01/01/2021,7640,130.6652984436463
276,East Midlands,4533000,01/01/2021,3079,67.92411206706376
1348,London,8899375,01/01/2021,15089,169.55123253037434
6329,Scotland,5454000,01/01/2021,2539,46.55298863219655
1884,North East,2597000,01/01/2021,1340,51.5979976896419
5091,Wales,3136000,01/02/2021,630,20.089285714285715
5698,Northern Ireland,1885000,01/02/2021,314,16.657824933687003
781,East of England,5847000,01/02/2021,1866,31.9138019497178
4533,Yorkshire and the Humber,5486000,01/02/2021,1392,25.373678454247173
6298,Scotland,5454000,01/02/2021,848,15.548221488815548
2925,South East,9175000,01/02/2021,2350,25.613079019073567
1317,London,8899375,01/02/2021,2851,32.035957581290816
1853,North East,2597000,01/02/2021,715,27.53176742395071
3461,South West,5616000,01/02/2021,1308,23.290598290598293
245,East Midlands,4533000,01/02/2021,1617,35.671740569159496
3997,West Midlands,2928000,01/02/2021,2059,70.32103825136612
2389,North West,7300000,01/02/2021,2529,34.64383561643835
5428,Wales,3136000,01/03/2020,0,0.0
1289,London,8899375,01/03/2021,522,5.865580448065173
5670,Northern Ireland,1885000,01/03/2021,138,7.320954907161805
2897,South East,9175000,01/03/2021,512,5.580381471389646
4505,Yorkshire and the Humber,5486000,01/03/2021,745,13.580021873860735
1825,North East,2597000,01/03/2021,276,10.627647285329227
3969,West Midlands,2928000,01/03/2021,594,20.28688524590164
3433,South West,5616000,01/03/2021,253,4.504985754985755
6270,Scotland,5454000,01/03/2021,386,7.077374404107077
753,East of England,5847000,01/03/2021,385,6.584573285445528
2361,North West,7300000,01/03/2021,808,11.068493150684931
5063,Wales,3136000,01/03/2021,193,6.154336734693877
