Political party;Region;Number of people
VALID BALLOTS;All DENMARK;3531720
VALID BALLOTS;HOVEDSTADEN;1076921
VALID BALLOTS;KØBENHAVNS STORKREDS;452405
VALID BALLOTS;1. ØSTERBRO;47950
VALID BALLOTS;2. SUNDBYVESTER;41223
VALID BALLOTS;3. INDRE BY;34872
VALID BALLOTS;4. SUNDBYØSTER;34038
VALID BALLOTS;5. NØRREBRO;47505
VALID BALLOTS;6. BISPEBJERG;29018
VALID BALLOTS;7. BRØNSHØJ;46036
VALID BALLOTS;8. VALBY;32453
VALID BALLOTS;9. VESTERBRO;40215
VALID BALLOTS;10. FALKONER;33399
VALID BALLOTS;11. SLOTS;31562
VALID BALLOTS;12. TÅRNBY;34134
VALID BALLOTS;KØBENHAVNS OMEGNS STORKREDS;309557
VALID BALLOTS;1. GENTOFTE;44790
VALID BALLOTS;2. LYNGBY;34080
VALID BALLOTS;3. GLADSAXE;38921
VALID BALLOTS;4. RØDOVRE;39649
VALID BALLOTS;5. HVIDOVRE;30224
VALID BALLOTS;6. BRØNDBY;38208
VALID BALLOTS;7. TAASTRUP;41744
VALID BALLOTS;8. BALLERUP;41941
VALID BALLOTS;NORDSJÆLLANDS STORKREDS;289676
VALID BALLOTS;1. HELSINGØR;38463
VALID BALLOTS;2. FREDENSBORG;40813
VALID BALLOTS;3. HILLERØD;58054
VALID BALLOTS;4. FREDERIKSSUND;48261
VALID BALLOTS;5. EGEDAL;52301
VALID BALLOTS;6. RUDERSDAL;51784
VALID BALLOTS;BORNHOLMS STORKREDS;25283
VALID BALLOTS;1. RØNNE;12497
VALID BALLOTS;2. AAKIRKEBY;12786
VALID BALLOTS;SJÆLLAND-SYDDANMARK;1268335
VALID BALLOTS;SJÆLLANDS STORKREDS;520869
VALID BALLOTS;1. LOLLAND;25032
VALID BALLOTS;2. GULDBORGSUND;37975
VALID BALLOTS;3. VORDINGBORG;29292
VALID BALLOTS;4. NÆSTVED;51690
VALID BALLOTS;5. FAXE;37233
VALID BALLOTS;6. KØGE;55707
VALID BALLOTS;7. GREVE;44912
VALID BALLOTS;8. ROSKILDE;55622
VALID BALLOTS;9. HOLBÆK;43964
VALID BALLOTS;10. KALUNDBORG;51732
VALID BALLOTS;11. RINGSTED;39592
VALID BALLOTS;12. SLAGELSE;48118
VALID BALLOTS;FYNS STORKREDS;312542
VALID BALLOTS;1. ODENSE ØST;42779
VALID BALLOTS;2. ODENSE VEST;37542
VALID BALLOTS;3. ODENSE SYD;44895
VALID BALLOTS;4. ASSENS;25960
VALID BALLOTS;5. MIDDELFART;43462
VALID BALLOTS;6. NYBORG;35546
VALID BALLOTS;7. SVENDBORG;45713
VALID BALLOTS;8. FAABORG;36645
VALID BALLOTS;SYDJYLLANDS STORKREDS;434924
VALID BALLOTS;1. SØNDERBORG;44878
VALID BALLOTS;2. AABENRAA;34337
VALID BALLOTS;3. TØNDER;22105
VALID BALLOTS;4. ESBJERG BY;38164
VALID BALLOTS;5. ESBJERG OMEGN;33829
VALID BALLOTS;6. VARDE;30444
VALID BALLOTS;7. VEJEN;41067
VALID BALLOTS;8. VEJLE NORD;33700
VALID BALLOTS;9. VEJLE SYD;35459
VALID BALLOTS;10. FREDERICIA;30790
VALID BALLOTS;11. KOLDING NORD;26281
VALID BALLOTS;12. KOLDING SYD;29699
VALID BALLOTS;13. HADERSLEV;34171
VALID BALLOTS;MIDTJYLLAND-NORDJYLLAND;1186464
VALID BALLOTS;ØSTJYLLANDS STORKREDS;496062
VALID BALLOTS;1. ÅRHUS SYD;51247
VALID BALLOTS;2. ÅRHUS VEST;50054
VALID BALLOTS;3. ÅRHUS NORD;54232
VALID BALLOTS;4. ÅRHUS ØST;63144
VALID BALLOTS;5. DJURS;50089
VALID BALLOTS;6. RANDERS NORD;28568
VALID BALLOTS;7. RANDERS SYD;31053
VALID BALLOTS;8. FAVRSKOV;29872
VALID BALLOTS;9. SKANDERBORG;56289
VALID BALLOTS;10. HORSENS;52515
VALID BALLOTS;11. HEDENSTED;28999
VALID BALLOTS;VESTJYLLANDS STORKREDS;324006
VALID BALLOTS;9. HERNING NORD;28897
VALID BALLOTS;10. HOLSTEBRO;36704
VALID BALLOTS;11. RINGKØBING;34342
VALID BALLOTS;1. STRUER;26218
VALID BALLOTS;2. SKIVE;29425
VALID BALLOTS;3. VIBORG VEST;31572
VALID BALLOTS;4. VIBORG ØST;27664
VALID BALLOTS;5. SILKEBORG NORD;28332
VALID BALLOTS;6. SILKEBORG SYD;30453
VALID BALLOTS;7. IKAST;24436
VALID BALLOTS;8. HERNING SYD;25963
VALID BALLOTS;NORDJYLLANDS STORKREDS;366396
VALID BALLOTS;1. FREDERIKSHAVN;38498
VALID BALLOTS;2. HJØRRING;40188
VALID BALLOTS;3. BRØNDERSLEV;46354
VALID BALLOTS;4. THISTED;40212
VALID BALLOTS;5. HIMMERLAND;40607
VALID BALLOTS;6. MARIAGERFJORD;25912
VALID BALLOTS;7. AALBORG ØST;51431
VALID BALLOTS;8. AALBORG VEST;41216
