,date,state,series_complete_pop_pct
0,01/01/2021,AK,0.0
1,01/01/2021,AL,0.0
2,01/01/2021,AR,0.0
3,01/01/2021,AS,0.0
4,01/01/2021,AZ,0.0
5,01/01/2021,BP2,0.0
6,01/01/2021,CA,0.0
7,01/01/2021,CO,0.0
8,01/01/2021,CT,0.0
9,01/01/2021,DC,0.0
10,01/01/2021,DD2,0.0
11,01/01/2021,DE,0.0
12,01/01/2021,FL,0.0
13,01/01/2021,FM,0.0
14,01/01/2021,GA,0.0
15,01/01/2021,GU,0.0
16,01/01/2021,HI,0.0
17,01/01/2021,IA,0.0
18,01/01/2021,ID,0.0
19,01/01/2021,IH2,0.0
20,01/01/2021,IL,0.0
21,01/01/2021,IN,0.0
22,01/01/2021,KS,0.0
23,01/01/2021,KY,0.0
24,01/01/2021,LA,0.0
25,01/01/2021,LTC,0.0
26,01/01/2021,MA,0.0
27,01/01/2021,MD,0.0
28,01/01/2021,ME,0.0
29,01/01/2021,MH,0.0
30,01/01/2021,MI,0.0
31,01/01/2021,MN,0.0
32,01/01/2021,MO,0.0
33,01/01/2021,MP,0.0
34,01/01/2021,MS,0.0
35,01/01/2021,MT,0.0
36,01/01/2021,NC,0.0
37,01/01/2021,ND,0.0
38,01/01/2021,NE,0.0
39,01/01/2021,NH,0.0
40,01/01/2021,NJ,0.0
41,01/01/2021,NM,0.0
42,01/01/2021,NV,0.0
43,01/01/2021,NY,0.0
44,01/01/2021,OH,0.0
45,01/01/2021,OK,0.0
46,01/01/2021,OR,0.0
47,01/01/2021,PA,0.0
48,01/01/2021,PR,0.0
49,01/01/2021,RI,0.0
50,01/01/2021,RP,0.0
51,01/01/2021,SC,0.0
52,01/01/2021,SD,0.0
53,01/01/2021,TN,0.0
54,01/01/2021,TX,0.0
55,01/01/2021,US,0.0
56,01/01/2021,UT,0.0
57,01/01/2021,VA,0.0
58,01/01/2021,VA2,0.0
59,01/01/2021,VI,0.0
60,01/01/2021,VT,0.0
61,01/01/2021,WA,0.0
62,01/01/2021,WI,0.0
63,01/01/2021,WV,0.0
64,01/01/2021,WY,0.0
65,01/02/2021,AK,0.0
66,01/02/2021,AL,0.0
67,01/02/2021,AR,0.0
68,01/02/2021,AS,0.0
69,01/02/2021,AZ,0.0
70,01/02/2021,BP2,0.0
71,01/02/2021,CA,0.0
72,01/02/2021,CO,0.0
73,01/02/2021,CT,0.0
74,01/02/2021,DC,0.0
75,01/02/2021,DD2,0.0
76,01/02/2021,DE,0.0
77,01/02/2021,FL,0.0
78,01/02/2021,FM,0.0
79,01/02/2021,GA,0.0
80,01/02/2021,GU,0.0
81,01/02/2021,HI,0.0
82,01/02/2021,IA,0.0
83,01/02/2021,ID,0.0
84,01/02/2021,IH2,0.0
85,01/02/2021,IL,0.0
86,01/02/2021,IN,0.0
87,01/02/2021,KS,0.0
88,01/02/2021,KY,0.0
89,01/02/2021,LA,0.0
90,01/02/2021,LTC,0.0
91,01/02/2021,MA,0.0
92,01/02/2021,MD,0.0
93,01/02/2021,ME,0.0
94,01/02/2021,MH,0.0
95,01/02/2021,MI,0.0
96,01/02/2021,MN,0.0
97,01/02/2021,MO,0.0
98,01/02/2021,MP,0.0
99,01/02/2021,MS,0.0
100,01/02/2021,MT,0.0
101,01/02/2021,NC,0.0
102,01/02/2021,ND,0.0
103,01/02/2021,NE,0.0
104,01/02/2021,NH,0.0
105,01/02/2021,NJ,0.0
106,01/02/2021,NM,0.0
107,01/02/2021,NV,0.0
108,01/02/2021,NY,0.0
109,01/02/2021,OH,0.0
110,01/02/2021,OK,0.0
111,01/02/2021,OR,0.0
112,01/02/2021,PA,0.0
113,01/02/2021,PR,0.0
114,01/02/2021,RI,0.0
115,01/02/2021,RP,0.0
116,01/02/2021,SC,0.0
117,01/02/2021,SD,0.0
118,01/02/2021,TN,0.0
119,01/02/2021,TX,0.0
120,01/02/2021,US,0.0
121,01/02/2021,UT,0.0
122,01/02/2021,VA,0.0
123,01/02/2021,VA2,0.0
124,01/02/2021,VI,0.0
125,01/02/2021,VT,0.0
126,01/02/2021,WA,0.0
127,01/02/2021,WI,0.0
128,01/02/2021,WV,0.0
129,01/02/2021,WY,0.0
130,01/03/2021,AK,0.0
131,01/03/2021,AL,0.0
132,01/03/2021,AR,0.0
133,01/03/2021,AS,0.0
134,01/03/2021,AZ,0.0
135,01/03/2021,BP2,0.0
136,01/03/2021,CA,0.0
137,01/03/2021,CO,0.0
138,01/03/2021,CT,0.0
139,01/03/2021,DC,0.0
140,01/03/2021,DD2,0.0
141,01/03/2021,DE,0.0
142,01/03/2021,FL,0.0
143,01/03/2021,FM,0.0
144,01/03/2021,GA,0.0
145,01/03/2021,GU,0.0
146,01/03/2021,HI,0.0
147,01/03/2021,IA,0.0
