date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,6,5,0.0,1.8,2,26,01:35 PM,09:22 PM,09:19 AM,04:45 PM,1,1,5,1,39,69,72,0.1,1019,6,10,295,27,Sjaelland
2019-12-02,6,4,0.0,5.8,2,33,02:01 PM,10:33 PM,09:21 AM,04:44 PM,0,1,5,1,39,33,72,1.0,1016,6,10,264,28,Sjaelland
2019-12-03,8,4,0.0,1.8,2,41,02:20 PM,11:45 PM,09:23 AM,04:43 PM,3,2,6,2,45,70,81,1.3,1020,8,8,258,30,Sjaelland
2019-12-04,7,7,0.0,5.8,2,48,02:36 PM,No moonset,09:24 AM,04:42 PM,5,3,7,3,47,58,88,0.2,1017,7,10,249,31,Sjaelland
2019-12-05,7,4,0.0,3.8,2,55,02:50 PM,12:56 AM,09:26 AM,04:42 PM,5,2,7,2,56,67,86,0.2,1013,7,10,236,37,Sjaelland
2019-12-06,9,7,0.0,1.8,2,62,03:02 PM,02:07 AM,09:27 AM,04:41 PM,7,3,8,3,74,100,90,4.3,999,9,8,226,45,Sjaelland
2019-12-07,8,4,0.0,3.8,2,70,03:15 PM,03:19 AM,09:29 AM,04:41 PM,5,3,7,3,55,65,84,1.2,997,8,7,263,35,Sjaelland
2019-12-08,9,7,0.0,3.8,2,77,03:28 PM,04:30 AM,09:30 AM,04:40 PM,5,3,8,3,61,72,85,5.3,991,9,10,229,39,Sjaelland
2019-12-09,7,5,0.0,3.8,2,84,03:44 PM,05:45 AM,09:31 AM,04:40 PM,3,1,7,1,42,68,79,1.0,990,7,9,245,30,Sjaelland
2019-12-10,5,5,0.0,5.8,2,92,04:02 PM,07:01 AM,09:33 AM,04:39 PM,-1,0,5,0,52,32,66,0.2,1014,5,10,197,39,Sjaelland
2019-12-11,6,5,0.0,3.8,2,99,04:27 PM,08:18 AM,09:34 AM,04:39 PM,3,0,5,0,49,88,85,2.0,1005,6,9,203,34,Sjaelland
2019-12-12,6,5,0.0,1.8,2,100,05:02 PM,09:35 AM,09:35 AM,04:39 PM,3,1,5,1,25,88,87,1.3,998,6,7,198,17,Sjaelland
2019-12-13,5,4,0.0,1.8,1,87,05:50 PM,10:44 AM,09:36 AM,04:39 PM,2,-1,5,-1,47,83,81,0.6,987,5,10,145,35,Sjaelland
2019-12-14,6,2,0.2,1.8,1,79,06:52 PM,11:42 AM,09:37 AM,04:39 PM,2,-1,4,-1,38,99,88,6.2,982,6,9,182,28,Sjaelland
2019-12-15,7,5,0.0,1.8,2,72,08:08 PM,12:26 PM,09:38 AM,04:39 PM,3,0,6,0,68,74,79,2.9,989,7,9,227,48,Sjaelland
2019-12-16,6,6,0.0,1.8,2,65,09:31 PM,12:59 PM,09:39 AM,04:39 PM,4,1,6,1,52,71,86,0.5,1003,6,9,207,35,Sjaelland
2019-12-17,8,6,0.0,1.7,2,58,10:57 PM,01:24 PM,09:40 AM,04:39 PM,6,3,7,3,37,96,93,3.4,1002,8,8,186,22,Sjaelland
2019-12-18,7,6,0.0,5.8,2,50,No moonrise,01:43 PM,09:41 AM,04:39 PM,4,2,7,2,51,47,84,3.2,1008,7,10,249,32,Sjaelland
2019-12-19,7,5,0.0,5.8,2,43,12:24 AM,02:00 PM,09:41 AM,04:39 PM,4,2,6,2,47,61,88,0.0,1015,7,10,165,30,Sjaelland
2019-12-20,6,6,0.0,5.8,3,36,01:50 AM,02:15 PM,09:42 AM,04:40 PM,5,1,6,1,42,53,91,0.0,996,6,10,135,27,Sjaelland
2019-12-21,7,5,0.0,5.8,2,28,03:15 AM,02:30 PM,09:43 AM,04:40 PM,5,3,6,3,34,55,92,2.7,989,7,10,198,22,Sjaelland
2019-12-22,6,5,0.0,1.7,2,21,04:40 AM,02:47 PM,09:43 AM,04:41 PM,4,1,6,1,34,63,89,0.0,989,6,10,131,24,Sjaelland
2019-12-23,6,6,0.0,1.7,2,14,06:06 AM,03:08 PM,09:43 AM,04:41 PM,5,2,6,2,36,93,92,6.4,997,6,9,166,24,Sjaelland
2019-12-24,6,5,0.0,1.7,2,7,07:30 AM,03:35 PM,09:44 AM,04:42 PM,5,2,6,2,34,82,92,0.7,1005,6,8,227,23,Sjaelland
2019-12-25,6,5,0.0,1.7,2,0,08:48 AM,04:10 PM,09:44 AM,04:42 PM,4,2,5,2,25,80,90,0.5,1012,6,8,268,17,Sjaelland
2019-12-26,5,3,0.1,1.7,1,0,09:57 AM,04:56 PM,09:44 AM,04:43 PM,2,1,4,1,26,66,84,0.1,1021,5,10,304,18,Sjaelland
2019-12-27,3,2,0.1,3.8,1,0,10:52 AM,05:55 PM,09:45 AM,04:44 PM,-1,-2,3,-2,25,71,74,0.1,1032,3,10,33,18,Sjaelland
2019-12-28,2,-0,0.0,3.8,1,8,11:33 AM,07:02 PM,09:45 AM,04:45 PM,-3,-3,1,-3,17,46,76,0.0,1041,2,10,147,12,Sjaelland
2019-12-29,5,2,0.0,3.8,1,15,12:03 PM,08:13 PM,09:45 AM,04:46 PM,1,-2,4,-2,47,63,80,0.0,1032,5,10,220,33,Sjaelland
2019-12-30,7,6,0.0,5.8,2,22,12:25 PM,09:26 PM,09:45 AM,04:47 PM,5,1,7,1,69,50,87,0.2,1019,7,9,245,43,Sjaelland
2019-12-31,7,5,0.0,5.8,3,26,12:42 PM,10:38 PM,09:45 AM,04:48 PM,3,1,6,1,59,14,80,0.1,1022,7,10,297,37,Sjaelland
2020-01-01,6,5,0.0,5.8,3,37,12:57 PM,11:50 PM,09:44 AM,04:49 PM,3,0,5,0,52,15,87,0.0,1028,6,10,265,34,Sjaelland
2020-01-02,5,4,0.0,5.8,2,44,01:10 PM,No moonset,09:44 AM,04:51 PM,3,-1,5,-1,56,16,87,0.0,1021,5,10,233,38,Sjaelland
2020-01-03,6,-1,0.0,3.8,2,51,01:22 PM,01:00 AM,09:44 AM,04:52 PM,3,0,5,0,61,67,83,1.0,1009,6,7,247,39,Sjaelland
2020-01-04,5,4,2.6,3.8,1,59,01:35 PM,02:11 AM,09:43 AM,04:53 PM,0,-1,5,-1,68,47,72,6.1,1014,5,9,302,45,Sjaelland
2020-01-05,5,-1,0.0,1.8,1,66,01:49 PM,03:24 AM,09:43 AM,04:55 PM,2,-0,4,-0,46,59,84,0.7,1025,5,8,249,30,Sjaelland
2020-01-06,6,3,0.0,1.8,2,73,02:05 PM,04:37 AM,09:43 AM,04:56 PM,5,1,6,1,46,91,93,0.2,1022,6,10,236,28,Sjaelland
2020-01-07,6,5,0.0,3.8,2,80,02:27 PM,05:54 AM,09:42 AM,04:57 PM,4,1,5,1,40,70,90,0.2,1019,6,10,222,25,Sjaelland
2020-01-08,7,5,0.0,1.8,2,88,02:57 PM,07:11 AM,09:41 AM,04:59 PM,5,2,6,2,59,82,91,3.8,1013,7,8,233,34,Sjaelland
2020-01-09,5,4,0.0,1.9,1,95,03:38 PM,08:24 AM,09:41 AM,05:01 PM,3,1,5,1,31,63,88,4.6,1015,5,10,180,20,Sjaelland
2020-01-10,6,-1,0.0,1.9,2,100,04:34 PM,09:29 AM,09:40 AM,05:02 PM,5,3,6,3,31,89,95,15.9,1008,6,7,269,18,Sjaelland
2020-01-11,5,1,0.0,5.8,1,100,05:47 PM,10:21 AM,09:39 AM,05:04 PM,3,-0,4,-0,43,69,87,0.1,1024,5,10,214,28,Sjaelland
2020-01-12,6,3,0.0,1.9,2,83,07:11 PM,10:59 AM,09:38 AM,05:06 PM,5,1,6,1,53,100,92,11.7,1012,6,8,229,33,Sjaelland
2020-01-13,5,0,0.0,1.9,2,76,08:39 PM,11:28 AM,09:37 AM,05:07 PM,4,0,5,0,44,68,89,2.2,1013,5,8,226,29,Sjaelland
2020-01-14,7,2,0.0,5.8,2,69,10:08 PM,11:49 AM,09:36 AM,05:09 PM,4,0,5,0,60,69,86,1.8,1002,7,9,195,37,Sjaelland
2020-01-15,8,6,0.0,1.9,2,61,11:36 PM,12:07 PM,09:35 AM,05:11 PM,6,3,8,3,81,99,88,3.1,1003,8,7,217,46,Sjaelland
2020-01-16,6,5,0.0,5.8,3,54,No moonrise,12:23 PM,09:34 AM,05:13 PM,3,1,5,1,53,36,86,0.5,1020,6,10,227,32,Sjaelland
2020-01-17,6,2,0.0,5.8,2,47,01:03 AM,12:38 PM,09:33 AM,05:15 PM,4,1,5,1,50,54,86,0.0,1016,6,10,175,30,Sjaelland
2020-01-18,6,1,0.0,2.0,2,40,02:28 AM,12:54 PM,09:31 AM,05:17 PM,4,1,5,1,35,100,94,6.9,1010,6,7,239,23,Sjaelland
2020-01-19,5,5,0.0,5.8,2,32,03:52 AM,01:14 PM,09:30 AM,05:19 PM,2,0,5,0,51,35,77,1.8,1025,5,10,177,34,Sjaelland
2020-01-20,6,5,0.0,5.8,2,25,05:15 AM,01:38 PM,09:29 AM,05:21 PM,3,0,5,0,47,34,87,0.0,1039,6,10,263,30,Sjaelland
2020-01-21,7,2,0.0,3.9,2,18,06:34 AM,02:08 PM,09:27 AM,05:23 PM,5,1,6,1,63,60,90,0.3,1032,7,10,260,40,Sjaelland
2020-01-22,6,5,0.0,5.8,2,11,07:45 AM,02:49 PM,09:26 AM,05:25 PM,2,1,6,1,44,23,80,0.0,1028,6,10,267,28,Sjaelland
2020-01-23,6,1,0.0,2.0,2,3,08:44 AM,03:43 PM,09:25 AM,05:27 PM,4,1,5,1,44,71,91,0.3,1028,6,10,246,28,Sjaelland
2020-01-24,6,-1,0.0,2.0,2,0,09:30 AM,04:46 PM,09:23 AM,05:29 PM,5,1,5,1,50,76,91,0.1,1018,6,10,261,31,Sjaelland
2020-01-25,5,-0,0.0,5.8,1,0,10:04 AM,05:56 PM,09:21 AM,05:31 PM,3,1,5,1,38,33,88,0.0,1016,5,10,261,24,Sjaelland
2020-01-26,5,4,0.0,2.0,1,4,10:28 AM,07:09 PM,09:20 AM,05:33 PM,3,0,5,0,37,84,90,0.2,1014,5,10,217,24,Sjaelland
2020-01-27,5,0,0.0,2.0,1,11,10:48 AM,08:22 PM,09:18 AM,05:35 PM,4,-0,4,-0,42,84,92,0.3,1005,5,9,194,27,Sjaelland
2020-01-28,5,3,0.0,2.1,1,18,11:03 AM,09:34 PM,09:16 AM,05:37 PM,4,0,5,0,36,98,92,1.4,988,5,8,176,24,Sjaelland
2020-01-29,5,4,0.0,2.1,2,26,11:17 AM,10:44 PM,09:15 AM,05:39 PM,2,-0,5,-0,51,78,83,0.7,991,5,9,262,33,Sjaelland
