date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,1,0.0,3.8,1,26,01:42 PM,09:33 PM,09:26 AM,04:56 PM,-0,-1,2,-1,24,69,84,0.0,1020,4,10,279,13,Syddanmark
2019-12-02,5,1,0.0,3.8,1,33,02:08 PM,10:44 PM,09:27 AM,04:55 PM,0,-1,3,-1,32,57,83,0.2,1019,5,10,305,17,Syddanmark
2019-12-03,8,2,0.0,1.8,2,41,02:28 PM,11:56 PM,09:29 AM,04:55 PM,4,2,5,2,30,84,90,0.2,1021,8,9,257,18,Syddanmark
2019-12-04,8,6,0.0,3.8,2,48,02:44 PM,No moonset,09:30 AM,04:54 PM,5,3,7,3,34,59,87,0.0,1018,8,10,247,21,Syddanmark
2019-12-05,7,2,0.0,1.8,2,55,02:58 PM,01:07 AM,09:32 AM,04:53 PM,4,3,6,3,43,79,84,0.6,1013,7,9,238,27,Syddanmark
2019-12-06,10,5,0.0,1.8,2,62,03:11 PM,02:17 AM,09:33 AM,04:53 PM,8,5,9,5,52,100,91,9.9,999,10,9,234,35,Syddanmark
2019-12-07,8,-0,0.0,5.8,2,70,03:24 PM,03:28 AM,09:35 AM,04:52 PM,4,3,7,3,36,56,83,0.5,999,8,10,269,22,Syddanmark
2019-12-08,9,4,0.0,3.8,2,77,03:38 PM,04:39 AM,09:36 AM,04:52 PM,5,3,8,3,46,88,83,13.3,991,9,8,237,30,Syddanmark
2019-12-09,7,4,0.0,5.8,2,84,03:54 PM,05:53 AM,09:37 AM,04:51 PM,2,1,6,1,32,52,76,5.3,992,7,9,239,21,Syddanmark
2019-12-10,5,2,0.0,1.8,1,92,04:13 PM,07:09 AM,09:39 AM,04:51 PM,-0,-1,3,-1,37,56,78,0.1,1014,5,10,244,23,Syddanmark
2019-12-11,7,4,0.0,5.8,2,99,04:39 PM,08:25 AM,09:40 AM,04:51 PM,3,2,5,2,35,63,85,1.0,1003,7,9,212,22,Syddanmark
2019-12-12,5,2,0.0,3.8,1,100,05:14 PM,09:41 AM,09:41 AM,04:50 PM,2,-0,3,-0,26,67,91,0.7,996,5,8,186,16,Syddanmark
2019-12-13,4,2,0.0,3.8,1,87,06:02 PM,10:50 AM,09:42 AM,04:50 PM,-0,-3,3,-3,40,61,82,0.0,984,4,10,142,27,Syddanmark
2019-12-14,6,1,0.2,1.8,1,79,07:04 PM,11:48 AM,09:43 AM,04:50 PM,2,-1,4,-1,32,96,89,3.9,980,6,7,195,21,Syddanmark
2019-12-15,6,3,0.0,1.8,1,72,08:19 PM,12:32 PM,09:44 AM,04:50 PM,2,-0,5,-0,48,85,80,8.7,989,6,8,226,30,Syddanmark
2019-12-16,7,5,0.0,1.8,2,65,09:43 PM,01:06 PM,09:45 AM,04:50 PM,4,1,6,1,36,78,87,2.4,1002,7,9,202,22,Syddanmark
2019-12-17,9,5,0.0,1.8,2,58,11:08 PM,01:31 PM,09:46 AM,04:51 PM,6,4,7,4,19,98,95,4.5,1000,9,6,197,12,Syddanmark
