date_time,tempC,location,tempC_categories
2019-12-01,4,Hovedstaden,5
2019-12-02,4,Hovedstaden,5
2019-12-03,7,Hovedstaden,5
2019-12-04,7,Hovedstaden,5
2019-12-05,7,Hovedstaden,5
2019-12-06,10,Hovedstaden,0
2019-12-07,8,Hovedstaden,5
2019-12-08,9,Hovedstaden,5
2019-12-09,7,Hovedstaden,5
2019-12-10,4,Hovedstaden,5
2019-12-11,5,Hovedstaden,5
2019-12-12,5,Hovedstaden,5
2019-12-13,4,Hovedstaden,5
2019-12-14,5,Hovedstaden,5
2019-12-15,6,Hovedstaden,5
2019-12-16,6,Hovedstaden,5
2019-12-17,8,Hovedstaden,5
2019-12-18,7,Hovedstaden,5
2019-12-19,7,Hovedstaden,5
2019-12-20,6,Hovedstaden,5
2019-12-21,7,Hovedstaden,5
2019-12-22,6,Hovedstaden,5
2019-12-23,6,Hovedstaden,5
2019-12-24,6,Hovedstaden,5
2019-12-25,5,Hovedstaden,5
2019-12-26,3,Hovedstaden,5
2019-12-27,2,Hovedstaden,5
2019-12-28,0,Hovedstaden,5
2019-12-29,3,Hovedstaden,5
2019-12-30,7,Hovedstaden,5
2019-12-31,6,Hovedstaden,5
2020-01-01,5,Hovedstaden,5
2020-01-02,5,Hovedstaden,5
2020-01-03,7,Hovedstaden,5
2020-01-04,5,Hovedstaden,5
2020-01-05,5,Hovedstaden,5
2020-01-06,7,Hovedstaden,5
2020-01-07,6,Hovedstaden,5
2020-01-08,8,Hovedstaden,5
2020-01-09,4,Hovedstaden,5
2020-01-10,6,Hovedstaden,5
2020-01-11,5,Hovedstaden,5
2020-01-12,7,Hovedstaden,5
2020-01-13,5,Hovedstaden,5
2020-01-14,7,Hovedstaden,5
2020-01-15,9,Hovedstaden,5
2020-01-16,6,Hovedstaden,5
2020-01-17,6,Hovedstaden,5
2020-01-18,6,Hovedstaden,5
2020-01-19,5,Hovedstaden,5
2020-01-20,5,Hovedstaden,5
2020-01-21,7,Hovedstaden,5
2020-01-22,6,Hovedstaden,5
2020-01-23,6,Hovedstaden,5
2020-01-24,6,Hovedstaden,5
2020-01-25,5,Hovedstaden,5
2020-01-26,5,Hovedstaden,5
2020-01-27,5,Hovedstaden,5
2020-01-28,5,Hovedstaden,5
2020-01-29,5,Hovedstaden,5
2020-01-30,4,Hovedstaden,5
2020-01-31,7,Hovedstaden,5
2020-02-01,9,Hovedstaden,5
2020-02-02,6,Hovedstaden,5
2020-02-03,4,Hovedstaden,5
