date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,1,-2,0.0,3.5,1,26,12:38 PM,10:33 PM,08:13 AM,05:44 PM,-3,-3,-1,-3,9,93,85,22.5,1006,1,7,105,6,Fermanagh
2019-12-02,1,-3,5.8,3.5,1,33,01:14 PM,11:33 PM,08:14 AM,05:43 PM,-1,-3,-1,-3,19,93,94,8.6,1004,1,4,304,12,Fermanagh
2019-12-03,3,-4,0.1,8.7,1,41,01:44 PM,No moonset,08:15 AM,05:43 PM,-4,-6,-1,-6,28,52,82,0.1,1007,3,10,302,16,Fermanagh
2019-12-04,3,-4,0.7,3.5,1,48,02:11 PM,12:32 AM,08:16 AM,05:43 PM,-3,-5,-1,-5,22,79,88,1.0,1002,3,7,257,13,Fermanagh
2019-12-05,2,-4,0.0,8.7,2,55,02:36 PM,01:30 AM,08:17 AM,05:43 PM,-5,-7,-2,-7,30,33,81,0.1,1012,2,10,285,18,Fermanagh
2019-12-06,4,-5,0.0,3.5,1,62,03:01 PM,02:28 AM,08:18 AM,05:43 PM,-3,-4,-1,-4,16,69,87,0.1,1020,4,10,255,9,Fermanagh
2019-12-07,1,-5,0.0,8.7,2,70,03:25 PM,03:27 AM,08:19 AM,05:43 PM,-6,-5,-2,-5,11,14,79,0.0,1029,1,10,264,7,Fermanagh
2019-12-08,4,-3,0.0,8.7,2,77,03:51 PM,04:26 AM,08:20 AM,05:43 PM,-5,-3,-0,-3,12,24,73,0.0,1029,4,10,149,8,Fermanagh
2019-12-09,4,-1,0.0,3.5,1,84,04:20 PM,05:28 AM,08:21 AM,05:43 PM,1,1,2,1,8,85,93,15.9,1013,4,9,149,4,Fermanagh
2019-12-10,9,-0,0.3,3.5,2,92,04:53 PM,06:31 AM,08:22 AM,05:43 PM,4,3,6,3,27,84,87,6.6,1012,9,8,256,17,Fermanagh
2019-12-11,0,-4,0.4,8.7,2,99,05:33 PM,07:36 AM,08:23 AM,05:43 PM,-8,-7,-2,-7,19,29,64,0.5,1028,0,9,268,14,Fermanagh
2019-12-12,1,-7,0.0,8.7,2,100,06:19 PM,08:40 AM,08:23 AM,05:43 PM,-11,-6,-3,-6,9,5,56,0.0,1037,1,10,213,7,Fermanagh
2019-12-13,2,-4,0.0,3.4,1,87,07:14 PM,09:42 AM,08:24 AM,05:43 PM,-3,-2,-1,-2,9,86,86,1.0,1024,2,7,138,5,Fermanagh
2019-12-14,6,2,0.0,3.4,1,79,08:16 PM,10:39 AM,08:25 AM,05:43 PM,3,1,4,1,13,99,94,22.6,999,6,7,212,8,Fermanagh
2019-12-15,3,-3,0.0,8.7,1,72,09:24 PM,11:29 AM,08:26 AM,05:44 PM,-3,-4,1,-4,32,41,76,0.0,1014,3,10,281,22,Fermanagh
2019-12-16,0,-3,3.3,3.4,1,65,10:34 PM,12:12 PM,08:26 AM,05:44 PM,-4,-3,-2,-3,8,95,87,6.4,1023,0,5,179,6,Fermanagh
