date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,-2,-4,0.5,3.4,1,26,12:54 PM,10:28 PM,08:29 AM,05:38 PM,-8,-11,-3,-11,47,73,71,10.4,1007,-2,5,82,34,Tyrone
2019-12-02,-1,-5,0.6,3.4,1,33,01:28 PM,11:31 PM,08:30 AM,05:38 PM,-5,-9,-3,-9,31,83,87,4.0,1009,-1,6,74,23,Tyrone
2019-12-03,-0,-6,0.2,6.9,1,41,01:56 PM,No moonset,08:31 AM,05:38 PM,-6,-7,-3,-7,22,51,79,0.2,1007,-0,9,271,14,Tyrone
2019-12-04,1,-2,0.4,3.4,1,48,02:21 PM,12:31 AM,08:32 AM,05:37 PM,-1,-5,0,-5,29,79,92,0.7,997,1,8,256,21,Tyrone
2019-12-05,-2,-6,0.0,3.4,1,55,02:44 PM,01:33 AM,08:33 AM,05:37 PM,-4,-7,-1,-7,32,72,80,0.5,1009,-2,8,289,24,Tyrone
2019-12-06,-1,-4,0.9,6.9,1,62,03:06 PM,02:32 AM,08:34 AM,05:37 PM,-4,-6,-2,-6,17,77,88,1.1,1019,-1,7,231,11,Tyrone
2019-12-07,-4,-8,0.0,5.2,1,70,03:29 PM,03:34 AM,08:35 AM,05:37 PM,-8,-11,-6,-11,21,49,83,0.0,1028,-4,10,280,13,Tyrone
2019-12-08,4,-4,0.0,5.2,1,77,03:53 PM,04:35 AM,08:36 AM,05:37 PM,-1,-4,1,-4,37,60,86,0.2,1020,4,9,191,22,Tyrone
2019-12-09,6,4,0.0,3.4,1,84,04:19 PM,05:39 AM,08:37 AM,05:37 PM,4,1,4,1,33,95,96,13.1,1005,6,8,191,18,Tyrone
2019-12-10,0,-5,0.5,6.9,1,92,04:50 PM,06:44 AM,08:38 AM,05:37 PM,-4,-6,-1,-6,39,60,78,1.2,1010,0,6,270,27,Tyrone
2019-12-11,-3,-7,0.0,3.4,1,99,05:28 PM,07:51 AM,08:39 AM,05:37 PM,-10,-12,-5,-12,35,66,65,0.4,1024,-3,6,262,28,Tyrone
2019-12-12,-2,-7,0.0,5.1,1,100,06:12 PM,08:57 AM,08:40 AM,05:37 PM,-9,-10,-4,-10,25,39,69,0.0,1033,-2,10,218,18,Tyrone
2019-12-13,2,-0,0.0,5.1,1,87,07:07 PM,10:00 AM,08:41 AM,05:37 PM,-4,-3,1,-3,29,42,73,0.0,1020,2,10,189,18,Tyrone
2019-12-14,2,1,5.5,3.4,1,79,08:10 PM,10:56 AM,08:42 AM,05:37 PM,1,-3,2,-3,29,95,94,27.7,1000,2,5,164,18,Tyrone
2019-12-15,-1,-6,0.0,6.9,1,72,09:20 PM,11:45 AM,08:42 AM,05:38 PM,-6,-9,-3,-9,45,53,77,0.7,1011,-1,5,288,35,Tyrone
2019-12-16,-0,-5,0.0,8.7,1,65,10:32 PM,12:26 PM,08:43 AM,05:38 PM,-7,-5,-3,-5,18,40,75,0.0,1022,-0,10,198,14,Tyrone
2019-12-17,-2,-3,0.5,6.9,1,58,11:46 PM,01:01 PM,08:44 AM,05:38 PM,-5,-6,-2,-6,27,51,82,0.6,1013,-2,9,229,20,Tyrone
2019-12-18,-5,-14,1.8,5.1,1,50,No moonrise,01:31 PM,08:44 AM,05:38 PM,-12,-17,-8,-17,39,65,77,3.5,1014,-5,2,286,31,Tyrone
2019-12-19,-8,-16,0.8,3.4,1,43,01:00 AM,01:59 PM,08:45 AM,05:39 PM,-13,-17,-11,-17,18,74,84,0.9,1029,-8,7,254,13,Tyrone
2019-12-20,-5,-10,0.3,8.7,1,36,02:12 AM,02:26 PM,08:46 AM,05:39 PM,-12,-12,-8,-12,17,14,74,0.3,1037,-5,9,69,11,Tyrone
2019-12-21,-0,-6,0.0,8.7,1,28,03:26 AM,02:53 PM,08:46 AM,05:40 PM,-5,-7,-2,-7,24,29,85,0.0,1030,-0,10,178,16,Tyrone
2019-12-22,3,-1,0.0,8.7,2,21,04:38 AM,03:23 PM,08:47 AM,05:40 PM,-0,-3,1,-3,37,21,89,0.0,1022,3,10,238,23,Tyrone
2019-12-23,5,1,0.0,8.7,1,14,05:51 AM,03:57 PM,08:47 AM,05:41 PM,0,-2,3,-2,36,34,85,0.0,1017,5,10,250,22,Tyrone
2019-12-24,-0,-2,0.0,6.9,1,7,07:02 AM,04:36 PM,08:48 AM,05:41 PM,-5,-6,-1,-6,23,26,76,0.0,1023,-0,10,99,16,Tyrone
2019-12-25,2,-1,0.0,8.7,1,0,08:10 AM,05:22 PM,08:48 AM,05:42 PM,-2,-3,0,-3,16,44,88,0.0,1019,2,10,151,10,Tyrone
2019-12-26,3,0,0.0,6.9,1,0,09:12 AM,06:14 PM,08:48 AM,05:43 PM,0,-2,2,-2,29,75,89,0.1,1020,3,8,88,20,Tyrone
2019-12-27,6,1,0.0,5.1,1,0,10:04 AM,07:12 PM,08:49 AM,05:43 PM,3,1,4,1,29,81,93,2.9,1018,6,9,238,15,Tyrone
2019-12-28,3,0,0.0,8.7,1,8,10:49 AM,08:13 PM,08:49 AM,05:44 PM,-1,-2,1,-2,13,51,85,0.0,1025,3,10,252,9,Tyrone
2019-12-29,2,0,0.0,5.1,1,15,11:26 AM,09:16 PM,08:49 AM,05:45 PM,-1,-4,1,-4,34,63,87,2.6,1018,2,9,101,24,Tyrone
2019-12-30,6,1,0.0,6.9,1,22,11:57 AM,10:18 PM,08:49 AM,05:46 PM,1,-2,3,-2,49,68,88,15.1,1002,6,9,134,31,Tyrone
2019-12-31,1,-1,2.5,3.4,1,26,12:23 PM,11:19 PM,08:49 AM,05:46 PM,-2,-6,0,-6,37,83,84,3.8,1000,1,5,230,27,Tyrone
2020-01-01,-0,-2,0.0,3.4,1,37,12:47 PM,No moonset,08:50 AM,05:47 PM,-5,-8,-1,-8,35,76,78,0.1,1004,-0,9,264,26,Tyrone
2020-01-02,3,-5,0.0,6.9,1,44,01:09 PM,12:19 AM,08:50 AM,05:48 PM,-1,-4,1,-4,36,60,85,0.0,1006,3,10,231,23,Tyrone
2020-01-03,4,0,0.0,3.4,1,51,01:32 PM,01:20 AM,08:50 AM,05:49 PM,2,1,3,1,17,87,95,1.2,1005,4,5,268,10,Tyrone
2020-01-04,1,-1,0.6,3.4,1,59,01:54 PM,02:20 AM,08:50 AM,05:50 PM,-3,-4,0,-4,21,63,79,0.8,1008,1,9,220,14,Tyrone
2020-01-05,0,-5,0.3,3.4,1,66,02:19 PM,03:22 AM,08:50 AM,05:51 PM,-4,-6,-1,-6,28,95,80,0.5,1010,0,9,272,21,Tyrone
2020-01-06,0,-4,2.8,3.4,1,73,02:47 PM,04:26 AM,08:49 AM,05:52 PM,-3,-6,-0,-6,40,82,81,6.3,1009,0,4,257,28,Tyrone
2020-01-07,2,-2,0.1,3.4,1,80,03:21 PM,05:32 AM,08:49 AM,05:53 PM,-3,-6,-0,-6,30,71,80,0.1,1013,2,10,235,20,Tyrone
2020-01-08,-4,-11,0.6,3.4,1,88,04:02 PM,06:38 AM,08:49 AM,05:54 PM,-9,-15,-6,-15,41,91,78,2.2,1016,-4,2,291,32,Tyrone
2020-01-09,-5,-13,0.0,3.4,1,95,04:53 PM,07:43 AM,08:49 AM,05:55 PM,-12,-16,-9,-16,27,62,78,0.0,1033,-5,10,184,20,Tyrone
