date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,27,26,0.0,8.6,6,26,10:00 AM,09:38 PM,06:00 AM,05:22 PM,22,29,29,27,50,58,77,4.8,1010,27,10,26,36,Nort_West_London
2019-12-02,28,27,0.0,4.2,6,33,10:47 AM,10:29 PM,06:01 AM,05:22 PM,24,31,31,27,53,99,81,20.4,1006,28,9,320,38,Nort_West_London
2019-12-03,27,26,0.0,4.2,6,41,11:30 AM,11:19 PM,06:01 AM,05:22 PM,24,30,30,26,114,84,87,219.3,1001,27,6,178,82,Nort_West_London
2019-12-04,29,26,0.0,8.7,6,48,12:09 PM,No moonset,06:02 AM,05:22 PM,24,31,31,27,24,34,83,9.0,1010,29,9,85,15,Nort_West_London
2019-12-05,28,27,0.0,4.2,6,55,12:46 PM,12:06 AM,06:03 AM,05:23 PM,24,31,31,27,26,77,83,13.7,1011,28,9,41,17,Nort_West_London
2019-12-06,27,27,0.0,7.2,6,62,01:23 PM,12:52 AM,06:03 AM,05:23 PM,24,31,31,27,25,54,84,1.4,1010,27,10,226,17,Nort_West_London
2019-12-07,27,26,0.0,4.2,6,70,01:59 PM,01:39 AM,06:04 AM,05:23 PM,23,30,30,27,45,72,80,3.4,1011,27,10,20,33,Nort_West_London
2019-12-08,27,26,0.0,4.2,6,77,02:36 PM,02:25 AM,06:04 AM,05:24 PM,22,29,29,26,64,79,78,4.7,1013,27,10,25,46,Nort_West_London
2019-12-09,27,26,0.0,5.7,6,84,03:15 PM,03:13 AM,06:05 AM,05:24 PM,22,29,29,26,55,86,79,5.8,1013,27,10,29,41,Nort_West_London
2019-12-10,26,26,0.0,4.2,6,92,03:57 PM,04:03 AM,06:05 AM,05:24 PM,22,28,28,26,48,83,81,2.0,1012,26,10,26,35,Nort_West_London
2019-12-11,26,26,0.0,4.2,6,99,04:42 PM,04:56 AM,06:06 AM,05:25 PM,23,29,29,26,42,83,84,5.4,1012,26,10,28,29,Nort_West_London
2019-12-12,27,26,0.0,4.2,6,100,05:33 PM,05:52 AM,06:06 AM,05:25 PM,23,30,30,26,49,74,83,10.5,1013,27,10,42,32,Nort_West_London
2019-12-13,27,26,0.0,7.2,6,87,06:28 PM,06:49 AM,06:07 AM,05:25 PM,24,30,30,27,44,45,83,7.2,1014,27,10,43,31,Nort_West_London
2019-12-14,27,26,0.0,4.2,6,79,07:26 PM,07:48 AM,06:08 AM,05:26 PM,24,30,30,27,45,63,84,9.6,1014,27,10,45,30,Nort_West_London
2019-12-15,27,26,0.0,7.2,6,72,08:26 PM,08:44 AM,06:08 AM,05:26 PM,24,30,30,27,49,65,84,14.6,1013,27,9,51,31,Nort_West_London
2019-12-16,28,26,0.0,8.7,6,65,09:27 PM,09:39 AM,06:09 AM,05:27 PM,24,31,31,27,43,42,84,5.4,1013,28,9,53,29,Nort_West_London
2019-12-17,28,27,0.0,8.7,6,58,10:25 PM,10:30 AM,06:09 AM,05:27 PM,24,30,30,27,42,18,81,2.2,1013,28,10,49,29,Nort_West_London
2019-12-18,27,26,0.0,7.2,6,50,11:23 PM,11:18 AM,06:10 AM,05:27 PM,23,30,30,27,44,32,82,6.0,1013,27,10,44,31,Nort_West_London
2019-12-19,28,26,0.0,8.7,6,43,No moonrise,12:03 PM,06:10 AM,05:28 PM,23,30,30,27,44,22,82,6.1,1013,28,9,50,29,Nort_West_London
2019-12-20,27,26,0.0,8.7,6,36,12:19 AM,12:47 PM,06:11 AM,05:28 PM,23,30,30,26,48,21,82,7.6,1012,27,9,61,26,Nort_West_London
2019-12-21,27,26,0.0,8.7,6,28,01:15 AM,01:31 PM,06:11 AM,05:29 PM,23,30,30,27,39,28,81,3.3,1012,27,9,45,28,Nort_West_London
2019-12-22,27,26,0.0,8.7,6,21,02:10 AM,02:15 PM,06:12 AM,05:29 PM,23,30,30,27,33,43,83,3.1,1012,27,10,34,23,Nort_West_London
2019-12-23,27,26,0.0,4.2,6,14,03:07 AM,03:02 PM,06:12 AM,05:30 PM,23,30,30,26,36,63,84,10.6,1011,27,9,42,25,Nort_West_London
