date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,22,18,0.0,9.1,5,26,09:06 AM,11:25 PM,04:53 AM,07:02 PM,15,20,20,20,20,89,75,1.2,1017,22,7,126,15,South_East_London
2019-12-02,27,20,0.0,14.5,5,33,10:03 AM,No moonset,04:52 AM,07:03 PM,19,25,25,23,36,39,78,1.2,1009,27,8,69,28,South_East_London
2019-12-03,20,16,0.0,9.1,4,41,10:59 AM,12:03 AM,04:52 AM,07:04 PM,12,19,19,19,45,61,65,1.2,1018,20,9,236,36,South_East_London
2019-12-04,19,14,0.0,12.3,4,48,11:54 AM,12:36 AM,04:52 AM,07:05 PM,10,17,17,17,25,56,62,0.8,1027,19,10,217,20,South_East_London
2019-12-05,22,13,0.0,14.5,6,55,12:48 PM,01:07 AM,04:52 AM,07:06 PM,11,19,20,19,23,15,60,0.1,1021,22,10,110,19,South_East_London
2019-12-06,30,18,0.0,14.5,7,62,01:42 PM,01:36 AM,04:52 AM,07:06 PM,16,25,25,24,25,2,62,0.0,1009,30,10,101,17,South_East_London
2019-12-07,23,20,0.0,11.3,5,70,02:36 PM,02:04 AM,04:52 AM,07:07 PM,15,22,24,22,27,55,68,0.1,1011,23,10,198,21,South_East_London
2019-12-08,20,17,0.0,9.1,4,77,03:32 PM,02:32 AM,04:52 AM,07:08 PM,14,19,19,19,15,92,75,1.5,1015,20,9,132,11,South_East_London
2019-12-09,18,17,0.0,9.1,4,84,04:29 PM,03:03 AM,04:52 AM,07:09 PM,13,17,17,17,31,100,77,2.0,1017,18,8,85,23,South_East_London
2019-12-10,22,18,0.0,9.1,5,92,05:29 PM,03:37 AM,04:53 AM,07:10 PM,16,20,20,20,39,86,78,3.4,1015,22,9,65,29,South_East_London
2019-12-11,22,18,0.0,9.1,5,99,06:30 PM,04:14 AM,04:53 AM,07:10 PM,17,20,20,20,27,75,83,3.2,1014,22,9,64,18,South_East_London
2019-12-12,22,18,0.0,11.3,5,100,07:32 PM,04:58 AM,04:53 AM,07:11 PM,17,20,21,20,35,72,81,2.3,1017,22,10,63,27,South_East_London
2019-12-13,24,20,0.0,13.4,5,87,08:32 PM,05:49 AM,04:53 AM,07:12 PM,17,23,23,22,48,61,77,0.8,1015,24,9,61,37,South_East_London
2019-12-14,28,20,0.0,14.5,6,79,09:29 PM,06:45 AM,04:53 AM,07:12 PM,17,23,23,23,34,22,73,0.1,1008,28,10,139,25,South_East_London
2019-12-15,21,16,0.0,13.4,4,72,10:19 PM,07:48 AM,04:54 AM,07:13 PM,11,18,18,18,40,42,65,3.9,1015,21,9,238,31,South_East_London
2019-12-16,22,15,0.0,14.5,5,65,11:05 PM,08:54 AM,04:54 AM,07:14 PM,11,18,19,18,28,37,64,0.3,1020,22,10,181,21,South_East_London
2019-12-17,28,16,0.0,14.5,7,58,11:46 PM,10:01 AM,04:54 AM,07:14 PM,15,24,24,23,41,8,60,0.0,1007,28,10,51,31,South_East_London
2019-12-18,24,18,0.0,13.4,5,50,No moonrise,11:07 AM,04:55 AM,07:15 PM,15,21,22,21,25,40,69,3.2,1007,24,10,197,20,South_East_London
2019-12-19,23,18,0.0,13.4,5,43,12:22 AM,12:13 PM,04:55 AM,07:16 PM,15,20,21,20,20,48,77,6.1,1010,23,9,158,16,South_East_London
2019-12-20,25,18,0.0,13.4,5,36,12:57 AM,01:18 PM,04:56 AM,07:16 PM,17,23,23,22,17,41,76,0.1,1013,25,10,145,13,South_East_London
2019-12-21,26,20,0.0,11.3,5,28,01:31 AM,02:23 PM,04:56 AM,07:17 PM,18,22,22,22,25,61,81,3.5,1015,26,8,162,18,South_East_London
2019-12-22,22,19,0.0,12.4,5,21,02:06 AM,03:29 PM,04:57 AM,07:17 PM,16,20,21,20,28,70,75,0.8,1022,22,9,132,21,South_East_London
2019-12-23,29,18,0.0,14.5,7,14,02:44 AM,04:34 PM,04:57 AM,07:18 PM,18,26,26,25,39,12,67,0.1,1011,29,10,97,27,South_East_London
2019-12-24,25,19,0.0,13.4,5,7,03:25 AM,05:40 PM,04:58 AM,07:18 PM,16,23,23,22,23,17,72,0.2,1009,25,10,213,18,South_East_London
2019-12-25,23,18,0.0,12.4,5,0,04:10 AM,06:42 PM,04:58 AM,07:18 PM,16,21,22,21,14,45,74,0.0,1009,23,10,146,11,South_East_London
2019-12-26,24,19,0.0,14.5,6,0,05:00 AM,07:40 PM,04:59 AM,07:19 PM,15,22,22,21,16,19,69,0.1,1010,24,10,169,13,South_East_London
2019-12-27,23,17,0.0,13.4,6,0,05:55 AM,08:32 PM,04:59 AM,07:19 PM,12,19,20,19,38,47,63,1.7,1021,23,10,224,31,South_East_London
2019-12-28,21,16,0.0,10.0,4,8,06:52 AM,09:19 PM,05:00 AM,07:20 PM,13,19,19,19,26,68,70,0.4,1019,21,10,94,21,South_East_London
2019-12-29,25,17,0.0,13.4,5,15,07:50 AM,09:59 PM,05:01 AM,07:20 PM,18,24,24,22,33,36,77,1.9,1011,25,8,45,23,South_East_London
2019-12-30,27,20,0.0,12.2,5,22,08:47 AM,10:34 PM,05:01 AM,07:20 PM,18,24,24,23,23,33,76,0.5,1010,27,10,177,17,South_East_London
2019-12-31,21,18,0.0,8.9,5,26,09:43 AM,11:07 PM,05:02 AM,07:20 PM,15,20,21,20,20,98,73,0.2,1017,21,10,152,15,South_East_London
2020-01-01,21,20,0.0,8.9,5,37,10:37 AM,11:36 PM,05:03 AM,07:21 PM,17,20,21,20,27,95,80,1.1,1014,21,9,68,20,South_East_London
2020-01-02,24,20,0.0,8.9,5,44,11:32 AM,No moonset,05:04 AM,07:21 PM,19,24,24,22,30,76,81,1.5,1012,24,9,67,23,South_East_London
2020-01-03,23,21,0.0,8.9,5,51,12:25 PM,12:04 AM,05:04 AM,07:21 PM,21,25,25,22,28,97,90,5.9,1013,23,10,74,20,South_East_London
2020-01-04,28,15,0.0,10.0,6,59,01:20 PM,12:32 AM,05:05 AM,07:21 PM,22,27,27,24,19,78,85,8.0,1010,28,9,91,14,South_East_London
2020-01-05,24,22,0.0,10.0,5,66,02:15 PM,01:02 AM,05:06 AM,07:21 PM,19,25,25,23,24,76,77,1.0,1010,24,8,213,19,South_East_London
2020-01-06,24,20,0.0,13.4,5,73,03:14 PM,01:33 AM,05:07 AM,07:21 PM,17,24,24,22,16,52,72,0.5,1013,24,10,190,12,South_East_London
2020-01-07,22,19,0.0,8.8,5,80,04:13 PM,02:08 AM,05:08 AM,07:21 PM,20,24,24,22,25,98,86,29.9,1012,22,6,86,17,South_East_London
2020-01-08,28,16,0.0,8.8,6,88,05:15 PM,02:49 AM,05:08 AM,07:21 PM,21,27,27,24,22,80,80,46.6,1008,28,8,65,15,South_East_London
2020-01-09,24,21,0.0,8.8,5,95,06:17 PM,03:36 AM,05:09 AM,07:21 PM,18,25,25,23,30,85,77,27.6,1012,24,9,244,23,South_East_London
2020-01-10,20,14,0.0,8.8,4,100,07:17 PM,04:31 AM,05:10 AM,07:21 PM,16,19,19,19,26,81,80,12.1,1021,20,9,169,19,South_East_London
2020-01-11,28,16,0.0,12.2,6,100,08:11 PM,05:33 AM,05:11 AM,07:21 PM,19,25,25,23,39,55,77,3.2,1015,28,9,57,30,South_East_London
2020-01-12,26,22,0.0,11.1,5,83,09:00 PM,06:39 AM,05:12 AM,07:21 PM,20,26,26,24,21,53,79,0.1,1014,26,10,178,16,South_East_London
2020-01-13,26,23,0.0,8.8,6,76,09:44 PM,07:48 AM,05:13 AM,07:21 PM,22,27,27,24,22,84,84,13.8,1015,26,8,131,14,South_East_London
2020-01-14,28,23,0.0,11.1,6,69,10:23 PM,08:57 AM,05:14 AM,07:21 PM,21,27,27,25,27,65,79,0.7,1014,28,8,73,21,South_East_London
2020-01-15,29,23,0.0,14.1,7,61,10:59 PM,10:05 AM,05:15 AM,07:21 PM,21,29,29,26,20,8,74,0.0,1014,29,10,64,14,South_East_London
2020-01-16,29,23,0.0,14.0,7,54,11:34 PM,11:11 AM,05:16 AM,07:20 PM,21,28,28,26,27,2,73,0.0,1012,29,10,59,21,South_East_London
2020-01-17,29,23,0.0,12.2,6,47,No moonrise,12:16 PM,05:17 AM,07:20 PM,21,28,28,26,33,52,75,1.0,1009,29,10,192,25,South_East_London
2020-01-18,21,17,0.0,8.8,5,40,12:08 AM,01:22 PM,05:17 AM,07:20 PM,16,20,22,20,29,97,77,5.0,1014,21,10,192,22,South_East_London
2020-01-19,21,17,0.0,9.9,4,32,12:44 AM,02:26 PM,05:18 AM,07:19 PM,14,19,20,19,26,90,70,4.2,1017,21,9,139,20,South_East_London
2020-01-20,20,18,0.0,8.8,4,25,01:23 AM,03:30 PM,05:19 AM,07:19 PM,15,19,19,19,36,100,79,3.5,1018,20,7,75,27,South_East_London
2020-01-21,21,17,0.0,8.7,5,18,02:06 AM,04:32 PM,05:20 AM,07:19 PM,17,20,20,20,31,97,83,11.4,1015,21,9,63,22,South_East_London
2020-01-22,21,18,0.0,8.7,5,11,02:53 AM,05:31 PM,05:21 AM,07:18 PM,18,20,20,20,27,99,87,25.2,1013,21,8,84,20,South_East_London
2020-01-23,21,20,0.0,8.7,5,3,03:46 AM,06:24 PM,05:22 AM,07:18 PM,16,21,22,21,26,93,76,5.1,1016,21,10,96,18,South_East_London
2020-01-24,28,21,0.0,8.7,6,0,04:40 AM,07:13 PM,05:23 AM,07:17 PM,18,26,26,24,37,69,70,6.6,1012,28,10,84,26,South_East_London
2020-01-25,28,18,0.0,13.3,6,0,05:38 AM,07:55 PM,05:24 AM,07:17 PM,17,27,27,25,16,25,59,1.6,1007,28,10,183,11,South_East_London
2020-01-26,23,19,0.0,8.7,5,4,06:35 AM,08:32 PM,05:25 AM,07:16 PM,16,22,23,22,37,72,71,0.7,1009,23,9,248,29,South_East_London
2020-01-27,23,17,0.0,12.2,5,11,07:33 AM,09:06 PM,05:26 AM,07:16 PM,12,20,21,20,25,47,60,0.2,1021,23,10,206,19,South_East_London
2020-01-28,25,18,0.0,13.9,6,18,08:28 AM,09:36 PM,05:27 AM,07:15 PM,12,22,22,21,13,10,58,0.0,1015,25,10,206,10,South_East_London
2020-01-29,26,19,0.0,13.3,5,26,09:22 AM,10:05 PM,05:28 AM,07:14 PM,15,24,24,22,21,23,64,0.6,1016,26,10,236,17,South_East_London
2020-01-30,22,20,0.0,8.7,5,33,10:16 AM,10:33 PM,05:29 AM,07:14 PM,16,21,23,21,24,95,74,2.0,1019,22,8,112,19,South_East_London
2020-01-31,31,20,0.0,13.3,6,37,11:10 AM,11:01 PM,05:30 AM,07:13 PM,20,28,28,25,32,43,72,0.3,1011,31,10,110,24,South_East_London
2020-02-01,26,23,0.0,8.6,6,49,12:04 PM,11:31 PM,05:31 AM,07:12 PM,20,27,27,25,23,72,77,1.4,1015,26,10,214,18,South_East_London
2020-02-02,31,24,0.0,12.2,6,57,01:00 PM,No moonset,05:32 AM,07:12 PM,21,29,29,27,19,59,72,11.6,1015,31,9,147,14,South_East_London
2020-02-03,31,24,0.0,13.8,7,64,01:58 PM,12:04 AM,05:33 AM,07:11 PM,20,29,29,27,15,2,65,0.0,1014,31,10,121,11,South_East_London
2020-02-04,30,24,0.0,13.8,7,72,02:57 PM,12:41 AM,05:34 AM,07:10 PM,21,30,30,27,16,1,67,0.0,1010,30,10,158,11,South_East_London
