date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,7,4,0.0,8.1,3,26,01:00 PM,09:34 PM,08:43 AM,04:56 PM,2,2,6,2,23,24,75,0.0,1023,7,10,33,16,South_West_London
2019-12-02,6,2,0.0,8.1,2,33,01:30 PM,10:41 PM,08:45 AM,04:55 PM,1,2,4,2,11,17,79,0.0,1031,6,10,325,8,South_West_London
2019-12-03,7,4,0.0,8.1,3,41,01:54 PM,11:48 PM,08:46 AM,04:55 PM,3,4,5,4,6,42,87,0.0,1027,7,10,216,5,South_West_London
2019-12-04,9,5,0.0,8.1,3,48,02:14 PM,No moonset,08:47 AM,04:54 PM,4,6,7,6,5,6,86,0.0,1021,9,10,172,3,South_West_London
2019-12-05,8,3,0.0,6.8,2,55,02:32 PM,12:55 AM,08:49 AM,04:54 PM,4,3,5,3,19,44,87,0.0,1020,8,10,235,12,South_West_London
2019-12-06,12,8,0.0,4.9,3,62,02:49 PM,02:01 AM,08:50 AM,04:53 PM,8,8,10,8,36,81,86,5.1,1008,12,9,242,23,South_West_London
2019-12-07,10,4,0.0,6.8,2,70,03:06 PM,03:07 AM,08:51 AM,04:53 PM,6,5,8,5,23,40,86,0.0,1012,10,10,246,15,South_West_London
2019-12-08,11,7,0.0,8.0,2,77,03:24 PM,04:15 AM,08:52 AM,04:53 PM,5,6,9,6,43,51,75,5.4,1000,11,9,240,29,South_West_London
2019-12-09,9,7,0.0,8.0,2,84,03:44 PM,05:24 AM,08:53 AM,04:53 PM,3,4,7,4,41,42,71,2.9,1008,9,8,294,29,South_West_London
2019-12-10,12,4,0.0,3.0,2,92,04:08 PM,06:35 AM,08:54 AM,04:52 PM,5,5,8,5,36,71,83,4.6,1015,12,9,213,23,South_West_London
2019-12-11,8,6,0.0,6.8,2,99,04:38 PM,07:48 AM,08:56 AM,04:52 PM,4,5,7,5,21,25,78,0.7,1005,8,9,239,15,South_West_London
2019-12-12,9,4,0.0,3.0,2,100,05:17 PM,08:59 AM,08:57 AM,04:52 PM,4,3,7,3,29,74,86,6.6,990,9,9,206,20,South_West_London
2019-12-13,7,6,0.0,4.9,2,87,06:07 PM,10:05 AM,08:58 AM,04:52 PM,3,3,7,3,37,76,77,6.9,979,7,7,270,27,South_West_London
2019-12-14,7,5,0.0,6.8,2,79,07:09 PM,11:03 AM,08:58 AM,04:52 PM,2,3,6,3,35,58,73,4.8,989,7,7,236,23,South_West_London
2019-12-15,9,6,0.0,6.8,2,72,08:21 PM,11:51 AM,08:59 AM,04:52 PM,3,4,7,4,37,37,72,2.1,995,9,10,226,24,South_West_London
2019-12-16,9,7,0.0,2.8,2,65,09:40 PM,12:28 PM,09:00 AM,04:52 PM,6,6,8,6,18,89,85,5.1,1000,9,8,197,11,South_West_London
2019-12-17,8,6,0.0,1.9,2,58,11:00 PM,12:58 PM,09:01 AM,04:53 PM,6,6,7,6,6,79,89,9.8,1000,8,8,269,4,South_West_London
2019-12-18,9,6,0.0,3.8,2,50,No moonrise,01:22 PM,09:02 AM,04:53 PM,5,5,8,5,21,48,86,2.7,1008,9,9,159,13,South_West_London
2019-12-19,12,11,0.0,1.9,3,43,12:21 AM,01:44 PM,09:02 AM,04:53 PM,9,8,11,8,39,89,85,18.0,997,12,8,175,26,South_West_London
2019-12-20,9,7,0.0,5.8,2,36,01:41 AM,02:04 PM,09:03 AM,04:54 PM,7,7,9,7,17,66,87,17.8,981,9,9,208,13,South_West_London
2019-12-21,10,8,0.0,3.8,2,28,03:01 AM,02:25 PM,09:04 AM,04:54 PM,6,6,9,6,30,79,85,11.0,980,10,9,189,20,South_West_London
2019-12-22,9,7,0.0,5.8,2,21,04:21 AM,02:47 PM,09:04 AM,04:55 PM,6,5,8,5,24,59,84,3.5,984,9,10,261,17,South_West_London
2019-12-23,9,7,0.0,5.8,3,14,05:41 AM,03:14 PM,09:05 AM,04:55 PM,5,5,8,5,27,29,82,0.1,1006,9,10,249,17,South_West_London
2019-12-24,11,8,0.0,1.9,2,7,06:59 AM,03:46 PM,09:05 AM,04:56 PM,7,6,9,6,30,65,84,1.3,1008,11,10,235,19,South_West_London
2019-12-25,8,5,0.0,5.8,3,0,08:12 AM,04:25 PM,09:05 AM,04:56 PM,4,5,7,5,14,16,84,0.1,1023,8,10,262,10,South_West_London
2019-12-26,10,5,0.0,1.9,2,0,09:18 AM,05:15 PM,09:06 AM,04:57 PM,5,5,8,5,26,86,85,3.9,1017,10,7,195,17,South_West_London
2019-12-27,9,6,0.0,5.8,2,0,10:13 AM,06:12 PM,09:06 AM,04:58 PM,5,6,7,6,8,41,87,0.0,1028,9,10,196,5,South_West_London
2019-12-28,9,6,0.0,3.8,2,8,10:56 AM,07:16 PM,09:06 AM,04:59 PM,6,6,8,6,11,50,91,0.0,1036,9,7,163,7,South_West_London
2019-12-29,9,6,0.0,5.8,3,15,11:30 AM,08:23 PM,09:06 AM,05:00 PM,5,5,7,5,14,30,86,0.0,1034,9,10,183,9,South_West_London
2019-12-30,12,6,0.0,5.8,3,22,11:57 AM,09:32 PM,09:06 AM,05:01 PM,7,8,9,8,12,3,87,0.0,1029,12,10,211,10,South_West_London
2019-12-31,9,5,0.0,3.9,2,26,12:19 PM,10:39 PM,09:06 AM,05:02 PM,6,6,7,6,16,36,91,0.0,1031,9,9,97,10,South_West_London
2020-01-01,10,-1,0.0,5.8,2,37,12:37 PM,11:45 PM,09:06 AM,05:03 PM,4,5,6,5,8,16,85,0.0,1030,10,8,153,6,South_West_London
2020-01-02,10,2,0.0,2.0,2,44,12:54 PM,No moonset,09:06 AM,05:04 PM,7,6,8,6,27,90,89,0.0,1021,10,7,198,17,South_West_London
2020-01-03,10,5,0.0,5.8,2,51,01:11 PM,12:51 AM,09:06 AM,05:05 PM,4,5,8,5,26,57,77,0.5,1022,10,9,284,18,South_West_London
2020-01-04,7,4,0.0,5.8,2,59,01:28 PM,01:58 AM,09:06 AM,05:06 PM,3,3,5,3,19,36,84,0.0,1034,7,10,267,12,South_West_London
2020-01-05,8,3,0.0,2.0,2,66,01:47 PM,03:05 AM,09:06 AM,05:07 PM,4,4,6,4,17,77,82,0.0,1033,8,10,230,10,South_West_London
2020-01-06,8,-1,0.0,3.9,2,73,02:08 PM,04:14 AM,09:05 AM,05:08 PM,5,3,6,3,27,71,84,0.8,1023,8,9,214,18,South_West_London
2020-01-07,9,2,0.0,3.9,2,80,02:35 PM,05:26 AM,09:05 AM,05:10 PM,6,4,7,4,24,61,88,0.2,1023,9,10,219,15,South_West_London
2020-01-08,12,9,0.0,2.0,3,88,03:10 PM,06:37 AM,09:04 AM,05:11 PM,9,10,11,10,17,97,89,3.3,1020,12,10,222,11,South_West_London
2020-01-09,12,8,0.0,2.0,3,95,03:55 PM,07:47 AM,09:04 AM,05:12 PM,9,8,11,8,33,92,86,7.6,1007,12,9,215,22,South_West_London
2020-01-10,8,1,0.0,5.8,3,100,04:52 PM,08:50 AM,09:03 AM,05:14 PM,4,4,6,4,19,35,80,0.2,1021,8,9,285,14,South_West_London
2020-01-11,9,5,0.0,2.0,2,100,06:03 PM,09:44 AM,09:03 AM,05:15 PM,5,4,8,4,36,90,81,0.0,1025,9,10,212,23,South_West_London
2020-01-12,11,1,0.0,3.9,2,83,07:22 PM,10:26 AM,09:02 AM,05:17 PM,6,6,9,6,35,59,79,0.9,1018,11,10,232,24,South_West_London
2020-01-13,9,1,0.0,2.0,2,76,08:44 PM,11:00 AM,09:01 AM,05:18 PM,5,4,7,4,33,73,80,6.3,1008,9,9,204,22,South_West_London
2020-01-14,12,4,0.0,2.0,2,69,10:07 PM,11:27 AM,09:01 AM,05:19 PM,6,6,9,6,44,80,81,6.8,996,12,8,211,29,South_West_London
2020-01-15,9,7,0.0,5.0,2,61,11:30 PM,11:50 AM,09:00 AM,05:21 PM,5,6,9,6,30,64,78,18.7,1005,9,8,240,22,South_West_London
2020-01-16,10,1,0.0,3.2,2,54,No moonrise,12:11 PM,08:59 AM,05:23 PM,6,5,8,5,38,78,82,5.3,1014,10,9,180,24,South_West_London
2020-01-17,10,-3,0.0,3.2,2,47,12:50 AM,12:31 PM,08:58 AM,05:24 PM,5,4,7,4,21,84,83,4.4,1012,10,8,231,15,South_West_London
2020-01-18,8,4,0.0,8.7,3,40,02:10 AM,12:53 PM,08:57 AM,05:26 PM,1,2,5,2,17,9,76,0.0,1028,8,10,308,13,South_West_London
2020-01-19,9,3,0.0,8.7,3,32,03:29 AM,01:17 PM,08:56 AM,05:27 PM,1,3,5,3,14,9,75,0.0,1043,9,10,349,11,South_West_London
2020-01-20,7,2,0.0,8.7,2,25,04:46 AM,01:47 PM,08:55 AM,05:29 PM,-2,4,4,4,4,21,65,0.0,1047,7,10,292,3,South_West_London
2020-01-21,8,3,0.0,8.7,3,18,06:00 AM,02:22 PM,08:54 AM,05:31 PM,1,4,5,4,5,10,76,0.0,1042,8,10,276,4,South_West_London
2020-01-22,8,3,0.0,5.1,2,11,07:07 AM,03:07 PM,08:53 AM,05:32 PM,4,4,5,4,8,78,94,0.0,1037,8,3,146,5,South_West_London
2020-01-23,7,3,0.0,5.1,2,3,08:05 AM,04:00 PM,08:52 AM,05:34 PM,4,4,5,4,9,86,95,0.0,1031,7,3,66,5,South_West_London
2020-01-24,9,5,0.0,5.1,2,0,08:52 AM,05:02 PM,08:51 AM,05:36 PM,4,6,6,6,4,63,86,0.0,1024,9,10,85,3,South_West_London
2020-01-25,9,4,0.0,8.7,2,0,09:29 AM,06:08 PM,08:49 AM,05:38 PM,4,5,6,5,12,35,89,0.0,1018,9,8,172,8,South_West_London
2020-01-26,9,3,0.0,3.3,2,4,09:59 AM,07:16 PM,08:48 AM,05:39 PM,6,5,8,5,31,96,89,2.9,1009,9,7,194,20,South_West_London
2020-01-27,8,6,0.0,3.4,2,11,10:22 AM,08:24 PM,08:47 AM,05:41 PM,4,4,6,4,18,83,86,9.6,1001,8,9,207,12,South_West_London
2020-01-28,6,3,0.0,6.9,1,18,10:42 AM,09:31 PM,08:45 AM,05:43 PM,-0,-0,4,-0,34,67,72,5.1,996,6,9,265,24,South_West_London
2020-01-29,8,2,0.0,8.7,3,26,11:00 AM,10:37 PM,08:44 AM,05:45 PM,0,1,5,1,27,21,74,0.0,1010,8,10,253,17,South_West_London
2020-01-30,11,6,0.0,3.4,2,33,11:16 AM,11:43 PM,08:43 AM,05:46 PM,8,7,9,7,22,86,95,0.1,1005,11,8,210,14,South_West_London
2020-01-31,12,5,0.0,3.4,3,37,11:33 AM,No moonset,08:41 AM,05:48 PM,8,7,10,7,34,91,87,0.2,1006,12,9,234,22,South_West_London
2020-02-01,10,6,0.0,3.4,2,49,11:50 AM,12:49 AM,08:40 AM,05:50 PM,5,6,9,6,33,80,79,3.0,1005,10,9,248,22,South_West_London
