date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,1,0.0,6.8,1,26,01:12 PM,09:37 PM,08:55 AM,04:58 PM,0,-1,2,-1,19,31,85,0.0,1026,4,10,154,12,West_Midlands
2019-12-02,5,0,0.0,4.9,1,33,01:41 PM,10:45 PM,08:56 AM,04:58 PM,0,1,3,1,12,53,84,0.0,1031,5,10,302,7,West_Midlands
2019-12-03,6,4,0.0,8.0,2,41,02:04 PM,11:53 PM,08:58 AM,04:57 PM,2,2,5,2,16,47,84,0.0,1026,6,10,209,9,West_Midlands
2019-12-04,6,2,0.0,8.0,2,48,02:23 PM,No moonset,08:59 AM,04:57 PM,2,1,4,1,19,17,89,0.0,1020,6,10,204,11,West_Midlands
2019-12-05,8,-1,0.0,4.8,1,55,02:40 PM,01:00 AM,09:00 AM,04:56 PM,4,1,4,1,33,58,88,0.0,1018,8,9,224,20,West_Midlands
2019-12-06,12,7,0.0,1.9,3,62,02:56 PM,02:07 AM,09:02 AM,04:56 PM,8,7,10,7,40,83,86,5.4,1005,12,9,244,25,West_Midlands
2019-12-07,9,4,0.0,3.8,2,70,03:12 PM,03:15 AM,09:03 AM,04:55 PM,6,4,7,4,33,67,87,0.0,1010,9,10,243,20,West_Midlands
2019-12-08,8,5,0.0,5.8,3,77,03:29 PM,04:23 AM,09:04 AM,04:55 PM,4,4,8,4,50,50,76,1.1,996,8,9,237,32,West_Midlands
2019-12-09,7,5,0.0,5.8,2,84,03:48 PM,05:34 AM,09:05 AM,04:55 PM,2,2,6,2,48,32,78,3.6,1008,7,10,292,31,West_Midlands
2019-12-10,11,4,0.0,1.9,2,92,04:11 PM,06:46 AM,09:07 AM,04:54 PM,5,3,7,3,46,71,86,6.9,1009,11,7,212,29,West_Midlands
2019-12-11,6,3,0.0,1.9,1,99,04:41 PM,07:59 AM,09:08 AM,04:54 PM,2,0,4,0,28,36,84,3.2,1003,6,10,240,17,West_Midlands
2019-12-12,7,2,0.0,1.9,2,100,05:19 PM,09:11 AM,09:09 AM,04:54 PM,3,1,5,1,34,75,91,2.5,987,7,9,203,21,West_Midlands
2019-12-13,6,4,0.0,1.9,2,87,06:09 PM,10:18 AM,09:10 AM,04:54 PM,3,1,5,1,40,86,85,5.7,978,6,8,262,26,West_Midlands
2019-12-14,5,3,0.0,5.8,1,79,07:11 PM,11:16 AM,09:11 AM,04:54 PM,0,-1,4,-1,37,54,79,6.2,986,5,9,237,24,West_Midlands
2019-12-15,6,3,0.0,3.8,1,72,08:24 PM,12:02 PM,09:12 AM,04:54 PM,1,0,5,0,40,59,76,3.5,991,6,10,219,25,West_Midlands
2019-12-16,6,4,0.0,5.8,2,65,09:44 PM,12:39 PM,09:12 AM,04:54 PM,3,2,5,2,30,39,86,0.0,998,6,10,201,18,West_Midlands
2019-12-17,5,3,0.0,3.8,1,58,11:05 PM,01:08 PM,09:13 AM,04:55 PM,2,3,4,3,14,61,87,0.0,1000,5,10,227,9,West_Midlands
2019-12-18,7,2,0.0,1.9,2,50,No moonrise,01:31 PM,09:14 AM,04:55 PM,3,1,5,1,27,64,91,7.3,1005,7,8,152,16,West_Midlands
2019-12-19,11,9,0.0,1.9,3,43,12:27 AM,01:52 PM,09:15 AM,04:55 PM,8,7,10,7,36,84,89,14.3,993,11,8,164,22,West_Midlands
2019-12-20,7,5,0.0,1.9,2,36,01:48 AM,02:11 PM,09:15 AM,04:56 PM,5,4,7,4,24,78,92,12.7,980,7,7,193,15,West_Midlands
2019-12-21,7,5,0.0,1.9,2,28,03:09 AM,02:30 PM,09:16 AM,04:56 PM,5,3,6,3,30,85,91,0.5,977,7,9,164,19,West_Midlands
2019-12-22,7,5,0.0,3.8,2,21,04:30 AM,02:52 PM,09:16 AM,04:56 PM,4,3,6,3,23,58,88,1.6,983,7,8,237,14,West_Midlands
2019-12-23,8,4,0.0,3.8,2,14,05:51 AM,03:18 PM,09:17 AM,04:57 PM,4,3,6,3,31,44,85,0.4,1004,8,10,244,18,West_Midlands
2019-12-24,9,6,0.0,1.9,2,7,07:11 AM,03:49 PM,09:17 AM,04:58 PM,5,4,7,4,30,80,87,2.7,1006,9,9,233,18,West_Midlands
2019-12-25,6,3,0.0,5.8,2,0,08:25 AM,04:27 PM,09:18 AM,04:58 PM,3,2,4,2,17,38,90,0.0,1022,6,9,246,10,West_Midlands
2019-12-26,6,4,0.0,1.9,2,0,09:31 AM,05:16 PM,09:18 AM,04:59 PM,4,2,5,2,29,82,91,2.4,1015,6,6,182,18,West_Midlands
2019-12-27,7,3,0.0,2.0,2,0,10:25 AM,06:14 PM,09:18 AM,05:00 PM,4,4,5,4,11,78,95,0.0,1027,7,5,185,6,West_Midlands
2019-12-28,9,7,0.0,3.9,2,8,11:08 AM,07:19 PM,09:18 AM,05:01 PM,7,5,8,5,24,74,95,0.0,1034,9,9,176,15,West_Midlands
2019-12-29,8,6,0.0,5.8,2,15,11:42 AM,08:27 PM,09:18 AM,05:02 PM,6,4,7,4,32,67,93,0.0,1031,8,10,192,20,West_Midlands
2019-12-30,10,5,0.0,5.8,3,22,12:07 PM,09:36 PM,09:18 AM,05:03 PM,5,5,7,5,19,18,88,0.0,1028,10,10,201,11,West_Midlands
2019-12-31,7,5,0.0,2.0,2,26,12:28 PM,10:44 PM,09:18 AM,05:04 PM,5,4,6,4,19,82,94,0.0,1031,7,8,109,12,West_Midlands
