date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,29,23,0.0,8.7,7,26,10:35 AM,10:05 PM,06:08 AM,05:18 PM,21,28,28,25,17,31,78,0.1,1013,29,10,95,11,Central_Scotland_West
2019-12-02,28,23,0.0,8.7,6,33,11:19 AM,10:56 PM,06:09 AM,05:18 PM,21,27,27,25,18,9,79,0.6,1016,28,10,142,11,Central_Scotland_West
2019-12-03,28,22,0.0,8.7,5,41,11:58 AM,11:45 PM,06:09 AM,05:18 PM,20,26,26,24,14,25,81,3.1,1015,28,10,181,9,Central_Scotland_West
2019-12-04,27,22,0.0,8.7,7,48,12:35 PM,No moonset,06:10 AM,05:19 PM,20,26,26,24,16,34,78,0.0,1015,27,10,174,10,Central_Scotland_West
2019-12-05,27,23,0.0,7.2,6,55,01:11 PM,12:33 AM,06:11 AM,05:19 PM,19,27,27,25,18,35,68,0.0,1016,27,10,84,11,Central_Scotland_West
2019-12-06,28,23,0.0,8.7,7,62,01:46 PM,01:21 AM,06:11 AM,05:19 PM,19,27,27,25,16,30,69,0.0,1017,28,10,80,10,Central_Scotland_West
2019-12-07,27,22,0.0,8.7,7,70,02:21 PM,02:08 AM,06:12 AM,05:19 PM,19,26,26,24,14,15,73,0.0,1018,27,10,126,9,Central_Scotland_West
2019-12-08,28,22,0.0,8.7,7,77,02:58 PM,02:57 AM,06:12 AM,05:20 PM,19,26,26,24,17,20,75,0.2,1017,28,10,156,11,Central_Scotland_West
2019-12-09,28,21,0.0,8.7,7,84,03:37 PM,03:47 AM,06:13 AM,05:20 PM,19,26,26,24,13,12,73,0.0,1015,28,10,81,8,Central_Scotland_West
2019-12-10,29,23,0.0,7.2,6,92,04:20 PM,04:40 AM,06:13 AM,05:20 PM,22,28,28,25,22,55,84,0.7,1014,29,10,112,15,Central_Scotland_West
2019-12-11,27,24,0.0,8.7,6,99,05:08 PM,05:36 AM,06:14 AM,05:21 PM,24,29,29,26,21,21,89,20.9,1016,27,8,85,12,Central_Scotland_West
2019-12-12,27,24,0.0,8.7,6,100,06:00 PM,06:33 AM,06:15 AM,05:21 PM,23,27,27,25,13,39,87,14.1,1016,27,9,176,8,Central_Scotland_West
2019-12-13,28,22,0.0,8.7,6,87,06:57 PM,07:32 AM,06:15 AM,05:21 PM,22,27,27,24,13,36,87,4.2,1013,28,10,182,9,Central_Scotland_West
2019-12-14,29,22,0.0,8.7,6,79,07:57 PM,08:29 AM,06:16 AM,05:22 PM,21,27,27,25,14,27,82,4.2,1013,29,10,156,9,Central_Scotland_West
2019-12-15,29,23,0.0,8.7,6,72,08:58 PM,09:25 AM,06:16 AM,05:22 PM,21,28,28,25,20,36,80,2.4,1014,29,10,106,13,Central_Scotland_West
2019-12-16,28,24,0.0,8.7,6,65,09:59 PM,10:16 AM,06:17 AM,05:22 PM,23,29,29,26,28,51,85,12.2,1012,28,9,100,17,Central_Scotland_West
2019-12-17,29,25,0.0,8.7,6,58,10:58 PM,11:04 AM,06:17 AM,05:23 PM,23,30,30,26,19,41,85,16.2,1011,29,9,84,12,Central_Scotland_West
2019-12-18,25,21,0.0,5.7,5,50,11:57 PM,11:49 AM,06:18 AM,05:23 PM,21,26,26,23,28,72,88,28.3,1014,25,7,312,17,Central_Scotland_West
2019-12-19,22,20,0.0,4.1,5,43,No moonrise,12:31 PM,06:18 AM,05:24 PM,18,21,21,21,27,94,83,1.3,1018,22,7,318,19,Central_Scotland_West
2019-12-20,23,20,0.0,7.2,5,36,12:54 AM,01:14 PM,06:19 AM,05:24 PM,18,21,23,21,18,73,80,0.4,1017,23,10,306,13,Central_Scotland_West
2019-12-21,24,20,0.0,4.1,5,28,01:51 AM,01:56 PM,06:20 AM,05:25 PM,21,24,24,22,19,86,90,2.9,1016,24,10,293,13,Central_Scotland_West
2019-12-22,27,22,0.0,7.2,5,21,02:48 AM,02:40 PM,06:20 AM,05:25 PM,21,26,26,24,20,53,88,3.8,1015,27,10,284,13,Central_Scotland_West
2019-12-23,27,22,0.0,7.2,5,14,03:47 AM,03:27 PM,06:20 AM,05:26 PM,20,26,26,23,21,58,81,0.4,1016,27,10,324,15,Central_Scotland_West
2019-12-24,25,17,0.0,8.7,6,7,04:46 AM,04:17 PM,06:21 AM,05:26 PM,15,21,22,21,17,9,72,0.0,1016,25,10,283,12,Central_Scotland_West
2019-12-25,26,17,0.0,8.7,6,0,05:45 AM,05:10 PM,06:21 AM,05:27 PM,16,22,22,21,14,2,74,0.0,1013,26,10,194,9,Central_Scotland_West
2019-12-26,27,19,0.0,8.7,6,0,06:42 AM,06:04 PM,06:22 AM,05:27 PM,17,23,23,22,12,0,72,0.0,1013,27,10,169,8,Central_Scotland_West
