date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,19,14,0.0,8.7,5,26,12:09 PM,10:38 PM,07:40 AM,05:44 PM,4,16,16,16,6,21,43,0.0,1020,19,10,125,5,Down
2019-12-02,20,15,0.0,8.7,5,33,12:46 PM,11:35 PM,07:41 AM,05:44 PM,5,18,18,18,5,20,44,0.0,1020,20,10,224,4,Down
2019-12-03,20,15,0.0,8.7,4,41,01:20 PM,No moonset,07:42 AM,05:44 PM,7,18,18,18,5,53,51,0.0,1018,20,10,235,3,Down
2019-12-04,17,14,0.0,3.8,4,48,01:50 PM,12:30 AM,07:42 AM,05:43 PM,11,16,16,16,16,82,74,28.4,1014,17,8,145,10,Down
2019-12-05,18,15,0.0,3.8,4,55,02:18 PM,01:25 AM,07:43 AM,05:43 PM,11,16,16,16,8,78,71,4.2,1019,18,10,162,6,Down
2019-12-06,20,16,0.0,8.7,5,62,02:46 PM,02:19 AM,07:44 AM,05:44 PM,9,18,18,18,7,36,58,0.0,1020,20,10,175,6,Down
2019-12-07,18,16,0.0,3.7,4,70,03:15 PM,03:15 AM,07:45 AM,05:44 PM,11,17,17,17,7,91,70,3.0,1020,18,9,112,6,Down
2019-12-08,18,15,0.0,8.7,4,77,03:45 PM,04:10 AM,07:46 AM,05:44 PM,12,17,17,17,13,47,74,8.4,1017,18,9,242,10,Down
2019-12-09,23,16,0.0,8.7,6,84,04:17 PM,05:08 AM,07:46 AM,05:44 PM,12,19,20,19,7,3,64,3.8,1018,23,10,193,6,Down
2019-12-10,20,15,0.0,7.0,5,92,04:55 PM,06:08 AM,07:47 AM,05:44 PM,10,18,18,18,4,21,61,0.0,1022,20,10,182,3,Down
2019-12-11,20,16,0.0,8.7,5,99,05:38 PM,07:09 AM,07:48 AM,05:44 PM,10,18,18,18,5,5,58,0.0,1022,20,10,170,4,Down
2019-12-12,20,15,0.0,7.0,4,100,06:27 PM,08:11 AM,07:49 AM,05:44 PM,11,18,18,18,4,32,62,0.0,1022,20,10,181,3,Down
2019-12-13,23,17,0.0,8.7,6,87,07:23 PM,09:12 AM,07:49 AM,05:45 PM,14,20,21,20,4,5,71,0.0,1019,23,10,174,4,Down
2019-12-14,18,16,0.0,7.0,4,79,08:25 PM,10:09 AM,07:50 AM,05:45 PM,13,17,17,17,8,51,78,0.3,1013,18,10,174,7,Down
2019-12-15,21,14,0.0,8.7,5,72,09:31 PM,11:00 AM,07:51 AM,05:45 PM,3,16,17,16,11,8,41,0.0,1017,21,10,269,9,Down
