date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,31,17,0.0,13.1,7,26,09:24 AM,10:44 PM,05:11 AM,06:18 PM,12,24,24,24,23,8,50,0.1,1013,31,10,53,16,East_Midlands
2019-12-02,31,20,0.0,13.1,7,33,10:16 AM,11:27 PM,05:12 AM,06:19 PM,14,25,25,25,23,13,55,0.4,1012,31,10,62,17,East_Midlands
2019-12-03,32,19,0.0,13.1,7,41,11:07 AM,No moonset,05:12 AM,06:19 PM,12,25,25,25,19,9,49,0.0,1011,32,10,51,13,East_Midlands
2019-12-04,31,19,0.0,13.1,7,48,11:56 AM,12:06 AM,05:12 AM,06:20 PM,11,25,25,25,25,14,45,0.0,1011,31,10,66,18,East_Midlands
2019-12-05,27,17,0.0,13.1,5,55,12:44 PM,12:42 AM,05:12 AM,06:21 PM,13,21,21,21,25,55,65,2.7,1015,27,10,104,19,East_Midlands
2019-12-06,28,14,0.0,13.1,6,62,01:32 PM,01:18 AM,05:12 AM,06:21 PM,12,22,22,21,15,28,63,0.0,1013,28,10,60,12,East_Midlands
2019-12-07,29,17,0.0,13.1,7,70,02:19 PM,01:52 AM,05:13 AM,06:22 PM,14,24,24,23,13,32,61,0.2,1010,29,10,75,10,East_Midlands
2019-12-08,30,19,0.0,13.1,6,77,03:08 PM,02:27 AM,05:13 AM,06:23 PM,15,24,24,23,18,30,60,6.6,1009,30,9,27,12,East_Midlands
2019-12-09,27,19,0.0,13.1,5,84,03:59 PM,03:05 AM,05:13 AM,06:23 PM,17,23,23,22,18,27,75,16.5,1010,27,8,37,12,East_Midlands
2019-12-10,21,18,0.0,13.1,4,92,04:52 PM,03:45 AM,05:13 AM,06:24 PM,17,19,19,19,25,51,88,38.2,1011,21,8,33,17,East_Midlands
2019-12-11,24,18,0.0,13.1,5,99,05:49 PM,04:28 AM,05:14 AM,06:24 PM,17,20,21,20,18,45,85,17.4,1011,24,9,65,12,East_Midlands
2019-12-12,28,18,0.0,13.1,6,100,06:46 PM,05:16 AM,05:14 AM,06:25 PM,16,23,23,23,13,21,68,5.3,1011,28,9,142,7,East_Midlands
2019-12-13,27,17,0.0,13.1,5,87,07:45 PM,06:09 AM,05:14 AM,06:25 PM,15,21,21,21,17,20,70,2.1,1014,27,10,124,12,East_Midlands
2019-12-14,28,17,0.0,13.1,5,79,08:42 PM,07:07 AM,05:15 AM,06:26 PM,15,22,22,22,12,23,70,0.9,1015,28,10,81,8,East_Midlands
2019-12-15,31,17,0.0,13.1,7,72,09:37 PM,08:07 AM,05:15 AM,06:27 PM,13,25,25,24,10,8,54,0.0,1013,31,10,74,6,East_Midlands
2019-12-16,29,19,0.0,13.1,6,65,10:28 PM,09:09 AM,05:16 AM,06:27 PM,15,23,23,23,12,14,65,3.9,1013,29,10,70,8,East_Midlands
2019-12-17,28,17,0.0,13.1,5,58,11:15 PM,10:09 AM,05:16 AM,06:28 PM,15,21,21,21,16,26,70,5.0,1015,28,9,108,12,East_Midlands
2019-12-18,30,17,0.0,13.1,7,50,11:59 PM,11:09 AM,05:16 AM,06:28 PM,12,23,23,23,7,25,56,0.0,1013,30,10,105,5,East_Midlands
2019-12-19,34,16,0.0,13.1,7,43,No moonrise,12:07 PM,05:17 AM,06:29 PM,9,24,24,24,13,3,43,0.0,1012,34,10,144,9,East_Midlands
2019-12-20,33,19,0.0,13.1,7,36,12:41 AM,01:04 PM,05:17 AM,06:29 PM,10,25,25,25,16,4,40,0.0,1012,33,10,71,10,East_Midlands
2019-12-21,30,18,0.0,13.1,7,28,01:24 AM,02:01 PM,05:18 AM,06:30 PM,12,24,24,24,19,8,51,0.3,1013,30,10,58,13,East_Midlands
2019-12-22,29,18,0.0,13.1,7,21,02:06 AM,02:59 PM,05:18 AM,06:30 PM,12,24,24,23,21,10,53,0.0,1015,29,10,74,15,East_Midlands
2019-12-23,30,16,0.0,13.1,7,14,02:51 AM,03:58 PM,05:19 AM,06:31 PM,8,22,22,23,21,2,41,0.0,1015,30,10,89,14,East_Midlands
2019-12-24,34,17,0.0,13.1,7,7,03:38 AM,04:57 PM,05:19 AM,06:31 PM,11,24,24,25,15,5,47,0.0,1013,34,10,60,10,East_Midlands
2019-12-25,28,19,0.0,13.1,5,0,04:28 AM,05:56 PM,05:20 AM,06:32 PM,15,24,24,23,17,11,63,0.2,1012,28,10,60,11,East_Midlands
2019-12-26,30,19,0.0,13.1,7,0,05:21 AM,06:53 PM,05:20 AM,06:32 PM,15,25,25,24,18,20,58,0.0,1010,30,10,58,12,East_Midlands
2019-12-27,31,20,0.0,13.1,6,0,06:16 AM,07:47 PM,05:21 AM,06:33 PM,16,24,24,24,17,18,65,3.8,1011,31,10,69,11,East_Midlands
2019-12-28,28,18,0.0,13.1,5,8,07:11 AM,08:36 PM,05:22 AM,06:33 PM,15,23,23,22,24,28,66,1.6,1012,28,10,112,17,East_Midlands
2019-12-29,27,16,0.0,13.1,5,15,08:05 AM,09:21 PM,05:22 AM,06:33 PM,15,22,22,22,15,35,70,1.1,1011,27,10,101,10,East_Midlands
2019-12-30,32,16,0.0,13.1,7,22,08:57 AM,10:02 PM,05:23 AM,06:34 PM,15,24,24,24,7,19,64,0.0,1010,32,9,56,5,East_Midlands
2019-12-31,33,19,0.0,13.1,7,26,09:48 AM,10:39 PM,05:23 AM,06:34 PM,13,25,25,25,12,12,52,0.0,1010,33,10,101,8,East_Midlands
2020-01-01,30,19,0.0,13.1,7,37,10:36 AM,11:15 PM,05:24 AM,06:35 PM,13,26,26,25,14,16,52,0.0,1010,30,10,107,9,East_Midlands
2020-01-02,31,18,0.0,13.1,7,44,11:24 AM,11:50 PM,05:25 AM,06:35 PM,13,25,25,25,12,19,56,0.1,1011,31,10,106,9,East_Midlands
2020-01-03,31,18,0.0,13.1,7,51,12:11 PM,No moonset,05:25 AM,06:35 PM,11,25,25,25,14,18,52,0.1,1012,31,10,84,9,East_Midlands
