date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,0,0.0,5.8,2,26,01:20 PM,09:26 PM,09:03 AM,04:47 PM,-1,-1,2,-1,16,25,85,0.0,1027,4,10,331,8,Londonderry
2019-12-02,6,1,0.0,3.8,1,33,01:47 PM,10:35 PM,09:04 AM,04:46 PM,0,0,3,0,14,69,82,0.0,1029,6,10,267,7,Londonderry
2019-12-03,7,3,0.0,5.8,3,41,02:08 PM,11:46 PM,09:06 AM,04:45 PM,3,3,5,3,18,25,85,0.0,1024,7,10,208,10,Londonderry
2019-12-04,7,-4,0.0,5.8,1,48,02:25 PM,No moonset,09:07 AM,04:45 PM,2,0,4,0,25,27,87,0.1,1018,7,10,203,14,Londonderry
2019-12-05,9,-0,0.0,1.8,2,55,02:41 PM,12:55 AM,09:09 AM,04:44 PM,4,2,5,2,43,72,85,1.8,1012,9,9,213,25,Londonderry
2019-12-06,11,8,0.0,1.8,2,62,02:55 PM,02:04 AM,09:10 AM,04:44 PM,8,8,10,8,32,82,85,1.6,999,11,7,248,19,Londonderry
2019-12-07,9,3,0.0,1.8,2,70,03:09 PM,03:14 AM,09:11 AM,04:43 PM,6,5,8,5,31,74,84,0.1,1005,9,10,247,19,Londonderry
2019-12-08,8,6,0.0,5.8,3,77,03:24 PM,04:24 AM,09:13 AM,04:43 PM,4,3,8,3,50,47,75,1.7,989,8,9,232,33,Londonderry
2019-12-09,6,2,0.0,5.8,1,84,03:42 PM,05:36 AM,09:14 AM,04:42 PM,1,1,4,1,38,23,76,0.0,1005,6,10,294,24,Londonderry
2019-12-10,12,2,0.0,1.8,2,92,04:03 PM,06:50 AM,09:15 AM,04:42 PM,4,2,7,2,47,67,83,3.8,1004,12,9,202,29,Londonderry
2019-12-11,6,2,0.0,3.8,1,99,04:30 PM,08:06 AM,09:16 AM,04:42 PM,1,0,4,0,27,26,80,0.2,999,6,9,229,16,Londonderry
2019-12-12,5,2,0.0,1.8,1,100,05:07 PM,09:20 AM,09:17 AM,04:42 PM,2,-0,3,-0,33,78,92,2.6,985,5,8,166,21,Londonderry
2019-12-13,7,3,0.0,5.8,3,87,05:56 PM,10:27 AM,09:19 AM,04:42 PM,3,2,5,2,24,44,87,1.0,972,7,10,258,14,Londonderry
