date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,0,0.0,3.5,1,26,12:28 PM,10:25 PM,08:04 AM,05:36 PM,-4,-2,2,-2,16,82,70,7.0,1008,4,8,114,10,North_Wales
2019-12-02,1,0,1.4,3.5,1,33,01:04 PM,11:25 PM,08:05 AM,05:36 PM,-1,-3,1,-3,18,100,90,1.9,1001,1,8,269,13,North_Wales
2019-12-03,3,-2,0.0,8.7,2,41,01:35 PM,No moonset,08:06 AM,05:36 PM,-5,-4,1,-4,27,36,67,0.0,1003,3,10,314,20,North_Wales
2019-12-04,5,0,0.3,5.2,1,48,02:02 PM,12:23 AM,08:07 AM,05:35 PM,-1,-2,2,-2,22,74,78,0.4,1002,5,9,260,15,North_Wales
2019-12-05,4,-3,0.0,7.0,1,55,02:27 PM,01:22 AM,08:08 AM,05:35 PM,-3,-3,2,-3,29,35,70,0.1,1010,4,10,288,20,North_Wales
2019-12-06,6,-1,0.0,5.2,1,62,02:52 PM,02:19 AM,08:09 AM,05:35 PM,-2,-1,2,-1,19,58,71,0.1,1020,6,10,254,12,North_Wales
2019-12-07,2,-1,0.0,8.7,2,70,03:17 PM,03:18 AM,08:10 AM,05:35 PM,-7,-3,1,-3,16,13,61,0.0,1028,2,10,317,11,North_Wales
2019-12-08,4,-2,0.0,5.2,1,77,03:43 PM,04:17 AM,08:11 AM,05:35 PM,-6,-1,1,-1,12,41,60,0.0,1031,4,10,128,8,North_Wales
2019-12-09,10,4,0.0,3.5,2,84,04:12 PM,05:18 AM,08:11 AM,05:35 PM,6,5,7,5,18,97,95,13.2,1016,10,7,192,10,North_Wales
2019-12-10,12,4,0.0,3.5,3,92,04:45 PM,06:21 AM,08:12 AM,05:35 PM,8,7,10,7,34,85,88,3.3,1012,12,10,248,21,North_Wales
2019-12-11,2,-2,5.2,7.0,1,99,05:25 PM,07:26 AM,08:13 AM,05:35 PM,-3,-4,0,-4,20,50,76,6.1,1026,2,6,282,13,North_Wales
2019-12-12,2,-3,0.0,8.7,2,100,06:11 PM,08:30 AM,08:14 AM,05:36 PM,-9,-4,-1,-4,13,20,56,0.0,1038,2,10,160,9,North_Wales
2019-12-13,7,-1,0.0,3.5,1,87,07:06 PM,09:32 AM,08:15 AM,05:36 PM,2,2,4,2,11,87,86,7.8,1025,7,7,93,6,North_Wales
2019-12-14,11,5,0.0,3.5,2,79,08:08 PM,10:29 AM,08:15 AM,05:36 PM,7,6,8,6,23,86,91,10.4,998,11,6,148,14,North_Wales
2019-12-15,6,1,0.0,7.0,2,72,09:16 PM,11:19 AM,08:16 AM,05:36 PM,-2,-0,4,-0,35,37,66,0.1,1012,6,10,276,26,North_Wales
2019-12-16,1,-0,0.3,3.5,1,65,10:26 PM,12:02 PM,08:17 AM,05:37 PM,-2,-1,1,-1,14,86,80,4.4,1023,1,8,209,10,North_Wales
2019-12-17,2,0,0.0,3.5,1,58,11:38 PM,12:39 PM,08:17 AM,05:37 PM,0,-2,1,-2,28,88,94,11.1,1010,2,7,258,18,North_Wales
2019-12-18,2,-5,0.1,5.2,1,50,No moonrise,01:13 PM,08:18 AM,05:37 PM,-7,-7,-1,-7,29,34,63,0.1,1014,2,10,289,21,North_Wales
2019-12-19,-4,-8,0.0,8.7,2,43,12:48 AM,01:44 PM,08:19 AM,05:38 PM,-15,-12,-6,-12,23,11,47,0.0,1028,-4,10,301,17,North_Wales
2019-12-20,-1,-6,0.0,8.7,2,36,01:58 AM,02:13 PM,08:19 AM,05:38 PM,-10,-7,-4,-7,14,11,62,0.0,1035,-1,10,304,9,North_Wales
2019-12-21,1,-4,0.0,5.2,1,28,03:08 AM,02:43 PM,08:20 AM,05:39 PM,-8,-3,-2,-3,8,54,63,0.0,1035,1,10,121,5,North_Wales
2019-12-22,5,-3,0.0,8.7,2,21,04:18 AM,03:16 PM,08:20 AM,05:39 PM,-3,-2,1,-2,15,0,74,0.0,1028,5,10,255,8,North_Wales
2019-12-23,8,1,0.0,8.7,3,14,05:28 AM,03:52 PM,08:21 AM,05:40 PM,-1,2,4,2,16,0,71,0.0,1020,8,10,253,8,North_Wales
2019-12-24,7,2,0.0,8.7,2,7,06:37 AM,04:33 PM,08:21 AM,05:40 PM,-0,2,4,2,15,3,73,0.0,1020,7,10,168,8,North_Wales
2019-12-25,6,-0,0.0,7.0,1,0,07:43 AM,05:20 PM,08:21 AM,05:41 PM,-3,2,3,2,9,33,68,0.0,1022,6,10,132,6,North_Wales
2019-12-26,6,1,0.0,8.7,2,0,08:43 AM,06:13 PM,08:22 AM,05:41 PM,0,2,4,2,10,35,80,0.0,1026,6,10,130,7,North_Wales
2019-12-27,9,4,0.0,5.2,2,0,09:37 AM,07:10 PM,08:22 AM,05:42 PM,6,5,6,5,10,72,96,0.0,1024,9,3,166,6,North_Wales
2019-12-28,9,5,0.0,7.0,2,8,10:22 AM,08:10 PM,08:22 AM,05:43 PM,4,5,7,5,12,24,82,0.0,1024,9,7,300,7,North_Wales
2019-12-29,7,4,0.0,3.5,2,15,11:01 AM,09:11 PM,08:23 AM,05:43 PM,2,4,6,4,10,71,79,3.1,1021,7,9,166,6,North_Wales
2019-12-30,9,3,0.0,3.5,2,22,11:35 AM,10:10 PM,08:23 AM,05:44 PM,5,4,7,4,25,91,93,10.2,1007,9,8,75,13,North_Wales
2019-12-31,7,2,0.0,7.0,2,26,12:03 PM,11:10 PM,08:23 AM,05:45 PM,0,2,4,2,22,63,75,0.6,1005,7,9,248,16,North_Wales
2020-01-01,3,0,0.0,8.7,2,37,12:29 PM,No moonset,08:23 AM,05:46 PM,-5,-3,2,-3,29,21,63,0.0,1008,3,10,274,20,North_Wales
2020-01-02,7,-0,0.0,7.0,1,44,12:54 PM,12:07 AM,08:23 AM,05:47 PM,-3,-0,3,-0,19,32,66,0.0,1014,7,10,236,12,North_Wales
2020-01-03,11,2,0.0,3.5,2,51,01:19 PM,01:05 AM,08:24 AM,05:47 PM,7,6,8,6,19,81,90,9.3,1009,11,6,217,11,North_Wales
2020-01-04,12,8,0.0,3.5,3,59,01:44 PM,02:03 AM,08:24 AM,05:48 PM,9,8,10,8,17,93,94,2.2,1004,12,5,235,10,North_Wales
2020-01-05,5,1,0.1,8.7,2,66,02:11 PM,03:03 AM,08:24 AM,05:49 PM,-4,-1,3,-1,28,31,61,0.2,1010,5,10,294,20,North_Wales
2020-01-06,5,2,0.0,7.0,1,73,02:41 PM,04:04 AM,08:24 AM,05:50 PM,-4,-1,3,-1,25,40,60,0.0,1015,5,10,255,16,North_Wales
2020-01-07,4,0,0.3,3.5,1,80,03:18 PM,05:07 AM,08:23 AM,05:51 PM,-5,-0,2,-0,12,83,59,0.4,1018,4,9,235,8,North_Wales
2020-01-08,1,-4,0.9,5.2,1,88,04:00 PM,06:12 AM,08:23 AM,05:52 PM,-7,-6,-1,-6,33,54,64,1.7,1017,1,9,278,23,North_Wales
2020-01-09,-1,-6,0.0,8.7,1,95,04:52 PM,07:16 AM,08:23 AM,05:53 PM,-13,-8,-4,-8,16,18,48,0.0,1037,-1,10,263,12,North_Wales
2020-01-10,8,-4,0.0,3.5,1,100,05:52 PM,08:16 AM,08:23 AM,05:54 PM,-1,0,3,0,21,64,74,0.0,1034,8,9,199,12,North_Wales
2020-01-11,15,3,0.0,3.5,3,100,07:00 PM,09:11 AM,08:23 AM,05:55 PM,9,9,11,9,27,84,90,0.0,1024,15,8,194,15,North_Wales
2020-01-12,16,8,0.0,8.7,4,83,08:12 PM,09:58 AM,08:23 AM,05:56 PM,9,13,14,13,35,33,72,4.7,1018,16,10,247,22,North_Wales
