date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,8,4,0.0,6.8,2,26,01:00 PM,09:33 PM,08:43 AM,04:55 PM,1,3,6,3,23,39,72,0.0,1023,8,10,34,16,North_West_London
2019-12-02,7,3,0.0,8.1,2,33,01:30 PM,10:40 PM,08:45 AM,04:54 PM,1,3,5,3,10,18,76,0.0,1031,7,10,323,8,North_West_London
2019-12-03,7,4,0.0,8.1,3,41,01:54 PM,11:48 PM,08:46 AM,04:54 PM,3,4,5,4,7,45,86,0.0,1027,7,10,219,5,North_West_London
2019-12-04,9,5,0.0,8.1,3,48,02:14 PM,No moonset,08:47 AM,04:53 PM,4,6,7,6,5,6,85,0.0,1021,9,10,213,3,North_West_London
2019-12-05,8,2,0.0,8.0,2,55,02:32 PM,12:54 AM,08:49 AM,04:53 PM,3,3,5,3,20,44,85,0.0,1020,8,10,236,13,North_West_London
2019-12-06,12,9,0.0,3.0,3,62,02:48 PM,02:00 AM,08:50 AM,04:52 PM,8,8,11,8,37,83,83,2.5,1007,12,8,243,23,North_West_London
2019-12-07,10,7,0.0,6.8,2,70,03:05 PM,03:07 AM,08:51 AM,04:52 PM,6,6,8,6,23,44,82,0.0,1012,10,10,247,15,North_West_London
2019-12-08,12,8,0.0,6.8,2,77,03:23 PM,04:14 AM,08:52 AM,04:52 PM,5,6,10,6,42,52,72,5.3,1000,12,9,240,29,North_West_London
2019-12-09,9,7,0.0,8.0,2,84,03:43 PM,05:24 AM,08:53 AM,04:52 PM,2,5,8,5,39,42,67,3.3,1007,9,10,294,28,North_West_London
2019-12-10,12,5,0.0,3.0,2,92,04:07 PM,06:35 AM,08:55 AM,04:51 PM,5,5,8,5,32,67,81,4.2,1015,12,9,215,21,North_West_London
2019-12-11,9,6,0.0,4.9,2,99,04:37 PM,07:48 AM,08:56 AM,04:51 PM,3,5,8,5,22,31,74,2.9,1005,9,10,241,16,North_West_London
2019-12-12,9,4,0.0,3.0,2,100,05:16 PM,08:59 AM,08:57 AM,04:51 PM,4,3,7,3,28,76,83,8.2,990,9,8,209,20,North_West_London
2019-12-13,8,6,0.0,3.0,2,87,06:06 PM,10:05 AM,08:58 AM,04:51 PM,3,3,7,3,34,82,74,12.6,978,8,8,268,25,North_West_London
2019-12-14,8,6,0.0,6.8,3,79,07:08 PM,11:03 AM,08:59 AM,04:51 PM,1,3,7,3,33,58,69,2.7,989,8,8,237,23,North_West_London
2019-12-15,9,6,0.0,7.9,2,72,08:20 PM,11:51 AM,08:59 AM,04:51 PM,2,4,8,4,35,45,69,7.8,994,9,9,228,24,North_West_London
2019-12-16,9,8,0.0,4.8,2,65,09:39 PM,12:28 PM,09:00 AM,04:51 PM,5,7,8,7,16,86,82,4.0,1000,9,10,198,10,North_West_London
2019-12-17,8,6,0.0,3.8,2,58,11:00 PM,12:57 PM,09:01 AM,04:52 PM,5,6,7,6,6,86,87,4.3,1000,8,10,262,4,North_West_London
2019-12-18,9,6,0.0,5.8,2,50,No moonrise,01:22 PM,09:02 AM,04:52 PM,5,5,7,5,18,48,86,1.8,1008,9,10,159,11,North_West_London
2019-12-19,13,11,0.0,1.9,3,43,12:20 AM,01:44 PM,09:02 AM,04:52 PM,9,9,11,9,35,88,83,25.3,997,13,8,175,23,North_West_London
2019-12-20,10,8,0.0,3.8,2,36,01:41 AM,02:04 PM,09:03 AM,04:53 PM,7,7,9,7,16,69,85,20.5,981,10,8,213,12,North_West_London
2019-12-21,10,8,0.0,3.8,2,28,03:01 AM,02:24 PM,09:04 AM,04:53 PM,6,6,9,6,26,85,83,9.1,980,10,9,186,18,North_West_London
2019-12-22,9,8,0.0,3.8,2,21,04:20 AM,02:47 PM,09:04 AM,04:54 PM,5,6,8,6,22,65,81,5.0,983,9,8,264,16,North_West_London
2019-12-23,9,7,0.0,5.8,3,14,05:41 AM,03:13 PM,09:05 AM,04:54 PM,5,5,8,5,27,32,79,0.0,1006,9,10,251,18,North_West_London
2019-12-24,11,8,0.0,1.9,2,7,06:59 AM,03:45 PM,09:05 AM,04:55 PM,6,7,9,7,28,67,81,0.9,1008,11,9,236,18,North_West_London
2019-12-25,9,5,0.0,5.8,3,0,08:12 AM,04:24 PM,09:05 AM,04:55 PM,4,5,7,5,13,16,81,0.0,1022,9,10,263,10,North_West_London
2019-12-26,10,5,0.0,1.9,2,0,09:18 AM,05:13 PM,09:06 AM,04:56 PM,5,5,8,5,23,93,84,7.0,1017,10,8,195,15,North_West_London
2019-12-27,9,7,0.0,5.8,2,0,10:13 AM,06:11 PM,09:06 AM,04:57 PM,5,6,8,6,8,41,86,0.1,1028,9,10,192,5,North_West_London
2019-12-28,9,6,0.0,3.8,2,8,10:56 AM,07:15 PM,09:06 AM,04:58 PM,6,6,7,6,10,49,90,0.0,1036,9,8,169,6,North_West_London
2019-12-29,9,6,0.0,5.8,3,15,11:30 AM,08:22 PM,09:06 AM,04:59 PM,5,5,7,5,12,34,86,0.0,1033,9,10,188,8,North_West_London
2019-12-30,12,6,0.0,5.8,3,22,11:57 AM,09:31 PM,09:06 AM,05:00 PM,7,8,9,8,12,3,85,0.0,1029,12,10,218,10,North_West_London
2019-12-31,9,6,0.0,2.0,2,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,6,6,7,6,14,49,91,0.0,1031,9,8,135,9,North_West_London
2020-01-01,11,6,0.0,5.8,2,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,4,7,8,7,7,14,80,0.0,1030,11,8,155,6,North_West_London
2020-01-02,10,3,0.0,2.0,2,44,12:54 PM,No moonset,09:06 AM,05:03 PM,6,6,8,6,24,90,88,0.0,1021,10,7,198,15,North_West_London
2020-01-03,10,6,0.0,5.8,2,51,01:11 PM,12:51 AM,09:06 AM,05:04 PM,3,5,8,5,25,56,73,0.7,1022,10,9,282,17,North_West_London
2020-01-04,8,5,0.0,5.8,2,59,01:28 PM,01:57 AM,09:06 AM,05:05 PM,3,4,6,4,18,32,80,0.0,1034,8,10,264,12,North_West_London
2020-01-05,8,3,0.0,2.0,2,66,01:46 PM,03:05 AM,09:06 AM,05:06 PM,3,5,7,5,17,73,78,0.0,1033,8,10,231,11,North_West_London
2020-01-06,8,-1,0.0,3.9,2,73,02:07 PM,04:14 AM,09:05 AM,05:07 PM,4,4,6,4,24,70,82,1.2,1023,8,10,213,16,North_West_London
2020-01-07,9,1,0.0,3.9,2,80,02:34 PM,05:26 AM,09:05 AM,05:09 PM,6,5,7,5,21,50,86,0.0,1023,9,10,220,14,North_West_London
2020-01-08,12,9,0.0,2.0,3,88,03:09 PM,06:37 AM,09:04 AM,05:10 PM,9,10,11,10,17,96,87,2.6,1020,12,10,223,11,North_West_London
2020-01-09,13,9,0.0,2.0,3,95,03:54 PM,07:48 AM,09:04 AM,05:11 PM,8,9,11,9,30,89,83,13.3,1007,13,8,211,20,North_West_London
2020-01-10,9,3,0.0,5.8,2,100,04:51 PM,08:50 AM,09:03 AM,05:13 PM,3,5,7,5,18,39,75,1.4,1021,9,9,286,14,North_West_London
2020-01-11,10,5,0.0,2.0,2,100,06:02 PM,09:44 AM,09:03 AM,05:14 PM,4,5,8,5,33,86,77,0.0,1025,10,10,213,22,North_West_London
2020-01-12,11,8,0.0,5.8,3,83,07:21 PM,10:26 AM,09:02 AM,05:16 PM,6,7,10,7,34,57,74,1.0,1017,11,10,233,23,North_West_London
2020-01-13,9,1,0.0,2.0,2,76,08:43 PM,11:00 AM,09:01 AM,05:17 PM,4,5,7,5,30,77,76,5.1,1008,9,10,205,21,North_West_London
