date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,9,8,0.0,3.9,2,26,01:19 PM,10:06 PM,09:01 AM,05:27 PM,4,4,9,4,51,52,74,1.4,1023,9,10,48,39,Scottish_Highlands_And_Western_Isles
2019-12-02,9,8,0.0,5.8,3,33,01:50 PM,11:12 PM,09:03 AM,05:27 PM,3,7,9,7,20,21,64,0.0,1032,9,10,48,15,Scottish_Highlands_And_Western_Isles
2019-12-03,10,9,0.0,5.8,3,41,02:15 PM,No moonset,09:04 AM,05:26 PM,3,7,10,7,26,10,64,0.0,1026,10,10,164,19,Scottish_Highlands_And_Western_Isles
2019-12-04,9,2,0.0,5.8,2,48,02:36 PM,12:17 AM,09:05 AM,05:26 PM,4,7,9,7,16,22,69,0.0,1020,9,10,221,12,Scottish_Highlands_And_Western_Isles
2019-12-05,11,3,0.0,2.0,2,55,02:55 PM,01:23 AM,09:06 AM,05:25 PM,7,7,10,7,42,65,79,0.2,1022,11,10,269,31,Scottish_Highlands_And_Western_Isles
2019-12-06,13,11,0.0,2.0,3,62,03:13 PM,02:27 AM,09:08 AM,05:25 PM,10,8,12,8,62,84,87,4.9,1012,13,9,262,41,Scottish_Highlands_And_Western_Isles
2019-12-07,12,3,0.0,5.8,3,70,03:32 PM,03:33 AM,09:09 AM,05:25 PM,9,8,11,8,48,64,84,2.9,1015,12,10,248,33,Scottish_Highlands_And_Western_Isles
2019-12-08,11,10,0.0,2.0,3,77,03:51 PM,04:39 AM,09:10 AM,05:24 PM,7,6,11,6,91,65,75,11.5,1007,11,9,271,64,Scottish_Highlands_And_Western_Isles
2019-12-09,11,10,0.0,5.8,3,84,04:12 PM,05:47 AM,09:11 AM,05:24 PM,6,7,11,7,65,33,71,4.5,1019,11,10,290,47,Scottish_Highlands_And_Western_Isles
2019-12-10,13,10,0.0,2.0,3,92,04:37 PM,06:56 AM,09:12 AM,05:24 PM,9,7,11,7,73,86,83,11.8,1012,13,9,238,51,Scottish_Highlands_And_Western_Isles
2019-12-11,10,9,0.0,5.8,2,99,05:09 PM,08:07 AM,09:13 AM,05:24 PM,3,5,9,5,65,51,66,5.8,1008,10,9,278,49,Scottish_Highlands_And_Western_Isles
2019-12-12,12,9,0.0,2.0,3,100,05:49 PM,09:18 AM,09:14 AM,05:24 PM,8,7,11,7,74,83,83,19.5,991,12,9,258,55,Scottish_Highlands_And_Western_Isles
2019-12-13,13,9,0.0,2.0,3,87,06:40 PM,10:23 AM,09:15 AM,05:24 PM,6,5,10,5,85,69,73,6.6,989,13,10,282,63,Scottish_Highlands_And_Western_Isles
2019-12-14,11,9,0.0,3.9,3,79,07:43 PM,11:21 AM,09:16 AM,05:24 PM,5,5,10,5,72,57,70,5.7,993,11,9,263,55,Scottish_Highlands_And_Western_Isles
2019-12-15,10,9,0.0,3.9,2,72,08:54 PM,12:09 PM,09:17 AM,05:24 PM,4,5,10,5,81,54,66,5.7,995,10,10,236,60,Scottish_Highlands_And_Western_Isles
2019-12-16,10,10,0.0,5.8,2,65,10:11 PM,12:47 PM,09:18 AM,05:24 PM,4,7,10,7,39,20,68,3.8,998,10,9,267,29,Scottish_Highlands_And_Western_Isles
2019-12-17,10,9,0.0,5.8,2,58,11:30 PM,01:19 PM,09:18 AM,05:24 PM,3,8,9,8,22,15,67,3.8,1000,10,9,232,16,Scottish_Highlands_And_Western_Isles
2019-12-18,13,10,0.0,2.0,3,50,No moonrise,01:45 PM,09:19 AM,05:25 PM,8,7,11,7,75,76,82,16.2,997,13,9,177,52,Scottish_Highlands_And_Western_Isles
2019-12-19,12,11,0.0,2.0,3,43,12:49 AM,02:07 PM,09:20 AM,05:25 PM,9,8,11,8,44,76,84,8.4,987,12,10,195,30,Scottish_Highlands_And_Western_Isles
2019-12-20,11,8,0.0,3.9,3,36,02:07 AM,02:29 PM,09:20 AM,05:26 PM,7,7,10,7,49,61,79,10.1,980,11,9,239,33,Scottish_Highlands_And_Western_Isles
2019-12-21,11,10,0.0,2.0,3,28,03:26 AM,02:51 PM,09:21 AM,05:26 PM,8,7,11,7,58,60,82,18.3,974,11,9,222,43,Scottish_Highlands_And_Western_Isles
2019-12-22,11,10,0.0,5.8,3,21,04:44 AM,03:16 PM,09:21 AM,05:26 PM,6,6,11,6,74,43,75,4.0,990,11,9,278,54,Scottish_Highlands_And_Western_Isles
2019-12-23,10,10,0.0,3.9,3,14,06:02 AM,03:44 PM,09:22 AM,05:27 PM,7,7,10,7,63,59,78,3.1,1010,10,10,244,44,Scottish_Highlands_And_Western_Isles
2019-12-24,12,10,0.0,2.0,3,7,07:19 AM,04:17 PM,09:22 AM,05:28 PM,8,7,11,7,72,43,82,1.1,1013,12,10,268,48,Scottish_Highlands_And_Western_Isles
2019-12-25,10,9,0.0,5.8,3,0,08:31 AM,04:58 PM,09:23 AM,05:28 PM,6,7,10,7,47,42,77,0.0,1021,10,10,139,33,Scottish_Highlands_And_Western_Isles
2019-12-26,12,11,0.0,2.0,3,0,09:36 AM,05:48 PM,09:23 AM,05:29 PM,9,8,12,8,75,85,85,3.7,1015,12,9,229,49,Scottish_Highlands_And_Western_Isles
2019-12-27,12,11,0.0,3.9,3,0,10:30 AM,06:45 PM,09:23 AM,05:30 PM,10,9,11,9,38,50,92,0.0,1028,12,10,219,25,Scottish_Highlands_And_Western_Isles
2019-12-28,11,11,0.0,5.8,4,8,11:14 AM,07:49 PM,09:24 AM,05:31 PM,10,8,11,8,49,36,89,0.1,1032,11,10,174,33,Scottish_Highlands_And_Western_Isles
2019-12-29,11,11,0.0,5.8,4,15,11:49 AM,08:55 PM,09:24 AM,05:31 PM,9,8,11,8,48,26,89,0.1,1030,11,10,181,32,Scottish_Highlands_And_Western_Isles
2019-12-30,12,11,0.0,5.8,4,22,12:17 PM,10:01 PM,09:24 AM,05:32 PM,9,9,11,9,44,4,87,0.0,1028,12,10,187,28,Scottish_Highlands_And_Western_Isles
2019-12-31,11,11,0.0,2.0,3,26,12:40 PM,11:07 PM,09:24 AM,05:33 PM,10,9,11,9,30,84,94,3.4,1026,11,7,111,20,Scottish_Highlands_And_Western_Isles
2020-01-01,10,4,0.0,5.8,3,37,01:00 PM,No moonset,09:24 AM,05:34 PM,7,8,10,8,16,60,83,0.3,1028,10,10,141,11,Scottish_Highlands_And_Western_Isles
2020-01-02,12,4,0.0,2.0,3,44,01:19 PM,12:12 AM,09:24 AM,05:35 PM,9,7,11,7,67,68,88,0.2,1018,12,10,211,44,Scottish_Highlands_And_Western_Isles
2020-01-03,9,1,0.0,2.0,2,51,01:36 PM,01:17 AM,09:24 AM,05:36 PM,4,5,9,5,43,64,71,0.1,1029,9,10,315,31,Scottish_Highlands_And_Western_Isles
2020-01-04,10,4,0.0,3.9,3,59,01:54 PM,02:22 AM,09:23 AM,05:37 PM,6,7,10,7,31,52,75,0.1,1037,10,10,257,22,Scottish_Highlands_And_Western_Isles
2020-01-05,10,4,0.0,2.0,2,66,02:14 PM,03:28 AM,09:23 AM,05:38 PM,7,6,9,6,42,96,79,1.0,1032,10,9,212,30,Scottish_Highlands_And_Western_Isles
2020-01-06,11,10,0.0,2.0,3,73,02:37 PM,04:36 AM,09:23 AM,05:40 PM,8,7,10,7,59,81,84,5.8,1021,11,8,231,41,Scottish_Highlands_And_Western_Isles
2020-01-07,12,11,0.0,2.0,3,80,03:06 PM,05:46 AM,09:23 AM,05:41 PM,10,8,12,8,56,80,91,0.5,1022,12,9,214,35,Scottish_Highlands_And_Western_Isles
2020-01-08,11,1,0.0,2.1,2,88,03:41 PM,06:57 AM,09:22 AM,05:42 PM,10,7,9,7,33,96,93,7.4,1019,11,8,216,21,Scottish_Highlands_And_Western_Isles
2020-01-09,12,9,0.0,2.1,3,95,04:27 PM,08:05 AM,09:22 AM,05:43 PM,7,6,11,6,75,87,81,9.0,1006,12,9,254,51,Scottish_Highlands_And_Western_Isles
2020-01-10,10,2,0.0,3.9,2,100,05:26 PM,09:08 AM,09:21 AM,05:45 PM,4,5,9,5,52,66,70,0.5,1026,10,10,269,37,Scottish_Highlands_And_Western_Isles
2020-01-11,11,2,0.0,2.1,3,100,06:35 PM,10:02 AM,09:21 AM,05:46 PM,9,6,10,6,79,93,85,2.0,1022,11,9,212,53,Scottish_Highlands_And_Western_Isles
2020-01-12,11,5,0.0,3.9,3,83,07:53 PM,10:45 AM,09:20 AM,05:47 PM,7,7,10,7,59,67,76,1.9,1019,11,10,249,41,Scottish_Highlands_And_Western_Isles
