date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,1,0.0,8.0,2,26,01:13 PM,09:37 PM,08:56 AM,04:58 PM,0,-1,2,-1,18,23,86,0.0,1026,4,10,151,12,West_Midlands
2019-12-02,5,0,0.0,3.0,1,33,01:43 PM,10:45 PM,08:58 AM,04:57 PM,1,0,3,0,13,58,85,0.0,1031,5,10,300,8,West_Midlands
2019-12-03,6,4,0.0,8.0,2,41,02:05 PM,11:53 PM,08:59 AM,04:57 PM,2,2,4,2,17,46,86,0.0,1026,6,10,207,10,West_Midlands
2019-12-04,6,2,0.0,5.8,2,48,02:24 PM,No moonset,09:01 AM,04:56 PM,2,1,3,1,20,18,89,0.0,1020,6,10,202,11,West_Midlands
2019-12-05,7,-2,0.0,1.9,2,55,02:41 PM,01:01 AM,09:02 AM,04:56 PM,4,1,4,1,35,55,88,0.0,1017,7,10,224,20,West_Midlands
2019-12-06,12,7,0.0,1.9,3,62,02:57 PM,02:08 AM,09:03 AM,04:55 PM,8,7,10,7,40,82,86,5.7,1004,12,9,246,25,West_Midlands
2019-12-07,9,3,0.0,5.8,2,70,03:13 PM,03:16 AM,09:05 AM,04:55 PM,6,4,7,4,34,62,87,0.0,1010,9,10,243,21,West_Midlands
2019-12-08,8,5,0.0,5.8,3,77,03:30 PM,04:24 AM,09:06 AM,04:55 PM,4,3,7,3,50,48,77,1.0,996,8,9,236,32,West_Midlands
2019-12-09,7,5,0.0,5.8,2,84,03:49 PM,05:35 AM,09:07 AM,04:54 PM,2,2,6,2,49,31,78,4.1,1008,7,9,291,32,West_Midlands
2019-12-10,11,3,0.0,1.9,2,92,04:11 PM,06:47 AM,09:08 AM,04:54 PM,5,3,7,3,49,69,87,6.9,1009,11,8,211,30,West_Midlands
2019-12-11,6,2,0.0,1.9,1,99,04:40 PM,08:01 AM,09:09 AM,04:54 PM,2,0,4,0,29,29,85,3.0,1003,6,10,240,18,West_Midlands
2019-12-12,7,2,0.0,1.9,2,100,05:19 PM,09:13 AM,09:10 AM,04:54 PM,3,1,4,1,35,76,92,5.0,987,7,9,201,22,West_Midlands
2019-12-13,6,4,0.0,1.9,2,87,06:08 PM,10:20 AM,09:11 AM,04:54 PM,3,1,5,1,42,83,86,8.6,977,6,8,262,27,West_Midlands
2019-12-14,5,3,0.0,3.8,1,79,07:11 PM,11:18 AM,09:12 AM,04:54 PM,0,-1,4,-1,38,57,80,5.3,986,5,9,236,24,West_Midlands
2019-12-15,6,3,0.0,3.8,1,72,08:24 PM,12:04 PM,09:13 AM,04:54 PM,1,-0,4,-0,40,61,78,3.9,990,6,10,217,25,West_Midlands
2019-12-16,6,4,0.0,5.8,2,65,09:44 PM,12:40 PM,09:14 AM,04:54 PM,3,2,5,2,32,32,87,0.0,998,6,10,201,20,West_Midlands
2019-12-17,5,3,0.0,3.8,1,58,11:06 PM,01:09 PM,09:15 AM,04:54 PM,2,2,4,2,15,56,87,0.0,1000,5,10,223,9,West_Midlands
2019-12-18,7,2,0.0,1.8,1,50,No moonrise,01:32 PM,09:16 AM,04:54 PM,3,1,4,1,28,63,91,7.4,1004,7,8,151,17,West_Midlands
2019-12-19,11,9,0.0,1.8,3,43,12:27 AM,01:53 PM,09:16 AM,04:55 PM,8,7,10,7,35,84,90,21.6,992,11,8,164,22,West_Midlands
2019-12-20,7,4,0.0,1.8,2,36,01:49 AM,02:11 PM,09:17 AM,04:55 PM,5,4,6,4,26,78,93,4.8,980,7,7,192,16,West_Midlands
2019-12-21,7,4,0.0,1.8,2,28,03:10 AM,02:31 PM,09:17 AM,04:56 PM,5,3,6,3,32,88,92,1.2,977,7,7,162,20,West_Midlands
2019-12-22,7,5,0.0,5.8,2,21,04:31 AM,02:52 PM,09:18 AM,04:56 PM,4,3,6,3,22,56,89,1.4,983,7,8,238,14,West_Midlands
2019-12-23,8,4,0.0,3.8,2,14,05:53 AM,03:18 PM,09:18 AM,04:57 PM,4,2,6,2,32,45,86,0.4,1004,8,10,243,19,West_Midlands
2019-12-24,9,6,0.0,1.8,2,7,07:12 AM,03:48 PM,09:19 AM,04:57 PM,5,4,7,4,29,77,88,2.4,1006,9,9,233,18,West_Midlands
2019-12-25,6,3,0.0,5.8,2,0,08:26 AM,04:27 PM,09:19 AM,04:58 PM,3,2,4,2,19,39,91,0.1,1022,6,9,247,11,West_Midlands
2019-12-26,6,4,0.0,1.9,1,0,09:33 AM,05:16 PM,09:19 AM,04:59 PM,3,2,5,2,29,85,92,2.3,1015,6,6,178,18,West_Midlands
2019-12-27,6,4,0.0,1.8,2,0,10:27 AM,06:13 PM,09:20 AM,04:59 PM,4,3,5,3,12,76,95,0.0,1027,6,4,163,7,West_Midlands
2019-12-28,8,7,0.0,2.0,2,8,11:10 AM,07:19 PM,09:20 AM,05:00 PM,7,5,8,5,27,76,95,0.0,1034,8,9,177,17,West_Midlands
2019-12-29,8,6,0.0,5.8,2,15,11:43 AM,08:26 PM,09:20 AM,05:01 PM,6,3,7,3,36,68,93,0.0,1031,8,10,190,22,West_Midlands
2019-12-30,10,5,0.0,5.8,3,22,12:08 PM,09:36 PM,09:20 AM,05:02 PM,5,5,7,5,20,21,89,0.0,1028,10,10,198,12,West_Midlands
2019-12-31,7,5,0.0,2.0,2,26,12:29 PM,10:44 PM,09:20 AM,05:03 PM,5,4,6,4,20,80,94,0.0,1032,7,7,113,13,West_Midlands
2020-01-01,6,3,0.0,5.8,1,37,12:47 PM,11:52 PM,09:20 AM,05:04 PM,3,2,5,2,16,28,91,0.0,1029,6,8,169,10,West_Midlands
2020-01-02,9,-1,0.0,2.0,2,44,01:03 PM,No moonset,09:20 AM,05:05 PM,6,3,7,3,43,81,91,0.3,1017,9,10,198,27,West_Midlands
2020-01-03,6,-2,0.0,5.8,1,51,01:19 PM,12:59 AM,09:20 AM,05:06 PM,2,1,5,1,36,58,80,0.6,1022,6,9,279,22,West_Midlands
2020-01-04,7,4,0.0,3.9,2,59,01:35 PM,02:06 AM,09:19 AM,05:08 PM,3,2,5,2,29,42,85,0.0,1033,7,10,260,16,West_Midlands
2020-01-05,9,5,0.0,3.9,2,66,01:52 PM,03:15 AM,09:19 AM,05:09 PM,5,4,7,4,31,47,85,0.0,1030,9,10,221,19,West_Midlands
2020-01-06,7,5,0.0,2.0,2,73,02:12 PM,04:25 AM,09:19 AM,05:10 PM,4,2,6,2,39,70,87,2.2,1019,7,10,218,24,West_Midlands
2020-01-07,9,-1,0.0,3.9,2,80,02:38 PM,05:38 AM,09:18 AM,05:12 PM,6,2,6,2,39,56,90,0.0,1019,9,10,210,23,West_Midlands
2020-01-08,8,6,0.0,2.0,2,88,03:12 PM,06:51 AM,09:18 AM,05:13 PM,6,6,8,6,22,77,86,0.3,1018,8,9,245,13,West_Midlands
2020-01-09,10,5,0.0,3.9,2,95,03:56 PM,08:02 AM,09:17 AM,05:14 PM,6,5,8,5,32,80,88,15.2,1004,10,8,202,21,West_Midlands
2020-01-10,6,-2,0.0,5.8,2,100,04:54 PM,09:05 AM,09:17 AM,05:16 PM,2,1,4,1,26,33,86,0.0,1021,6,10,268,16,West_Midlands
2020-01-11,9,0,0.0,2.0,2,100,06:05 PM,09:58 AM,09:16 AM,05:17 PM,5,3,7,3,53,97,83,0.3,1019,9,9,206,34,West_Midlands
2020-01-12,9,4,0.0,2.0,2,83,07:25 PM,10:39 AM,09:15 AM,05:19 PM,5,4,7,4,31,65,87,7.7,1014,9,9,240,20,West_Midlands
2020-01-13,7,-1,0.0,2.0,2,76,08:49 PM,11:12 AM,09:15 AM,05:20 PM,4,1,6,1,46,81,86,5.2,1003,7,10,197,29,West_Midlands
2020-01-14,11,3,0.0,2.0,2,69,10:13 PM,11:37 AM,09:14 AM,05:22 PM,5,3,7,3,49,87,84,14.7,990,11,9,208,31,West_Midlands
2020-01-15,7,4,0.0,5.8,3,61,11:37 PM,11:59 AM,09:13 AM,05:23 PM,2,2,5,2,32,48,78,0.0,1002,7,10,223,20,West_Midlands
2020-01-16,10,4,0.0,2.0,2,54,No moonrise,12:18 PM,09:12 AM,05:25 PM,6,3,7,3,45,69,89,9.2,1009,10,8,179,28,West_Midlands
2020-01-17,6,3,0.0,2.0,2,47,12:59 AM,12:38 PM,09:11 AM,05:27 PM,3,3,5,3,21,72,85,2.9,1011,6,8,252,13,West_Midlands
2020-01-18,5,2,0.0,5.8,2,40,02:20 AM,12:58 PM,09:10 AM,05:28 PM,0,-1,3,-1,27,24,84,0.0,1028,5,10,299,16,West_Midlands
2020-01-19,6,2,0.0,5.8,2,32,03:40 AM,01:22 PM,09:09 AM,05:30 PM,2,1,3,1,14,5,89,0.0,1044,6,10,322,9,West_Midlands
2020-01-20,9,2,0.0,5.8,3,25,04:58 AM,01:49 PM,09:08 AM,05:32 PM,2,4,5,4,7,8,81,0.0,1047,9,10,248,5,West_Midlands
2020-01-21,6,-1,0.0,5.8,2,18,06:13 AM,02:24 PM,09:07 AM,05:34 PM,2,2,4,2,10,22,87,0.0,1042,6,10,282,7,West_Midlands
2020-01-22,10,6,0.0,3.9,2,11,07:21 AM,03:08 PM,09:06 AM,05:35 PM,7,6,8,6,14,82,95,0.0,1038,10,6,288,9,West_Midlands
2020-01-23,7,6,0.0,2.1,2,3,08:19 AM,04:02 PM,09:04 AM,05:37 PM,6,6,7,6,6,85,96,0.0,1032,7,3,310,4,West_Midlands
2020-01-24,8,3,0.0,2.1,2,0,09:06 AM,05:04 PM,09:03 AM,05:39 PM,6,6,7,6,6,77,91,0.0,1024,8,7,270,4,West_Midlands
2020-01-25,6,-1,0.0,3.9,2,0,09:43 AM,06:11 PM,09:02 AM,05:41 PM,5,3,6,3,17,74,89,0.1,1016,6,10,181,11,West_Midlands
2020-01-26,8,5,0.0,5.0,2,4,10:10 AM,07:20 PM,09:00 AM,05:42 PM,5,3,7,3,32,89,90,7.2,1006,8,8,201,20,West_Midlands
2020-01-27,6,3,0.0,5.1,1,11,10:33 AM,08:29 PM,08:59 AM,05:44 PM,2,1,4,1,27,61,88,0.7,998,6,10,201,17,West_Midlands
2020-01-28,5,1,0.0,6.9,1,18,10:52 AM,09:38 PM,08:57 AM,05:46 PM,-1,-2,2,-2,37,54,81,2.5,994,5,10,257,23,West_Midlands
2020-01-29,7,1,0.0,8.7,2,26,11:09 AM,10:44 PM,08:56 AM,05:48 PM,1,-1,3,-1,34,38,82,0.0,1008,7,10,247,20,West_Midlands
2020-01-30,11,4,0.0,5.1,2,33,11:24 AM,11:52 PM,08:54 AM,05:50 PM,6,5,8,5,32,73,91,0.0,1002,11,9,220,19,West_Midlands
2020-01-31,12,6,0.0,3.4,3,37,11:39 AM,No moonset,08:53 AM,05:52 PM,8,7,10,7,38,81,88,0.4,1002,12,9,216,23,West_Midlands
2020-02-01,8,6,0.0,5.2,2,49,11:56 AM,12:59 AM,08:51 AM,05:53 PM,4,4,8,4,40,63,78,0.4,1002,8,10,246,26,West_Midlands
2020-02-02,11,5,0.0,5.2,2,57,12:14 PM,02:07 AM,08:50 AM,05:55 PM,5,5,7,5,28,78,86,2.1,1005,11,8,211,17,West_Midlands
2020-02-03,6,3,0.0,6.9,2,64,12:37 PM,03:18 AM,08:48 AM,05:57 PM,1,1,5,1,34,42,76,0.1,1012,6,10,259,21,West_Midlands
2020-02-04,8,3,0.3,3.4,2,72,01:06 PM,04:29 AM,08:46 AM,05:59 PM,2,0,5,0,45,65,80,1.0,1021,8,8,303,28,West_Midlands
2020-02-05,7,3,0.0,9.6,1,79,01:44 PM,05:40 AM,08:45 AM,06:01 PM,3,3,5,3,11,35,87,0.0,1036,7,9,268,7,West_Midlands
2020-02-06,11,3,0.0,9.6,3,87,02:34 PM,06:46 AM,08:43 AM,06:03 PM,3,5,6,5,8,2,82,0.0,1030,11,10,187,6,West_Midlands
2020-02-07,7,1,0.0,9.6,1,95,03:39 PM,07:44 AM,08:41 AM,06:05 PM,2,1,4,1,30,35,85,0.0,1017,7,10,154,19,West_Midlands
2020-02-08,7,2,0.0,9.7,2,100,04:56 PM,08:31 AM,08:39 AM,06:07 PM,3,2,6,2,43,69,79,0.9,1010,7,10,212,26,West_Midlands
2020-02-09,13,6,0.0,8.2,3,100,06:20 PM,09:08 AM,08:37 AM,06:08 PM,7,5,10,5,74,85,82,17.3,990,13,8,224,48,West_Midlands
2020-02-10,6,-7,3.9,6.6,1,83,07:48 PM,09:38 AM,08:35 AM,06:10 PM,-1,-2,2,-2,49,74,77,6.9,994,6,5,264,31,West_Midlands
2020-02-11,4,1,0.2,8.2,1,75,09:16 PM,10:01 AM,08:34 AM,06:12 PM,-3,-4,2,-4,54,43,68,0.3,1006,4,7,264,34,West_Midlands
2020-02-12,5,0,0.0,8.3,1,68,10:41 PM,10:22 AM,08:32 AM,06:14 PM,-2,-2,3,-2,34,48,75,0.0,1012,5,10,239,21,West_Midlands
2020-02-13,7,4,0.0,6.6,2,60,No moonrise,10:42 AM,08:30 AM,06:16 PM,3,1,5,1,28,68,87,2.7,997,7,9,255,19,West_Midlands
2020-02-14,9,3,0.0,5.0,2,53,12:06 AM,11:03 AM,08:28 AM,06:18 PM,5,3,6,3,29,64,91,1.0,1013,9,8,208,18,West_Midlands
2020-02-15,11,2,0.0,5.0,2,45,01:29 AM,11:26 AM,08:26 AM,06:20 PM,7,4,8,4,55,82,90,6.7,1002,11,9,199,34,West_Midlands
2020-02-16,8,4,0.0,6.6,2,38,02:49 AM,11:52 AM,08:24 AM,06:22 PM,4,3,7,3,54,75,80,25.5,991,8,8,239,36,West_Midlands
2020-02-17,7,3,0.0,8.3,2,30,04:05 AM,12:24 PM,08:22 AM,06:24 PM,0,-0,5,-0,48,69,73,2.2,1007,7,10,242,30,West_Midlands
2020-02-18,7,2,0.0,5.0,1,22,05:15 AM,01:05 PM,08:20 AM,06:26 PM,1,-1,4,-1,42,56,80,1.6,1015,7,9,245,26,West_Midlands
2020-02-19,7,-3,0.0,5.0,1,15,06:15 AM,01:55 PM,08:18 AM,06:27 PM,2,-1,3,-1,39,69,85,2.7,1015,7,7,232,23,West_Midlands
2020-02-20,8,2,1.3,6.7,2,7,07:05 AM,02:54 PM,08:16 AM,06:29 PM,2,1,5,1,51,71,81,2.4,1008,8,8,242,32,West_Midlands
2020-02-21,8,2,0.0,5.1,2,0,07:44 AM,03:59 PM,08:14 AM,06:31 PM,3,1,5,1,49,82,80,0.0,1018,8,10,229,30,West_Midlands
2020-02-22,10,5,0.0,5.1,2,0,08:14 AM,05:08 PM,08:11 AM,06:33 PM,4,3,7,3,50,94,79,2.6,1015,10,9,250,32,West_Midlands
2020-02-23,12,4,0.0,5.1,2,0,08:37 AM,06:16 PM,08:09 AM,06:35 PM,4,3,7,3,37,86,84,7.6,1016,12,9,263,24,West_Midlands
2020-02-24,11,3,0.3,5.2,2,0,08:57 AM,07:25 PM,08:07 AM,06:37 PM,5,3,7,3,39,95,86,4.8,1007,11,8,218,25,West_Midlands
2020-02-25,6,1,0.1,5.2,1,8,09:14 AM,08:33 PM,08:05 AM,06:39 PM,-0,-2,3,-2,34,75,79,5.1,999,6,7,259,23,West_Midlands
2020-02-26,5,0,0.0,8.4,1,15,09:30 AM,09:40 PM,08:03 AM,06:41 PM,-2,-3,2,-3,36,43,76,0.1,1004,5,10,280,24,West_Midlands
2020-02-27,6,2,0.2,6.8,1,23,09:45 AM,10:47 PM,08:01 AM,06:43 PM,0,1,3,1,12,84,85,0.3,1005,6,9,250,8,West_Midlands
2020-02-28,6,1,1.2,7.0,1,30,10:01 AM,11:55 PM,07:59 AM,06:44 PM,2,-0,3,-0,26,86,91,2.9,1001,6,9,183,16,West_Midlands
2020-02-29,7,3,0.0,8.5,1,38,10:18 AM,No moonset,07:57 AM,06:46 PM,2,1,6,1,56,79,77,5.3,981,7,7,225,39,West_Midlands
2020-03-01,6,2,0.0,7.0,1,44,10:38 AM,01:04 AM,07:54 AM,06:48 PM,-2,-1,4,-1,43,55,68,0.7,984,6,10,236,29,West_Midlands
2020-03-02,6,1,0.4,8.5,1,51,11:03 AM,02:13 AM,07:52 AM,06:50 PM,-1,-1,3,-1,25,57,76,1.0,987,6,9,255,17,West_Midlands
2020-03-03,7,2,0.1,8.6,1,58,11:36 AM,03:23 AM,07:50 AM,06:52 PM,-1,-1,4,-1,31,48,75,0.8,1001,7,10,268,20,West_Midlands
2020-03-04,4,-5,0.0,5.5,1,65,12:19 PM,04:29 AM,07:48 AM,06:54 PM,2,-1,3,-1,21,82,88,8.3,1004,4,9,176,14,West_Midlands
2020-03-05,5,3,0.9,5.6,1,73,01:15 PM,05:30 AM,07:45 AM,06:56 PM,3,0,4,0,25,99,92,1.8,996,5,7,153,18,West_Midlands
2020-03-06,7,-1,0.0,5.6,1,80,02:25 PM,06:21 AM,07:43 AM,06:57 PM,1,1,3,1,17,74,86,0.4,1003,7,9,283,12,West_Midlands
2020-03-07,11,2,0.0,5.6,2,87,03:46 PM,07:02 AM,07:41 AM,06:59 PM,3,3,6,3,33,74,84,0.3,1012,11,10,224,21,West_Midlands
2020-03-08,9,4,0.0,5.8,2,95,05:13 PM,07:35 AM,07:39 AM,07:01 PM,4,3,7,3,44,79,80,4.3,1002,9,9,236,29,West_Midlands
2020-03-09,9,-0,0.0,5.8,2,100,06:42 PM,08:01 AM,07:36 AM,07:03 PM,3,2,5,2,39,82,82,3.5,1010,9,10,249,25,West_Midlands
2020-03-10,13,8,0.0,5.9,3,100,08:11 PM,08:23 AM,07:34 AM,07:05 PM,9,8,11,8,44,92,85,2.0,1002,13,7,245,28,West_Midlands
2020-03-11,10,6,0.0,5.9,2,84,09:40 PM,08:44 AM,07:32 AM,07:07 PM,4,4,8,4,39,83,79,1.0,1006,10,8,238,25,West_Midlands
2020-03-12,7,1,0.0,7.3,1,76,11:06 PM,09:04 AM,07:29 AM,07:08 PM,-1,-1,4,-1,49,51,70,1.4,1006,7,9,253,33,West_Midlands
2020-03-13,9,3,0.0,7.3,2,69,No moonrise,09:27 AM,07:27 AM,07:10 PM,2,3,6,3,24,54,77,0.0,1016,9,10,214,15,West_Midlands
2020-03-14,11,5,0.0,5.9,2,62,12:31 AM,09:52 AM,07:25 AM,07:12 PM,5,4,8,4,30,96,83,2.8,1011,11,9,188,20,West_Midlands
2020-03-15,9,6,0.0,6.0,2,55,01:53 AM,10:23 AM,07:22 AM,07:14 PM,5,4,8,4,43,91,80,6.3,1003,9,9,223,29,West_Midlands
