date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,5,1,0.0,7.5,2,26,01:17 PM,09:29 PM,09:00 AM,04:50 PM,0,0,2,0,10,20,86,0.0,1026,5,10,296,7,Yorkshire_and_the_Humber
2019-12-02,6,1,0.0,1.9,1,33,01:45 PM,10:38 PM,09:01 AM,04:49 PM,0,1,3,1,15,51,81,0.0,1030,6,10,269,9,Yorkshire_and_the_Humber
2019-12-03,7,4,0.0,5.8,3,41,02:06 PM,11:47 PM,09:03 AM,04:49 PM,2,3,5,3,13,26,82,0.0,1025,7,10,232,8,Yorkshire_and_the_Humber
2019-12-04,7,3,0.0,5.8,3,48,02:24 PM,No moonset,09:04 AM,04:48 PM,2,2,5,2,18,13,81,0.0,1019,7,10,230,11,Yorkshire_and_the_Humber
2019-12-05,9,1,0.0,1.9,2,55,02:40 PM,12:56 AM,09:06 AM,04:47 PM,4,3,6,3,32,65,82,1.1,1014,9,10,230,20,Yorkshire_and_the_Humber
2019-12-06,12,9,0.0,1.9,3,62,02:55 PM,02:04 AM,09:07 AM,04:47 PM,7,8,11,8,32,96,80,9.5,1001,12,8,254,21,Yorkshire_and_the_Humber
2019-12-07,9,2,0.0,1.8,2,70,03:10 PM,03:13 AM,09:08 AM,04:46 PM,5,5,8,5,29,75,80,0.0,1007,9,10,254,18,Yorkshire_and_the_Humber
2019-12-08,8,6,0.0,5.8,2,77,03:25 PM,04:23 AM,09:10 AM,04:46 PM,3,3,8,3,44,52,72,4.1,991,8,9,239,30,Yorkshire_and_the_Humber
2019-12-09,6,3,0.0,5.8,1,84,03:43 PM,05:35 AM,09:11 AM,04:46 PM,1,1,5,1,36,31,74,3.0,1006,6,10,294,24,Yorkshire_and_the_Humber
2019-12-10,12,3,0.0,1.8,2,92,04:05 PM,06:48 AM,09:12 AM,04:45 PM,4,3,7,3,40,66,82,10.2,1006,12,7,217,26,Yorkshire_and_the_Humber
2019-12-11,6,3,0.0,3.8,1,99,04:33 PM,08:03 AM,09:13 AM,04:45 PM,1,1,5,1,24,25,79,4.1,1000,6,9,244,17,Yorkshire_and_the_Humber
2019-12-12,6,2,0.0,1.8,1,100,05:10 PM,09:17 AM,09:14 AM,04:45 PM,2,1,4,1,20,74,89,4.1,986,6,8,185,14,Yorkshire_and_the_Humber
2019-12-13,7,5,0.0,5.8,2,87,05:59 PM,10:24 AM,09:15 AM,04:45 PM,3,2,6,2,24,57,84,2.8,974,7,8,270,17,Yorkshire_and_the_Humber
2019-12-14,5,3,0.0,3.8,1,79,07:02 PM,11:22 AM,09:16 AM,04:45 PM,0,-1,4,-1,34,50,77,2.7,983,5,8,241,25,Yorkshire_and_the_Humber
2019-12-15,5,4,0.0,5.8,1,72,08:16 PM,12:08 PM,09:17 AM,04:45 PM,1,-0,4,-0,32,50,80,7.4,988,5,9,230,22,Yorkshire_and_the_Humber
2019-12-16,6,4,0.0,5.8,2,65,09:37 PM,12:43 PM,09:18 AM,04:45 PM,1,1,5,1,26,21,80,0.0,997,6,10,212,17,Yorkshire_and_the_Humber
2019-12-17,5,2,0.0,1.8,1,58,11:00 PM,01:10 PM,09:19 AM,04:45 PM,1,1,3,1,15,60,85,0.0,1000,5,10,224,9,Yorkshire_and_the_Humber
2019-12-18,6,1,0.0,3.8,1,50,No moonrise,01:32 PM,09:20 AM,04:46 PM,2,1,4,1,16,46,89,4.7,1005,6,10,166,11,Yorkshire_and_the_Humber
2019-12-19,11,9,0.0,1.8,3,43,12:23 AM,01:51 PM,09:20 AM,04:46 PM,8,7,10,7,26,93,89,4.1,993,11,9,152,17,Yorkshire_and_the_Humber
2019-12-20,8,6,0.0,1.8,2,36,01:46 AM,02:09 PM,09:21 AM,04:46 PM,6,5,7,5,19,86,89,3.3,979,8,7,203,13,Yorkshire_and_the_Humber
2019-12-21,7,4,0.0,1.8,2,28,03:09 AM,02:27 PM,09:22 AM,04:47 PM,4,3,6,3,17,73,91,1.9,977,7,9,167,12,Yorkshire_and_the_Humber
2019-12-22,7,5,0.0,5.8,2,21,04:31 AM,02:47 PM,09:22 AM,04:47 PM,5,4,6,4,12,59,90,0.8,982,7,7,236,8,Yorkshire_and_the_Humber
2019-12-23,8,5,0.0,1.8,2,14,05:54 AM,03:11 PM,09:23 AM,04:48 PM,3,2,6,2,24,66,83,0.4,1001,8,10,256,15,Yorkshire_and_the_Humber
2019-12-24,8,5,0.0,1.8,2,7,07:15 AM,03:41 PM,09:23 AM,04:48 PM,4,3,6,3,17,64,88,5.4,1005,8,7,238,11,Yorkshire_and_the_Humber
2019-12-25,8,4,0.0,5.8,3,0,08:30 AM,04:18 PM,09:23 AM,04:49 PM,3,2,5,2,17,22,88,0.0,1021,8,9,261,11,Yorkshire_and_the_Humber
2019-12-26,5,3,0.0,1.8,1,0,09:37 AM,05:06 PM,09:24 AM,04:50 PM,3,2,4,2,15,100,94,2.4,1017,5,5,138,10,Yorkshire_and_the_Humber
2019-12-27,7,5,0.0,1.8,2,0,10:31 AM,06:04 PM,09:24 AM,04:51 PM,5,4,5,4,10,79,94,0.1,1027,7,5,208,7,Yorkshire_and_the_Humber
2019-12-28,8,6,0.0,5.8,2,8,11:14 AM,07:10 PM,09:24 AM,04:52 PM,5,4,7,4,17,44,92,0.0,1033,8,7,183,9,Yorkshire_and_the_Humber
2019-12-29,9,6,0.0,3.8,2,15,11:46 AM,08:19 PM,09:24 AM,04:52 PM,5,5,7,5,20,49,87,0.0,1029,9,9,198,11,Yorkshire_and_the_Humber
2019-12-30,11,7,0.0,5.8,2,22,12:10 PM,09:30 PM,09:24 AM,04:53 PM,4,6,8,6,15,18,78,0.0,1026,11,10,255,9,Yorkshire_and_the_Humber
2019-12-31,6,3,0.0,5.8,1,26,12:30 PM,10:39 PM,09:24 AM,04:54 PM,3,3,4,3,7,37,89,0.0,1033,6,10,127,5,Yorkshire_and_the_Humber
2020-01-01,9,3,0.0,5.8,2,37,12:46 PM,11:48 PM,09:24 AM,04:56 PM,2,4,5,4,8,30,85,0.0,1028,9,7,202,5,Yorkshire_and_the_Humber
2020-01-02,9,-0,0.0,5.8,2,44,01:01 PM,No moonset,09:24 AM,04:57 PM,4,3,6,3,29,40,84,0.1,1015,9,9,201,16,Yorkshire_and_the_Humber
2020-01-03,7,5,0.0,5.8,2,51,01:16 PM,12:56 AM,09:23 AM,04:58 PM,2,4,7,4,29,72,71,5.5,1020,7,9,282,19,Yorkshire_and_the_Humber
2020-01-04,8,6,0.0,1.8,2,59,01:31 PM,02:05 AM,09:23 AM,04:59 PM,4,4,7,4,29,60,79,0.0,1030,8,10,269,18,Yorkshire_and_the_Humber
2020-01-05,9,6,0.0,1.9,2,66,01:47 PM,03:15 AM,09:23 AM,05:00 PM,4,5,7,5,25,42,82,0.0,1028,9,10,228,15,Yorkshire_and_the_Humber
2020-01-06,8,5,0.0,2.0,2,73,02:06 PM,04:26 AM,09:22 AM,05:02 PM,3,3,6,3,31,65,78,3.4,1017,8,9,224,19,Yorkshire_and_the_Humber
2020-01-07,11,3,0.0,3.9,2,80,02:31 PM,05:40 AM,09:22 AM,05:03 PM,5,5,7,5,28,57,82,0.0,1017,11,10,215,16,Yorkshire_and_the_Humber
2020-01-08,8,5,0.0,2.0,2,88,03:03 PM,06:54 AM,09:21 AM,05:05 PM,3,6,8,6,19,61,70,0.2,1017,8,10,253,12,Yorkshire_and_the_Humber
2020-01-09,10,3,0.0,3.9,2,95,03:47 PM,08:06 AM,09:21 AM,05:06 PM,5,4,6,4,18,89,88,22.9,1004,10,9,194,12,Yorkshire_and_the_Humber
2020-01-10,6,-2,0.0,5.8,3,100,04:44 PM,09:09 AM,09:20 AM,05:07 PM,1,2,4,2,21,39,77,0.1,1019,6,10,268,14,Yorkshire_and_the_Humber
2020-01-11,12,6,0.0,2.0,3,100,05:56 PM,10:02 AM,09:19 AM,05:09 PM,5,6,9,6,46,80,74,1.2,1016,12,10,215,29,Yorkshire_and_the_Humber
2020-01-12,8,5,0.0,3.9,2,83,07:17 PM,10:42 AM,09:19 AM,05:11 PM,4,5,7,5,17,68,79,14.1,1012,8,9,236,12,Yorkshire_and_the_Humber
2020-01-13,8,1,0.0,2.0,2,76,08:43 PM,11:13 AM,09:18 AM,05:12 PM,2,2,6,2,34,81,78,7.4,1001,8,10,197,22,Yorkshire_and_the_Humber
2020-01-14,7,-2,0.0,2.0,2,69,10:09 PM,11:38 AM,09:17 AM,05:14 PM,3,1,5,1,36,82,77,14.1,988,7,7,210,24,Yorkshire_and_the_Humber
2020-01-15,7,5,0.0,5.8,3,61,11:34 PM,11:58 AM,09:16 AM,05:16 PM,-0,2,6,2,28,25,65,0.4,1000,7,9,230,19,Yorkshire_and_the_Humber
2020-01-16,9,1,0.0,2.0,2,54,No moonrise,12:16 PM,09:15 AM,05:17 PM,5,3,7,3,34,68,82,4.7,1008,9,9,180,22,Yorkshire_and_the_Humber
2020-01-17,7,5,0.0,2.0,2,47,12:57 AM,12:34 PM,09:14 AM,05:19 PM,2,4,6,4,18,82,73,0.1,1010,7,10,256,12,Yorkshire_and_the_Humber
2020-01-18,6,4,0.0,5.8,3,40,02:19 AM,12:53 PM,09:13 AM,05:21 PM,-1,1,5,1,26,16,66,0.0,1026,6,10,298,17,Yorkshire_and_the_Humber
2020-01-19,6,3,0.0,5.8,2,32,03:41 AM,01:15 PM,09:12 AM,05:23 PM,-1,3,5,3,10,8,66,0.0,1043,6,10,282,7,Yorkshire_and_the_Humber
2020-01-20,7,0,0.0,5.8,3,25,05:01 AM,01:42 PM,09:11 AM,05:24 PM,2,2,5,2,17,11,81,0.0,1046,7,10,262,11,Yorkshire_and_the_Humber
2020-01-21,8,4,0.0,5.8,3,18,06:17 AM,02:15 PM,09:09 AM,05:26 PM,4,3,6,3,17,18,87,0.0,1041,8,9,275,11,Yorkshire_and_the_Humber
2020-01-22,10,7,0.0,5.8,2,11,07:26 AM,02:59 PM,09:08 AM,05:28 PM,7,7,8,7,10,45,94,0.0,1037,10,5,261,5,Yorkshire_and_the_Humber
2020-01-23,9,6,0.0,5.8,2,3,08:24 AM,03:52 PM,09:07 AM,05:30 PM,6,6,7,6,10,32,92,0.0,1031,9,6,259,6,Yorkshire_and_the_Humber
2020-01-24,9,6,0.0,5.8,2,0,09:10 AM,04:55 PM,09:05 AM,05:32 PM,5,5,7,5,12,25,90,0.0,1023,9,8,266,8,Yorkshire_and_the_Humber
2020-01-25,8,1,0.0,5.8,2,0,09:46 AM,06:03 PM,09:04 AM,05:34 PM,4,4,6,4,15,58,84,0.0,1016,8,9,202,9,Yorkshire_and_the_Humber
2020-01-26,8,6,0.0,2.1,2,4,10:13 AM,07:13 PM,09:03 AM,05:36 PM,4,4,7,4,26,80,83,5.4,1005,8,9,206,16,Yorkshire_and_the_Humber
2020-01-27,6,3,0.0,2.1,2,11,10:34 AM,08:23 PM,09:01 AM,05:37 PM,1,2,5,2,19,61,79,1.1,997,6,10,210,13,Yorkshire_and_the_Humber
2020-01-28,5,2,0.1,3.1,1,18,10:52 AM,09:33 PM,09:00 AM,05:39 PM,-1,-1,4,-1,31,67,73,0.2,991,5,9,260,22,Yorkshire_and_the_Humber
2020-01-29,6,1,0.0,5.1,2,26,11:07 AM,10:41 PM,08:58 AM,05:41 PM,0,1,4,1,31,56,71,0.0,1005,6,10,257,21,Yorkshire_and_the_Humber
2020-01-30,11,6,0.0,5.1,2,33,11:22 AM,11:50 PM,08:56 AM,05:43 PM,5,5,8,5,26,67,81,0.0,1000,11,10,238,16,Yorkshire_and_the_Humber
2020-01-31,14,7,0.0,3.3,3,37,11:36 AM,No moonset,08:55 AM,05:45 PM,7,8,10,8,36,67,79,1.9,999,14,9,234,22,Yorkshire_and_the_Humber
2020-02-01,9,7,0.0,3.4,2,49,11:51 AM,12:58 AM,08:53 AM,05:47 PM,3,5,9,5,41,67,67,0.1,998,9,10,257,30,Yorkshire_and_the_Humber
2020-02-02,10,6,0.0,5.1,2,57,12:09 PM,02:07 AM,08:51 AM,05:49 PM,4,5,7,5,22,71,81,2.5,1004,10,9,218,15,Yorkshire_and_the_Humber
2020-02-03,7,4,0.0,8.7,3,64,12:30 PM,03:19 AM,08:50 AM,05:51 PM,-0,1,6,1,48,26,63,0.3,1008,7,9,269,33,Yorkshire_and_the_Humber
2020-02-04,9,4,0.0,3.4,2,72,12:58 PM,04:31 AM,08:48 AM,05:53 PM,0,2,6,2,34,73,69,1.7,1018,9,8,308,22,Yorkshire_and_the_Humber
2020-02-05,8,4,0.0,6.9,2,79,01:35 PM,05:44 AM,08:46 AM,05:55 PM,2,4,5,4,9,32,78,0.0,1035,8,10,257,6,Yorkshire_and_the_Humber
2020-02-06,12,4,0.0,8.7,3,87,02:24 PM,06:50 AM,08:44 AM,05:57 PM,2,7,7,7,7,2,72,0.0,1029,12,10,217,5,Yorkshire_and_the_Humber
2020-02-07,7,1,0.0,8.7,2,95,03:30 PM,07:49 AM,08:42 AM,05:59 PM,1,2,5,2,20,31,76,0.0,1017,7,10,162,14,Yorkshire_and_the_Humber
2020-02-08,8,2,0.0,8.2,2,100,04:47 PM,08:35 AM,08:40 AM,06:01 PM,2,4,7,4,35,75,69,0.1,1008,8,10,216,24,Yorkshire_and_the_Humber
2020-02-09,14,7,0.0,6.5,3,100,06:13 PM,09:11 AM,08:38 AM,06:03 PM,6,7,10,7,54,88,74,48.4,985,14,6,226,39,Yorkshire_and_the_Humber
2020-02-10,5,3,1.0,8.2,1,83,07:43 PM,09:39 AM,08:36 AM,06:05 PM,-2,-1,4,-1,45,65,63,4.8,989,5,8,262,34,Yorkshire_and_the_Humber
2020-02-11,4,3,0.3,4.9,1,75,09:12 PM,10:01 AM,08:34 AM,06:07 PM,-4,-3,3,-3,52,60,59,1.3,1000,4,2,269,38,Yorkshire_and_the_Humber
2020-02-12,5,2,0.0,6.6,1,68,10:39 PM,10:20 AM,08:32 AM,06:09 PM,-3,-1,4,-1,35,49,62,0.2,1009,5,9,253,25,Yorkshire_and_the_Humber
2020-02-13,5,-3,0.0,4.9,1,60,No moonrise,10:39 AM,08:30 AM,06:11 PM,2,0,3,0,19,87,89,21.0,998,5,7,224,14,Yorkshire_and_the_Humber
2020-02-14,10,4,0.0,6.6,2,53,12:05 AM,10:58 AM,08:28 AM,06:13 PM,4,4,7,4,21,65,83,1.7,1011,10,10,216,14,Yorkshire_and_the_Humber
2020-02-15,12,2,0.0,4.9,2,45,01:29 AM,11:20 AM,08:26 AM,06:15 PM,6,5,8,5,38,68,82,9.3,1000,12,9,203,25,Yorkshire_and_the_Humber
2020-02-16,8,5,0.0,8.3,2,38,02:51 AM,11:45 AM,08:24 AM,06:17 PM,2,4,8,4,43,75,66,33.1,987,8,8,238,32,Yorkshire_and_the_Humber
2020-02-17,8,5,0.0,5.0,2,30,04:08 AM,12:16 PM,08:22 AM,06:19 PM,-1,1,6,1,40,73,64,0.5,1002,8,9,249,30,Yorkshire_and_the_Humber
2020-02-18,8,4,0.0,10.0,2,22,05:19 AM,12:56 PM,08:20 AM,06:21 PM,-0,0,5,0,36,66,70,7.9,1012,8,8,258,25,Yorkshire_and_the_Humber
2020-02-19,6,-2,0.0,5.0,1,15,06:20 AM,01:46 PM,08:18 AM,06:23 PM,1,0,4,0,33,77,74,4.5,1012,6,9,244,21,Yorkshire_and_the_Humber
2020-02-20,10,4,5.1,5.0,2,7,07:09 AM,02:45 PM,08:16 AM,06:25 PM,1,2,6,2,41,83,70,8.4,1004,10,7,244,28,Yorkshire_and_the_Humber
2020-02-21,9,2,0.0,5.1,2,0,07:47 AM,03:51 PM,08:14 AM,06:27 PM,3,3,7,3,43,94,74,4.7,1014,9,8,239,28,Yorkshire_and_the_Humber
2020-02-22,8,4,0.0,8.3,2,0,08:16 AM,05:00 PM,08:11 AM,06:29 PM,2,3,7,3,50,81,69,7.9,1010,8,8,258,35,Yorkshire_and_the_Humber
2020-02-23,6,3,0.0,8.4,1,0,08:39 AM,06:11 PM,08:09 AM,06:31 PM,0,1,5,1,26,65,76,18.7,1014,6,8,262,18,Yorkshire_and_the_Humber
2020-02-24,12,1,2.0,5.1,2,0,08:58 AM,07:21 PM,08:07 AM,06:32 PM,2,2,6,2,39,92,79,28.9,1005,12,7,222,27,Yorkshire_and_the_Humber
2020-02-25,6,3,0.4,6.8,1,8,09:14 AM,08:29 PM,08:05 AM,06:34 PM,-1,-0,4,-0,31,70,70,0.7,997,6,9,268,23,Yorkshire_and_the_Humber
2020-02-26,6,2,0.3,6.8,1,15,09:28 AM,09:38 PM,08:03 AM,06:36 PM,-2,-1,4,-1,29,58,70,0.6,1001,6,9,285,22,Yorkshire_and_the_Humber
2020-02-27,6,2,0.2,6.8,1,23,09:42 AM,10:46 PM,08:00 AM,06:38 PM,-1,1,4,1,13,64,75,0.3,1004,6,10,268,10,Yorkshire_and_the_Humber
2020-02-28,6,2,0.0,7.0,1,30,09:57 AM,11:55 PM,07:58 AM,06:40 PM,1,-0,3,-0,21,81,84,6.7,1001,6,10,199,14,Yorkshire_and_the_Humber
2020-02-29,10,5,0.0,5.4,2,38,10:12 AM,No moonset,07:56 AM,06:42 PM,1,3,7,3,41,83,69,6.8,977,10,8,217,31,Yorkshire_and_the_Humber
2020-03-01,7,4,0.0,8.5,2,44,10:32 AM,01:05 AM,07:53 AM,06:44 PM,-2,-0,5,-0,41,49,61,0.7,979,7,9,244,31,Yorkshire_and_the_Humber
2020-03-02,6,2,0.0,8.5,1,51,10:56 AM,02:15 AM,07:51 AM,06:46 PM,-2,1,4,1,19,55,65,0.1,986,6,10,254,15,Yorkshire_and_the_Humber
2020-03-03,7,3,0.0,10.1,2,58,11:28 AM,03:26 AM,07:49 AM,06:48 PM,-1,0,4,0,27,30,69,0.1,999,7,10,268,20,Yorkshire_and_the_Humber
2020-03-04,7,-0,0.0,5.5,1,65,12:09 PM,04:34 AM,07:47 AM,06:50 PM,1,2,4,2,14,72,77,7.9,1005,7,10,181,11,Yorkshire_and_the_Humber
2020-03-05,7,2,0.0,7.1,1,73,01:06 PM,05:35 AM,07:44 AM,06:52 PM,1,2,4,2,13,81,81,0.4,998,7,10,86,10,Yorkshire_and_the_Humber
2020-03-06,8,2,0.0,8.6,2,80,02:16 PM,06:25 AM,07:42 AM,06:54 PM,0,4,5,4,7,41,73,0.2,1002,8,10,269,6,Yorkshire_and_the_Humber
2020-03-07,12,3,0.0,5.6,2,87,03:38 PM,07:05 AM,07:39 AM,06:56 PM,3,4,7,4,25,70,75,0.0,1010,12,10,229,17,Yorkshire_and_the_Humber
2020-03-08,10,6,0.0,5.6,2,95,05:07 PM,07:36 AM,07:37 AM,06:58 PM,2,5,8,5,36,75,65,5.0,998,10,9,239,27,Yorkshire_and_the_Humber
2020-03-09,10,1,0.0,8.7,2,100,06:37 PM,08:01 AM,07:35 AM,07:00 PM,2,3,7,3,31,68,71,2.3,1007,10,9,254,23,Yorkshire_and_the_Humber
2020-03-10,13,8,0.0,5.9,3,100,08:08 PM,08:22 AM,07:32 AM,07:02 PM,7,8,11,8,40,89,78,20.7,998,13,8,258,27,Yorkshire_and_the_Humber
2020-03-11,11,4,0.0,7.3,2,84,09:38 PM,08:41 AM,07:30 AM,07:04 PM,2,4,8,4,34,44,67,2.3,1003,11,10,248,25,Yorkshire_and_the_Humber
2020-03-12,9,3,0.1,7.3,2,76,11:06 PM,09:00 AM,07:27 AM,07:05 PM,-3,0,5,0,45,70,57,4.7,1001,9,8,254,34,Yorkshire_and_the_Humber
2020-03-13,8,4,0.0,7.3,2,69,No moonrise,09:21 AM,07:25 AM,07:07 PM,1,3,6,3,21,73,70,3.7,1015,8,10,206,15,Yorkshire_and_the_Humber
2020-03-14,11,4,0.0,5.9,2,62,12:33 AM,09:46 AM,07:23 AM,07:09 PM,4,4,7,4,24,95,80,1.3,1010,11,8,175,17,Yorkshire_and_the_Humber
2020-03-15,10,7,0.0,6.0,2,55,01:56 AM,10:15 AM,07:20 AM,07:11 PM,4,6,9,6,31,90,73,7.3,1001,10,7,223,23,Yorkshire_and_the_Humber
2020-03-16,10,5,0.0,10.2,2,47,03:12 AM,10:53 AM,07:18 AM,07:13 PM,-0,5,7,5,14,54,62,0.1,1019,10,10,230,11,Yorkshire_and_the_Humber
2020-03-17,13,7,0.0,6.0,3,40,04:17 AM,11:41 AM,07:15 AM,07:15 PM,6,8,10,8,32,89,77,0.9,1020,13,7,227,22,Yorkshire_and_the_Humber
2020-03-18,8,5,0.0,6.0,2,33,05:10 AM,12:37 PM,07:13 AM,07:17 PM,2,5,8,5,20,99,70,1.6,1021,8,6,277,15,Yorkshire_and_the_Humber
2020-03-19,10,4,0.0,8.8,2,25,05:51 AM,01:42 PM,07:10 AM,07:19 PM,-1,6,7,6,6,52,59,0.0,1027,10,10,108,5,Yorkshire_and_the_Humber
2020-03-20,9,3,0.0,8.8,2,18,06:21 AM,02:50 PM,07:08 AM,07:21 PM,-0,3,6,3,17,31,67,0.1,1032,9,10,49,13,Yorkshire_and_the_Humber
2020-03-21,9,2,0.0,10.2,2,11,06:45 AM,04:00 PM,07:05 AM,07:22 PM,-0,2,5,2,21,38,70,0.0,1031,9,10,90,16,Yorkshire_and_the_Humber
2020-03-22,9,2,0.0,11.6,3,4,07:05 AM,05:10 PM,07:03 AM,07:24 PM,-1,2,5,2,16,9,66,0.0,1030,9,10,108,12,Yorkshire_and_the_Humber
2020-03-23,11,2,0.0,8.9,2,0,07:21 AM,06:19 PM,07:00 AM,07:26 PM,-1,3,6,3,17,32,62,0.0,1028,11,10,151,13,Yorkshire_and_the_Humber
2020-03-24,12,3,0.0,7.7,2,0,07:36 AM,07:28 PM,06:58 AM,07:28 PM,-0,4,7,4,21,61,59,0.0,1024,12,10,177,15,Yorkshire_and_the_Humber
2020-03-25,14,5,0.0,11.6,4,3,07:49 AM,08:36 PM,06:55 AM,07:30 PM,1,9,10,9,13,13,54,0.0,1024,14,10,167,10,Yorkshire_and_the_Humber
2020-03-26,13,5,0.0,11.6,3,11,08:03 AM,09:45 PM,06:53 AM,07:32 PM,1,8,9,8,9,2,58,0.0,1025,13,10,89,8,Yorkshire_and_the_Humber
2020-03-27,11,4,0.0,11.6,3,18,08:18 AM,10:55 PM,06:50 AM,07:34 PM,1,5,7,5,14,1,66,0.0,1027,11,10,39,11,Yorkshire_and_the_Humber
2020-03-28,8,3,0.0,6.4,2,25,08:36 AM,No moonset,06:48 AM,07:35 PM,-0,2,5,2,29,72,69,0.2,1034,8,10,28,21,Yorkshire_and_the_Humber
2020-03-29,6,1,0.0,9.0,1,32,08:58 AM,12:06 AM,06:46 AM,07:37 PM,-4,-1,4,-1,29,46,58,0.1,1043,6,10,24,21,Yorkshire_and_the_Humber
2020-03-30,8,3,0.0,6.5,2,40,09:26 AM,01:16 AM,06:43 AM,07:39 PM,0,2,5,2,22,96,70,1.6,1037,8,9,129,16,Yorkshire_and_the_Humber
2020-03-31,9,3,0.0,9.1,2,44,10:02 AM,02:24 AM,06:41 AM,07:41 PM,2,5,6,5,10,65,73,0.4,1034,9,10,89,7,Yorkshire_and_the_Humber
