date_time,tempC,location,tempC_categories
2019-12-01,6,Antrim,5
2019-12-02,5,Antrim,5
2019-12-03,5,Antrim,5
2019-12-04,8,Antrim,5
2019-12-05,11,Antrim,6
2019-12-06,11,Antrim,6
2019-12-07,11,Antrim,6
2019-12-08,6,Antrim,5
2019-12-09,7,Antrim,5
2019-12-10,12,Antrim,6
2019-12-11,5,Antrim,5
2019-12-12,6,Antrim,5
2019-12-13,7,Antrim,5
2019-12-14,4,Antrim,5
2019-12-15,3,Antrim,5
2019-12-16,4,Antrim,5
2019-12-17,4,Antrim,5
2019-12-18,8,Antrim,5
2019-12-19,9,Antrim,5
2019-12-20,6,Antrim,5
2019-12-21,5,Antrim,5
2019-12-22,5,Antrim,5
2019-12-23,7,Antrim,5
2019-12-24,6,Antrim,5
2019-12-25,5,Antrim,5
2019-12-26,7,Antrim,5
2019-12-27,11,Antrim,6
2019-12-28,10,Antrim,0
2019-12-29,11,Antrim,6
2019-12-30,10,Antrim,0
2019-12-31,6,Antrim,5
2020-01-01,6,Antrim,5
2020-01-02,10,Antrim,0
2020-01-03,6,Antrim,5
2020-01-04,8,Antrim,5
2020-01-05,10,Antrim,0
2020-01-06,8,Antrim,5
2020-01-07,13,Antrim,6
2020-01-08,5,Antrim,5
2020-01-09,4,Antrim,5
2020-01-10,5,Antrim,5
2020-01-11,11,Antrim,6
2020-01-12,5,Antrim,5
2020-01-13,7,Antrim,5
2020-01-14,4,Antrim,5
2020-01-15,5,Antrim,5
2020-01-16,10,Antrim,0
2020-01-17,5,Antrim,5
2020-01-18,4,Antrim,5
2020-01-19,4,Antrim,5
2020-01-20,6,Antrim,5
2020-01-21,8,Antrim,5
2020-01-22,9,Antrim,5
2020-01-23,7,Antrim,5
2020-01-24,8,Antrim,5
2020-01-25,8,Antrim,5
2020-01-26,7,Antrim,5
2020-01-27,3,Antrim,5
2020-01-28,5,Antrim,5
2020-01-29,7,Antrim,5
2020-01-30,10,Antrim,0
2020-01-31,11,Antrim,6
2020-02-01,9,Antrim,5
2020-02-02,9,Antrim,5
2020-02-03,5,Antrim,5
2020-02-04,7,Antrim,5
2020-02-05,6,Antrim,5
2020-02-06,7,Antrim,5
2020-02-07,7,Antrim,5
2020-02-08,7,Antrim,5
2020-02-09,11,Antrim,6
2020-02-10,3,Antrim,5
2020-02-11,2,Antrim,5
2020-02-12,4,Antrim,5
2020-02-13,5,Antrim,5
2020-02-14,8,Antrim,5
2020-02-15,10,Antrim,0
2020-02-16,6,Antrim,5
2020-02-17,7,Antrim,5
2020-02-18,4,Antrim,5
2020-02-19,8,Antrim,5
2020-02-20,5,Antrim,5
2020-02-21,9,Antrim,5
2020-02-22,4,Antrim,5
2020-02-23,5,Antrim,5
2020-02-24,6,Antrim,5
2020-02-25,4,Antrim,5
2020-02-26,4,Antrim,5
2020-02-27,6,Antrim,5
2020-02-28,5,Antrim,5
2020-02-29,4,Antrim,5
2020-03-01,5,Antrim,5
2020-03-02,5,Antrim,5
2020-03-03,6,Antrim,5
2020-03-04,4,Antrim,5
2020-03-05,6,Antrim,5
2020-03-06,7,Antrim,5
2020-03-07,10,Antrim,0
2020-03-08,7,Antrim,5
2020-03-09,6,Antrim,5
2020-03-10,9,Antrim,5
2020-03-11,7,Antrim,5
2020-03-12,6,Antrim,5
2020-03-13,8,Antrim,5
2020-03-14,7,Antrim,5
2020-03-15,8,Antrim,5
2020-03-16,8,Antrim,5
2020-03-17,9,Antrim,5
2020-03-18,6,Antrim,5
2020-03-19,7,Antrim,5
2020-03-20,7,Antrim,5
2020-03-21,7,Antrim,5
2020-03-22,8,Antrim,5
2020-03-23,9,Antrim,5
2020-03-24,13,Antrim,6
2020-03-25,13,Antrim,6
2020-03-26,8,Antrim,5
2020-03-27,11,Antrim,6
2020-03-28,9,Antrim,5
2020-03-29,7,Antrim,5
2020-03-30,9,Antrim,5
2020-03-31,7,Antrim,5
2020-04-01,9,Antrim,5
