date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,5,0,0.0,5.8,1,26,01:41 PM,09:47 PM,09:24 AM,05:07 PM,1,0,3,0,15,63,88,0.0,1029,5,10,212,8,Armagh
2019-12-02,4,0,0.0,3.9,1,33,02:08 PM,10:57 PM,09:25 AM,05:07 PM,0,-0,2,-0,13,50,89,0.0,1032,4,9,247,7,Armagh
2019-12-03,5,0,0.0,5.8,1,41,02:29 PM,No moonset,09:27 AM,05:06 PM,2,-1,2,-1,26,49,93,0.0,1023,5,7,195,14,Armagh
2019-12-04,8,3,0.0,5.8,2,48,02:46 PM,12:07 AM,09:28 AM,05:05 PM,4,2,5,2,35,52,89,0.8,1014,8,9,218,20,Armagh
2019-12-05,11,3,0.0,1.9,2,55,03:02 PM,01:17 AM,09:30 AM,05:05 PM,6,3,7,3,44,78,91,3.1,1009,11,7,227,27,Armagh
2019-12-06,10,7,0.0,1.9,2,62,03:16 PM,02:25 AM,09:31 AM,05:04 PM,7,6,9,6,33,90,90,2.7,1001,10,9,250,20,Armagh
2019-12-07,10,5,0.0,1.9,2,70,03:30 PM,03:35 AM,09:33 AM,05:04 PM,8,5,9,5,35,95,93,4.0,1003,10,9,224,23,Armagh
2019-12-08,6,5,0.0,1.9,2,77,03:45 PM,04:45 AM,09:34 AM,05:03 PM,3,2,6,2,44,86,83,4.6,988,6,10,254,29,Armagh
2019-12-09,6,4,0.0,5.8,1,84,04:02 PM,05:58 AM,09:35 AM,05:03 PM,3,1,5,1,35,33,85,0.6,1011,6,8,265,20,Armagh
2019-12-10,13,4,0.0,1.9,2,92,04:23 PM,07:12 AM,09:36 AM,05:03 PM,6,4,8,4,47,76,88,11.8,998,13,8,220,30,Armagh
2019-12-11,4,1,0.0,5.8,1,99,04:51 PM,08:27 AM,09:37 AM,05:02 PM,0,-1,3,-1,33,40,84,0.0,997,4,10,234,19,Armagh
2019-12-12,6,2,0.0,1.9,1,100,05:28 PM,09:42 AM,09:39 AM,05:02 PM,3,1,4,1,25,97,96,4.4,981,6,3,212,17,Armagh
2019-12-13,7,3,0.0,1.9,2,87,06:16 PM,10:49 AM,09:40 AM,05:02 PM,3,1,5,1,33,76,88,3.9,976,7,8,263,21,Armagh
2019-12-14,4,-1,0.0,3.9,1,79,07:20 PM,11:47 AM,09:41 AM,05:02 PM,-1,-2,2,-2,36,38,80,0.5,980,4,10,236,22,Armagh
2019-12-15,2,-1,1.5,5.8,1,72,08:34 PM,12:32 PM,09:41 AM,05:02 PM,-0,-2,1,-2,26,63,94,1.9,984,2,6,202,15,Armagh
2019-12-16,4,0,0.0,5.8,2,65,09:56 PM,01:06 PM,09:42 AM,05:02 PM,1,-2,2,-2,23,41,90,0.0,992,4,9,196,13,Armagh
2019-12-17,4,-0,0.0,5.8,1,58,11:20 PM,01:33 PM,09:43 AM,05:02 PM,1,-1,2,-1,22,29,94,0.3,997,4,5,216,12,Armagh
2019-12-18,9,-1,0.0,1.9,2,50,No moonrise,01:54 PM,09:44 AM,05:03 PM,4,1,5,1,38,77,92,4.5,994,9,5,140,23,Armagh
2019-12-19,8,5,0.0,3.8,2,43,12:44 AM,02:12 PM,09:45 AM,05:03 PM,6,4,7,4,34,68,93,4.3,985,8,6,147,20,Armagh
2019-12-20,6,1,0.0,5.8,1,36,02:08 AM,02:29 PM,09:45 AM,05:03 PM,4,2,4,2,23,65,96,1.5,977,6,4,197,15,Armagh
2019-12-21,4,0,0.0,3.8,1,28,03:31 AM,02:47 PM,09:46 AM,05:04 PM,1,1,1,1,11,63,96,0.0,974,4,3,145,6,Armagh
2019-12-22,5,-0,0.0,5.8,1,21,04:54 AM,03:06 PM,09:46 AM,05:04 PM,2,-0,2,-0,19,81,97,0.2,981,5,3,231,11,Armagh
2019-12-23,7,3,0.0,5.8,1,14,06:18 AM,03:29 PM,09:47 AM,05:05 PM,3,1,5,1,30,49,90,1.1,1000,7,7,231,16,Armagh
2019-12-24,6,3,0.0,1.9,1,7,07:40 AM,03:58 PM,09:47 AM,05:05 PM,4,2,4,2,15,72,95,2.7,1005,6,6,220,9,Armagh
2019-12-25,4,0,0.0,3.8,1,0,08:56 AM,04:35 PM,09:47 AM,05:06 PM,1,-0,2,-0,20,45,92,0.1,1021,4,9,191,10,Armagh
2019-12-26,7,5,0.0,1.9,2,0,10:02 AM,05:24 PM,09:48 AM,05:07 PM,5,3,6,3,36,89,93,1.7,1011,7,6,166,22,Armagh
2019-12-27,11,5,0.0,1.9,3,0,10:57 AM,06:22 PM,09:48 AM,05:08 PM,9,7,9,7,25,91,96,2.2,1021,11,7,188,15,Armagh
2019-12-28,10,8,0.0,3.9,2,8,11:39 AM,07:28 PM,09:48 AM,05:09 PM,7,6,9,6,36,78,87,1.2,1025,10,10,188,22,Armagh
2019-12-29,11,9,0.0,5.8,2,15,12:09 PM,08:38 PM,09:48 AM,05:10 PM,7,7,10,7,39,57,84,0.0,1022,11,10,197,23,Armagh
2019-12-30,11,4,0.0,1.9,2,22,12:33 PM,09:49 PM,09:48 AM,05:11 PM,6,5,7,5,19,74,92,0.0,1024,11,10,187,10,Armagh
2019-12-31,6,1,0.0,5.8,1,26,12:52 PM,10:59 PM,09:48 AM,05:12 PM,2,2,3,2,13,30,92,0.0,1031,6,7,72,7,Armagh
2020-01-01,6,-1,0.0,5.8,1,37,01:08 PM,No moonset,09:48 AM,05:13 PM,3,1,4,1,25,76,95,0.0,1024,6,5,190,14,Armagh
2020-01-02,10,6,0.0,1.9,2,44,01:23 PM,12:09 AM,09:48 AM,05:14 PM,6,4,8,4,39,67,91,4.5,1006,10,10,200,22,Armagh
2020-01-03,6,-2,0.0,3.9,1,51,01:36 PM,01:18 AM,09:48 AM,05:15 PM,2,-0,4,-0,29,51,85,0.1,1023,6,10,269,17,Armagh
2020-01-04,8,3,0.0,1.9,2,59,01:51 PM,02:27 AM,09:47 AM,05:16 PM,5,3,6,3,29,93,90,0.3,1030,8,10,229,17,Armagh
2020-01-05,10,2,0.0,1.9,2,66,02:06 PM,03:38 AM,09:47 AM,05:18 PM,7,5,8,5,36,93,88,0.2,1023,10,10,210,22,Armagh
2020-01-06,9,4,0.0,1.9,2,73,02:25 PM,04:50 AM,09:46 AM,05:19 PM,5,3,7,3,39,79,85,5.2,1011,9,10,215,24,Armagh
2020-01-07,13,4,0.0,1.9,3,80,02:49 PM,06:04 AM,09:46 AM,05:20 PM,7,5,9,5,48,83,88,2.0,1010,13,8,214,29,Armagh
2020-01-08,5,1,0.0,5.8,2,88,03:21 PM,07:19 AM,09:45 AM,05:22 PM,1,0,4,0,23,52,86,0.1,1016,5,10,224,13,Armagh
2020-01-09,4,-5,0.0,1.9,1,95,04:04 PM,08:31 AM,09:45 AM,05:23 PM,2,-0,3,-0,19,81,91,0.7,1006,4,8,170,12,Armagh
2020-01-10,6,-4,0.0,2.0,1,100,05:02 PM,09:35 AM,09:44 AM,05:25 PM,2,-1,2,-1,35,76,88,0.7,1017,6,8,222,21,Armagh
2020-01-11,11,5,0.0,2.0,2,100,06:14 PM,10:26 AM,09:43 AM,05:26 PM,7,5,9,5,46,98,91,16.0,1007,11,7,229,29,Armagh
2020-01-12,5,-2,0.0,2.0,1,83,07:36 PM,11:06 AM,09:43 AM,05:28 PM,2,0,4,0,26,89,92,0.6,1011,5,9,220,15,Armagh
2020-01-13,7,2,0.3,2.0,2,76,09:03 PM,11:36 AM,09:42 AM,05:30 PM,2,-1,4,-1,50,80,87,9.3,990,7,9,194,31,Armagh
2020-01-14,4,1,0.8,2.0,1,69,10:29 PM,12:00 PM,09:41 AM,05:31 PM,1,-3,2,-3,35,75,91,1.1,982,4,7,214,23,Armagh
2020-01-15,5,1,0.0,5.8,2,61,11:55 PM,12:19 PM,09:40 AM,05:33 PM,-0,-3,3,-3,46,33,80,0.0,994,5,10,216,27,Armagh
2020-01-16,9,2,0.0,2.0,2,54,No moonrise,12:37 PM,09:39 AM,05:35 PM,4,2,6,2,40,93,88,2.5,998,9,7,180,25,Armagh
2020-01-17,4,0,0.0,3.9,1,47,01:19 AM,12:54 PM,09:38 AM,05:36 PM,1,-2,2,-2,27,50,90,0.7,1009,4,9,245,15,Armagh
2020-01-18,4,-1,0.0,5.8,2,40,02:42 AM,01:13 PM,09:37 AM,05:38 PM,-1,-2,1,-2,16,20,89,0.0,1029,4,10,254,8,Armagh
2020-01-19,4,-1,0.0,5.8,2,32,04:04 AM,01:34 PM,09:35 AM,05:40 PM,-2,-2,0,-2,15,11,83,0.0,1044,4,10,218,8,Armagh
