date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,3,0,0.0,5.8,2,26,01:36 PM,09:24 PM,09:19 AM,04:44 PM,-1,-2,1,-2,12,24,84,0.0,1027,3,10,248,8,Edinburgh
2019-12-02,6,2,0.0,1.8,2,33,02:01 PM,10:35 PM,09:20 AM,04:43 PM,3,1,5,1,25,90,92,4.6,1028,6,6,240,14,Edinburgh
2019-12-03,6,3,0.0,5.8,2,41,02:20 PM,11:47 PM,09:22 AM,04:42 PM,3,1,5,1,37,36,88,0.4,1021,6,9,236,21,Edinburgh
2019-12-04,8,5,0.0,1.8,2,48,02:36 PM,No moonset,09:24 AM,04:42 PM,3,2,6,2,40,66,83,0.9,1012,8,9,227,23,Edinburgh
2019-12-05,11,4,0.0,1.8,2,55,02:50 PM,12:59 AM,09:25 AM,04:41 PM,5,3,7,3,50,91,83,14.1,1005,11,9,233,33,Edinburgh
2019-12-06,11,2,0.0,1.8,2,62,03:02 PM,02:09 AM,09:27 AM,04:40 PM,7,6,9,6,31,85,86,5.9,995,11,8,251,22,Edinburgh
2019-12-07,9,2,0.0,1.8,2,70,03:15 PM,03:21 AM,09:28 AM,04:40 PM,6,5,7,5,27,88,87,6.4,1001,9,8,228,18,Edinburgh
2019-12-08,7,5,0.0,1.8,2,77,03:28 PM,04:33 AM,09:30 AM,04:39 PM,4,2,7,2,46,74,81,14.3,982,7,8,235,35,Edinburgh
2019-12-09,5,2,0.0,5.8,2,84,03:43 PM,05:47 AM,09:31 AM,04:39 PM,1,0,4,0,29,32,79,0.0,1006,5,10,274,20,Edinburgh
2019-12-10,12,3,0.0,1.8,2,92,04:02 PM,07:04 AM,09:32 AM,04:38 PM,5,4,8,4,46,78,83,37.6,996,12,7,216,31,Edinburgh
2019-12-11,5,4,0.0,5.8,2,99,04:28 PM,08:21 AM,09:33 AM,04:38 PM,1,-1,4,-1,40,33,76,0.0,993,5,10,232,27,Edinburgh
2019-12-12,4,2,0.0,3.8,1,100,05:03 PM,09:37 AM,09:34 AM,04:38 PM,1,-0,3,-0,21,68,87,2.0,983,4,10,159,15,Edinburgh
2019-12-13,5,3,0.0,5.8,1,87,05:51 PM,10:46 AM,09:36 AM,04:38 PM,2,0,4,0,17,72,90,6.0,971,5,9,274,12,Edinburgh
2019-12-14,5,3,1.1,1.8,1,79,06:54 PM,11:44 AM,09:37 AM,04:38 PM,1,-1,4,-1,43,80,84,3.1,975,5,7,243,33,Edinburgh
2019-12-15,5,2,2.5,5.8,2,72,08:10 PM,12:27 PM,09:38 AM,04:38 PM,1,-2,3,-2,34,45,86,3.3,983,5,9,230,25,Edinburgh
2019-12-16,5,2,0.0,1.8,1,65,09:34 PM,01:00 PM,09:38 AM,04:38 PM,2,-0,3,-0,20,60,88,1.2,990,5,8,190,14,Edinburgh
2019-12-17,6,3,0.0,5.8,1,58,11:00 PM,01:24 PM,09:39 AM,04:38 PM,2,0,4,0,27,32,87,0.1,995,6,10,223,17,Edinburgh
2019-12-18,5,2,0.0,5.8,1,50,No moonrise,01:43 PM,09:40 AM,04:38 PM,1,0,3,0,15,41,87,2.6,1002,5,10,152,9,Edinburgh
2019-12-19,8,7,0.0,1.7,2,43,12:26 AM,02:00 PM,09:41 AM,04:38 PM,6,5,7,5,16,77,91,10.3,990,8,9,134,9,Edinburgh
2019-12-20,7,6,0.0,3.8,2,36,01:53 AM,02:15 PM,09:42 AM,04:39 PM,5,4,7,4,22,67,89,3.4,976,7,10,192,15,Edinburgh
2019-12-21,5,3,0.0,3.8,1,28,03:18 AM,02:30 PM,09:42 AM,04:39 PM,3,3,4,3,10,50,90,0.1,975,5,10,127,6,Edinburgh
2019-12-22,5,3,0.0,1.7,1,21,04:43 AM,02:47 PM,09:43 AM,04:40 PM,3,3,4,3,8,76,92,0.2,981,5,9,217,6,Edinburgh
2019-12-23,8,4,0.0,3.8,2,14,06:09 AM,03:08 PM,09:43 AM,04:40 PM,4,3,6,3,29,81,87,7.0,996,8,8,236,19,Edinburgh
2019-12-24,6,4,0.0,3.8,1,7,07:33 AM,03:35 PM,09:43 AM,04:41 PM,3,3,5,3,19,56,89,0.1,1004,6,10,242,13,Edinburgh
2019-12-25,5,3,0.0,5.8,1,0,08:51 AM,04:11 PM,09:44 AM,04:42 PM,3,2,4,2,17,44,93,0.0,1019,5,8,227,10,Edinburgh
2019-12-26,5,3,0.0,1.7,1,0,09:59 AM,04:58 PM,09:44 AM,04:42 PM,2,1,4,1,17,83,90,0.0,1018,5,10,91,12,Edinburgh
2019-12-27,8,4,0.0,1.7,2,0,10:53 AM,05:56 PM,09:44 AM,04:43 PM,5,4,6,4,11,67,93,3.7,1023,8,9,152,6,Edinburgh
2019-12-28,10,8,0.0,3.8,2,8,11:34 AM,07:04 PM,09:44 AM,04:44 PM,7,6,9,6,30,63,87,0.9,1026,10,10,212,19,Edinburgh
2019-12-29,11,9,0.0,5.8,3,15,12:03 PM,08:15 PM,09:44 AM,04:45 PM,7,6,9,6,43,29,83,0.0,1022,11,10,208,25,Edinburgh
2019-12-30,10,5,0.0,3.8,2,22,12:25 PM,09:29 PM,09:44 AM,04:46 PM,5,5,8,5,27,34,84,0.0,1022,10,10,205,16,Edinburgh
2019-12-31,7,2,0.0,5.8,3,26,12:42 PM,10:40 PM,09:44 AM,04:47 PM,1,3,4,3,9,6,80,0.0,1032,7,10,233,6,Edinburgh
2020-01-01,7,-1,0.0,5.8,2,37,12:57 PM,11:52 PM,09:44 AM,04:48 PM,3,1,5,1,31,37,87,0.0,1024,7,10,235,18,Edinburgh
2020-01-02,10,7,0.0,1.8,2,44,01:10 PM,No moonset,09:44 AM,04:50 PM,6,5,9,5,41,49,83,2.8,1006,10,8,218,27,Edinburgh
2020-01-03,7,4,0.0,1.8,2,51,01:22 PM,01:02 AM,09:43 AM,04:51 PM,1,1,5,1,37,59,76,0.2,1016,7,10,269,25,Edinburgh
2020-01-04,8,6,0.0,1.8,2,59,01:34 PM,02:13 AM,09:43 AM,04:52 PM,5,4,7,4,36,86,84,0.5,1025,8,9,247,22,Edinburgh
2020-01-05,10,1,0.0,1.8,2,66,01:48 PM,03:26 AM,09:43 AM,04:54 PM,5,4,7,4,41,75,82,0.0,1021,10,10,230,26,Edinburgh
2020-01-06,10,6,0.0,1.8,2,73,02:05 PM,04:40 AM,09:42 AM,04:55 PM,5,5,8,5,36,76,78,6.7,1010,10,10,225,25,Edinburgh
