date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,4,-1,0.0,5.8,2,26,01:40 PM,09:29 PM,09:23 AM,04:49 PM,-1,0,1,0,6,26,85,0.0,1028,4,10,300,3,Glasgow
2019-12-02,6,2,0.0,1.8,1,33,02:05 PM,10:40 PM,09:24 AM,04:48 PM,3,2,4,2,16,88,94,1.1,1029,6,5,240,8,Glasgow
2019-12-03,6,3,0.0,3.8,1,41,02:24 PM,11:52 PM,09:26 AM,04:47 PM,4,2,5,2,21,53,92,0.0,1021,6,9,211,11,Glasgow
2019-12-04,8,5,0.0,1.8,2,48,02:40 PM,No moonset,09:28 AM,04:46 PM,4,2,6,2,37,92,85,2.0,1012,8,9,225,22,Glasgow
2019-12-05,10,1,0.0,1.8,2,55,02:54 PM,01:03 AM,09:29 AM,04:46 PM,6,3,7,3,46,98,88,44.1,1004,10,7,229,30,Glasgow
2019-12-06,10,4,0.0,1.8,2,62,03:06 PM,02:14 AM,09:31 AM,04:45 PM,7,6,9,6,30,91,90,18.8,995,10,7,256,20,Glasgow
2019-12-07,9,-0,0.0,1.8,2,70,03:19 PM,03:25 AM,09:32 AM,04:45 PM,7,4,7,4,30,93,92,17.5,1001,9,9,227,20,Glasgow
2019-12-08,6,5,0.0,1.8,2,77,03:33 PM,04:37 AM,09:33 AM,04:44 PM,4,2,7,2,48,79,82,25.6,982,6,9,240,33,Glasgow
2019-12-09,5,2,0.0,5.8,2,84,03:48 PM,05:52 AM,09:35 AM,04:44 PM,1,1,4,1,25,35,83,0.0,1007,5,10,273,16,Glasgow
2019-12-10,12,4,0.0,1.8,2,92,04:07 PM,07:08 AM,09:36 AM,04:43 PM,5,3,7,3,48,91,87,50.4,995,12,8,213,32,Glasgow
2019-12-11,5,3,0.0,3.8,1,99,04:33 PM,08:25 AM,09:37 AM,04:43 PM,1,-0,4,-0,39,63,79,5.1,993,5,10,241,25,Glasgow
2019-12-12,4,3,0.0,1.8,1,100,05:08 PM,09:41 AM,09:38 AM,04:43 PM,2,0,3,0,20,97,92,4.3,982,4,7,136,13,Glasgow
2019-12-13,5,2,0.0,5.8,1,87,05:56 PM,10:50 AM,09:39 AM,04:43 PM,2,1,3,1,12,60,93,2.4,972,5,8,204,8,Glasgow
2019-12-14,4,2,3.1,1.8,1,79,06:59 PM,11:47 AM,09:40 AM,04:43 PM,1,-1,4,-1,39,88,85,15.3,975,4,8,246,27,Glasgow
2019-12-15,4,2,0.0,5.8,1,72,08:15 PM,12:31 PM,09:41 AM,04:43 PM,1,-1,2,-1,33,53,88,6.8,983,4,8,225,22,Glasgow
2019-12-16,5,2,0.0,1.8,1,65,09:39 PM,01:04 PM,09:42 AM,04:43 PM,2,-0,3,-0,18,90,91,6.9,990,5,8,158,11,Glasgow
2019-12-17,5,2,0.0,5.8,1,58,11:05 PM,01:28 PM,09:43 AM,04:43 PM,2,1,4,1,22,54,90,2.9,995,5,9,215,12,Glasgow
2019-12-18,4,0,0.0,1.7,1,50,No moonrise,01:48 PM,09:44 AM,04:43 PM,1,-0,2,-0,15,71,92,5.3,1000,4,6,112,9,Glasgow
2019-12-19,7,5,0.0,1.7,2,43,12:31 AM,02:04 PM,09:45 AM,04:43 PM,5,4,6,4,22,86,94,8.5,988,7,4,130,12,Glasgow
2019-12-20,7,6,0.0,1.7,2,36,01:57 AM,02:19 PM,09:45 AM,04:44 PM,6,5,7,5,25,94,93,15.5,975,7,7,185,17,Glasgow
2019-12-21,5,3,0.0,3.8,1,28,03:23 AM,02:35 PM,09:46 AM,04:44 PM,3,2,4,2,12,66,94,0.9,975,5,4,101,7,Glasgow
2019-12-22,5,3,0.0,1.7,1,21,04:48 AM,02:52 PM,09:46 AM,04:45 PM,3,3,4,3,9,91,94,1.5,981,5,4,141,5,Glasgow
2019-12-23,8,4,0.0,1.7,2,14,06:13 AM,03:13 PM,09:47 AM,04:45 PM,5,3,6,3,28,93,89,15.6,996,8,9,238,18,Glasgow
2019-12-24,6,4,0.0,3.8,1,7,07:37 AM,03:40 PM,09:47 AM,04:46 PM,3,3,4,3,13,48,93,0.5,1004,6,7,234,8,Glasgow
2019-12-25,6,2,0.0,5.8,1,0,08:55 AM,04:16 PM,09:47 AM,04:47 PM,3,2,3,2,13,46,94,0.0,1019,6,4,209,7,Glasgow
2019-12-26,4,3,0.0,1.7,1,0,10:03 AM,05:03 PM,09:48 AM,04:47 PM,2,0,3,0,19,100,92,0.3,1016,4,7,61,12,Glasgow
2019-12-27,9,3,0.0,1.8,2,0,10:57 AM,06:01 PM,09:48 AM,04:48 PM,5,4,6,4,14,93,96,6.7,1022,9,5,130,8,Glasgow
2019-12-28,10,8,0.0,5.8,2,8,11:38 AM,07:09 PM,09:48 AM,04:49 PM,7,6,9,6,38,67,90,6.5,1025,10,8,197,22,Glasgow
2019-12-29,10,9,0.0,5.8,2,15,12:07 PM,08:20 PM,09:48 AM,04:50 PM,7,6,9,6,49,52,88,0.7,1021,10,7,207,27,Glasgow
2019-12-30,9,5,0.0,1.8,2,22,12:29 PM,09:34 PM,09:48 AM,04:51 PM,6,5,7,5,23,50,89,0.3,1022,9,10,236,14,Glasgow
2019-12-31,7,1,0.0,5.8,2,26,12:47 PM,10:45 PM,09:48 AM,04:52 PM,2,4,4,4,4,5,85,0.0,1032,7,10,157,3,Glasgow
