date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,7,3,0.0,3.5,2,26,12:27 PM,10:25 PM,08:03 AM,05:37 PM,-1,2,5,2,13,82,69,5.2,1008,7,8,170,9,Mid_and_West_Wales
2019-12-02,3,1,0.1,3.5,1,33,01:03 PM,11:25 PM,08:04 AM,05:36 PM,0,-1,3,-1,17,100,83,1.4,1000,3,9,299,14,Mid_and_West_Wales
2019-12-03,5,0,0.0,8.7,2,41,01:34 PM,No moonset,08:05 AM,05:36 PM,-5,-2,3,-2,26,41,60,0.0,1003,5,10,315,20,Mid_and_West_Wales
2019-12-04,6,2,0.0,7.0,1,48,02:01 PM,12:23 AM,08:06 AM,05:36 PM,-2,1,4,1,20,72,68,0.1,1002,6,10,265,15,Mid_and_West_Wales
2019-12-05,5,-0,0.0,7.0,1,55,02:27 PM,01:22 AM,08:07 AM,05:36 PM,-3,-1,3,-1,25,35,61,0.0,1010,5,10,288,18,Mid_and_West_Wales
2019-12-06,8,1,0.0,7.0,1,62,02:52 PM,02:19 AM,08:08 AM,05:36 PM,-2,2,4,2,16,55,63,0.0,1020,8,10,251,12,Mid_and_West_Wales
2019-12-07,4,2,0.0,8.7,2,70,03:17 PM,03:18 AM,08:09 AM,05:36 PM,-6,0,3,0,14,24,52,0.1,1028,4,10,322,12,Mid_and_West_Wales
2019-12-08,6,0,0.0,5.2,1,77,03:43 PM,04:16 AM,08:10 AM,05:36 PM,-5,1,3,1,11,52,54,0.0,1031,6,10,129,8,Mid_and_West_Wales
2019-12-09,11,6,0.0,3.5,2,84,04:12 PM,05:18 AM,08:10 AM,05:36 PM,8,7,9,7,20,100,94,15.7,1017,11,7,193,11,Mid_and_West_Wales
2019-12-10,13,6,0.0,3.5,3,92,04:46 PM,06:20 AM,08:11 AM,05:36 PM,9,9,11,9,35,81,85,5.1,1012,13,9,247,22,Mid_and_West_Wales
2019-12-11,3,0,3.6,7.0,1,99,05:25 PM,07:25 AM,08:12 AM,05:36 PM,-3,-1,2,-1,16,53,68,4.2,1026,3,8,297,13,Mid_and_West_Wales
2019-12-12,6,0,0.0,8.7,2,100,06:11 PM,08:29 AM,08:13 AM,05:36 PM,-9,-1,2,-1,13,13,47,0.0,1038,6,10,156,10,Mid_and_West_Wales
2019-12-13,9,1,0.0,3.5,2,87,07:07 PM,09:31 AM,08:14 AM,05:36 PM,3,4,6,4,8,89,86,11.0,1025,9,7,80,5,Mid_and_West_Wales
