date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,2,-3,10.7,3.4,1,26,12:49 PM,10:32 PM,08:24 AM,05:42 PM,-5,-5,-0,-5,25,69,74,17.3,1005,2,7,162,15,South_Wales_East
2019-12-02,-1,-4,7.0,3.4,1,33,01:23 PM,11:33 PM,08:25 AM,05:41 PM,-2,-5,-1,-5,20,99,95,8.2,1007,-1,3,91,14,South_Wales_East
2019-12-03,0,-6,1.0,6.9,1,41,01:53 PM,No moonset,08:26 AM,05:41 PM,-4,-7,-3,-7,17,42,88,1.2,1008,0,8,280,11,South_Wales_East
2019-12-04,1,-1,14.5,3.4,1,48,02:18 PM,12:33 AM,08:27 AM,05:41 PM,-1,-6,-0,-6,31,95,95,17.0,999,1,2,260,22,South_Wales_East
2019-12-05,-1,-3,3.1,3.4,1,55,02:42 PM,01:33 AM,08:28 AM,05:41 PM,-4,-8,-2,-8,31,95,87,4.1,1011,-1,4,282,21,South_Wales_East
2019-12-06,-0,-6,6.5,3.4,1,62,03:05 PM,02:32 AM,08:29 AM,05:41 PM,-3,-6,-3,-6,13,87,95,8.0,1019,-0,4,262,8,South_Wales_East
2019-12-07,-3,-8,0.1,8.7,2,70,03:29 PM,03:32 AM,08:30 AM,05:41 PM,-8,-9,-6,-9,16,51,83,0.2,1029,-3,9,263,9,South_Wales_East
2019-12-08,4,-6,0.0,8.7,2,77,03:54 PM,04:33 AM,08:31 AM,05:41 PM,-3,-5,0,-5,43,32,78,0.0,1023,4,10,186,24,South_Wales_East
2019-12-09,9,4,0.0,3.4,2,84,04:21 PM,05:36 AM,08:32 AM,05:40 PM,4,2,6,2,40,94,87,5.8,1008,9,8,191,23,South_Wales_East
2019-12-10,4,-4,2.6,3.4,1,92,04:53 PM,06:40 AM,08:33 AM,05:41 PM,-1,-3,2,-3,39,98,83,4.3,1011,4,6,259,29,South_Wales_East
2019-12-11,-4,-8,3.7,5.2,1,99,05:31 PM,07:46 AM,08:34 AM,05:41 PM,-9,-12,-5,-12,32,57,77,6.7,1026,-4,4,265,24,South_Wales_East
2019-12-12,-2,-9,0.0,6.9,1,100,06:16 PM,08:52 AM,08:35 AM,05:41 PM,-9,-10,-5,-10,17,20,74,0.0,1035,-2,10,205,11,South_Wales_East
2019-12-13,3,-2,0.0,8.7,1,87,07:11 PM,09:54 AM,08:36 AM,05:41 PM,-4,-4,1,-4,33,36,74,0.0,1021,3,10,178,18,South_Wales_East
2019-12-14,2,0,6.7,3.4,1,79,08:14 PM,10:51 AM,08:36 AM,05:41 PM,1,-3,2,-3,16,100,98,50.3,1000,2,4,171,9,South_Wales_East
2019-12-15,-1,-7,1.1,5.2,1,72,09:23 PM,11:40 AM,08:37 AM,05:41 PM,-4,-9,-2,-9,41,68,88,7.7,1012,-1,2,276,31,South_Wales_East
2019-12-16,-0,-7,0.1,6.9,1,65,10:35 PM,12:22 PM,08:38 AM,05:42 PM,-6,-6,-4,-6,13,51,87,0.1,1022,-0,9,162,9,South_Wales_East
2019-12-17,-1,-5,8.8,3.4,1,58,11:48 PM,12:57 PM,08:39 AM,05:42 PM,-4,-7,-3,-7,25,73,94,10.3,1013,-1,4,232,18,South_Wales_East
2019-12-18,-4,-13,6.1,3.4,1,50,No moonrise,01:29 PM,08:39 AM,05:42 PM,-10,-15,-7,-15,31,89,84,8.4,1015,-4,4,287,22,South_Wales_East
2019-12-19,-7,-15,1.2,5.2,1,43,01:00 AM,01:58 PM,08:40 AM,05:43 PM,-13,-16,-11,-16,16,78,87,1.5,1029,-7,7,258,10,South_Wales_East
2019-12-20,-5,-12,0.4,8.7,1,36,02:12 AM,02:25 PM,08:40 AM,05:43 PM,-10,-13,-9,-13,15,36,90,0.5,1037,-5,8,129,8,South_Wales_East
2019-12-21,1,-9,0.0,8.7,1,28,03:24 AM,02:54 PM,08:41 AM,05:44 PM,-6,-8,-3,-8,24,41,84,0.0,1031,1,10,197,13,South_Wales_East
2019-12-22,3,-0,0.0,8.7,2,21,04:35 AM,03:25 PM,08:41 AM,05:44 PM,-1,-4,1,-4,37,9,84,0.0,1024,3,10,227,21,South_Wales_East
2019-12-23,6,1,0.0,8.7,2,14,05:48 AM,03:59 PM,08:42 AM,05:45 PM,1,-1,3,-1,40,20,85,0.0,1019,6,9,238,22,South_Wales_East
2019-12-24,2,-2,0.0,8.7,2,7,06:58 AM,04:39 PM,08:42 AM,05:45 PM,-2,-4,-0,-4,14,45,87,0.0,1022,2,9,109,8,South_Wales_East
2019-12-25,5,-2,0.0,5.2,1,0,08:05 AM,05:26 PM,08:43 AM,05:46 PM,-1,-1,1,-1,24,46,83,0.0,1019,5,10,199,12,South_Wales_East
2019-12-26,8,1,0.0,6.9,2,0,09:06 AM,06:18 PM,08:43 AM,05:46 PM,4,3,5,3,19,71,91,0.0,1021,8,9,173,10,South_Wales_East
2019-12-27,11,3,0.0,3.4,2,0,09:59 AM,07:16 PM,08:43 AM,05:47 PM,7,5,8,5,34,92,91,3.3,1020,11,7,225,21,South_Wales_East
2019-12-28,4,1,0.0,6.9,1,8,10:44 AM,08:16 PM,08:44 AM,05:48 PM,-0,-0,2,-0,10,59,83,0.0,1025,4,10,229,6,South_Wales_East
2019-12-29,5,1,0.0,5.2,1,15,11:22 AM,09:18 PM,08:44 AM,05:49 PM,1,1,4,1,22,58,81,9.6,1017,5,8,138,12,South_Wales_East
2019-12-30,12,3,0.0,3.4,2,22,11:53 AM,10:19 PM,08:44 AM,05:49 PM,5,4,7,4,30,76,86,17.3,1002,12,7,188,19,South_Wales_East
2019-12-31,1,-2,3.1,3.4,1,26,12:20 PM,11:20 PM,08:44 AM,05:50 PM,-3,-6,-0,-6,33,78,83,10.0,1003,1,4,237,25,South_Wales_East
2020-01-01,-2,-5,1.0,3.4,1,37,12:45 PM,No moonset,08:44 AM,05:51 PM,-5,-10,-3,-10,38,89,87,7.0,1007,-2,1,266,28,South_Wales_East
2020-01-02,4,-3,0.0,8.7,1,44,01:08 PM,12:19 AM,08:45 AM,05:52 PM,-2,-4,1,-4,36,29,83,0.0,1009,4,10,220,22,South_Wales_East
2020-01-03,5,-0,0.0,3.4,1,51,01:31 PM,01:19 AM,08:45 AM,05:53 PM,4,3,4,3,16,100,96,10.8,1006,5,9,209,9,South_Wales_East
2020-01-04,2,-1,3.1,3.4,1,59,01:55 PM,02:18 AM,08:45 AM,05:54 PM,0,-2,1,-2,15,100,92,4.9,1008,2,4,182,11,South_Wales_East
2020-01-05,0,-2,2.5,3.4,1,66,02:20 PM,03:20 AM,08:44 AM,05:55 PM,-3,-7,-1,-7,30,99,86,5.0,1011,0,3,267,22,South_Wales_East
2020-01-06,-0,-3,0.0,5.2,1,73,02:49 PM,04:22 AM,08:44 AM,05:56 PM,-3,-7,-1,-7,43,70,83,6.5,1012,-0,3,257,30,South_Wales_East
2020-01-07,1,-6,0.0,3.4,1,80,03:24 PM,05:27 AM,08:44 AM,05:57 PM,-4,-6,-1,-6,26,65,81,0.0,1015,1,10,226,16,South_Wales_East
2020-01-08,-4,-9,1.9,3.4,1,88,04:06 PM,06:33 AM,08:44 AM,05:58 PM,-8,-13,-6,-13,36,100,83,8.1,1018,-4,1,282,27,South_Wales_East
2020-01-09,-3,-11,0.0,8.7,1,95,04:57 PM,07:38 AM,08:44 AM,05:59 PM,-10,-12,-7,-12,25,33,79,0.0,1034,-3,10,199,15,South_Wales_East
2020-01-10,6,-5,0.0,4.8,2,100,05:57 PM,08:38 AM,08:44 AM,06:00 PM,3,-0,4,-0,50,85,83,9.7,1024,6,8,207,29,South_Wales_East
2020-01-11,12,-2,0.0,4.8,2,100,07:06 PM,09:33 AM,08:43 AM,06:01 PM,6,4,7,4,42,90,88,13.3,1016,12,6,136,26,South_Wales_East
2020-01-12,9,-4,0.1,4.8,1,83,08:19 PM,10:18 AM,08:43 AM,06:02 PM,-0,-2,3,-2,35,96,80,16.7,1016,9,8,238,26,South_Wales_East
2020-01-13,5,-4,0.1,4.8,1,76,09:35 PM,10:58 AM,08:43 AM,06:03 PM,-2,-2,1,-2,14,67,81,0.1,1029,5,10,179,9,South_Wales_East
2020-01-14,8,-0,0.1,9.6,1,69,10:49 PM,11:32 AM,08:42 AM,06:04 PM,2,1,4,1,16,53,87,0.2,1022,8,9,163,11,South_Wales_East
2020-01-15,5,0,0.2,8.2,1,61,No moonrise,12:01 PM,08:42 AM,06:05 PM,-1,-1,2,-1,23,57,79,1.0,1018,5,10,229,16,South_Wales_East
2020-01-16,-0,-8,1.4,4.8,1,54,12:03 AM,12:30 PM,08:41 AM,06:06 PM,-4,-9,-2,-9,37,100,84,9.1,1020,-0,1,286,28,South_Wales_East
2020-01-17,-9,-13,0.9,8.2,1,47,01:15 AM,12:58 PM,08:41 AM,06:08 PM,-14,-16,-11,-16,18,81,78,1.8,1041,-9,8,220,13,South_Wales_East
2020-01-18,-0,-12,0.1,4.8,1,40,02:26 AM,01:28 PM,08:40 AM,06:09 PM,-6,-9,-4,-9,36,84,79,8.3,1020,-0,7,167,25,South_Wales_East
2020-01-19,-3,-9,0.9,4.9,1,32,03:38 AM,02:00 PM,08:40 AM,06:10 PM,-5,-13,-5,-13,51,99,93,17.4,1008,-3,0,260,38,South_Wales_East
2020-01-20,-8,-13,1.4,8.2,1,25,04:47 AM,02:37 PM,08:39 AM,06:11 PM,-12,-16,-10,-16,19,76,90,1.7,1027,-8,7,304,12,South_Wales_East
2020-01-21,-4,-15,0.8,4.9,1,18,05:54 AM,03:20 PM,08:38 AM,06:12 PM,-8,-13,-8,-13,23,95,91,0.9,1032,-4,9,267,14,South_Wales_East
2020-01-22,-1,-9,0.2,9.8,1,11,06:56 AM,04:09 PM,08:38 AM,06:14 PM,-5,-9,-4,-9,26,58,88,0.3,1029,-1,10,226,17,South_Wales_East
2020-01-23,1,-5,0.0,6.6,1,3,07:51 AM,05:04 PM,08:37 AM,06:15 PM,-6,-6,-2,-6,18,75,77,0.0,1027,1,9,180,9,South_Wales_East
2020-01-24,2,-1,0.0,6.6,1,0,08:38 AM,06:03 PM,08:36 AM,06:16 PM,-2,-2,1,-2,20,69,81,0.7,1022,2,10,132,10,South_Wales_East
2020-01-25,3,-2,0.0,4.9,1,0,09:19 AM,07:05 PM,08:35 AM,06:17 PM,2,-2,2,-2,29,100,92,6.8,1012,3,8,165,17,South_Wales_East
2020-01-26,1,-2,2.9,4.9,1,4,09:53 AM,08:07 PM,08:34 AM,06:19 PM,0,-5,1,-5,35,100,97,8.3,1007,1,3,249,24,South_Wales_East
2020-01-27,0,-6,10.5,4.9,1,11,10:21 AM,09:08 PM,08:34 AM,06:20 PM,-1,-6,-1,-6,27,100,96,12.3,1008,0,2,278,19,South_Wales_East
