date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,27,19,0.0,11.1,6,26,11:56 AM,11:29 PM,07:29 AM,06:41 PM,20,26,26,25,11,5,75,0.0,1012,27,10,107,7,Alaska
2019-12-02,29,24,0.0,11.1,7,33,12:39 PM,No moonset,07:29 AM,06:41 PM,20,28,28,26,27,6,70,0.1,1015,29,10,25,20,Alaska
2019-12-03,27,20,0.0,11.1,6,41,01:20 PM,12:19 AM,07:30 AM,06:42 PM,18,26,26,24,23,1,69,0.0,1014,27,10,25,16,Alaska
2019-12-04,29,19,0.0,11.1,6,48,01:57 PM,01:09 AM,07:30 AM,06:42 PM,17,25,25,24,16,2,68,0.0,1014,29,10,102,10,Alaska
2019-12-05,31,21,0.0,11.1,7,55,02:32 PM,01:56 AM,07:31 AM,06:42 PM,18,27,27,26,14,9,67,0.0,1014,31,10,68,10,Alaska
2019-12-06,31,21,0.0,11.1,7,62,03:08 PM,02:43 AM,07:32 AM,06:42 PM,19,27,27,26,14,12,68,0.0,1015,31,10,95,10,Alaska
2019-12-07,29,23,0.0,11.1,7,70,03:44 PM,03:31 AM,07:32 AM,06:43 PM,18,27,27,25,30,5,64,0.0,1017,29,10,26,23,Alaska
2019-12-08,27,21,0.0,11.1,6,77,04:21 PM,04:18 AM,07:33 AM,06:43 PM,18,26,26,24,23,5,71,0.0,1015,27,10,27,17,Alaska
2019-12-09,29,20,0.0,11.1,6,84,05:01 PM,05:09 AM,07:33 AM,06:43 PM,19,26,26,24,12,5,75,0.0,1013,29,10,104,8,Alaska
2019-12-10,27,21,0.0,11.1,7,92,05:44 PM,06:01 AM,07:34 AM,06:43 PM,19,26,26,25,9,7,72,0.0,1013,27,10,130,6,Alaska
