date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,29,22,0.0,11.2,7,26,10:27 AM,10:03 PM,06:00 AM,05:17 PM,21,27,27,25,10,23,80,0.1,1013,29,10,129,7,Arizona
2019-12-02,27,22,0.0,8.7,6,33,11:11 AM,10:53 PM,06:01 AM,05:17 PM,21,27,27,24,5,41,84,13.8,1016,27,9,228,4,Arizona
2019-12-03,27,21,0.0,8.7,5,41,11:51 AM,11:42 PM,06:01 AM,05:17 PM,20,26,26,24,8,31,82,7.7,1016,27,9,135,5,Arizona
2019-12-04,28,21,0.0,7.2,6,48,12:29 PM,No moonset,06:02 AM,05:17 PM,20,26,26,24,11,53,81,2.3,1015,28,10,136,7,Arizona
2019-12-05,28,22,0.0,5.7,5,55,01:05 PM,12:29 AM,06:02 AM,05:17 PM,20,26,26,24,13,64,80,1.9,1017,28,10,90,9,Arizona
2019-12-06,28,20,0.0,8.7,6,62,01:41 PM,01:16 AM,06:03 AM,05:18 PM,19,25,25,24,11,24,78,0.0,1018,28,10,108,7,Arizona
2019-12-07,28,23,0.0,5.7,6,70,02:16 PM,02:03 AM,06:04 AM,05:18 PM,20,27,27,24,9,67,79,4.3,1019,28,10,80,6,Arizona
2019-12-08,27,23,0.0,8.7,6,77,02:54 PM,02:50 AM,06:04 AM,05:18 PM,21,27,27,24,10,39,79,2.4,1018,27,10,217,6,Arizona
2019-12-09,27,21,0.0,7.2,5,84,03:35 PM,03:40 AM,06:05 AM,05:19 PM,20,26,26,24,9,54,81,1.7,1015,27,8,178,6,Arizona
2019-12-10,29,22,0.0,8.7,6,92,04:18 PM,04:32 AM,06:05 AM,05:19 PM,22,28,28,25,9,35,83,0.3,1014,29,10,136,6,Arizona
2019-12-11,28,22,0.0,8.7,6,99,05:06 PM,05:27 AM,06:06 AM,05:19 PM,22,28,28,25,11,29,86,5.7,1016,28,9,139,7,Arizona
2019-12-12,28,23,0.0,8.7,6,100,05:59 PM,06:24 AM,06:06 AM,05:20 PM,21,27,27,25,8,21,83,5.8,1016,28,9,140,5,Arizona
2019-12-13,27,22,0.0,8.7,5,87,06:56 PM,07:23 AM,06:07 AM,05:20 PM,21,26,26,24,9,41,86,10.1,1014,27,10,223,6,Arizona
2019-12-14,28,21,0.0,8.7,6,79,07:56 PM,08:20 AM,06:07 AM,05:20 PM,20,26,26,24,10,30,83,4.0,1014,28,10,180,7,Arizona
2019-12-15,28,21,0.0,8.7,7,72,08:56 PM,09:16 AM,06:08 AM,05:21 PM,20,26,26,24,11,33,81,0.1,1015,28,10,116,7,Arizona
2019-12-16,29,22,0.0,8.7,6,65,09:56 PM,10:08 AM,06:09 AM,05:21 PM,22,28,28,25,9,29,82,0.5,1013,29,10,143,6,Arizona
