date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,11,2,1.8,8.2,2,26,01:01 PM,10:57 PM,08:35 AM,06:07 PM,4,4,7,4,32,79,81,12.3,997,11,7,210,22,Delaware
2019-12-02,2,-1,1.8,4.9,1,33,01:36 PM,11:57 PM,08:36 AM,06:06 PM,-1,-3,1,-3,26,91,85,2.1,1010,2,5,313,20,Delaware
2019-12-03,2,-2,0.2,4.8,1,41,02:07 PM,No moonset,08:37 AM,06:06 PM,-3,-4,-0,-4,20,63,80,0.2,1011,2,10,260,15,Delaware
2019-12-04,2,-0,0.0,4.8,1,48,02:34 PM,12:56 AM,08:38 AM,06:06 PM,-2,-4,1,-4,30,82,81,0.0,1005,2,10,265,21,Delaware
2019-12-05,4,-3,0.0,9.7,2,55,02:59 PM,01:54 AM,08:39 AM,06:06 PM,-3,-3,1,-3,19,39,79,0.1,1017,4,10,263,12,Delaware
2019-12-06,4,-1,0.0,6.5,1,62,03:24 PM,02:52 AM,08:40 AM,06:06 PM,0,-2,2,-2,22,52,87,0.0,1022,4,8,187,14,Delaware
2019-12-07,4,-3,0.0,9.7,2,70,03:49 PM,03:51 AM,08:41 AM,06:06 PM,-5,-3,-0,-3,14,6,69,0.0,1029,4,10,89,9,Delaware
2019-12-08,10,-0,0.0,6.5,2,77,04:15 PM,04:50 AM,08:42 AM,06:06 PM,1,1,5,1,32,53,75,0.0,1021,10,10,181,19,Delaware
2019-12-09,12,8,0.0,4.8,3,84,04:44 PM,05:51 AM,08:43 AM,06:06 PM,8,7,10,7,34,91,89,25.0,1006,12,8,196,22,Delaware
2019-12-10,-0,-4,0.0,8.2,1,92,05:17 PM,06:54 AM,08:44 AM,06:06 PM,-6,-5,0,-5,26,64,62,1.5,1018,-0,10,274,20,Delaware
2019-12-11,-1,-6,0.0,8.2,1,99,05:57 PM,07:58 AM,08:45 AM,06:06 PM,-12,-9,-4,-9,22,22,55,0.0,1031,-1,10,274,16,Delaware
2019-12-12,2,-5,0.0,9.6,1,100,06:43 PM,09:03 AM,08:45 AM,06:06 PM,-7,-6,-2,-6,20,28,66,0.0,1033,2,10,157,13,Delaware
2019-12-13,5,-1,0.0,9.6,2,87,07:38 PM,10:05 AM,08:46 AM,06:06 PM,-1,-1,2,-1,24,28,82,0.1,1018,5,10,167,14,Delaware
2019-12-14,5,2,4.7,6.5,1,79,08:40 PM,11:02 AM,08:47 AM,06:07 PM,1,-1,3,-1,17,89,88,10.2,1005,5,7,283,12,Delaware
2019-12-15,0,-2,0.6,6.5,1,72,09:49 PM,11:52 AM,08:48 AM,06:07 PM,-5,-5,-1,-5,20,84,70,0.7,1018,0,8,276,15,Delaware
2019-12-16,2,-1,5.6,4.8,1,65,10:59 PM,12:34 PM,08:48 AM,06:07 PM,-1,-4,-0,-4,17,91,92,6.8,1019,2,5,145,12,Delaware
2019-12-17,-1,-6,8.3,8.2,1,58,No moonrise,01:12 PM,08:49 AM,06:07 PM,-4,-8,-2,-8,28,67,91,12.3,1016,-1,5,291,20,Delaware
2019-12-18,-5,-11,0.4,9.6,1,50,12:10 AM,01:45 PM,08:50 AM,06:08 PM,-9,-14,-7,-14,29,51,85,0.6,1023,-5,9,276,18,Delaware
2019-12-19,-3,-12,0.0,9.6,2,43,01:21 AM,02:15 PM,08:50 AM,06:08 PM,-12,-12,-8,-12,20,7,74,0.0,1031,-3,10,220,11,Delaware
2019-12-20,0,-6,0.0,8.2,1,36,02:31 AM,02:45 PM,08:51 AM,06:09 PM,-5,-5,-3,-5,14,52,84,0.0,1034,0,10,201,7,Delaware
2019-12-21,2,-2,0.0,9.6,1,28,03:41 AM,03:15 PM,08:51 AM,06:09 PM,-2,-3,0,-3,18,40,87,0.0,1031,2,10,203,9,Delaware
2019-12-22,5,-1,0.0,9.6,2,21,04:51 AM,03:48 PM,08:52 AM,06:10 PM,-1,-0,2,-0,19,1,84,0.0,1027,5,10,204,10,Delaware
2019-12-23,9,1,0.0,9.6,3,14,06:01 AM,04:24 PM,08:52 AM,06:10 PM,2,3,5,3,16,0,83,0.0,1021,9,10,211,8,Delaware
2019-12-24,8,2,0.0,9.6,3,7,07:10 AM,05:05 PM,08:53 AM,06:11 PM,2,3,4,3,11,25,82,0.0,1020,8,10,184,6,Delaware
2019-12-25,11,3,0.0,9.6,3,0,08:16 AM,05:52 PM,08:53 AM,06:11 PM,4,4,7,4,23,8,85,0.0,1017,11,9,186,12,Delaware
