date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,22,9,0.0,11.6,4,26,10:15 AM,10:17 PM,05:49 AM,05:34 PM,11,14,14,14,7,24,83,4.4,1012,22,9,176,4,Florida
2019-12-02,22,9,0.0,11.6,4,33,11:01 AM,11:05 PM,05:50 AM,05:34 PM,11,14,14,14,9,24,82,13.0,1013,22,9,174,5,Florida
2019-12-03,25,14,0.0,11.6,4,41,11:44 AM,11:51 PM,05:50 AM,05:35 PM,15,18,18,18,8,30,85,14.7,1013,25,9,168,4,Florida
2019-12-04,24,15,0.0,11.6,5,48,12:24 PM,No moonset,05:51 AM,05:35 PM,15,21,21,20,9,35,80,4.3,1012,24,10,163,6,Florida
2019-12-05,23,10,0.0,7.3,4,55,01:04 PM,12:35 AM,05:51 AM,05:35 PM,11,16,18,16,10,74,76,3.7,1013,23,10,165,6,Florida
2019-12-06,24,10,0.0,8.8,4,62,01:42 PM,01:19 AM,05:52 AM,05:36 PM,11,16,18,16,11,64,75,5.6,1013,24,10,161,6,Florida
2019-12-07,25,15,0.0,10.2,5,70,02:21 PM,02:03 AM,05:52 AM,05:36 PM,16,20,21,20,8,58,79,4.5,1014,25,10,164,5,Florida
2019-12-08,21,8,0.0,11.6,3,77,03:02 PM,02:47 AM,05:53 AM,05:36 PM,11,13,13,13,8,48,89,13.4,1014,21,9,181,4,Florida
2019-12-09,24,9,0.0,11.6,4,84,03:45 PM,03:34 AM,05:53 AM,05:37 PM,11,14,14,14,7,34,86,4.4,1012,24,9,180,4,Florida
2019-12-10,25,8,0.0,11.6,4,92,04:31 PM,04:23 AM,05:54 AM,05:37 PM,13,16,17,16,9,22,80,8.9,1012,25,9,164,5,Florida
2019-12-11,25,10,0.0,11.6,4,99,05:21 PM,05:15 AM,05:54 AM,05:38 PM,15,18,19,18,7,30,83,8.0,1012,25,9,206,4,Florida
2019-12-12,23,10,0.0,11.6,5,100,06:15 PM,06:10 AM,05:54 AM,05:38 PM,16,18,19,18,5,46,89,4.3,1012,23,10,188,3,Florida
2019-12-13,24,16,0.0,11.6,5,87,07:13 PM,07:08 AM,05:55 AM,05:38 PM,18,20,21,20,4,44,88,0.7,1011,24,9,191,3,Florida
2019-12-14,23,8,0.0,11.6,4,79,08:11 PM,08:06 AM,05:55 AM,05:39 PM,11,13,14,13,7,33,84,5.8,1012,23,9,176,4,Florida
2019-12-15,22,8,0.0,10.2,4,72,09:10 PM,09:03 AM,05:56 AM,05:39 PM,11,13,13,13,7,43,88,11.3,1013,22,9,221,4,Florida
2019-12-16,24,8,0.0,11.6,4,65,10:08 PM,09:57 AM,05:56 AM,05:40 PM,10,13,14,13,6,23,80,10.6,1012,24,9,170,3,Florida
2019-12-17,18,9,0.0,11.6,3,58,11:03 PM,10:49 AM,05:57 AM,05:40 PM,9,13,13,13,10,14,77,8.8,1010,18,9,204,5,Florida
2019-12-18,23,9,0.0,11.6,4,50,11:57 PM,11:38 AM,05:57 AM,05:41 PM,12,15,15,15,8,26,83,13.9,1011,23,9,204,5,Florida
2019-12-19,21,9,0.0,11.6,4,43,No moonrise,12:25 PM,05:58 AM,05:41 PM,11,14,14,14,5,24,82,15.4,1012,21,8,166,3,Florida
2019-12-20,23,9,0.0,11.6,4,36,12:50 AM,01:12 PM,05:58 AM,05:42 PM,10,13,14,13,10,18,78,9.8,1012,23,9,154,5,Florida
2019-12-21,24,9,0.0,11.6,4,28,01:42 AM,01:59 PM,05:59 AM,05:42 PM,11,15,15,15,10,17,78,2.1,1012,24,10,163,6,Florida
2019-12-22,23,9,0.0,11.6,4,21,02:35 AM,02:47 PM,05:59 AM,05:43 PM,10,13,14,13,11,15,79,8.6,1012,23,9,160,5,Florida
2019-12-23,21,9,0.0,11.4,4,14,03:30 AM,03:38 PM,06:00 AM,05:43 PM,9,13,13,13,12,16,78,10.2,1012,21,9,160,6,Florida
2019-12-24,24,9,0.0,11.4,4,7,04:26 AM,04:30 PM,06:00 AM,05:44 PM,10,14,14,14,11,16,78,8.8,1011,24,9,162,5,Florida
2019-12-25,24,10,0.0,8.7,4,0,05:23 AM,05:25 PM,06:01 AM,05:44 PM,12,14,14,14,7,37,87,21.5,1011,24,8,197,4,Florida
2019-12-26,17,10,0.0,8.7,3,0,06:19 AM,06:20 PM,06:01 AM,05:45 PM,11,13,13,13,9,27,84,15.5,1011,17,9,170,4,Florida
2019-12-27,23,11,0.0,8.7,4,0,07:14 AM,07:14 PM,06:02 AM,05:45 PM,12,14,15,14,9,31,85,21.6,1012,23,8,171,5,Florida
2019-12-28,21,9,0.0,7.2,4,8,08:05 AM,08:06 PM,06:02 AM,05:46 PM,10,13,13,13,11,27,82,17.0,1012,21,8,162,5,Florida
2019-12-29,21,10,0.0,8.7,4,15,08:53 AM,08:56 PM,06:03 AM,05:46 PM,11,13,13,13,9,28,84,14.9,1011,21,9,161,5,Florida
2019-12-30,18,10,0.0,7.2,3,22,09:38 AM,09:44 PM,06:03 AM,05:47 PM,11,13,13,13,9,42,88,18.3,1011,18,8,172,4,Florida
2019-12-31,20,10,0.0,5.8,4,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,12,14,14,14,6,61,93,15.3,1012,20,9,196,3,Florida
2020-01-01,22,15,0.0,5.8,4,37,11:00 AM,11:13 PM,06:04 AM,05:48 PM,16,18,20,18,5,67,92,4.0,1013,22,9,140,3,Florida
2020-01-02,23,12,0.0,5.8,5,44,11:38 AM,11:56 PM,06:04 AM,05:48 PM,13,18,19,18,8,70,82,2.3,1013,23,9,161,5,Florida
2020-01-03,25,11,0.0,7.2,5,51,12:16 PM,No moonset,06:05 AM,05:49 PM,14,18,20,18,7,64,81,1.7,1015,25,10,164,5,Florida
2020-01-04,23,10,0.0,8.7,4,59,12:56 PM,12:40 AM,06:05 AM,05:49 PM,12,17,18,17,7,52,82,1.3,1016,23,10,172,5,Florida
