date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,12,6,0.0,8.7,2,26,12:19 PM,10:00 PM,08:08 AM,05:32 PM,4,8,9,8,10,38,73,0.2,1015,12,9,326,6,Georgia
2019-12-02,9,4,0.0,3.5,2,33,12:56 PM,11:01 PM,08:09 AM,05:31 PM,2,4,7,4,31,71,71,8.2,1020,9,9,319,26,Georgia
2019-12-03,7,2,0.0,8.7,3,41,01:28 PM,No moonset,08:10 AM,05:31 PM,0,4,4,4,9,18,74,0.1,1022,7,10,259,7,Georgia
2019-12-04,8,3,0.0,8.7,3,48,01:55 PM,12:01 AM,08:11 AM,05:31 PM,-1,2,5,2,22,38,67,0.0,1019,8,10,325,17,Georgia
2019-12-05,6,1,0.0,8.7,2,55,02:20 PM,01:00 AM,08:12 AM,05:31 PM,-3,0,3,0,16,18,65,0.0,1028,6,10,312,13,Georgia
2019-12-06,6,2,0.0,8.7,1,62,02:44 PM,01:59 AM,08:13 AM,05:31 PM,-1,3,3,3,5,39,76,0.0,1032,6,10,164,4,Georgia
2019-12-07,7,1,0.0,8.7,2,70,03:08 PM,02:58 AM,08:14 AM,05:30 PM,-3,3,3,3,3,35,66,0.0,1026,7,10,114,3,Georgia
2019-12-08,8,2,0.0,8.7,3,77,03:33 PM,03:58 AM,08:15 AM,05:30 PM,-1,4,5,4,7,27,70,0.0,1016,8,10,211,5,Georgia
2019-12-09,10,3,0.0,8.7,3,84,03:59 PM,04:59 AM,08:16 AM,05:30 PM,1,4,6,4,20,24,72,0.0,1018,10,10,324,14,Georgia
2019-12-10,8,2,0.0,8.7,2,92,04:30 PM,06:03 AM,08:16 AM,05:30 PM,1,4,4,4,4,11,79,0.0,1021,8,10,130,3,Georgia
2019-12-11,9,1,0.0,8.7,3,99,05:07 PM,07:08 AM,08:17 AM,05:30 PM,-2,5,5,5,3,6,65,0.0,1021,9,10,164,2,Georgia
