date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-01,18,15,0.0,8.7,5,26,12:08 PM,10:38 PM,07:39 AM,05:44 PM,4,17,17,17,6,18,44,0.0,1020,18,10,187,5,Hawaii
2019-12-02,20,15,0.0,8.7,5,33,12:46 PM,11:35 PM,07:40 AM,05:44 PM,6,18,18,18,5,25,47,0.0,1020,20,10,235,4,Hawaii
2019-12-03,20,16,0.0,8.7,4,41,01:20 PM,No moonset,07:41 AM,05:44 PM,9,18,18,18,6,53,56,0.0,1018,20,10,244,4,Hawaii
2019-12-04,17,14,0.0,3.8,4,48,01:50 PM,12:30 AM,07:42 AM,05:43 PM,12,16,16,16,17,85,75,13.8,1014,17,9,154,12,Hawaii
2019-12-05,18,16,0.0,8.7,4,55,02:18 PM,01:25 AM,07:43 AM,05:43 PM,12,17,17,17,9,63,72,1.3,1019,18,10,161,7,Hawaii
2019-12-06,19,16,0.0,8.7,5,62,02:46 PM,02:19 AM,07:43 AM,05:44 PM,10,18,18,18,8,50,62,0.0,1020,19,10,186,6,Hawaii
2019-12-07,18,17,0.0,3.8,4,70,03:15 PM,03:14 AM,07:44 AM,05:44 PM,12,17,17,17,6,91,69,2.3,1020,18,10,124,5,Hawaii
2019-12-08,18,16,0.0,8.7,4,77,03:45 PM,04:10 AM,07:45 AM,05:44 PM,13,17,17,17,17,40,75,6.6,1017,18,9,243,13,Hawaii
2019-12-09,22,16,0.0,8.7,6,84,04:17 PM,05:08 AM,07:46 AM,05:44 PM,13,19,20,19,8,3,66,2.3,1018,22,10,196,7,Hawaii
2019-12-10,19,15,0.0,7.0,4,92,04:55 PM,06:07 AM,07:47 AM,05:44 PM,11,18,18,18,4,26,64,0.0,1022,19,10,172,4,Hawaii
2019-12-11,19,16,0.0,8.7,5,99,05:38 PM,07:09 AM,07:47 AM,05:44 PM,11,18,18,18,5,6,62,0.0,1022,19,10,225,4,Hawaii
2019-12-12,20,15,0.0,7.0,4,100,06:27 PM,08:11 AM,07:48 AM,05:44 PM,11,18,18,18,5,33,65,0.0,1022,20,10,215,4,Hawaii
2019-12-13,23,17,0.0,8.7,6,87,07:23 PM,09:12 AM,07:49 AM,05:45 PM,14,19,20,19,5,6,73,0.0,1019,23,10,174,4,Hawaii
2019-12-14,18,16,0.0,7.0,4,79,08:25 PM,10:08 AM,07:49 AM,05:45 PM,13,17,17,17,11,49,79,0.3,1013,18,10,192,9,Hawaii
2019-12-15,20,14,0.0,8.7,5,72,09:31 PM,10:59 AM,07:50 AM,05:45 PM,4,16,17,16,12,9,44,0.2,1017,20,10,221,10,Hawaii
2019-12-16,23,14,0.0,8.7,5,65,10:38 PM,11:45 AM,07:51 AM,05:46 PM,-3,17,17,17,9,11,26,0.0,1024,23,10,55,7,Hawaii
2019-12-17,19,14,0.0,8.7,5,58,11:46 PM,12:25 PM,07:51 AM,05:46 PM,-6,16,17,16,13,9,21,0.0,1025,19,10,86,9,Hawaii
2019-12-18,18,13,0.0,7.0,4,50,No moonrise,01:02 PM,07:52 AM,05:46 PM,-3,16,16,16,7,39,28,0.0,1019,18,10,171,6,Hawaii
2019-12-19,22,13,0.0,8.7,5,43,12:52 AM,01:37 PM,07:52 AM,05:47 PM,2,18,18,18,7,5,35,0.0,1021,22,10,168,6,Hawaii
2019-12-20,21,15,0.0,8.7,5,36,01:57 AM,02:10 PM,07:53 AM,05:47 PM,2,18,18,18,9,25,34,0.0,1023,21,10,138,5,Hawaii
2019-12-21,21,16,0.0,3.7,4,28,03:03 AM,02:45 PM,07:53 AM,05:48 PM,1,18,18,18,8,86,33,0.0,1019,21,10,119,4,Hawaii
